DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
283.71,207.26,1.45
293.82,196.11,1.58
303.3,175.27,2.25
312.89,160.12,3.13
322.35,154.93,3.83
332.45,146.2,4.66
341.51,142.83,5.33
351.46,137.79,6.17
360.83,131.63,6.96
370.95,124.19,7.84
379.86,121.0,8.42
389.65,119.66,9.14
398.91,118.82,9.6
408.8,118.11,10.24
417.87,117.68,10.97
428.32,118.3199,11.84
437.04,119.34,12.54
446.87,118.71,13.21
456.66,117.05,13.8
466.91,117.13,14.65
475.34,117.53,15.34
485.54,118.0,16.05
494.55,117.36,16.82
504.45,117.46,18.23
513.75,117.87,19.42
524.54,118.51,20.42
533.24,118.51,20.72
534.03,117.46,21.58
552.1,116.5,22.09
562.14,116.01,22.16
571.25,116.0,22.29
581.14,116.02,22.42
590.44,116.08,22.56
600.43,116.19,22.6
609.47,116.35,22.7
628.72,116.23,22.86
648.01,116.33,22.97
667.36,118.39,22.5
686.22,118.55,21.99
704.5,119.67,22.61
724.19,119.79,22.79
743.47,119.76,22.99
762.94,119.87,23.25
782.17,119.02,22.86
800.88,118.36,22.41
819.76,119.36,21.9
839.1,119.59,21.91
858.06,119.49,22.1
877.28,119.71,21.75
896.09,119.64,21.8
915.26,120.11,21.48
934.53,120.22,21.48
953.7,120.94,21.49
972.7,121.25,21.56
991.87,212.64,21.7
1010.84,121.87,21.39
1029.73,121.73,21.47
1048.97,121.57,21.54
1057.51,122.0,21.54
1068.23,122.18,21.83
1106.57,122.34,21.38
1125.98,122.81,21.42
1144.37,123.4,21.48
1163.95,122.38,21.56
1182.5,122.32,21.53
1201.95,122.13,21.62
1220.45,122.44,21.69
1240.33,121.98,22.0
1259.14,121.5,22.03
1277.87,120.54,21.99
1296.65,120.66,22.01
1316.37,120.72,22.02
1335.07,119.9,22.09
1354.38,120.36,22.27
1369.15,120.41,22.34
1373.61,120.43,22.36
1373.75,120.43,22.36
1392.98,120.22,22.39
1411.65,120.04,22.38
1430.64,120.54,22.37
1450.16,120.13,22.43
1468.56,120.67,22.49
1487.53,120.51,22.5
1506.73,120.49,22.31
1525.49,120.62,22.31
1544.94,120.62,22.24
1563.95,120.58,22.35
1567.91,120.47,22.18
1585.0,120.47,22.18
