DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
47.5,212.98,1.11,47.5
72.5,209.18,1.19,72.49
97.5,208.81,1.13,97.49
122.5,207.64,1.14,122.48
147.5,205.98,1.25,147.48
172.5,203.9,1.3,172.47
197.5,197.8,1.34,197.46
222.5,198.84,1.33,222.46
247.5,198.92,1.38,247.45
272.5,198.59,1.32,272.44
297.5,199.76,1.35,297.44
322.5,199.48,1.35,322.43
347.5,199.43,1.41,347.42
372.5,199.54,1.34,372.41
397.5,207.42,1.42,397.41
422.5,54.68,1.49,422.4
447.5,38.78,7.06,447.33
472.5,33.64,7.17,472.13
497.5,38.23,8.89,496.89
522.5,28.23,10.64,521.53
547.5,25.58,12.36,546.02
572.5,24.94,15.64,570.28
597.5,18.65,19.02,594.14
622.5,16.74,22.14,617.54
641.31,15.3,23.03,634.91
659.99,16.37,24.42,652.01
669.39,17.46,25.2,660.54
688.49,18.66,26.23,677.75
707.08,17.85,28.2,694.28
725.91,18.06,28.41,710.86
744.83,17.92,28.18,727.52
773.29,17.76,27.75,752.66
792.03,18.03,27.75,769.24
820.42,18.34,29.58,794.15
848.6,18.37,30.2,818.58
876.44,18.67,29.96,842.67
904.89,18.5,29.64,867.36
923.93,18.35,29.16,883.95
942.68,18.14,28.62,900.37
961.46,17.52,28.89,916.83
980.75,16.93,30.04,933.63
999.47,16.72,29.87,949.85
1018.48,16.4,29.5,966.36
1037.41,16.52,29.36,982.85
1056.49,16.22,29.7,999.45
1075.45,16.33,29.49,1015.94
1094.37,15.85,29.05,1032.4399
1113.64,15.35,29.19,1049.27
1132.43,16.37,29.34,1065.67
1160.75,16.81,29.33,1090.35
1188.78,16.99,28.94,1114.84
1207.85,16.29,28.68,1131.55
1226.72,16.02,28.41,1148.12
1245.8,15.69,27.89,1164.95
1264.76,15.19,28.59,1181.65
1283.64,15.3,28.68,1198.22
1302.18,16.15,28.68,1214.49
1321.12,16.57,28.6,1231.11
1340.03,17.36,28.05,1247.76
1359.09,17.09,28.57,1264.54
1377.57,17.04,28.59,1280.76
1396.86,16.66,28.2,1297.73
1415.68,17.03,28.11,1314.33
1434.63,16.72,28.97,1330.97
1453.67,16.4,29.73,1347.5699
1472.97,16.47,29.41,1364.36
1491.53,16.79,29.15,1380.54
1508.68,16.48,28.98,1395.53
1537.45,16.46,28.94,1420.71
1565.58,16.11,28.09,1445.42
1594.75,16.09,27.51,1471.23
1623.7,16.14,26.88,1496.98
1652.15,15.76,26.24,1522.42
1680.28,15.39,24.93,1547.8
1708.42,15.08,24.36,1573.37
1736.75,15.41,23.49,1599.27
1765.75,14.64,22.83,1625.9301
1794.58,13.42,22.16,1652.5699
1823.49,13.05,21.58,1679.4
1852.23,12.47,20.96,1706.1801
1880.75,12.12,20.04,1732.89
1892.0,11.98,19.68,1743.47
