DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
52.5,116.2,0.65,52.5
71.2,40.4,0.46,71.2
89.4,297.1,0.24,89.4
127.0,126.2,0.65,127.0
154.2,125.4,0.83,154.2
174.3,164.0,0.89,174.29
192.4,165.3,0.89,192.39
211.4,175.4,0.81,211.39
230.7,162.5,0.62,230.69
250.2,156.7,0.59,250.19
269.2,142.1,0.59,269.19
288.5,131.7,0.62,288.48
307.8,118.9,0.95,307.78
326.9,130.3,1.14,326.88
346.2,146.5,1.3,346.17
365.4,155.3,1.34,365.37
384.5,179.7,1.3,384.46
410.6,159.65,0.93,410.56
420.2,185.6,0.94,420.16
439.7,214.4,1.16,439.66
458.1,266.37,1.05,458.05
477.3,333.25,1.79,477.25
496.5,352.92,3.27,496.43
515.8,356.32,3.73,515.69
534.8,358.75,4.91,534.64
554.3,354.37,6.4,554.04
573.3,351.1,8.34,572.89
592.4,349.91,10.14,591.74
611.5,349.52,11.6,610.49
630.7,348.83,12.93,629.25
649.8,349.97,14.72,647.8
669.0,349.73,16.43,666.29
688.1,348.4,18.09,684.53
707.2,347.89,19.87,702.6
726.4,347.54,22.2,720.51
745.5,347.7,22.92,738.15
764.8,347.03,23.24,755.91
783.9,347.01,23.1,773.47
803.2,346.82,22.78,791.24
822.6,346.64,22.64,809.14
841.7,346.83,22.47,826.78
860.8,346.63,22.45,844.43
879.9,346.63,22.01,862.11
899.2,347.09,23.01,879.94
918.5,347.51,23.43,897.67
937.8,347.26,23.26,915.39
957.0,346.89,23.29,933.03
976.2,346.5,23.33,950.66
995.2,346.87,22.88,968.14
1014.3,346.71,22.92,985.73
1033.7,348.07,23.89,1003.54
1052.8,348.17,23.84,1021.01
1072.2,347.94,23.78,1038.75
1091.3,347.63,23.52,1056.25
1110.4,346.75,23.66,1073.75
1129.2,349.02,23.26,1091.0
1148.2,349.1,23.24,1108.46
1166.9,348.9,23.28,1125.64
1186.1,348.82,23.23,1143.28
1205.2,348.85,22.95,1160.85
1224.4,348.5,22.59,1178.55
1243.7,348.31,22.47,1196.38
1262.8,348.4,22.29,1214.04
1281.9,348.38,21.94,1231.73
1301.3,348.08,21.98,1249.73
1320.4,349.16,23.1,1267.37
1339.7,350.01,23.17,1285.12
1358.9,350.26,22.88,1302.79
1378.0,349.94,22.6,1320.4
1397.2,349.19,22.44,1338.14
1416.3,349.63,22.19,1355.8101
1435.4,349.89,22.35,1373.48
1454.5,350.18,22.57,1391.13
1473.6,350.16,22.3,1408.79
1492.7,350.16,22.06,1426.47
1511.8,350.0,21.69,1444.2
1530.4,350.86,22.45,1461.4399
1549.5,351.33,22.92,1479.0601
1568.6,350.84,22.62,1496.67
1587.9,350.93,23.28,1514.4399
1606.5,350.7,23.26,1531.53
1625.6,349.81,22.99,1549.09
1644.7,349.8,22.51,1566.71
1663.8,349.0,23.21,1584.3101
1682.9,349.73,23.49,1601.84
1702.2,349.0,23.09,1619.5699
1721.2,348.81,22.85,1637.0601
1740.3,347.83,22.75,1654.67
1759.3,347.32,22.47,1672.21
1778.5,347.49,22.15,1689.97
1797.8,347.29,21.9,1707.87
1816.8,346.89,21.53,1725.52
1835.9,346.96,21.07,1743.3101
1848.0,347.0,21.0,1754.61
