DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
280.85,211.6,0.28
300.16,203.8,0.21
319.45,218.9,0.24
338.81,204.9,0.33
358.17,178.6,0.24
377.5,190.4,0.44
396.86,209.4,2.06
416.23,214.1,4.88
435.58,220.3,7.29
455.0,221.3,8.96
474.34,220.5,10.92
493.7,217.7,13.02
513.06,214.6,14.97
532.39,212.7,15.75
551.75,211.6,16.37
571.12,212.0,16.84
590.47,213.0,17.15
609.79,212.7,17.73
629.21,212.6,16.79
648.54,212.2,16.75
667.91,212.5,16.59
687.28,212.9,17.13
706.65,213.0,17.49
723.53,212.2,17.01
745.38,211.3,16.66
764.7,211.4,16.83
784.6,211.4,17.18
803.4,212.2,16.91
822.76,211.6,16.99
842.11,211.1,17.41
861.45,212.2,16.99
880.77,214.9,16.2
900.12,215.7,16.48
919.48,215.8,16.9
938.81,215.9,17.3
958.15,216.2,17.67
977.53,214.3,17.76
996.89,213.5,17.78
1016.25,213.3,17.97
1035.61,212.1,17.78
1054.96,211.5,17.69
1074.36,211.0,17.78
1090.18,209.4,17.16
1109.55,208.2,17.49
1128.9,209.7,17.92
1148.25,210.8,16.64
1167.63,209.3,15.51
1186.97,208.7,15.64
1206.41,209.3,16.31
1225.76,211.4,16.77
1245.16,211.4,16.72
1264.5,208.0,17.57
1283.9,207.1,18.66
1303.24,201.9,20.09
1322.61,196.8,21.35
1342.0,192.7,23.22
1361.37,189.6,24.78
1380.74,188.3,27.1
1400.08,186.2,29.42
1419.44,183.6,31.45
1438.76,180.0,33.61
1458.14,177.0,35.2
1477.53,174.9,37.26
1496.88,172.6,39.92
1516.27,171.7,42.19
1535.61,170.3,44.41
1554.94,168.9,46.69
1574.33,167.6,48.51
1593.52,167.0,49.57
1612.88,166.2,50.97
1632.2,166.3,52.55
1651.58,165.1,55.12
1670.97,164.4,57.66
1690.32,163.8,59.29
1709.49,163.64,62.33
1748.38,165.2,66.23
1777.43,164.3,71.88
1787.11,163.0,72.36
1806.49,161.95,74.22
1825.89,161.52,76.99
1845.23,160.02,79.38
1864.6,158.77,80.99
1883.99,158.5,81.55
1903.36,158.1,81.49
1922.72,156.6,84.08
1942.13,156.4,85.61
1948.32,156.05,85.67
1961.49,155.3,85.8
1982.82,153.7,86.21
2000.12,154.0,87.22
2019.47,153.7,87.72
2038.79,154.5,88.25
2058.17,153.6,88.62
2077.49,155.5,88.48
2096.8,156.7,87.95
2116.17,155.0,87.54
2135.51,155.4,87.61
2154.87,154.5,88.02
2174.19,155.6,87.18
2193.57,156.1,87.82
2212.96,155.2,86.91
2228.41,155.68,87.29
2232.31,155.8,87.38
2251.7,155.6,86.93
2264.0,155.3,86.88
