DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
151.0,342.3,0.49
170.67,13.4,1.27
189.73,351.0,1.51
208.82,331.6,1.57
227.55,8.8,2.13
246.67,336.0,4.47
265.98,350.5,6.72
285.24,347.4,8.55
304.38,338.5,9.52
323.46,326.3,10.79
342.52,321.2,12.26
361.77,320.5,12.77
380.7,321.5,12.53
399.94,319.9,12.77
419.03,318.4,13.74
438.32,319.4,14.42
456.68,322.0,18.42
457.55,320.9,16.32
495.77,321.2,21.46
515.04,319.8,23.24
534.28,319.6,27.61
553.54,320.1,28.9
572.83,319.4,29.8
591.94,318.9,30.93
611.01,318.6,32.17
630.36,318.5,35.45
649.43,319.9,37.78
668.6,321.3,40.11
687.65,321.5,39.82
707.09,321.8,39.24
726.18,321.3,38.28
745.28,321.5,37.83
764.33,321.22,37.11
790.0,322.59,35.61
819.26,323.09,33.03
828.87,323.89,32.23
848.0,324.31,30.97
867.13,325.38,29.85
886.27,326.71,28.45
905.34,328.78,28.44
924.49,331.05,27.52
943.67,333.48,26.1
962.77,336.36,25.1
981.85,339.79,24.78
1000.95,344.05,23.47
1020.03,348.53,22.02
1039.2,352.45,21.46
1048.78,353.88,21.15
1058.35,355.64,20.98
1077.49,0.88,20.02
1096.6,5.84,18.81
1115.68,11.21,18.02
1134.75,16.74,17.06
1153.83,22.7,15.92
1172.95,25.35,15.33
1191.95,28.12,15.62
1211.08,29.6,15.74
1230.11,28.93,16.46
1249.23,27.22,16.64
1258.79,27.48,16.63
1268.38,27.19,16.68
1285.46,27.29,16.55
1306.62,27.15,16.37
1325.73,27.81,16.32
1344.84,26.66,15.95
1363.9,26.99,15.74
1383.04,28.14,16.26
1402.16,28.98,16.29
1416.76,29.54,16.48
1421.26,29.29,16.11
1440.28,29.12,16.08
1459.39,29.02,16.79
1478.52,29.03,16.73
1497.63,28.94,16.67
1535.89,28.57,16.44
1555.02,29.31,16.25
1574.13,29.71,16.18
1593.18,29.45,15.92
1612.28,29.71,15.84
1631.23,29.55,15.45
1650.4,30.04,15.24
1669.46,30.28,14.67
1688.51,29.86,14.25
1703.29,30.8,14.4
1707.53,31.07,14.45
1726.68,31.49,13.84
1745.79,31.38,13.69
1764.97,30.8,13.09
1784.04,30.8,12.66
1803.2,30.78,11.75
