DEPTH,AZIMUTH,DEVIATION,TVD
15.0,167.4,0.23,15.0
35.0,168.8,0.24,35.0
55.0,237.3,0.21,55.0
75.0,258.6,0.22,75.0
95.0,262.3,0.2,95.0
115.0,263.0,0.18,115.0
135.0,271.9,0.15,135.0
155.0,279.4,0.11,155.0
175.0,322.9,0.06,175.0
195.0,18.5,0.09,195.0
215.0,30.4,0.1,215.0
235.0,73.1,0.13,235.0
255.0,72.7,0.15,255.0
275.0,88.2,0.22,275.0
295.0,105.4,0.3,295.0
315.0,112.4,0.34,315.0
335.0,119.7,0.37,335.0
355.0,120.9,0.37,355.0
375.0,125.0,0.39,375.0
395.0,138.1,0.43,395.0
415.0,147.3,0.44,415.0
435.0,153.6,0.47,435.0
455.0,164.4,0.49,454.99
475.0,164.9,0.54,474.99
495.0,192.3,0.51,494.99
515.0,182.3,0.55,514.99
555.0,200.7,0.47,554.99
575.0,204.6,0.4,574.99
595.0,208.4,0.31,594.99
615.0,212.1,0.24,614.99
635.0,210.1,0.18,634.99
655.0,209.9,0.12,654.99
675.0,198.2,0.07,674.99
695.0,117.5,0.33,694.99
712.4,149.6,0.53,712.39
729.24,99.3,0.44,729.23
748.35,100.6,0.52,748.34
767.49,103.7,1.16,767.48
786.76,109.8,2.84,786.73
806.05,96.4,5.21,805.97
825.15,96.3,7.47,824.96
844.6,91.2,9.76,844.19
863.66,95.5,11.63,862.91
882.75,102.3,13.55,881.55
902.0,108.2,16.22,900.15
921.12,115.3,18.87,918.38
940.29,115.4,21.71,936.36
959.64,115.7,23.98,954.19
978.74,115.5,27.29,971.41
998.1,115.6,29.43,988.44
1017.0,116.2,29.78,1004.87
1036.35,116.2,30.3,1021.63
1055.79,115.7,30.42,1038.4
1074.88,115.1,30.2,1054.88
1093.95,114.7,29.92,1071.39
1113.26,113.9,29.62,1088.15
1132.37,113.8,29.74,1104.75
1151.67,113.7,30.13,1121.48
1170.82,113.7,30.13,1138.04
1190.07,113.4,29.3,1154.76
1209.21,113.3,29.31,1171.45
1228.26,113.2,29.33,1188.0601
1266.87,113.5,29.06,1221.76
1285.94,113.5,28.99,1238.4399
1305.15,112.4,27.71,1255.34
1323.96,112.3,27.44,1272.02
1342.22,111.9,27.25,1288.24
1361.37,111.8,28.0,1305.2
1380.4,112.4,28.76,1321.9399
1399.58,111.9,28.71,1338.76
1418.41,111.7,28.43,1355.3
1437.51,111.7,28.19,1372.12
1456.64,111.0,28.14,1388.98
1475.69,110.5,27.85,1405.8
1495.15,111.5,28.29,1422.97
1514.26,113.0,28.66,1439.77
1533.36,112.2,28.59,1456.54
1552.6,112.1,28.29,1473.45
1571.74,112.1,28.17,1490.3199
1590.2,111.5,27.67,1506.63
1609.48,112.4,28.0,1523.6801
1628.89,114.5,28.82,1540.75
1647.98,114.0,28.74,1557.48
1667.05,113.6,28.19,1574.25
1686.19,113.0,27.86,1591.14
1705.4,112.7,27.32,1608.17
1724.46,112.4,27.09,1625.12
1743.41,112.0,26.88,1642.01
1762.92,112.0,26.78,1659.42
1782.04,111.7,26.63,1676.5
1801.1,111.3,26.5,1693.55
1819.85,110.7,26.27,1710.34
1838.91,110.5,26.02,1727.45
1858.05,110.4,25.77,1744.67
1877.16,110.3,25.38,1761.91
1896.25,110.0,24.89,1779.1899
1908.18,109.6,24.66,1790.02
