DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
57.6072,8.5,,,,,47.8987,,,,,,,,584.0706
57.7596,8.5,,,,,48.2253,,,,,,,,584.3919
57.912,8.5,,,,,48.5519,,,,,,,,584.7131
58.0644,8.5,,,,,48.4085,,,,,,,,585.1194
58.2168,8.5,,,,,47.6229,,,,,,,,585.6416
58.3692,8.5,,,,,46.8373,,,,,,,,586.1638
58.5216,8.5,,,,,46.3327,,,,,,,,586.5631
58.674,8.5,,,,,47.5297,,,,,,,,586.2178
58.8264,8.5,,,,,48.7267,,,,,,,,585.8725
58.9788,8.5,,,,,49.9237,,,,,,,,585.5272
59.1312,8.5,,,,,49.6948,,,,,,,,585.9906
59.2836,8.5,,,,,49.2356,,,,,,,,586.5847
59.436,8.5,,,,,48.7763,,,,,,,,587.1788
59.5884,8.5,,,,,48.481,,,,,,,,587.2703
59.7408,8.5,,,,,48.3043,,,,,,,,586.9981
59.8932,8.5,,,,,48.1276,,,,,,,,586.7259
60.0456,8.5,,,,,48.5569,,,,,,,,586.7369
60.198,8.5,,,,,50.4055,,,,,,,,587.4114
60.3504,8.5,,,,,52.254,,,,,,,,588.0858
60.5028,8.5,,,,,54.0417,,,,,,,,588.7173
60.6552,8.5,,,,,52.5749,,,,,,,,587.0551
60.8076,8.5,,,,,51.1081,,,,,,,,585.3929
60.96,8.5,,,,,49.6413,,,,,,,,583.7307
61.1124,8.5,,,,,49.8737,,,,,,,,583.0861
61.2648,8.5,,,,,50.7107,,,,,,,,582.8036
61.4172,8.5,,,,,51.5477,,,,,,,,582.5212
61.5696,8.5,,,,,51.3039,,,,,,,,583.054
61.722,8.5,,,,,49.7743,,,,,,,,584.5568
61.8744,8.5,,,,,48.2446,,,,,,,,586.0595
62.0268,8.5,,,,,47.1182,,,,,,,,587.2175
62.1792,8.5,,,,,47.8815,,,,,,,,586.7601
62.3316,8.5,,,,,48.6449,,,,,,,,586.3027
62.484,8.5,,,,,49.4082,,,,,,,,585.8453
62.6364,8.5,,,,,48.6314,,,,,,,,585.9299
62.7888,8.5,,,,,47.674,,,,,,,,586.0781
62.9412,8.5,,,,,46.7166,,,,,,,,586.2262
63.0936,8.5,,,,,46.9948,,,,,,,,586.1169
63.246,8.5,,,,,48.0492,,,,,,,,585.846
63.3984,8.5,,,,,49.1037,,,,,,,,585.575
63.5508,8.5,,,,,49.4731,,,,,,,,585.9471
63.7032,8.5,,,,,48.4725,,,,,,,,587.6054
63.8556,8.5,,,,,47.4719,,,,,,,,589.2637
64.008,8.5,,,,,46.5559,,,,,,,,590.7711
64.1604,8.5,,,,,47.1669,,,,,,,,589.5521
64.3128,8.5,,,,,47.778,,,,,,,,588.3331
64.4652,8.5,,,,,48.389,,,,,,,,587.1141
64.6176,8.5,,,,,47.9812,,,,,,,,586.8715
64.77,8.5,,,,,47.272,,,,,,,,586.9177
64.9224,8.5,,,,,46.5628,,,,,,,,586.964
65.0748,8.5,,,,,46.6083,,,,,,,,587.1191
65.2272,8.5,,,,,47.4367,,,,,,,,587.3871
65.3796,8.5,,,,,48.2651,,,,,,,,587.6552
65.532,8.5,,,,,49.4961,,,,,,,,587.7893
65.6844,8.5,,,,,52.242,,,,,,,,587.42
65.8368,8.5,,,,,54.9879,,,,,,,,587.0507
65.9892,8.5,,,,,57.7338,,,,,,,,586.6813
66.1416,8.5,,,,,57.1583,,,,,,,,585.8097
66.294,8.5,,,,,56.3295,,,,,,,,584.8998
66.4464,8.5,,,,,55.5007,,,,,,,,583.9899
66.5988,8.5,,,,,54.2055,,,,,,,,583.8214
66.7512,8.5,,,,,52.6572,,,,,,,,584.055
66.9036,8.5,,,,,51.109,,,,,,,,584.2886
67.056,8.5,,,,,49.6894,,,,,,,,584.3151
67.2084,8.5,,,,,48.4911,,,,,,,,583.9851
67.3608,8.5,,,,,47.2927,,,,,,,,583.6551
67.5132,8.5,,,,,46.3081,,,,,,,,583.364
67.6656,8.5,,,,,47.5767,,,,,,,,583.4833
67.818,8.5,,,,,48.8452,,,,,,,,583.6026
67.9704,8.5,,,,,50.1138,,,,,,,,583.7219
68.1228,8.5,,,,,49.5484,,,,,,,,584.4431
68.2752,8.5,,,,,48.5409,,,,,,,,585.3094
68.4276,8.5,,,,,47.5334,,,,,,,,586.1757
68.58,8.5,,,,,47.4408,,,,,,,,586.0746
68.7324,8.5,,,,,48.1763,,,,,,,,585.0979
68.8848,8.5,,,,,48.9117,,,,,,,,584.1213
69.0372,8.5,,,,,49.4442,,,,,,,,583.3784
69.1896,8.5,,,,,49.3481,,,,,,,,583.3592
69.342,8.5,,,,,49.252,,,,,,,,583.3401
69.4944,8.5,,,,,49.1559,,,,,,,,583.321
69.6468,8.5,,,,,50.7428,,,,,,,,583.4064
69.7992,8.5,,,,,52.3939,,,,,,,,583.4958
69.9516,8.5,,,,,54.045,,,,,,,,583.5853
70.104,8.5,,,,,53.4383,,,,,,,,583.704
70.2564,8.5,,,,,51.7809,,,,,,,,583.8362
70.4088,8.5,,,,,50.1235,,,,,,,,583.9684
70.5612,8.5,,,,,48.8147,,,,,,,,584.2362
70.7136,8.5,,,,,48.0256,,,,,,,,584.7059
70.866,8.5,,,,,47.2364,,,,,,,,585.1757
71.0184,8.5,,,,,46.7123,,,,,,,,585.731
71.1708,8.5,,,,,48.1186,,,,,,,,586.9101
71.3232,8.5,,,,,49.525,,,,,,,,588.0891
71.4756,8.5,,,,,50.9314,,,,,,,,589.2681
71.628,8.5,,,,,51.563,,,,,,,,589.4497
71.7804,8.5,,,,,52.0469,,,,,,,,589.4412
71.9328,8.5,,,,,52.5308,,,,,,,,589.4327
72.0852,8.5,,,,,53.87,,,,,,,,589.1074
72.2376,8.5,,,,,55.8839,,,,,,,,588.5323
72.39,8.5,,,,,57.8977,,,,,,,,587.9572
72.5424,8.5,,,,,59.1651,,,,,,,,587.5278
72.6948,8.5,,,,,58.4959,,,,,,,,587.4766
72.8472,8.5,,,,,57.8268,,,,,,,,587.4254
72.9996,8.5,,,,,57.1576,,,,,,,,587.3741
73.152,8.5,,,,,56.6022,,,,,,,,588.2714
73.3044,8.5,,,,,56.0471,,,,,,,,589.1712
73.4568,8.5,,,,,55.492,,,,,,,,590.071
73.6092,8.5,,,,,56.3528,,,,,,,,590.2773
73.7616,8.5,,,,,57.7739,,,,,,,,590.2094
73.914,8.5,,,,,59.195,,,,,,,,590.1415
74.0664,8.5,,,,,59.6516,,,,,,,,590.2201
74.2188,8.5,,,,,58.8593,,,,,,,,590.4884
74.3712,8.5,,,,,58.067,,,,,,,,590.7568
74.5236,8.5,,,,,57.4684,,,,,,,,591.0013
74.676,8.5,,,,,57.9271,,,,,,,,591.1159
74.8284,8.5,,,,,58.3858,,,,,,,,591.2305
74.9808,8.5,,,,,58.8446,,,,,,,,591.3451
75.1332,8.5,,,,,59.2919,,,,,,,,592.1141
75.2856,8.5,,,,,59.7375,,,,,,,,592.9775
75.438,8.5,,,,,60.1831,,,,,,,,593.8409
75.5904,8.5,,,,,59.283,,,,,,,,594.1292
75.7428,8.5,,,,,57.46,,,,,,,,594.0231
75.8952,8.5,,,,,55.6371,,,,,,,,593.917
