DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
1248.6132,8.5,8.3542,2.4025,0.0124,90.5754,106.5287,0.314815,0.315273,3.1189,9.192,8.9301,-442.7778,42.9537,1451.4532
1248.7656,8.5,8.3247,2.4025,0.0124,90.5754,105.5438,0.309837,0.310589,3.1189,9.1796,8.933,-443.2556,42.9537,1432.2899
1248.918,8.5,8.2952,2.4025,0.0124,90.5754,104.559,0.304859,0.305904,3.1189,9.1672,8.9359,-443.7334,42.9537,1413.1266
1249.0704,8.5,8.2835,2.4025,0.0124,90.3589,103.2984,0.296748,0.297552,3.1189,9.2138,8.9913,-444.1903,42.9537,1411.8606
1249.2228,8.5,8.2924,2.4025,0.0124,89.8902,101.7166,0.284988,0.284929,3.1189,9.3289,9.1079,-444.623,42.9537,1431.4408
1249.3752,8.5,8.3014,2.4025,0.0124,89.4214,100.1349,0.273228,0.272307,3.1189,9.4441,9.2245,-445.0557,42.9537,1451.0211
1249.5276,8.5,8.3153,2.4029,0.0135292,89.4024,99.2199,0.267251,0.265717,3.1174,9.5039,9.2932,-445.4682,42.9537,1464.569
1249.68,8.5,8.3521,2.4048,0.0197641,91.4168,101.3201,0.287419,0.286407,3.1091,9.3133,9.1456,-445.7898,42.9537,1450.8397
1249.8324,8.5,8.3889,2.4068,0.025999,93.4313,103.4202,0.307586,0.307097,3.1008,9.1227,8.998,-446.1113,42.9537,1437.1106
1249.9848,8.5,8.4257,2.4088,0.032234,95.4457,105.5204,0.327754,0.327788,3.0925,8.9321,8.8504,-446.4328,42.9537,1423.3813
1250.1372,8.5,8.4216,2.4078,0.0300414,96.2176,107.3669,0.323732,0.323732,3.1107,8.8362,8.7535,-446.8769,42.9537,1432.0288
1250.2896,8.5,8.413,2.4064,0.0269151,96.8518,109.1854,0.31703,0.316935,3.1318,8.7507,8.6621,-447.3345,42.9537,1443.1553
1250.442,8.5,8.4045,2.4051,0.0237888,97.486,111.0038,0.310328,0.310138,3.1529,8.6652,8.5708,-447.7921,42.9537,1454.2816
1250.5944,8.5,8.4194,2.4054,0.0231042,97.773,111.3475,0.309679,0.309363,3.1702,8.6279,8.5459,-448.0583,42.9537,1455.3059
1250.7468,8.5,8.4487,2.4069,0.0239198,97.8468,110.785,0.312748,0.312287,3.1851,8.6201,8.5618,-448.2069,42.9537,1450.1233
1250.8992,8.5,8.478,2.4084,0.0247353,97.9205,110.2225,0.315817,0.315212,3.2,8.6123,8.5777,-448.3556,42.9537,1444.9408
1251.0516,8.5,8.509,2.4095,0.0232529,97.8794,109.9255,0.315907,0.315186,3.1928,8.5956,8.5794,-448.3937,42.9537,1441.1116
1251.204,8.5,8.5432,2.4101,0.0172815,97.614,110.1469,0.310175,0.309395,3.1427,8.5616,8.5532,-448.2162,42.9537,1439.926
