DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
0.0,,,,,,,,,,,,,19.7,
0.1524,,,,,,,,,,,,,19.7072,
0.3048,,,,,,,,,,,,,19.7144,
0.4572,,,,,,,,,,,,,19.7217,
0.6096,,,,,,,,,,,,,19.7289,
0.762,,,,,,,,,,,,,19.7361,
0.9144,,,,,,,,,,,,,19.7433,
1.0668,,,,,,,,,,,,,19.7506,
1.2192,,,,,,,,,,,,,19.7578,
1.3716,,,,,,,,,,,,,19.765,
1.524,,,,,,,,,,,,,19.7722,
1.6764,,,,,,,,,,,,,19.7795,
1.8288,,,,,,,,,,,,,19.7867,
1.9812,,,,,,,,,,,,,19.7939,
2.1336,,,,,,,,,,,,,19.8011,
2.286,,,,,,,,,,,,,19.8084,
2.4384,,,,,,,,,,,,,19.8156,
2.5908,,,,,,,,,,,,,19.8228,
2.7432,,,,,,,,,,,,,19.8301,
2.8956,,,,,,,,,,,,,19.8373,
3.048,,,,,,,,,,,,,19.8445,
3.2004,,,,,,,,,,,,,19.8517,
3.3528,,,,,,,,,,,,,19.8589,
3.5052,,,,,,,,,,,,,19.8662,
3.6576,,,,,,,,,,,,,19.8734,
3.81,,,,,,,,,,,,,19.8806,
3.9624,,,,,,,,,,,,,19.8879,
4.1148,,,,,,,,,,,,,19.8951,
4.2672,,,,,,,,,,,,,19.9023,
4.4196,,,,,,,,,,,,,19.9095,
4.572,,,,,,,,,,,,,19.9168,
4.7244,,,,,,,,,,,,,19.924,
4.8768,,,,,,,,,,,,,19.9312,
5.0292,,,,,,,,,,,,,19.9384,
5.1816,,,,,,,,,,,,,19.9457,
5.334,,,,,,,,,,,,,19.9529,
5.4864,,,,,,,,,,,,,19.9601,
5.6388,,,,,,,,,,,,,19.9673,
5.7912,,,,,,,,,,,,,19.9746,
5.9436,,,,,,,,,,,,,19.9818,
6.096,,,,,,,,,,,,,19.989,
6.2484,,,,,,,,,,,,,19.9962,
6.4008,,,,,,,,,,,,,20.0035,
6.5532,,,,,,,,,,,,,20.0107,
6.7056,,,,,,,,,,,,,20.0179,
6.858,,,,,,,,,,,,,20.0251,
7.0104,,,,,,,,,,,,,20.0324,
7.1628,,,,,,,,,,,,,20.0396,
7.3152,,,,,,,,,,,,,20.0468,
7.4676,,,,,,,,,,,,,20.0541,
7.62,,,,,,,,,,,,,20.0613,
7.7724,,,,,,,,,,,,,20.0685,
7.9248,,,,,,,,,,,,,20.0757,
8.0772,,,,,,,,,,,,,20.0829,
8.2296,,,,,,,,,,,,,20.0902,
8.382,,,,,,,,,,,,,20.0974,
8.5344,,,,,,,,,,,,,20.1046,
8.6868,,,,,,,,,,,,,20.1119,
8.8392,,,,,,,,,,,,,20.1191,
8.9916,,,,,,,,,,,,,20.1263,
9.144,,,,,,,,,,,,,20.1335,
9.2964,,,,,,,,,,,,,20.1408,
9.4488,,,,,,,,,,,,,20.148,
9.6012,,,,,,,,,,,,,20.1552,
9.7536,,,,,,,,,,,,,20.1624,
9.906,,,,,,,,,,,,,20.1696,
10.0584,,,,,,,,,,,,,20.1769,
10.2108,,,,,,,,,,,,,20.1841,
10.3632,,,,,,,,,,,,,20.1913,
10.5156,,,,,,,,,,,,,20.1985,
10.668,,,,,,,,,,,,,20.2058,
10.8204,,,,,,,,,,,,,20.213,
10.9728,,,,,,,,,,,,,20.2202,
11.1252,,,,,,,,,,,,,20.2274,
11.2776,,,,,,,,,,,,,20.2347,
11.43,,,,,,,,,,,,,20.2419,
11.5824,,,,,,,,,,,,,20.2491,
11.7348,,,,,,,,,,,,,20.2564,
11.8872,,,,,,,,,,,,,20.2636,
12.0396,,,,,,,,,,,,,20.2708,
12.192,,,,,,,,,,,,,20.278,
12.3444,,,,,,,,,,,,,20.2853,
12.4968,,,,,,,,,,,,,20.2925,
12.6492,,,,,,,,,,,,,20.2997,
12.8016,,,,,,,,,,,,,20.3069,
12.954,,,,,,,,,,,,,20.3142,
13.1064,,,,,,,,,,,,,20.3214,
13.2588,,,,,,,,,,,,,20.3286,
13.4112,,,,,,,,,,,,,20.3358,
13.5636,,,,,,,,,,,,,20.3431,
13.716,,,,,,,,,,,,,20.3503,
13.8684,,,,,,,,,,,,,20.3575,
14.0208,,,,,,,,,,,,,20.3647,
14.1732,,,,,,,,,,,,,20.372,
14.3256,,,,,,,,,,,,,20.3792,540.3419
14.478,,,,,,,,,,,,,20.3864,523.4456
14.6304,,,,,,,,,,,,,20.3936,525.6002
14.7828,,,,,,,,,,,,,20.4009,507.3885
14.9352,,,,,,,,,,,,,20.4081,515.1676
15.0876,,,,,,,,,,,,,20.4153,522.8105
15.24,,,,,,,,,,,,,20.4226,543.313
15.3924,,,,,,,,,,,,,20.4298,509.1574
15.5448,,,,,,,,,,,,,20.437,486.9768
15.6972,,,,,,,,,,,,,20.4442,492.057
15.8496,,,,,,,,,,,,,20.4514,516.9139
16.002,,,,,,,,,,,,,20.4587,496.9104
16.1544,,,,,,,,,,,,,20.4659,477.1792
16.3068,,,,,,,,,,,,,20.4731,499.4052
16.4592,,,,,,,,,,,,,20.4804,499.8588
16.6116,,,,,,,,,,,,,20.4876,493.1455
16.764,,,,,,,,,,,,,20.4948,486.4779
16.9164,,,,,,,,,,,,,20.502,485.7974
17.0688,,,,,,,,,,,,,20.5092,481.5337
17.2212,,,,,,,,,,,,,20.5165,482.5089
17.3736,,,,,,,,,,,,,20.5237,497.9537
17.526,,,,,,,,,,,,,20.5309,486.2511
17.6784,,,,,,,,,,,,,20.5382,500.3124
17.8308,,,,,,,,,,,,,20.5454,510.1403
17.9832,,,,,,,,,,,,,20.5526,498.4981
18.1356,,,,,,,,,,,,,20.5598,514.525
18.288,,,,,,,,,,,,,20.5671,497.4396
18.4404,,,,,,,,,,,,,20.5743,496.3812
18.5928,,,,,,,,,,,,,20.5815,504.6971
18.7452,,,,,,,,,,,,,20.5887,489.8798
18.8976,,,,,,,,,,,,,20.5959,502.7315
19.05,,,,,,,,,,,,,20.6032,512.1058
19.2024,,,,,,,,,,,,,20.6104,487.7251
19.3548,,,,,,,,,,,,,20.6176,511.312
19.5072,,,,,,,,,,,,,20.6249,491.543
19.6596,,,,,,,,,,,,,20.6321,497.5908
19.812,,,,,,,,,,,,,20.6393,495.1717
19.9644,,,,,,,,,,,,,20.6465,495.1717
20.1168,,,,,,,,,,,,,20.6538,491.8453
20.2692,,,,,,,,,,,,,20.661,481.1104
20.4216,,,,,,,,,,,,,20.6682,460.6986
20.574,,,,,,,,,,,,,20.6754,477.9352
20.7264,,,,,,,,,,,,,20.6827,474.0041
20.8788,,,,,,,,,,,,,20.6899,457.9771
