DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,RESD,RESS,SP,TEMP,TENS
88.0872,12.25,,,,,,,,,,,28.2522,539.8798
88.2396,12.25,,,,,,,,,,,28.2522,539.7496
88.392,12.25,,,,,,,,,,,28.2522,539.6195
88.5444,12.25,,,,,,,,,,,28.2522,539.8581
88.6968,12.25,,,,,,,,,,,28.2522,540.9935
88.8492,12.25,,,,,,,,,,,28.2522,542.129
89.0016,12.25,,,,,,,,,,,28.2522,543.2327
89.154,12.25,,,,,,,,,,,28.2522,541.345
89.3064,12.25,,,,,,,,,,,28.2522,539.4573
89.4588,12.25,,,,,,,,,,,28.2522,537.5696
89.6112,12.25,,,,,,,,,,,28.2522,535.6591
89.7636,12.25,,,,,,,,,,,28.2522,533.7402
89.916,12.25,,,,,,,,,,,28.2522,531.8214
90.0684,12.25,,,,,,,,,,,28.2522,531.3638
90.2208,12.25,,,,,,,,,,,28.2522,532.7009
90.3732,12.25,,,,,,,,,,,28.2522,534.038
90.5256,12.25,,,,,,,,,,,28.2522,535.3475
90.678,12.25,,,,,,,,,,,28.2522,536.5209
90.8304,12.25,,,,,,,,,,,28.2522,537.6944
90.9828,12.25,,,,,,,,,,,28.2522,538.8679
91.1352,12.25,,,,,,,,,,,28.2522,539.7972
91.2876,12.25,,,,,,,,,,,28.2522,540.6954
91.44,12.25,,,,,,,,,,,28.2522,541.5936
91.5924,12.25,,,,,,,,,,,28.2522,541.707
91.7448,12.25,,,,,,,,,,,28.2522,541.3106
91.8972,12.25,,,,,,,,,,,28.2522,540.9142
92.0496,12.25,,,,,,,,,,,28.2522,540.2906
92.202,12.25,,,,,,,,,,,28.2522,539.1958
92.3544,12.25,,,,,,,,,,,28.2522,538.1011
92.5068,12.25,,,,,,,,,,,28.2522,537.0527
92.6592,12.25,,,,,,,,,,,28.2522,536.9997
92.8116,12.25,,,,,,,,,,,28.2522,536.9467
92.964,12.25,,,,,,,,,,,28.2522,536.8936
93.1164,12.25,,,,,,,,,,,28.2522,538.1534
93.2688,12.25,,,,,,,,,,,28.2522,539.8193
93.4212,12.25,,,,,,,,,,,28.2522,541.4852
93.5736,12.25,,,,,,,,,,,28.2522,542.3595
93.726,12.25,,,,,,,,,,,28.2522,542.3862
93.8784,12.25,,,,,,,,,,,28.2522,542.413
94.0308,12.25,,,,,,,,,,,28.2522,542.1441
94.1832,12.25,,,,,,,,,,,28.2522,540.7079
94.3356,12.25,,,,,,,,,,,28.2522,539.2718
94.488,12.25,,,,,,,,,,,28.2522,537.8357
94.6404,12.25,,,,,,,,,,,28.2522,540.1674
94.7928,12.25,,,,,,,,,,,28.2522,542.8211
94.9452,12.25,,,,,,,,,,,28.2522,545.4749
95.0976,12.25,,,,,,,,,,,28.2522,546.0458
95.25,12.25,,,,,,,,,,,28.2522,545.4473
95.4024,12.25,,,,,,,,,,,28.2522,544.8487
95.5548,12.25,,,,,,,,,,,28.2522,544.021
95.7072,12.25,,,,,,,,,,,28.2522,542.7852
95.8596,12.25,,,,,,,,,,,28.2522,541.5493
96.012,12.25,,,,,,,,,,,28.2522,540.3975
96.1644,12.25,,,,,,,,,,,28.2522,540.2296
96.3168,12.25,,,,,,,,,,,28.2522,540.0615
96.4692,12.25,,,,,,,,,,,28.2522,539.8935
96.6216,12.25,,,,,,,,,,,28.2522,540.1851
96.774,12.25,,,,,,,,,,,28.2522,540.5931
96.9264,12.25,,,,,,,,,,,28.2522,541.0011
97.0788,12.25,,,,,,,,,,,28.2522,541.8281
97.2312,12.25,,,,,,,,,,,28.2522,543.0466
97.3836,12.25,,,,,,,,,,,28.2522,544.2651
97.536,12.25,,,,,,,,,,,28.2522,545.0796
97.6884,12.25,,,,,,,,,,,28.2522,544.5876
97.8408,12.25,,,,,,,,,,,28.2522,544.0956
97.9932,12.25,,,,,,,,,,,28.2522,543.6037
98.1456,12.25,,,,,,,,,,,28.2522,544.3715
98.298,12.25,,,,,,,,,,,28.2522,545.1981
98.4504,12.25,,,,,,,,,,,28.2522,546.0248
98.6028,12.25,,,,,,,,,,,28.2522,545.8366
98.7552,12.25,,,,,,,,,,,28.2522,545.1588
98.9076,12.25,,,,,,,,,,,28.2522,544.4809
99.06,12.25,,,,,,,,,,,28.2522,543.1376
99.2124,12.25,,,,,,,,,,,28.2522,540.7695
99.3648,12.25,,,,,,,,,,,28.2522,538.4014
99.5172,12.25,,,,,,,,,,,28.2522,536.6597
99.6696,12.25,,,,,,,,,,,28.2522,539.8412
99.822,12.25,,,,,,,,,,,28.2522,543.0228
99.9744,12.25,,,,,,,,,,,28.2522,546.2044
100.1268,12.25,,,,,,,,,,,28.2522,546.4157
100.2792,12.25,,,,,,,,,,,28.2522,546.0273
100.4316,12.25,,,,,,,,,,,28.2522,545.639
100.584,12.25,,,,,,,,,,,28.2522,545.2045
100.7364,12.25,,,,,,,,,,,28.2522,544.7322
100.8888,12.25,,,,,,,,,,,28.2522,544.26
101.0412,12.25,,,,,,,,,,,28.2522,543.86
101.1936,12.25,,,,,,,,,,,28.2522,543.6547
101.346,12.25,,,,,,,,,,,28.2522,543.4494
101.4984,12.25,,,,,,,,,,,28.2522,543.2441
101.6508,12.25,,,,,,,,,,,28.2634,544.2265
101.8032,12.25,,,,,,,,,,,28.2748,545.2214
101.9556,12.25,,,,,,,,,,,28.2861,546.2164
102.108,12.25,,,,,,,,,,,28.295,545.7216
102.2604,12.25,,,,,,,,,,,28.3029,544.6144
102.4128,12.25,,,,,,,,,,,28.3109,543.5071
102.5652,12.25,,,,,,,,,,,28.3327,543.6661
102.7176,12.25,,,,,,,,,,,28.3732,545.5185
102.87,12.25,,,,,,,,,,,28.4137,547.3708
103.0224,12.25,,,,,,,,,,,28.4484,549.1161
103.1748,12.25,,,,,,,,,,,28.4495,550.2399
103.3272,12.25,,,,,,,,,,,28.4506,551.3636
103.4796,12.25,,,,,,,,,,,28.4517,552.4874
103.632,12.25,,,,,,,,,,,28.4518,550.2324
103.7844,12.25,,,,,,,,,,,28.4518,547.4553
103.9368,12.25,,,,,,,,,,,28.4518,544.6781
104.0892,12.25,,,,,,,,,,,28.4538,543.9269
104.2416,12.25,,,,,,,,,,,28.4573,544.6112
104.394,12.25,,,,,,,,,,,28.4607,545.2955
104.5464,12.25,,,,,,,,,,,28.4987,545.8894
104.6988,12.25,,,,,,,,,,,28.6155,546.277
104.8512,12.25,,,,,,,,,,,28.7323,546.6646
105.0036,12.25,,,,,,,,,,,28.8464,547.0188
105.156,12.25,,,,,,,,,,,28.8478,545.995
105.3084,12.25,,,,,,,,,,,28.8492,544.9712
105.4608,12.25,,,,,,,,,,,28.8506,543.9474
105.6132,12.25,,,,,,,,,,,28.851,544.6843
105.7656,12.25,,,,,,,,,,,28.851,546.0309
105.918,12.25,,,,,,,,,,,28.851,547.3775
106.0704,12.25,,,,,,,,,,,28.851,548.2053
106.2228,12.25,,,,,,,,,,,28.851,548.4286
106.3752,12.25,,,,,,,,,,,28.851,548.652
106.5276,12.25,,,,,,,,,,,28.851,548.6144
106.68,12.25,,,,,,,,,,,28.851,547.3973
106.8324,12.25,,,,,,,,,,,28.851,546.1801
106.9848,12.25,,,,,,,,,,,28.851,544.9628
107.1372,12.25,,,,,,,,,,,28.851,544.132
107.2896,12.25,,,,,,,,,,,28.851,543.3439
107.442,12.25,,,,,,,,,,,28.851,542.5558
107.5944,12.25,,,,,,,,,,,28.851,542.8691
107.7468,12.25,,,,,,,,,,,28.851,543.859
107.8992,12.25,,,,,,,,,,,28.851,544.849
108.0516,12.25,,,,,,,,,,,28.851,545.778
108.204,12.25,,,,,,,,,,,28.851,546.5877
108.3564,12.25,,,,,,,,,,,28.851,547.3975
108.5088,12.25,,,,,,,,,,,28.851,548.0922
108.6612,12.25,,,,,,,,,,,28.851,546.9092
108.8136,12.25,,,,,,,,,,,28.851,545.7262
108.966,12.25,,,,,,,,,,,28.851,544.5432
109.1184,12.25,,,,,,,,,,,28.851,544.2505
109.2708,12.25,,,,,,,,,,,28.851,544.2135
109.4232,12.25,,,,,,,,,,,28.851,544.1765
109.5756,12.25,,,,,,,,,,,28.851,544.4598
109.728,12.25,,,,,,,,,,,28.851,545.0687
109.8804,12.25,,,,,,,,,,,28.851,545.6776
110.0328,12.25,,,,,,,,,,,28.851,546.0714
110.1852,12.25,,,,,,,,,,,28.851,545.6813
110.3376,12.25,,,,,,,,,,,28.851,545.2912
110.49,12.25,,,,,,,,,,,28.851,544.9011
110.6424,12.25,,,,,,,,,,,28.851,546.2493
110.7948,12.25,,,,,,,,,,,28.851,547.7195
110.9472,12.25,,,,,,,,,,,28.851,549.1897
111.0996,12.25,,,,,,,,,,,28.851,549.825
111.252,12.25,,,,,,,,,,,28.851,550.0175
111.4044,12.25,,,,,,,,,,,28.851,550.2101
111.5568,12.25,,,,,,,,,,,28.851,549.8185
111.7092,12.25,,,,,,,,,,,28.851,548.444
111.8616,12.25,,,,,,,,,,,28.851,547.0694
112.014,12.25,,,,,,,,,,,28.851,545.7808
112.1664,12.25,,,,,,,,,,,28.851,545.3415
