DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
764.1336,,,,,,,,,,,,,20.0028,
764.286,,,,,,,,,,,,,20.006,
764.4384,,,,,,,,,,,,,20.0092,
764.5908,,,,,,,,,,,,,20.0124,
764.7432,,,,,,,,,,,,,20.0156,
764.8956,,,,,,,,,,,,,20.0187,
765.048,,,,,,,,,,,,,20.0219,
765.2004,,,,,,,,,,,,,20.0251,
765.3528,,,,,,,,,,,,,20.0283,
765.5052,,,,,,,,,,,,,20.0315,
765.6576,,,,,,,,,,,,,20.0347,
765.81,,,,,,,,,,,,,20.0379,
765.9624,,,,,,,,,,,,,20.0411,
766.1148,,,,,,,,,,,,,20.0443,
766.2672,,,,,,,,,,,,,20.0475,
766.4196,,,,,,,,,,,,,20.0507,
766.572,,,,,,,,,,,,,20.0539,
766.7244,,,,,,,,,,,,,20.0571,
766.8768,,,,,,,,,,,,,20.0603,
767.0292,,,,,,,,,,,,,20.0635,
767.1816,,,,,,,,,,,,,20.0667,
767.334,,,,,,,,,,,,,20.0699,
767.4864,,,,,,,,,,,,,20.0731,
767.6388,,,,,,,,,,,,,20.0763,
767.7912,,,,,,,,,,,,,20.0795,
767.9436,,,,,,,,,,,,,20.0826,
768.096,,,,,,,,,,,,,20.0858,
768.2484,,,,,,,,,,,,,20.089,
768.4008,,,,,,,,,,,,,20.0923,
768.5532,,,,,,,,,,,,,20.0954,
768.7056,,,,,,,,,,,,,20.0986,
768.858,,,,,,,,,,,,,20.1019,
769.0104,,,,,,,,,,,,,20.105,
769.1628,,,,,,,,,,,,,20.1082,
769.3152,,,,,,,,,,,,,20.1115,
769.4676,,,,,,,,,,,,,20.1147,
769.62,,,,,,,,,,,,,20.1179,
769.7724,,,,,,,,,,,,,20.1211,
769.9248,,,,,,,,,,,,,20.1243,
770.0772,,,,,,,,,,,,,20.1275,
770.2296,,,,,,,,,,,,,20.1307,
770.382,,,,,,,,,,,,,20.1339,
770.5344,,,,,,,,,,,,,20.1371,
770.6868,,,,,,,,,,,,,20.1403,
770.8392,,,,,,,,,,,,,20.1435,
770.9916,,,,,,,,,,,,,20.1467,
771.144,,,,,,,,,,,,,20.1499,
771.2964,,,,,,,,,,,,,20.1531,
771.4488,,,,,,,,,,,,,20.1563,
771.6012,,,,,,,,,,,,,20.1595,
771.7536,,,,,,,,,,,,,20.1627,
771.906,,,,,,,,,,,,,20.166,
772.0584,,,,,,,,,,,,,20.1691,
772.2108,,,,,,,,,,,,,20.1724,
772.3632,,,,,,,,,,,,,20.1756,
772.5156,,,,,,,,,,,,,20.1788,
772.668,,,,,,,,,,,,,20.182,
772.8204,,,,,,,,,,,,,20.1852,
772.9728,,,,,,,,,,,,,20.1884,
773.1252,,,,,,,,,,,,,20.1916,
773.2776,,,,,,,,,,,,,20.1948,
773.43,,,,,,,,,,,,,20.198,
773.5824,,,,,,,,,,,,,20.2013,
773.7348,,,,,,,,,,,,,20.2045,
773.8872,,,,,,,,,,,,,20.2077,
774.0396,,,,,,,,,,,,,20.2109,
774.192,,,,,,,,,,,,,20.2141,
774.3444,,,,,,,,,,,,,20.2173,
774.4968,,,,,,,,,,,,,20.2205,
774.6492,,,,,,,,,,,,,20.2238,
774.8016,,,,,,,,,,,,,20.227,
774.954,,,,,,,,,,,,,20.2302,
775.1064,,,,,,,,,,,,,20.2334,
775.2588,,,,,,,,,,,,,20.2366,
775.4112,,,,,,,,,,,,,20.2398,
775.5636,,,,,,,,,,,,,20.243,
775.716,,,,,,,,,,,,,20.2463,
775.8684,,,,,,,,,,,,,20.2495,
776.0208,,,,,,,,,,,,,20.2527,
776.1732,,,,,,,,,,,,,20.2559,
776.3256,,,,,,,,,,,,,20.2591,
776.478,,,,,,,,,,,,,20.2624,
776.6304,,,,,,,,,,,,,20.2656,
776.7828,,,,,,,,,,,,,20.2688,
776.9352,,,,,,,,,,,,,20.272,
777.0876,,,,,,,,,,,,,20.2752,
777.24,,,,,,,,,,,,,20.2785,
777.3924,,,,,,,,,,,,,20.2817,
777.5448,,,,,,,,,,,,,20.2849,
777.6972,,,,,,,,,,,,,20.2881,
777.8496,,,,,,,,,,,,,20.2914,
778.002,,,,,,,,,,,,,20.2946,
778.1544,,,,,,,,,,,,,20.2978,
778.3068,,,,,,,,,,,,,20.301,
778.4592,,,,,,,,,,,,,20.3043,
778.6116,,,,,,,,,,,,,20.3075,
778.764,,,,,,,,,,,,,20.3107,
778.9164,,,,,,,,,,,,,20.3139,
779.0688,,,,,,,,,,,,,20.3172,
779.2212,,,,,,,,,,,,,20.3204,
779.3736,,,,,,,,,,,,,20.3236,
779.526,,,,,,,,,,,,,20.3268,
779.6784,,,,,,,,,,,,,20.3301,
779.8308,,,,,,,,,,,,,20.3333,
779.9832,,,,,,,,,,,,,20.3365,
780.1356,,,,,,,,,,,,,20.3397,
780.288,,,,,,,,,,,,,20.343,
780.4404,,,,,,,,,,,,,20.3462,
780.5928,,,,,,,,,,,,,20.3494,
780.7452,,,,,,,,,,,,,20.3527,
780.8976,,,,,,,,,,,,,20.3559,
781.05,,,,,,,,,,,,,20.3591,
781.2024,,,,,,,,,,,,,20.3624,
781.3548,,,,,,,,,,,,,20.3656,
781.5072,,,,,,,,,,,,,20.3688,
781.6596,,,,,,,,,,,,,20.372,
781.812,,,,,,,,,,,,,20.3753,
781.9644,,,,,,,,,,,,,20.3785,
782.1168,,,,,,,,,,,,,20.3817,
782.2692,,,,,,,,,,,,,20.385,
782.4216,,,,,,,,,,,,,20.3882,
782.574,,,,,,,,,,,,,20.3914,
782.7264,,,,,,,,,,,,,20.3947,
782.8788,,,,,,,,,,,,,20.3979,
783.0312,,,,,,,,,,,,,20.4011,
783.1836,,,,,,,,,,,,,20.4044,
783.336,,,,,,,,,,,,,20.4076,
783.4884,,,,,,,,,,,,,20.4109,
783.6408,,,,,,,,,,,,,20.4141,
783.7932,,,,,,,,,,,,,20.4173,
783.9456,,,,,,,,,,,,,20.4206,
784.098,,,,,,,,,,,,,20.4238,
784.2504,,,,,,,,,,,,,20.427,
784.4028,,,,,,,,,,,,,20.4303,
784.5552,,,,,,,,,,,,,20.4335,
784.7076,,,,,,,,,,,,,20.4368,
784.86,,,,,,,,,,,,,20.44,
785.0124,,,,,,,,,,,,,20.4432,
785.1648,,,,,,,,,,,,,20.4465,
785.3172,,,,,,,,,,,,,20.4497,
785.4696,,,,,,,,,,,,,20.453,
785.622,,,,,,,,,,,,,20.4562,
785.7744,,,,,,,,,,,,,20.4594,
785.9268,,,,,,,,,,,,,20.4627,
786.0792,,,,,,,,,,,,,20.4659,
786.2316,,,,,,,,,,,,,20.4692,
786.384,,,,,,,,,,,,,20.4724,
786.5364,,,,,,,,,,,,,20.4757,
786.6888,,,,,,,,,,,,,20.4789,
786.8412,,,,,,,,,,,,,20.4821,
786.9936,,,,,,,,,,,,,20.4854,
787.146,,,,,,,,,,,,,20.4886,
787.2984,,,,,,,,,,,,,20.4919,
787.4508,,,,,,,,,,,,,20.4951,
787.6032,,,,,,,,,,,,,20.4984,
787.7556,,,,,,,,,,,,,20.5016,
787.908,,,,,,,,,,,,,20.5049,
788.0604,,,,,,,,,,,,,20.5081,
788.2128,,,,,,,,,,,,,20.5114,
788.3652,,,,,,,,,,,,,20.5146,
788.5176,,,,,,,,,,,,,20.5179,
788.67,,,,,,,,,,,,,20.5211,
788.8224,,,,,,,,,,,,,20.5244,
788.9748,,,,,,,,,,,,,20.5276,
789.1272,,,,,,,,,,,,,20.5309,
789.2796,,,,,,,,,,,,,20.5341,
789.432,,,,,,,,,,,,,20.5374,
789.5844,,,,,,,,,,,,,20.5406,
789.7368,,,,,,,,,,,,,20.5439,
789.8892,,,,,,,,,,,,,20.5471,
790.0416,,,,,,,,,,,,,20.5504,
790.194,,,,,,,,,,,,,20.5536,
790.3464,,,,,,,,,,,,,20.5569,
790.4988,,,,,,,,,,,,,20.5601,
790.6512,,,,,,,,,,,,,20.5634,
790.8036,,,,,,,,,,,,,20.5666,
790.956,,,,,,,,,,,,,20.5699,
791.1084,,,,,,,,,,,,,20.5731,
791.2608,,,,,,,,,,,,,20.5764,
791.4132,,,,,,,,,,,,,20.5797,
791.5656,,,,,,,,,,,,,20.5829,
791.718,,,,,,,,,,,,,20.5862,
791.8704,,,,,,,,,,,,,20.5894,
792.0228,,,,,,,,,,,,,20.5927,
792.1752,,,,,,,,,,,,,20.5959,
792.3276,,,,,,,,,,,,,20.5992,
792.48,,,,,,,,,,,,,20.6025,
792.6324,,,,,,,,,,,,,20.6057,
792.7848,,,,,,,,,,,,,20.609,
792.9372,,,,,,,,,,,,,20.6123,
793.0896,,,,,,,,,,,,,20.6155,
793.242,,,,,,,,,,,,,20.6188,
793.3944,,,,,,,,,,,,,20.622,
793.5468,,,,,,,,,,,,,20.6253,
793.6992,,,,,,,,,,,,,20.6286,
793.8516,,,,,,,,,,,,,20.6318,
794.004,,,,,,,,,,,,,20.6351,
794.1564,,,,,,,,,,,,,20.6384,
