DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
0.0,,,,,,,,,,,,,17.0,
0.1524,,,,,,,,,,,,,17.0056,
0.3048,,,,,,,,,,,,,17.0112,
0.4572,,,,,,,,,,,,,17.0169,
0.6096,,,,,,,,,,,,,17.0225,
0.762,,,,,,,,,,,,,17.0281,
0.9144,,,,,,,,,,,,,17.0337,
1.0668,,,,,,,,,,,,,17.0393,
1.2192,,,,,,,,,,,,,17.045,
1.3716,,,,,,,,,,,,,17.0506,
1.524,,,,,,,,,,,,,17.0562,
1.6764,,,,,,,,,,,,,17.0618,
1.8288,,,,,,,,,,,,,17.0674,
1.9812,,,,,,,,,,,,,17.0731,
2.1336,,,,,,,,,,,,,17.0787,
2.286,,,,,,,,,,,,,17.0843,
2.4384,,,,,,,,,,,,,17.0899,
2.5908,,,,,,,,,,,,,17.0956,
2.7432,,,,,,,,,,,,,17.1012,
2.8956,,,,,,,,,,,,,17.1068,
3.048,,,,,,,,,,,,,17.1124,
3.2004,,,,,,,,,,,,,17.118,
3.3528,,,,,,,,,,,,,17.1236,
3.5052,,,,,,,,,,,,,17.1293,
3.6576,,,,,,,,,,,,,17.1349,
3.81,,,,,,,,,,,,,17.1405,
3.9624,,,,,,,,,,,,,17.1461,
4.1148,,,,,,,,,,,,,17.1518,
4.2672,,,,,,,,,,,,,17.1574,
4.4196,,,,,,,,,,,,,17.163,
4.572,,,,,,,,,,,,,17.1686,
4.7244,,,,,,,,,,,,,17.1742,
4.8768,,,,,,,,,,,,,17.1799,
5.0292,,,,,,,,,,,,,17.1855,
5.1816,,,,,,,,,,,,,17.1911,
5.334,,,,,,,,,,,,,17.1967,
5.4864,,,,,,,,,,,,,17.2023,
5.6388,,,,,,,,,,,,,17.208,
5.7912,,,,,,,,,,,,,17.2136,
5.9436,,,,,,,,,,,,,17.2192,
6.096,,,,,,,,,,,,,17.2248,
6.2484,,,,,,,,,,,,,17.2304,
6.4008,,,,,,,,,,,,,17.2361,
6.5532,,,,,,,,,,,,,17.2417,
6.7056,,,,,,,,,,,,,17.2473,
6.858,,,,,,,,,,,,,17.2529,
7.0104,,,,,,,,,,,,,17.2585,
7.1628,,,,,,,,,,,,,17.2642,
7.3152,,,,,,,,,,,,,17.2698,
7.4676,,,,,,,,,,,,,17.2754,
7.62,,,,,,,,,,,,,17.281,
7.7724,,,,,,,,,,,,,17.2866,
7.9248,,,,,,,,,,,,,17.2923,
8.0772,,,,,,,,,,,,,17.2979,
8.2296,,,,,,,,,,,,,17.3035,
8.382,,,,,,,,,,,,,17.3091,
8.5344,,,,,,,,,,,,,17.3147,
8.6868,,,,,,,,,,,,,17.3204,
8.8392,,,,,,,,,,,,,17.326,
8.9916,,,,,,,,,,,,,17.3316,
9.144,,,,,,,,,,,,,17.3372,
9.2964,,,,,,,,,,,,,17.3428,
9.4488,,,,,,,,,,,,,17.3485,
9.6012,,,,,,,,,,,,,17.3541,
9.7536,,,,,,,,,,,,,17.3597,
9.906,,,,,,,,,,,,,17.3653,
10.0584,,,,,,,,,,,,,17.371,
10.2108,,,,,,,,,,,,,17.3766,
10.3632,,,,,,,,,,,,,17.3822,
10.5156,,,,,,,,,,,,,17.3878,
10.668,,,,,,,,,,,,,17.3934,
10.8204,,,,,,,,,,,,,17.3991,
10.9728,,,,,,,,,,,,,17.4047,
11.1252,,,,,,,,,,,,,17.4103,
11.2776,,,,,,,,,,,,,17.4159,
11.43,,,,,,,,,,,,,17.4215,
11.5824,,,,,,,,,,,,,17.4272,
11.7348,,,,,,,,,,,,,17.4328,
11.8872,,,,,,,,,,,,,17.4384,
12.0396,,,,,,,,,,,,,17.444,
12.192,,,,,,,,,,,,,17.4496,
12.3444,,,,,,,,,,,,,17.4553,
12.4968,,,,,,,,,,,,,17.4609,
12.6492,,,,,,,,,,,,,17.4665,
12.8016,,,,,,,,,,,,,17.4721,
12.954,,,,,,,,,,,,,17.4777,
13.1064,,,,,,,,,,,,,17.4834,
13.2588,,,,,,,,,,,,,17.489,
13.4112,,,,,,,,,,,,,17.4946,
13.5636,,,,,,,,,,,,,17.5002,
13.716,,,,,,,,,,,,,17.5058,
13.8684,,,,,,,,,,,,,17.5115,
14.0208,,,,,,,,,,,,,17.5171,
14.1732,,,,,,,,,,,,,17.5227,
14.3256,,,,,,,,,,,,,17.5283,
14.478,,,,,,,,,,,,,17.534,
14.6304,,,,,,,,,,,,,17.5396,
14.7828,,,,,,,,,,,,,17.5452,
14.9352,,,,,,,,,,,,,17.5508,
15.0876,,,,,,,,,,,,,17.5564,
15.24,,,,,,,,,,,,,17.562,
15.3924,,,,,,,,,,,,,17.5677,
15.5448,,,,,,,,,,,,,17.5733,
15.6972,,,,,,,,,,,,,17.5789,
15.8496,,,,,,,,,,,,,17.5845,
16.002,,,,,,,,,,,,,17.5902,
16.1544,,,,,,,,,,,,,17.5958,
16.3068,,,,,,,,,,,,,17.6014,
16.4592,,,,,,,,,,,,,17.607,
16.6116,,,,,,,,,,,,,17.6126,
16.764,,,,,,,,,,,,,17.6183,
16.9164,,,,,,,,,,,,,17.6239,
17.0688,,,,,,,,,,,,,17.6295,
17.2212,,,,,,,,,,,,,17.6351,
17.3736,,,,,,,,,,,,,17.6407,
17.526,,,,,,,,,,,,,17.6464,
17.6784,,,,,,,,,,,,,17.652,
17.8308,,,,,,,,,,,,,17.6576,
17.9832,,,,,,,,,,,,,17.6632,
18.1356,,,,,,,,,,,,,17.6688,
18.288,,,,,,,,,,,,,17.6745,
18.4404,,,,,,,,,,,,,17.6801,
18.5928,,,,,,,,,,,,,17.6857,
18.7452,,,,,,,,,,,,,17.6913,
18.8976,,,,,,,,,,,,,17.697,
19.05,,,,,,,,,,,,,17.7026,
19.2024,,,,,,,,,,,,,17.7082,
19.3548,,,,,,,,,,,,,17.7138,
19.5072,,,,,,,,,,,,,17.7194,
19.6596,,,,,,,,,,,,,17.725,
19.812,,,,,,,,,,,,,17.7307,
19.9644,,,,,,,,,,,,,17.7363,
20.1168,,,,,,,,,,,,,17.7419,
20.2692,,,,,,,,,,,,,17.7475,
20.4216,,,,,,,,,,,,,17.7532,
20.574,,,,,,,,,,,,,17.7588,
20.7264,,,,,,,,,,,,,17.7644,
20.8788,,,,,,,,,,,,,17.77,
21.0312,,,,,,,,,,,,,17.7756,
21.1836,,,,,,,,,,,,,17.7813,
21.336,,,,,,,,,,,,,17.7869,
21.4884,,,,,,,,,,,,,17.7925,
21.6408,,,,,,,,,,,,,17.7981,
21.7932,,,,,,,,,,,,,17.8037,
21.9456,,,,,,,,,,,,,17.8093,
22.098,,,,,,,,,,,,,17.815,
22.2504,,,,,,,,,,,,,17.8206,
22.4028,,,,,,,,,,,,,17.8262,
22.5552,,,,,,,,,,,,,17.8318,
22.7076,,,,,,,,,,,,,17.8375,
22.86,,,,,,,,,,,,,17.8431,
23.0124,,,,,,,,,,,,,17.8487,
23.1648,,,,,,,,,,,,,17.8543,
23.3172,,,,,,,,,,,,,17.8599,
23.4696,,,,,,,,,,,,,17.8656,
23.622,,,,,,,,,,,,,17.8712,
23.7744,,,,,,,,,,,,,17.8768,
