DEPTH,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP
275.3868,8.5,,,,,,,,,,
275.5392,8.5,,,,,,,,,,
275.6916,8.5,,,,,,,,,,
275.844,8.5,,,,,,,,,,
275.9964,8.5,,,,,,,,,,
276.1488,8.5,,,,,,,,,,
276.3012,8.5,,,,,,,,,,
276.4536,8.5,,,,,,,,,,
276.606,8.5,11.5767,2.1799,137.5529,117.6861,0.425493,2.8738,19.2734,23.3618,8.9372,-252.1834
276.7584,8.5,11.5687,2.1912,137.3275,111.1856,0.445565,2.8384,21.1969,24.9877,8.9766,-254.0841
276.9108,8.5,11.5407,2.1923,138.2573,109.7218,0.445776,2.8334,23.1695,26.3218,8.9985,-256.3878
277.0632,8.5,11.4783,2.1946,138.0853,121.9898,0.421835,2.8385,25.2996,27.3303,9.0349,-259.3204
277.2156,8.5,11.4213,2.1889,137.6444,119.4562,0.422726,2.896,26.058,26.7925,9.1469,-261.841
277.368,8.5,11.432,2.1931,137.0579,114.4663,0.409934,2.8846,25.4827,25.0243,9.1644,-263.5697
277.5204,8.5,11.4955,2.2078,136.4185,113.5821,0.430936,2.7968,25.0607,23.9778,9.2292,-264.87
277.6728,8.5,11.4902,2.1967,136.2949,126.4726,0.431031,2.8087,23.8959,22.3084,9.0907,-265.5758
277.8252,8.5,11.5445,2.1845,136.3212,122.0956,0.43996,2.8801,23.9058,21.6841,9.0555,-266.3736
277.9776,8.5,11.6123,2.1753,137.6088,117.0318,0.456035,2.8659,26.8448,23.5838,9.1008,-267.1526
278.13,8.5,11.5277,2.1785,138.4536,111.4469,0.425865,2.8197,30.5301,25.7388,9.1264,-267.8187
278.2824,8.5,11.4829,2.185,138.283,116.672,0.410383,2.8868,33.4639,26.9942,9.1198,-268.4512
278.4348,8.5,11.4071,2.1863,137.7594,116.7663,0.418079,2.8688,32.7355,25.7716,9.0433,-269.118
278.5872,8.5,11.4105,2.1996,136.4188,113.3685,0.447227,2.7719,29.8559,23.2862,8.7542,-269.9463
278.7396,8.5,11.4392,2.2009,135.8019,113.1087,0.436024,2.7908,29.7114,22.3479,8.2278,-270.9406
278.892,8.5,11.4646,2.193,134.8481,109.55,0.438756,2.8382,32.0276,23.3928,7.959,-271.5885
279.0444,8.5,11.5182,2.1763,135.0096,115.5449,0.414073,2.9018,37.7376,26.5591,7.9899,-272.2328
279.1968,8.5,11.6335,2.1936,135.5409,117.8157,0.444249,2.9407,38.772,26.9687,7.7925,-272.9124
279.3492,8.5,12.3856,2.186,136.9541,115.7272,0.462208,2.8649,34.7351,25.1396,7.653,-273.3111
279.5016,8.5,12.705,2.1587,137.6468,119.3284,0.456296,2.7402,32.5076,24.5303,7.5674,-273.7315
279.654,8.5,12.4561,2.1397,137.4173,117.6124,0.418154,2.8191,32.6887,25.0518,7.3026,-274.1403
279.8064,8.5,11.8617,2.1898,137.7465,111.0654,0.411408,2.9681,35.1024,26.8963,7.5176,-274.7516
279.9588,8.5,10.2892,2.1833,137.981,107.0481,0.428426,2.9696,36.0505,26.9172,7.772,-275.2864
280.1112,8.5,10.252,2.177,134.866,109.4214,0.44054,2.7876,37.1851,26.7236,8.1357,-275.8815
280.2636,8.5,10.5198,2.1576,136.6132,118.2323,0.414567,2.694,33.2619,23.4382,6.0881,-276.3907
280.416,8.5,10.6965,2.1095,139.02,96.8659,0.407901,2.7174,23.5577,17.1226,5.3218,-276.7719
280.5684,8.5,11.6036,2.0093,137.6727,99.3457,0.396904,2.735,20.5955,15.0112,4.9315,-277.213
280.7208,8.5,10.3825,2.0245,137.2625,100.2235,0.405479,2.4643,27.3007,19.6673,5.8792,-277.5692
280.8732,8.5,8.9702,2.2475,133.2428,106.2389,0.406347,3.0188,32.394,22.9019,6.5995,-278.2455
281.0256,8.5,8.7207,2.2362,128.8734,101.3999,0.380703,2.9756,35.3371,24.5077,5.426,-279.0402
281.178,8.5,8.6473,2.2285,129.9452,104.4557,0.351229,2.7964,38.2341,26.4578,5.0849,-279.6986
281.3304,8.5,8.6328,2.2249,130.8503,109.3882,0.347651,2.8485,37.8819,26.3934,5.2143,-280.2191
281.4828,8.5,8.6328,2.2352,131.4115,102.8054,0.364873,2.8263,34.8855,24.5474,5.365,-280.7526
281.6352,8.5,8.6443,2.2287,131.7436,106.2578,0.376548,2.8122,31.1483,22.05,5.4628,-281.0283
281.7876,8.5,8.6668,2.2267,132.5467,108.8655,0.356275,2.8556,30.3912,21.0932,5.4636,-281.1005
281.94,8.5,8.6936,2.2137,132.9405,120.7393,0.34691,2.9299,32.3781,22.2797,5.4672,-281.062
282.0924,8.5,8.7231,2.2141,132.9334,113.9464,0.343809,2.9377,33.6408,23.534,5.6147,-281.4053
282.2448,8.5,8.7394,2.225,132.3692,111.2356,0.360774,2.8399,31.5462,22.6734,5.9658,-281.6721
282.3972,8.5,8.754,2.2378,134.552,96.5883,0.36845,2.8535,30.3817,22.0224,6.0412,-281.9538
282.5496,8.5,8.7584,2.2207,130.5874,115.8369,0.381869,2.8805,31.7489,22.9491,6.0408,-282.2887
282.702,8.5,8.7601,2.2274,128.8941,96.4654,0.37552,2.8513,32.7512,23.8783,6.3377,-282.6447
282.8544,8.5,8.7831,2.2167,128.7532,93.1521,0.372878,2.841,33.3198,24.4833,6.8831,-283.0482
283.0068,8.5,8.827,2.2126,132.7849,98.9632,0.370585,2.8998,32.8353,24.5522,7.375,-283.5398
283.1592,8.5,8.8627,2.1983,134.9628,104.8545,0.370648,2.9318,31.6482,23.9239,7.4474,-283.995
283.3116,8.5,8.899,2.226,133.0753,119.1938,0.365963,3.0713,32.3519,24.6604,7.4925,-284.485
283.464,8.5,8.8144,2.3337,133.83,112.845,0.330336,2.9222,45.1046,33.9616,9.1158,-284.8148
283.6164,8.5,8.8043,2.3701,133.2456,106.3342,0.318597,3.3837,32.972,25.2309,7.9856,-284.9363
283.7688,8.5,8.7946,2.2212,134.0824,112.4645,0.357075,2.9822,26.8657,20.7126,7.4349,-284.9753
283.9212,8.5,8.8076,2.1949,140.656,111.0555,0.38954,2.9056,24.5199,19.0631,7.4311,-285.0465
284.0736,8.5,8.8601,2.1865,140.9104,103.797,0.400451,2.907,25.1651,19.7431,7.5753,-285.1279
284.226,8.5,8.8871,2.1852,140.1702,105.2591,0.381622,2.8541,28.7385,22.6599,7.3158,-285.1972
284.3784,8.5,8.9384,2.1977,139.9728,108.7649,0.380039,2.9528,30.5937,24.2426,7.2947,-285.2942
284.5308,8.5,8.9829,2.2073,140.5887,102.3241,0.373276,3.0349,29.4544,23.5092,7.2384,-285.5672
284.6832,8.5,8.9992,2.2054,141.0167,117.0469,0.38083,2.9798,30.9088,24.6459,7.3488,-285.8137
284.8356,8.5,8.9988,2.1936,141.017,105.0568,0.383552,2.8387,30.1603,23.9534,7.298,-286.1737
284.988,8.5,8.9773,2.1959,140.5817,121.5946,0.397737,2.8412,26.686,21.1911,7.1097,-286.4139
285.1404,8.5,8.9571,2.1916,139.4958,119.0656,0.394515,2.8125,24.4186,19.3507,6.9834,-286.741
