DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
78.791,,,,,,,,,,,,,,,,,,
78.943,,,,,,,,,,,,,,,,,,
79.096,,8.5,,,,,,,,,,,,,,,,
79.248,,8.5,,,,,,,,,,,,,,,,
79.4,,8.5,,,,,,,,,,,,,,,,
79.553,,8.5,,,,,,,,,,,,,,,,
79.705,,8.5,,,,,,,,,,,,,,,,
79.858,,8.5,,,,,,,,,,,,,,,,
80.01,,8.5,,,,,,,,,,,,,,,,
80.162,,8.5,,,,,,,,,,,,,,,,
80.315,,8.5,,,,,,,,,,,,,,,,
80.467,,8.5,,,,,,,,,,,,,,,,
80.62,,8.5,,,,,,,,,,,,,,,,
80.772,,8.5,,,,,,,,,,,,,,,,
80.924,,8.5,,,,,,,,,,,,,,,,
81.077,,8.5,,,,,,,,,,,,,,,,
81.229,,8.5,,,,,,,,,,,,,,,,
81.382,,8.5,36.527,,,,,,,,,,,,,,,
81.534,,8.5,39.177,,,,,,,,,,,,,,,
81.686,,8.5,40.197,,,,,,,,,,,,,,,
81.839,,8.5,45.731,,,,,,,,,,,,,,,
81.991,,8.5,47.625,,,,,,,,,,,,,,,
82.144,,8.5,42.672,,,,,,,,,,,,,,,
82.296,,8.5,48.935,,,,,,,,,,,,,,,
82.448,,8.5,43.984,,,,,,,,,,,,,,,
82.601,,8.5,37.284,,,,,,,,,,,,,,,
82.753,,8.5,50.393,,,,,,,,,,,,,,,
82.906,,8.5,41.07,,,,,,,,,,,,,,,
83.058,,8.5,34.08,,,,,,,,,,,,,,,
83.21,,8.5,46.023,,,,,,,,,,,,,0.901,,
83.363,,8.5,39.031,,,,,,,,,,,,,0.894,,
83.515,,8.5,41.653,,,,,,,,,,,,,0.968,,
83.668,,8.5,41.944,,,,,,,,,,,,,0.716,,
83.82,,8.5,46.023,,,,,,,,,,,,,0.82,,
83.972,,8.5,38.449,,,,,,,,,,,,,0.745,,
84.125,,8.5,34.371,,,,,,,,,,,,,0.919,,
84.277,,8.5,41.945,,,,,,,,,,,,,0.779,,
84.43,,8.5,36.119,,,,,,,,,,,,,1.017,,
84.582,,8.5,35.536,,,,,,,,,,,,,0.714,,
84.734,,8.5,34.372,,,,,,,,,,,,,0.764,,
84.887,,8.5,40.197,,,,,,,,,,,,,0.872,,
85.039,,8.5,35.828,,,,,,,,,,,,,0.978,,
85.192,,8.5,31.458,,,,,,,,,,,,,0.891,,
85.344,,8.5,34.663,,,,,,,,,,,,,0.712,,
85.496,,8.5,28.837,,,,,,,,,,,,,0.779,,
85.649,,8.5,26.215,,,,,,,,,,,,,0.844,,
85.801,,8.5,28.545,,,,,,,,,,,,,0.913,,
85.954,,8.5,38.45,,,,,,,,,,,,,1.077,,
86.106,,8.5,35.245,,,,,,,,,,,,,0.966,,
86.258,,8.5,29.711,,,,,,,,,,,,,0.772,,
86.411,,8.5,32.915,,,,,,,,,,,,,0.868,,
86.563,,8.5,39.032,,,,,,,,,,,,,0.846,,
86.716,,8.5,37.576,,,,,,,,,,,,,0.7,,
86.868,,8.5,40.488,,,,,,,,,,,,,0.502,,
87.02,3.61,8.5,39.032,,0.158,,,,,,,,,,,0.54,0.055,
87.173,3.61,8.5,37.866,0.464,0.173,,,,,,,,0.247,8.229,2.305,0.69,0.053,
87.325,3.61,8.5,39.324,0.464,0.281,,,,,,,,0.247,8.229,2.305,0.749,0.043,
87.478,3.598,8.5,34.371,0.464,0.268,,,,,,,,0.247,8.229,2.305,0.68,0.043,
87.63,3.61,8.5,39.032,0.464,0.28,,,,,,,,0.247,8.229,2.305,0.639,0.043,
87.782,3.587,8.5,30.293,0.464,0.25,,,,,,,,0.247,8.229,2.305,0.769,0.045,
87.935,3.61,8.5,31.167,0.464,0.175,,,,,,,,0.247,8.229,2.305,0.79,0.053,
88.087,3.598,8.5,25.05,0.464,0.274,,,,,,,,0.247,8.229,2.305,0.926,0.041,
88.24,3.61,8.5,29.419,0.464,0.285,,,,,,,,0.247,8.229,2.305,0.737,0.04,
88.392,3.598,8.5,37.285,0.464,0.244,,,,,,,,0.247,8.229,2.305,0.757,0.044,
88.544,3.61,8.5,40.488,0.456,0.241,,,,,,,,0.251,8.249,2.326,0.926,0.044,
88.697,3.587,8.5,29.129,0.474,0.288,,,,,,,,0.257,8.252,2.33,0.916,0.04,
88.849,3.61,8.5,32.915,0.489,0.238,,,,,,,,0.261,8.199,2.342,1.243,0.046,
89.002,3.61,8.5,41.945,0.478,0.243,,,,,,,,0.261,8.132,2.335,0.916,0.044,
89.154,3.587,8.5,35.536,0.498,0.286,,,,,,,,0.263,8.225,2.342,1.06,0.04,
89.306,3.587,8.5,31.459,0.481,0.284,,,,,,,,0.262,8.185,2.312,1.11,0.041,
89.459,3.598,8.5,33.497,0.478,0.227,,,,,,,,0.253,7.98,2.302,0.873,0.046,
89.611,3.587,8.5,39.614,0.447,0.238,,,,,,,,0.231,8.004,2.266,0.646,0.045,
89.764,3.587,8.5,40.488,0.43,0.288,,,,,,,,0.211,7.725,2.233,0.621,0.04,
89.916,3.61,8.5,36.702,0.409,0.285,,,,,,,,0.198,7.54,2.19,0.78,0.041,
90.068,3.61,8.5,42.236,0.42,0.276,,,,,,,,0.201,7.486,2.187,0.896,0.042,
90.221,3.61,8.5,38.74,0.469,0.275,,,,,,,,0.219,7.396,2.22,0.765,0.042,
90.373,3.598,8.5,42.528,0.489,0.285,,,,,,,,0.235,7.572,2.248,0.792,0.04,
90.526,3.61,8.5,46.314,0.505,0.289,,,,,,,,0.241,7.744,2.266,0.835,0.041,
90.678,3.587,8.5,31.167,0.457,0.263,,,,,,,,0.231,7.707,2.21,0.869,0.043,
90.83,3.61,8.5,51.265,0.46,0.241,,,,,,,,0.229,7.714,2.212,0.724,0.044,
90.983,3.61,8.5,48.936,0.52,0.277,,,,,,,,0.239,7.901,2.263,0.531,0.042,
91.135,3.61,8.5,53.596,0.575,0.263,,,,,,,,0.252,8.322,2.36,0.47,0.043,
91.288,3.61,8.5,66.704,0.513,0.267,0.016,0.014,0.013,0.012,0.009,0.009,,0.257,8.383,2.336,0.492,0.042,
91.44,3.61,8.5,53.304,0.453,0.276,0.017,0.015,0.014,0.013,0.011,0.011,,0.261,8.147,2.24,0.577,0.041,
91.592,3.587,8.5,46.605,0.443,0.29,0.016,0.014,0.013,0.012,0.009,0.009,,0.265,8.058,2.207,0.647,0.039,
91.745,3.61,8.5,46.605,0.514,0.284,0.013,0.012,0.011,0.01,0.008,0.008,,0.276,8.145,2.323,0.566,0.04,
91.897,3.61,8.5,70.782,0.578,0.286,0.015,0.013,0.012,0.011,0.007,0.007,,0.287,8.729,2.412,0.56,0.04,
