DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
62.179,,,,,,,,,,,,,,,,,,,
62.332,,8.5,,,,,,,,,,,,,,,,,
62.484,,8.5,,,,,,,,,,,,,,,,,
62.636,,8.5,,,,,,,,,,,,,,,,,
62.789,,8.5,,,,,,,,,,,,,,,,,
62.941,,8.5,,,,,,,,,,,,,,,,,
63.094,,8.5,,,,,,,,,,,,,,,,,
63.246,,8.5,,,,,,,,,,,,,,,,,
63.398,,8.5,,,,,,,,,,,,,,,,,
63.551,,8.5,,,,,,,,,,,,,,,,,
63.703,,8.5,,,,,,,,,,,,,,,,,
63.856,,8.5,,,,,,,,,,,,,,,,,
64.008,,8.5,,,,,,,,,,,,,,,,,
64.16,,8.5,,,,,,,,,,,,,,,,,
64.313,,8.5,,,,,,,,,,,,,,,,,
64.465,,8.5,,,,,,,,,,,,,,,,,
64.618,,8.5,,,,,,,,,,,,,,,,,
64.77,,8.5,27.589,,,,,,,,,,,,,,,,
64.922,,8.5,25.787,,,,,,,,,,,,,,,,
65.075,,8.5,31.125,,,,,,,,,,,,,,,,
65.227,,8.5,28.352,,,,,,,,,,,,,,,,
65.38,,8.5,30.223,,,,,,,,,,,,,,,,
65.532,,8.5,25.995,,,,,,,,,,,,,,,,
65.684,,8.5,25.302,,,,,,,,,,,,,,,,
65.837,,8.5,22.321,,,,,,,,,,,,,,,,
65.989,,8.5,25.301,,,,,,,,,,,,,,,,
66.142,,8.5,27.243,,,,,,,,,,,,,,,,
66.294,,8.5,26.965,,,,,,,,,,,,,,,,
66.446,,8.5,28.005,,,,,,,,,,,,,,,,
66.599,,8.5,26.619,,,,,,,,,,,,,,,,
66.751,,8.5,25.787,,,,,,,,,,,,,,0.775,,
66.904,,8.5,24.123,,,,,,,,,,,,,,1.074,,
67.056,,8.5,21.489,,,,,,,,,,,,,,1.023,,
67.208,,8.5,18.162,,,,,,,,,,,,,,1.141,,
67.361,,8.5,25.926,,,,,,,,,,,,,,1.213,,
67.513,,8.5,25.648,,,,,,,,,,,,,,1.252,,
67.666,,8.5,23.915,,,,,,,,,,,,,,1.12,,
67.818,,8.5,24.678,,,,,,,,,,,,,,0.999,,
67.97,,8.5,24.192,,,,,,,,,,,,,,0.949,,
68.123,,8.5,25.718,,,,,,,,,,,,,,1.026,,
68.275,,8.5,22.737,,,,,,,,,,,,,,1.061,,
68.428,,8.5,24.816,,,,,,,,,,,,,,1.121,,
68.58,,8.5,25.926,,,,,,,,,,,,,,0.919,,
68.732,,8.5,24.955,,,,,,,,,,,,,,0.87,,
68.885,,8.5,30.917,,,,,,,,,,,,,,0.682,,
69.037,,8.5,30.015,,,,,,,,,,,,,,0.763,,
69.19,,8.5,24.817,,,,,,,,,,,,,,0.853,,
69.342,,8.5,18.716,,,,,,,,,,,,,,1.124,,
69.494,,8.5,22.667,,,,,,,,,,,,,,0.969,,
