DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DPHZ:1,DPHZ:2,DSOZ:1,DSOZ:2,DT:1,DT:2,ECGR,EHGR:1,EHGR:2,GR:1,GR:2,GR:3,GR_EDIT,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTNP:1,HTNP:2,PEF8:1,PEF8:2,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,VCL
57.4548,,6.125,,,,,,,,,18.0421,,0.8042,0.8042,,,48.0421,,,,,,,,,,,,,,0.738723,,,,,,,,,,583.2081,,,
57.6072,,6.125,,,,,,,,,17.3961,,0.8042,0.8042,,,47.3961,,,,,,,,,,,,,,0.743965,,,,,,,,,,584.6874,,,
57.7596,,6.125,,,,,,,,,17.3681,,0.8042,0.8042,,,47.3681,,,,,,,,,,,,,,0.786114,,,,,,,,,,585.5809,,,
57.912,,6.125,,,,,,,,,18.194,,0.8042,0.8042,,,48.194,,,,,,,,,,,,,,0.796613,,,,,,,,,,585.6085,,,
58.0644,,6.125,,,,,,,,,18.7081,,0.8042,0.8042,,,48.7081,,,,,,,,,,,,,,0.77488,,,,,,,,,,585.5532,,,
58.2168,,6.125,,,,,,,,,18.1775,,0.8042,0.8042,,,48.1775,,,,,,,,,,,,,,0.767905,,,,,,,,,,587.6462,,,
58.3692,,6.125,,,,,,,,,17.0489,,0.8042,0.8042,,,47.0489,,,,,,,,,,,,,,0.783687,,,,,,,,,,588.5533,,,
58.5216,,6.125,,,,,,,,,16.6301,,0.8042,0.8042,,,46.6301,,,,,,,,,,,,,,0.778919,,,,,,,,,,587.2697,,,
58.674,,6.125,,,,,,,,,17.8095,,0.8042,0.8042,,,47.8095,,,,,,,,,,,,,,0.762491,,,,,,,,,,585.8387,,,
58.8264,,6.125,,,,,,,,,19.4802,,0.8042,0.8042,,,49.4802,,,,,,,,,,,,,,0.809308,,,,,,,,,,584.4227,,,
58.9788,,6.125,,,,,,,,,19.6771,,0.8042,0.8042,,,49.6771,,,,,,,,,,,,,,0.866679,,,,,,,,,,584.6944,,,
59.1312,,6.125,,,,,,,,,18.409,,0.8042,0.8042,,,48.409,,,,,,,,,,,,,,0.871033,,,,,,,,,,585.4692,,,
59.2836,,6.125,,,,,,,,,17.72,,0.8042,0.8042,,,47.72,,,,,,,,,,,,,,0.817,,,,,,,,,,585.9296,,,
59.436,,6.125,,,,,,,,,18.2282,,0.8042,0.8042,,,48.2282,,,,,,,,,,,,,,0.745816,,,,,,,,,,586.9416,,,
59.5884,,6.125,,,,,,,,,19.0497,,0.8042,0.8042,,,49.0497,,,,,,,,,,,,,,0.693208,,,,,,,,,,587.4229,,,
59.7408,,6.125,,,,,,,,,19.04,,0.8043,0.8043,,,49.04,,,,,,,,,,,,,,0.683392,,,,,,,,,,587.3745,,,
59.8932,,6.125,,,,,,,,,18.3473,,0.8045,0.8045,,,48.3473,,,,,,,,,,,,,,0.744018,,,,,,,,,,587.5483,,,
60.0456,,6.125,,,,,,,,,18.5799,,0.8043,0.8043,,,48.5799,,,,,,,,,,,,,,0.814976,,,,,,,,,,587.0326,,,
60.198,,6.125,,,,,,,,,20.6854,,0.8042,0.8042,,,50.6854,,,,,,,,,,,,,,0.826953,,,,,,,,,,587.5276,,,
60.3504,,6.125,,,,,,,,,23.1331,,0.8043,0.8043,,,53.1331,,,,,,,,,,,,,,0.793063,,,,,,,,,,588.421,,,
60.5028,,6.125,,,,,,,,,23.87,,0.8045,0.8045,,,53.87,,,,,,,,,,,,,,0.745973,,,,,,,,,,588.6512,,,
60.6552,,6.125,,,,,,,,,22.6342,,0.8045,0.8045,,,52.6342,,,,,,,,,,,,,,0.721572,,,,,,,,,,588.4279,,,
60.8076,,6.125,,,,,,,,,20.5955,,0.8045,0.8045,,,50.5955,,,,,,,,,,,,,,0.727643,,,,,,,,,,586.6204,,,
60.96,,6.125,,,,,,,,,19.3241,,0.8043,0.8043,,,49.3241,,,,,,,,,,,,,,0.756647,,,,,,,,,,584.3179,,,
61.1124,,6.125,,,,,,,,,19.3809,,0.8042,0.8042,,,49.3809,,,,,,,,,,,,,,0.772018,,,,,,,,,,584.4503,,,
61.2648,,6.125,,,,,,,,,20.7916,,0.8042,0.8042,,,50.7916,,,,,,,,,,,,,,0.763896,,,,,,,,,,584.3732,,,
61.4172,,6.125,,,,,,,,,21.9113,,0.8042,0.8042,,,51.9113,,,,,,,,,,,,,,0.735529,,,,,,,,,,582.7131,,,
61.5696,,6.125,,,,,,,,,20.8061,,0.8042,0.8042,,,50.8061,,,,,,,,,,,,,,0.708861,,,,,,,,,,582.2169,,,
61.722,,6.125,,,,,,,,,18.2618,,0.8042,0.8042,,,48.2618,,,,,,,,,,,,,,0.69251,,,,,,,,,,581.373,,,
61.8744,,6.125,,,,,,,,,16.9944,,0.8042,0.8042,,,46.9944,,,,,,,,,,,,,,0.688681,,,,,,,,,,582.7269,,,
62.0268,,6.125,,,,,,,,,17.6567,,0.8042,0.8042,,,47.6567,,,,,,,,,,,,,,0.69121,,,,,,,,,,586.3061,,,
62.1792,,6.125,,,,,,,,,19.2513,,0.8042,0.8042,,,49.2513,,,,,,,,,,,,,,0.68901,,,,,,,,,,587.2766,,,
62.3316,,6.125,,,,,,,,,20.0244,,0.8042,0.8042,,,50.0244,,,,,,,,,,,,,,0.693184,,,,,,,,,,586.8438,,,
62.484,,6.125,,,,,,,,,19.6345,,0.8042,0.8042,,,49.6345,,,,,,,,,,,,,,0.705953,,,,,,,,,,585.818,,,
62.6364,,6.125,,,,,,,,,18.9807,,0.8042,0.8042,,,48.9807,,,,,,,,,,,,,,0.72094,,,,,,,,,,584.7784,,,
