DEPTH,BS:1,BS:2,BS:3,BS:4,DNPH:1,DNPH:2,DNPH:3,DNPH:4,DPHZ:1,DPHZ:2,DPHZ:3,DPHZ:4,DT:1,DT:2,DT:3,DT:4,ECGR:1,ECGR:2,ECGR:3,EHGR:1,EHGR:2,EHGR:3,EHGR:4,HART:1,HART:2,HART:3,HART:4,HCAL:1,HCAL:2,HCAL:3,HCAL:4,HDRA:1,HDRA:2,HDRA:3,HDRA:4,HLLD:1,HLLD:2,HLLD:3,HLLS:1,HLLS:2,HLLS:3,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTEM:4,HTNP,NPHI:1,NPHI:2,NPHI:3,PEF8,PEFZ:1,PEFZ:2,RHO8,RHOZ:1,RHOZ:2,RHOZ:3,RXO8,RXOZ:1,RXOZ:2,RXOZ:3,SP:1,SP:2,SP:3,SP:4,TENS:1,TENS:2,TENS:3,TENS:4
47.0916,,,6.125,,,,0.001227,,,,0.4901,,,,53.382,,,,25.1331,,,25.4442,,,,148.8903,,,,3.7204,,,,-0.0037,,,,0.1098,,,0.0057,,,,,24.2598,,,,,0.760396,,,9.9023,,,,1.872,,,,0.1479,,,61.4141,,,,605.6119,
47.244,,,6.125,,,,0.0077313,,,,0.4901,,,,53.382,,,,24.8892,,,26.6269,,,,137.5379,,,,3.7297,,,,-0.0037,,,,0.1096,,,0.0056,,,,,24.2598,,,,,0.770357,,,9.9023,,,,1.872,,,,0.1489,,,60.724,,,,605.9521,
47.3964,,,6.125,,,,0.0052499,,,,0.4901,,,,53.382,,,,23.1592,,,22.0783,,,,52.5096,,,,3.7321,,,,-0.0037,,,,0.1084,,,0.0053,,,,,24.2598,,,,,0.747551,,,9.9023,,,,1.872,,,,0.1491,,,59.8685,,,,606.4058,
47.5488,,,6.125,,,,0.0086751,,,,0.4901,,,,53.382,,,,22.004,,,20.2503,,,,47.8346,,,,3.7402,,,,-0.0037,,,,0.1094,,,6249.6182,,,,,24.2598,,,,,0.803995,,,9.9023,,,,1.872,,,,0.1495,,,58.957,,,,605.8388,
47.7012,,,6.125,,,,0.0004394,,,,0.4901,,,,53.382,,,,22.462,,,23.5786,,,,28.3698,,,,3.7309,,,,-0.0037,,,,0.1072,,,47500.7773,,,,,24.2598,,,,,0.754085,,,9.9023,,,,1.872,,,,0.1493,,,58.194,,,,601.3122,
47.8536,,,6.125,,,,0.0123043,,,,0.4901,,,,53.382,,,,23.1214,,,23.7729,,,,32.5777,,,,3.7216,,,,-0.0037,,,,0.1072,,,6249.6196,,,,,24.2598,,,,,0.769265,,,9.9023,,,,1.872,,,,0.1499,,,57.5456,,,,600.9721,
48.006,,,6.125,,,,0.0102937,,,,0.4901,,,,53.3902,,,,22.3135,,,22.2328,,,,22.2197,,,,3.7301,,,,-0.0037,,,,0.0798,,,0.0061,,,,,24.2598,,,,,0.725159,,,9.9023,,,,1.872,,,,0.15,,,57.2435,,,,595.8124,
48.1584,,,6.125,,,,0.0121897,,,,0.4901,,,,53.4584,,,,21.1667,,,20.9218,,,,15.2873,,,,3.734,,,,-0.0037,,,,0.1101,,,0.0155,,,,,24.2598,,,,,0.787374,,,9.9023,,,,1.872,,,,0.1497,,,56.9505,,,,601.3029,
48.3108,,,6.125,,,,0.0020457,,,,0.4901,,,,53.5187,,,,20.3126,,,20.0733,,,,12.2699,,,,3.7301,,,,-0.0037,,,,0.1285,,,0.0265,,,,,24.2598,,,,,0.8017,,,9.9023,,,,1.872,,,,0.1495,,,56.7435,,,,603.1645,
48.4632,,,6.125,,,,0.004221,,,,0.49,,,,53.5678,,,,21.1919,,,19.665,,,,18.5695,,,,3.7204,,,,-0.003783,,,,0.1053,,,0.0102,,,,,24.2598,,,,,0.848269,,,9.8953,,,,1.8722,,,,0.1491,,,56.5391,,,,601.5201,
48.6156,,,6.125,,,,-0.0042606,,,,0.4888,,,,53.5545,,,,21.9853,,,23.7071,,,,19.4483,,,,3.7204,,,,-0.004104,,,,0.0994,,,0.0051,,,,,24.2598,,,,,0.818575,,,9.8269,,,,1.8741,,,,0.1489,,,56.6315,,,,609.1368,
48.768,,,6.125,,,,0.0012271,,,,0.4869,,,,53.6509,,,,23.0367,,,22.4823,,,,31.8939,,,,3.7297,,,,-0.001125,,,,0.1037,,,0.013,,,,,24.2598,,,,,0.807017,,,9.6882,,,,1.8775,,,,0.1482,,,56.8255,,,,610.5637,
48.9204,,,6.125,,,,0.0012791,,,,0.4845,,,,53.8397,,,,21.3133,,,22.7645,,,,60.0079,,,,3.7321,,,,0.005204,,,,0.098,,,0.0075,,,,,24.2598,,,,,0.772173,,,9.5536,,,,1.8815,,,,0.1479,,,57.0534,,,,608.3335,
49.0728,,,6.125,,,,0.0045354,,,,0.4823,,,,53.8304,,,,20.8862,,,18.7858,,,,63.1683,,,,3.7402,,,,0.012367,,,,0.1534,,,0.0103,,,,,24.2598,,,,,0.734344,,,9.4879,,,,1.8853,,,,0.148,,,56.737,,,,609.3919,
49.2252,,,6.125,,,,0.0123396,,,,0.48,,,,53.8393,,,,20.812,,,21.1833,,,,130.8289,,,,3.7333,,,,0.016673,,,,0.1798,,,0.022,,,,,24.2598,,,,,0.722884,,,9.4825,,,,1.8893,,,,0.1482,,,56.2435,,,,609.3163,
49.3776,,,6.125,,,,0.014875,,,,0.479,,,,53.8155,,,,21.5422,,,22.6046,,,,87.8689,,,,3.7402,,,,0.01666,,,,0.1288,,,0.0144,,,,,24.2598,,,,,0.709576,,,9.5501,,,,1.891,,,,0.1484,,,55.707,,,,609.8455,
49.53,,,6.125,,,,0.0145022,,,,0.4794,,,,53.8136,,,,20.7384,,,20.5716,,,,103.4562,,,,3.7321,,,,0.010465,,,,0.1288,,,0.008,,,,,24.2598,,,,,0.783398,,,9.6541,,,,1.8902,,,,0.1489,,,55.2734,,,,608.2485,
49.6824,,,6.125,,,,0.0054,,,,0.4806,,,,53.7997,,,,19.7014,,,18.857,,,,94.0375,,,,3.7297,,,,0.002615,,,,0.131,,,0.0062,,,,,24.2598,,,,,0.818023,,,9.7587,,,,1.8881,,,,0.1492,,,54.5755,,,,603.6274,
49.8348,,,6.125,,,,-0.0010583,,,,0.4828,,,,53.9747,,,,20.2389,,,19.7678,,,,94.4141,,,,3.7216,,,,-0.003833,,,,0.1357,,,6249.6191,,,,,24.2598,,,,,0.835709,,,9.856,,,,1.8843,,,,0.1486,,,53.9896,,,,604.3552,
49.9872,,,6.125,,,,-0.0045647,,,,0.4798,,,,54.6872,,,,20.2799,,,22.385,,,,140.9914,,,,3.7285,,,,-0.004975,,,,0.126,,,53750.3867,,,,,24.2598,,,,,0.786921,,,9.9214,,,,1.8896,,,,0.1476,,,53.7734,,,,604.2039,
