DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DSO8,DSOZ,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,ECGR:6,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RM_HRLT:1,RM_HRLT:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
894.8928,8.5,,8.5,,,,,,,,104.3734,,104.3734,,104.6068,,104.6068,,,,,,,,,,,,,,,,,,,,81.3394,,81.3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.4575,,1346.4575,,,,
895.0452,8.5,,8.5,,,,,,,,104.9707,,104.9707,,105.3363,,105.3363,,,,,,,,,,,,,,,,,,,,82.273,,82.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0316,,1329.0316,,,,
895.1976,8.5,,8.5,,,,,,,,105.6252,,105.6252,,105.8119,,105.8119,,,,,,,,,,,,,,,,,,,,83.7145,,83.7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.7864,,1298.7864,,,,
895.35,8.5,,8.5,,,,,,,,105.931,,105.931,,106.063,,106.063,,,,,,,,,,,,,,,,,,,,85.0976,,85.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.297,,1283.297,,,,
895.5024,8.5,,8.5,,,,,,,,106.2115,,106.2115,,106.3689,,106.3689,,,,,,,,,,,,,,,,,,,,86.0079,,86.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.7096,,1288.7096,,,,
895.6548,8.5,,8.5,,,,,,,,106.5124,,106.5124,,106.6288,,106.6288,,,,,,,,,,,,,,,,,,,,86.2494,,86.2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.6771,,1302.6771,,,,
895.8072,8.5,,8.5,,,,,,,,106.7126,,106.7126,,106.7806,,106.7806,,,,,,,,,,,,,,,,,,,,85.8258,,85.8258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.8484,,1321.8484,,,,
895.9596,8.5,,8.5,,,,,,,,106.8066,,106.8066,,106.7931,,106.7931,,,,,,,,,,,,,,,,,,,,85.3808,,85.3808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.0166,,1335.0166,,,,
896.112,8.5,,8.5,,,,,,,,106.7203,,106.7203,,106.6081,,106.6081,,,,,,,,,,,,,,,,,,,,85.4129,,85.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.7788,,1337.7788,,,,
896.2644,8.5,,8.5,,,,,,,,106.4644,,106.4644,,106.3178,,106.3178,,,,,,,,,,,,,,,,,,,,87.2587,,87.2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.6469,,1333.6469,,,,
896.4168,8.5,,8.5,,,,,,,,106.1956,,106.1956,,106.1084,,106.1084,,,,,,,,,,,,,,,,,,,,90.2125,,90.2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0065,,1329.0065,,,,
896.5692,8.5,,8.5,,,,,,,,106.0669,,106.0669,,106.0507,,106.0507,,,,,,,,,,,,,,,,,,,,92.0147,,92.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.0995,,1331.0995,,,,
896.7216,8.5,,8.5,,,,,,,,106.0641,,106.0641,,106.0913,,106.0913,,,,,,,,,,,,,,,,,,,,91.7954,,91.7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.1216,,1329.1216,,,,
896.874,8.5,,8.5,,,,,,,,106.1443,,106.1443,,106.2178,,106.2178,,,,,,,,,,,,,,,,,,,,91.2817,,91.2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.6606,,1320.6606,,,,
897.0264,8.5,,8.5,,,,,,,,106.3031,,106.3031,,106.3834,,106.3834,,,,,,,,,,,,,,,,,,,,91.6464,,91.6464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.9376,,1315.9376,,,,
897.1788,8.5,,8.5,,,,,,,,106.4501,,106.4501,,106.5037,,106.5037,,,,,,,,,,,,,,,,,,,,91.6538,,91.6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.7268,,1315.7268,,,,
897.3312,8.5,,8.5,,,,,,,,106.5536,,106.5536,,106.6118,,106.6118,,,,,,,,,,,,,,,,,,,,90.723,,90.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.7438,,1318.7438,,,,
897.4836,8.5,,8.5,,,,,,,,106.696,,106.696,,106.8066,,106.8066,,,,,,,,,,,,,,,,,,,,88.6246,,88.6246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.7441,,1316.7441,,,,
