DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DSO8,DSOZ,DT:1,DT:2,ECGR:1,ECGR:2,HART:1,HART:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TNPH
1248.156,,8.5,,0.0101046,,0.0532,,90.5754,,110.5401,,10.777,,0.0124,9.6677,9.3762,,1.198,,1.4345,,,,42.9537,,,3.1189,,2.4025,,3.9283,,-440.6351,,1442.7631,0.298984
1248.3084,,8.5,,0.0108815,,0.0532,,90.5754,,111.4343,,10.7731,,0.0124,9.6581,9.3669,,1.1094,,1.3477,,,,42.9537,,,3.1189,,2.4025,,3.8334,,-441.3779,,1449.0879,0.32143
1248.4608,,8.5,,0.0108931,,0.0532,,90.5754,,107.5034,,10.5987,,0.0124,9.2579,8.9769,,1.0143,,1.2376,,,,42.9537,,,3.1189,,2.4025,,3.5624,,-442.2457,,1466.426,0.320369
1248.6132,,8.5,,0.0105954,,0.0532,,90.5754,,106.5584,,10.0508,,0.0124,9.0376,8.7865,,0.9794,,1.1847,,,,42.9537,,,3.1189,,2.4025,,3.3524,,-442.9346,,1463.5542,0.313155
1248.7656,,8.5,,0.0101161,,0.0532,,90.5754,,104.3443,,10.1744,,0.0124,8.817,8.5817,,0.9692,,1.1781,,,,42.9537,,,3.1189,,2.4025,,3.3496,,-443.4928,,1451.7959,0.30022
1248.918,,8.5,,0.0102908,,0.0532,,90.5754,,105.0863,,10.3482,,0.0124,8.991,8.7524,,0.7666,,0.9816,,,,42.9537,,,3.1189,,2.4025,,3.4516,,-443.7543,,1415.0789,0.304304
1249.0704,,8.5,,0.0100908,,0.0532,,90.5754,,103.1213,,10.4115,,0.0124,9.3062,9.0963,,0.7004,,0.913,,,,42.9537,,,3.1189,,2.4025,,3.651,,-444.1933,,1392.2872,0.300356
1249.2228,,8.5,,0.0095,,0.0532,,90.5761,,100.6051,,11.7157,,0.0124,9.8077,9.5344,,0.8672,,1.108,,,,42.9537,,,3.1189,,2.4025,,4.6435,,-444.8635,,1416.4396,0.282053
1249.3752,,8.5,,0.0089115,,0.0532,,90.5565,,100.0164,,11.4496,,0.0124,9.2464,9.0507,,1.0523,,1.4179,,,,42.9537,,,3.1189,,2.4025,,5.4929,,-445.0683,,1454.5802,0.265907
1249.5276,,8.5,,0.0088208,,0.0532,,88.7017,,98.5794,,9.2211,,0.0124,9.603,9.3795,,1.0568,,1.3714,,,,42.9537,,,3.1189,,2.4025,,5.574,,-445.4856,,1469.8142,0.263088
1249.68,,8.5,,0.0095977,,0.053465,,96.7038,,97.9914,,11.6954,,0.012598,9.6148,9.459,,0.9757,,1.2221,,,,42.9537,,,3.1185,,2.4025,,4.0577,,-445.3298,,1454.0184,0.284835
1249.8324,,8.5,,0.0103046,,0.064612,,97.4816,,99.4363,,12.5997,,0.021071,10.3014,10.1095,,0.9651,,1.1949,,,,42.9537,,,3.1004,,2.4035,,3.7836,,-445.875,,1429.6566,0.304618
