DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DT:1,DT:2,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTNP,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TNPH:1,TNPH:2
87.7824,,,,,,,,46.2587,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,535.9824,,0.443907,
87.9348,,,,,,,,46.2516,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,541.6393,,0.413359,
88.0872,,,,,,,,46.2703,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,538.1367,,0.438119,
88.2396,,,,,,,,45.8729,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,542.6047,,0.442224,
88.392,,,,,,,,44.3519,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,539.5502,,0.455427,
88.5444,,,,,,,,42.502,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,539.209,,0.429862,
88.6968,,,,,,,,42.5073,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,540.85,,0.417544,
88.8492,,,,,,,,41.4026,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,539.3809,,0.404987,
89.0016,,,,,,,,42.9387,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,543.1207,,0.432843,
89.154,,,,,,,,44.0353,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,546.6288,,0.433221,
89.3064,,,,,,,,44.2183,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,538.4182,,0.436501,
89.4588,,,,,,,,43.2481,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,536.5443,,0.404355,
89.6112,,,,,,,,43.0041,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,537.8454,,0.420526,
89.7636,,,,,,,,44.7991,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,535.6343,,0.435407,
89.916,,,,,,,,45.1905,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,530.5352,,0.49997,
90.0684,,,,,,,,45.577,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,530.1953,,0.50448,
90.2208,,,,,,,,45.162,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,535.1807,,0.442949,
90.3732,,,,,,,,45.0336,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,537.1644,,0.420994,
90.5256,,,,,,,,43.0659,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,534.5607,,0.423259,
90.678,,,,,,,,41.8867,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,535.9214,,0.442477,
90.8304,,,,,,,,39.7395,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,540.4506,,0.445443,
90.9828,,,,,,,,39.2282,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,537.9092,,0.464001,
91.1352,,,,,,,,40.3342,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,542.491,,0.525304,
91.2876,,,,,,,,41.7199,,,,,,,,,,,,,,,,,28.2522,,,,,,,,,,539.1548,,0.535505,
