DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
55.3212,,,8.5,,,0.0049673,,,83.9831,18.2341,,,,,3.8889,,,0.124,,,0.2049,,,0.1414,,,30.9302,,,,,9.8762,,,1.9696,,,0.0623,,,0.0532,,,0.0488,,,0.0452,,,0.0399,,,0.0399,,,0.1483,,,70.8197,,,685.3781,0.6476
55.4736,,,8.5,,,0.0055699,,,83.9831,16.3346,,,,,3.8889,,,0.124,,,0.2046,,,0.1411,,,30.9302,,,,,9.8762,,,1.9696,,,0.0623,,,0.0532,,,0.0488,,,0.0452,,,0.0399,,,0.0399,,,0.1481,,,71.266,,,685.3781,0.6811
55.626,,,8.5,,,0.0066991,,,83.9831,16.2667,,,,,3.8889,,,0.124,,,0.2045,,,0.141,,,30.9302,,,,,9.8762,,,1.9696,,,0.0615,,,0.0525,,,0.0482,,,0.0446,,,0.0394,,,0.0394,,,0.148,,,71.7063,,,685.0408,0.7422
55.7784,,,8.5,,,0.0113107,,,83.9831,17.5705,,,,,3.8889,,,0.124,,,0.2046,,,0.1411,,,30.9302,,,,,9.8762,,,1.9696,,,0.059,,,0.0504,,,0.0462,,,0.0429,,,0.0378,,,0.0378,,,0.1479,,,72.2705,,,683.9852,0.9632
55.9308,,,8.5,,,0.017291,,,84.0292,18.2698,,,,,3.8889,,,0.124,,,0.205,,,0.1412,,,30.9302,,,,,9.8762,,,1.9696,,,0.0591,,,0.0504,,,0.0461,,,0.0427,,,0.0375,,,0.0375,,,0.1478,,,72.516,,,682.4999,1.2239
56.0832,,,8.5,,,0.0166664,,,84.2292,17.9465,,,,,3.8889,,,0.124,,,0.2052,,,0.1412,,,30.9302,,,,,9.8762,,,1.9696,,,0.0594,,,0.0508,,,0.0465,,,0.0431,,,0.0377,,,0.0377,,,0.1477,,,72.5581,,,679.8468,1.2051
56.2356,,,8.5,,,0.0161495,,,84.4684,16.8422,,,,,3.8889,,,0.124,,,0.2047,,,0.141,,,30.9302,,,,,9.8762,,,1.9696,,,0.0593,,,0.0508,,,0.0464,,,0.0429,,,0.0371,,,0.0371,,,0.1477,,,72.6687,,,684.8642,1.184
56.388,,,8.5,,,0.0175966,,,84.6831,15.6775,,,,,3.8889,,,0.124,,,0.2046,,,0.141,,,30.9302,,,,,9.8762,,,1.9696,,,0.0577,,,0.0495,,,0.0453,,,0.0418,,,0.0361,,,0.0361,,,0.1477,,,72.516,,,685.7876,1.2294
56.5404,,,8.5,,,0.0233643,,,84.8434,14.9792,,,,,3.8889,,,0.124,,,0.2048,,,0.1411,,,30.9302,,,,,9.8762,,,1.9696,,,0.0577,,,0.0493,,,0.0453,,,0.0418,,,0.0362,,,0.0362,,,0.1478,,,72.1018,,,688.0594,1.4346
56.6928,,,8.5,,,0.0152205,,,85.01,15.5804,,,,,3.8889,,,0.1238,,,0.2047,,,0.1411,,,30.9302,,,,,9.8797,,,1.9684,,,0.0602,,,0.0513,,,0.0469,,,0.0433,,,0.0375,,,0.0375,,,0.1479,,,71.5393,,,687.0961,1.1288
