DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HART:3,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HLLD,HLLS,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
73.6092,,,8.5,,,-0.0088,,,79.272,,,43.4238,,,2.783,,,3.693,,,0.1916,0.0418,0.0039,,,0.1196,,,0.0827,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0865,,,42.6243,,,601.873,0.5327
73.7616,,,8.5,,,-0.0088997,,,79.272,,,46.6776,,,2.783,,,3.693,,,0.1916,0.0418,0.0039,,,0.12,,,0.0826,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0863,,,42.812,,,584.7258,0.537687
73.914,,,8.5,,,-0.0088003,,,79.272,,,46.5184,,,3.0328,,,3.693,,,0.1916,0.0436,0.005,,,0.1198,,,0.082,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0855,,,43.9969,,,580.1566,0.531516
74.0664,,,8.5,,,-0.0089995,,,79.272,,,46.9718,,,1.905,,,3.693,,,0.1916,0.0413,0.0056,,,0.1184,,,0.0812,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0844,,,46.6804,,,605.0267,0.563316
74.2188,,,8.5,,,-0.0092992,,,79.272,,,44.1697,,,2.5032,,,3.693,,,0.1916,0.0434,0.0037,,,0.1181,,,0.0805,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0835,,,46.1888,,,583.8293,0.611075
74.3712,,,8.5,,,-0.0092003,,,79.272,,,44.806,,,1.7173,,,3.693,,,0.1916,0.0401,0.0056,,,0.1159,,,0.0794,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0827,,,46.5615,,,585.583,0.600329
74.5236,,,8.5,,,-0.0093995,,,79.272,,,43.6907,,,1.6014,,,3.693,,,0.1916,0.0392,0.0041,,,0.1154,,,0.0791,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0826,,,47.0612,,,602.7791,0.637801
74.676,,,8.5,,,-0.0089013,,,79.272,,,46.3671,,,1.9909,,,3.693,,,0.1916,0.0429,0.0063,,,0.115,,,0.0791,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0829,,,48.4339,,,600.1099,0.549034
74.8284,,,8.5,,,-0.0088003,,,79.272,,,47.0725,,,3.6693,,,3.693,,,0.1916,0.0446,0.0068,,,0.1152,,,0.0794,,,,,,,26.1767,,,,,8.9611,,,2.1014,,,0.0834,,,47.6895,,,582.459,0.524963
74.9808,,,8.5,,,-0.0089995,,,79.5203,,,46.0856,,,2.675,,,3.693,,,0.1883,0.0433,0.0084,,,0.1157,,,0.08,,,,,,,26.1767,,,,,8.9337,,,2.0919,,,0.0842,,,47.5628,,,587.8414,0.555918
75.1332,,,8.5,,,-0.0098976,,,79.927,,,45.7791,,,3.0077,,,3.693,,,0.1851,0.0423,0.006,,,0.1158,,,0.0805,,,,,,,26.1767,,,,,8.8965,,,2.0831,,,0.0853,,,48.4352,,,591.4749,0.763853
75.2856,,,8.5,,,-0.0098003,,,80.3856,,,47.2569,,,3.28,,,3.693,,,0.1807,0.0447,0.008,,,0.1176,,,0.0817,,,,,,,26.1767,,,,,8.8382,,,2.0816,,,0.0875,,,48.3128,,,600.5325,0.739765
75.438,,,8.5,,,-0.0089024,,,80.8293,,,53.7692,,,2.2873,,,3.693,,,0.1781,0.0466,0.0177,,,0.1191,,,0.0834,,,,,,,26.1767,,,,,8.7618,,,2.0848,,,0.0875,,,47.6268,,,596.4847,0.552792
75.5904,,,8.5,,,-0.0083016,,,80.9515,,,51.7459,,,2.7303,,,3.693,,,0.1791,0.0455,0.0113,,,0.1243,,,0.0843,,,,,,,26.1767,,,,,8.6824,,,2.0837,,,0.087,,,47.1886,,,587.8784,0.465728
75.7428,,,8.5,,,-0.0087987,,,81.1992,,,49.5747,,,1.9822,,,3.693,,,0.1828,0.0417,0.005,,,0.118,,,0.0813,,,,,,,26.1767,,,,,8.623,,,2.0738,,,0.0852,,,47.9979,,,587.8557,0.533222
75.8952,,,8.5,,,-0.0087003,,,81.2411,,,45.5209,,,1.5812,,,3.693,,,0.189,0.0431,0.0096,,,0.1185,,,0.0815,,,,,,,26.1767,,,,,8.6054,,,2.0648,,,0.0852,,,46.1923,,,594.1893,0.515048
