DEPTH,ADTEMP:1,ADTEMP:2,ADTEMP:3,ARH16P:1,ARH16P:2,ARH16P:3,ARH32P:1,ARH32P:2,ARH32P:3,ARH48P:1,ARH48P:2,ARH48P:3,DGRCC:1,DGRCC:2,DGRCC:3,DGRCC:4,GBCGC:1,GBCGC:2,GBCGC:3,R09P:1,R09P:2,R09P:3,R15P:1,R15P:2,R15P:3,R27P:1,R27P:2,R27P:3,R39P:1,R39P:2,R39P:3,TVD:1,TVD:2,TVD:3,TVD:4
340.0044,23.1934,,,,,,,,,,,,37.9754,,,,,,,0.14,,,0.1796,,,1214.978,,,1312.3192,,,339.7032,,,
340.1568,23.1934,,,,,,,,,,,,38.9581,,,,,,,0.1526,,,0.166,,,0.2983,,,1777.4749,,,339.851,,,
340.3092,23.1934,,,,,,,,,,,,38.9551,,,,,,,0.1476,,,0.1539,,,0.2277,,,360.0297,,,340.0064,,,
340.4616,23.1934,,,,,,,,,,,,38.6292,,,,,,,0.1464,,,0.163,,,0.2975,,,1854.9437,,,340.1547,,,
340.614,23.1934,,,,,,,,,,,,40.1076,,,,,,,0.1365,,,0.1638,,,0.9077,,,1971.23,,,340.3094,,,
340.7664,23.1934,,,,,,,,,,,,41.1852,,,,,,,0.1303,,,0.2773,,,2.993,,,872.0637,,,340.4573,,,
340.9188,23.1934,,,,,,,,,,,,46.7701,,,,,,,0.1369,,,0.1851,,,20.7281,,,1250.5604,,,340.6106,,,
341.0712,23.1934,,,,,,,,,,,,46.7656,,,,,,,0.1446,,,0.1673,,,0.9852,,,1272.683,,,340.7615,,,
341.2236,23.1934,,,,,,,,,,,,45.5446,,,,,,,0.1369,,,0.1625,,,1.0619,,,1054.0748,,,340.9167,,,
341.376,23.1934,,,,,,,,,,,,48.459,,,,,,,0.1337,,,0.1757,,,0.6034,,,646.4385,,,341.066,,,
341.5284,23.1934,,,,,,,,,,,,52.9031,,,,,,,0.145,,,0.1686,,,0.8623,,,1274.275,,,341.2204,,,
341.6808,23.1934,,,,,,,,,,,,48.486,,,,,,,0.1515,,,0.1739,,,0.4285,,,1308.2639,,,341.3689,,,
