DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
83.3628,,,,,,,,,,,,,,,,,,,
83.5152,,,,,,,,,,,,,,,,,,,
83.6676,,8.5,,,,,,,,,,,,,,,,,
83.82,,8.5,,,,,,,,,,,,,,,,,
83.9724,,8.5,,,,,,,,,,,,,,,,,
84.1248,,8.5,,,,,,,,,,,,,,,,,
84.2772,,8.5,,,,,,,,,,,,,,,,,
84.4296,,8.5,,,,,,,,,,,,,,,,,
84.582,,8.5,,,,,,,,,,,,,,,,,
84.7344,,8.5,,,,,,,,,,,,,,,,,
84.8868,,8.5,,,,,,,,,,,,,,,,,
85.0392,,8.5,,,,,,,,,,,,,,,,,
85.1916,,8.5,,,,,,,,,,,,,,,,,
85.344,,8.5,,,,,,,,,,,,,,,,,
85.4964,,8.5,,,,,,,,,,,,,,,,,
85.6488,,8.5,,,,,,,,,,,,,,,,,
85.8012,,8.5,,,,,,,,,,,,,,,,,
85.9536,,8.5,,,,,,,,,,,,,,,,,
86.106,,8.5,,,,,,,,,,,,,,,,,
86.2584,,8.5,,,,,,,,,,,,,,,,,
86.4108,,8.5,,,,,,,,,,,,,,,,,
86.5632,,8.5,,,,,,,,,,,,,,,,,
86.7156,,8.5,,,,,,,,,,,,,,,,,
86.868,,8.5,24.57865,,,,,,,,,,,,,,,,
87.0204,,8.5,34.41018,,,,,,,,,,,,,,,,
87.1728,,8.5,36.51748,,,,,,,,,,,,,,,,
87.3252,,8.5,32.30326,,,,,,,,,,,,,,,,
87.4776,,8.5,34.41039,,,,,,,,,,,,,,,,
87.63,,8.5,35.81439,,,,,,,,,,,,,,,,
87.7824,,8.5,29.49434,,,,,,,,,,,,,,,,
87.9348,,8.5,33.00454,,,,,,,,,,,,,,,,
88.0872,,8.5,20.36489,,,,,,,,,,,,,,,,
88.2396,,8.5,30.89913,,,,,,,,,,,,,,,,
88.392,,8.5,33.00534,,,,,,,,,,,,,,,,
88.5444,,8.5,21.06758,,,,,,,,,,,,,,,,
88.6968,,8.5,27.38654,,,,,,,,,,,,,,0.45442,,
88.8492,,8.5,34.4103,,,,,,,,,,,,,,0.68206,,
89.0016,,8.5,30.19671,,,,,,,,,,,,,,0.69457,,
