DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
71.933,,,,,,,,,,,
72.085,,,,,,,,,,,
72.238,12.25,,,,,,,,,,
72.39,12.25,,,,,,,,,,
72.542,12.25,,,,,,,,,,
72.695,12.25,,,,,,,,,,
72.847,12.25,,,,,,,,,,
73.0,12.25,,,,,,,,,,
73.152,12.25,,,,,,,,,,
73.304,12.25,,,,,,,,,,
73.457,12.25,,,,,,,,,,
73.609,12.25,,,,,,,,,,
73.762,12.25,,,,,,,,,,
73.914,12.25,,,,,,,,,,
74.066,12.25,,,,,,,,,,
74.219,12.25,,,,,,,,,,
74.371,12.25,,,,,,,,,,
74.524,12.25,,,,,,,,,,
74.676,12.25,,,,,,,,,,
74.828,12.25,,30.451,,,,,,,,
74.981,12.25,,26.868,,,,,,,,
75.133,12.25,,25.184,,,,,,,,
75.286,12.25,,24.718,,,,,,,,
75.438,12.25,,25.825,,,,,,,,
75.59,12.25,,26.763,,,,,,,,
75.743,12.25,,27.752,,,,,,,,
75.895,12.25,,25.873,,,,,,,,
76.048,12.25,,24.771,,,,,,,,
76.2,12.25,,23.775,,,,,,,,
76.352,12.25,,24.644,,,,,,,,
76.505,12.25,,25.871,,,,,,,,
76.657,12.25,,25.981,,,,,,,,
76.81,12.25,,26.005,,,,,,,,
76.962,12.25,,25.277,,,,,,,,
77.114,12.25,,26.567,,,,,,,,
77.267,12.25,,28.988,,,,,,,,
77.419,12.25,,28.838,,,,,,,,
77.572,12.25,,27.045,,,,,,,,
77.724,12.25,,26.986,,,,,,,,
77.876,12.25,,28.775,,,,,,,,
78.029,12.25,,30.331,,,,,,,,
78.181,12.25,,32.005,,,,,,,,
78.334,12.25,,33.079,,,,,,,,
78.486,12.25,,34.799,,,,,,,,
78.638,12.25,,34.441,,,,,,,,
78.791,12.25,,34.442,,,,,,,,
78.943,12.25,,33.295,,,,,,,,
79.096,12.25,,30.071,,,,,,,,
79.248,12.25,,28.399,,,,,,,,
79.4,12.25,,28.35,,,,,,,,
79.553,12.25,,33.306,,,,,,,,
79.705,12.25,,38.198,,,,,,,,
79.858,12.25,,39.791,,,,,,,,
80.01,12.25,,38.417,,,,,,,,
80.162,12.25,,35.852,,,,,,,,
80.315,12.25,,35.254,,,,,,,,
80.467,12.25,,36.448,,,,,,,,
80.62,12.25,,36.805,,,,,,,,
80.772,12.25,,38.801,,,,,,,,
80.924,12.25,,37.87,,,,,,,,
81.077,12.25,,38.41,,,,,,,,
81.229,12.25,,39.007,,,,,,,,
81.382,12.25,,40.999,,,,,,,,
81.534,12.25,,37.896,,,,,,,,
81.686,12.25,,34.43,,,,,,,,
81.839,12.25,,32.898,,,,,,,,
81.991,12.25,,34.967,,,,,,,,
82.144,12.25,,38.192,,,,,,,,
82.296,12.25,,39.33,,,,,,,,
82.448,12.25,,40.57,,,,,,,,
82.601,12.25,,39.194,,,,,,,,
82.753,12.25,,36.266,,,,,,,,
82.906,12.25,,34.987,,,,,,,,
83.058,12.25,,36.734,,,,,,,,
83.21,12.25,,38.826,,,,,,,,
83.363,12.25,,39.427,,,,,,,,
83.515,12.25,,37.636,,,,,,,,
83.668,12.25,,38.654,,,,,,,,
83.82,12.25,,40.504,,,,,,,,
83.972,12.25,,39.16,,,,,,,,
84.125,12.25,,34.44,,,,,,,,
84.277,12.25,,30.979,,,,,,,,
84.43,12.25,,31.625,,,,,,,,
84.582,12.25,,30.01,,,,,,,,
84.734,12.25,,25.891,,,,,,,,
84.887,12.25,,24.948,,,,,,,,
85.039,12.25,,28.115,,,,,,,,
85.192,12.25,,32.115,,,,,,,,
85.344,12.25,,31.864,,,,,,,,
85.496,12.25,,30.489,,,,,,,,
85.649,12.25,,31.743,,,,,,,,
85.801,12.25,,32.956,,,,,,,,
85.954,12.25,,35.772,,,,,,,,
86.106,12.25,,33.443,,,,,,,,
86.258,12.25,,31.414,,,,,,,,
86.411,12.25,,32.758,,,,,,,,
86.563,12.25,,35.926,,,,,,,,
86.716,12.25,,39.207,,,,,,,,
86.868,12.25,,38.684,,,,,,,,
87.02,12.25,,37.225,,,,,,,,
87.173,12.25,,34.601,,,,,,,,
87.325,12.25,,29.704,,,,,,,,
87.478,12.25,,26.119,,,,,,,,
87.63,12.25,,25.881,,,,,,,,
87.782,12.25,,27.971,,,,,,,,
87.935,12.25,,29.913,,,,,,,,
88.087,12.25,,30.867,,,,,,,,
88.24,12.25,,30.866,,,,,,,,
88.392,12.25,,30.019,,,,,,,,
88.544,12.25,,31.212,,,,,,,,
88.697,12.25,,31.867,,,,,,,,
88.849,12.25,,30.626,,,,,,,,
89.002,12.25,,26.79,,,,,,,,
89.154,12.25,,26.671,,,,,,,,
89.306,12.25,,29.718,,,,,,,,
89.459,12.25,,32.304,,,,,,,,
89.611,12.25,,30.572,,,,,,,,
89.764,12.25,,28.36,,,,,,,,
89.916,12.25,,27.613,,,,,,,,
90.068,12.25,,28.209,,,,,,,,
90.221,12.25,,29.045,,,,,,,,
90.373,12.25,,28.123,,,,,,,,
90.526,12.25,,28.757,,,,,,,,
90.678,12.25,,29.716,,,,,,,,
90.83,12.25,,27.748,,,,,,,,
90.983,12.25,,27.349,,,,,,,,
91.135,12.25,,30.455,,,,,,,,
91.288,12.25,,34.516,,,,,,,,
91.44,12.25,,34.316,,,,,,,,
91.592,12.25,,33.36,,,,,,,,
91.745,12.25,,33.36,,,,,,,,
91.897,12.25,,33.36,,,,,,,,
92.05,12.25,,32.403,,,,,,,,
92.202,12.25,,35.328,,,,,,,,
92.354,12.25,,38.925,,,,,,,,
92.507,12.25,,42.119,,,,,,,,
92.659,12.25,,40.926,,,,,,,,
92.812,12.25,,43.194,,,,,,,,
92.964,12.25,,43.282,,,,,,,,
93.116,12.25,,46.01,,,,,,,,
93.269,12.25,,45.708,,,,,,,,
93.421,12.25,,43.134,,,,,,,,
93.574,12.25,,39.108,,,,,,,,
93.726,12.25,,38.516,,,,,,,,
93.878,12.25,,40.19,,,,,,,,
94.031,12.25,,43.078,,,,,,,,
94.183,12.25,,46.236,,,,,,,,
94.336,12.25,,48.446,,,,,,,,
94.488,12.25,,48.845,,,,,,,,
94.64,12.25,,48.371,,,,,,,,
94.793,12.25,,50.878,,,,,,,,
94.945,12.25,,51.226,,,,,,,,
95.098,12.25,,47.587,,,,,,,,
95.25,12.25,,42.512,,,,,,,,
95.402,12.25,,41.767,,,,,,,,
95.555,12.25,,44.51,,,,,,,,
95.707,12.25,,48.031,,,,,,,,
95.86,12.25,,52.422,,,,,,,,
96.012,12.25,,51.231,,,,,,,,
96.164,12.25,,50.994,,,,,,,,
96.317,12.25,,46.934,,,,,,,,
96.469,12.25,,46.884,,,,,,,,
96.622,12.25,,45.03,,,,,,,,
96.774,12.25,,44.552,,,,,,,,
96.926,12.25,,41.622,,,,,,,,
97.079,12.25,,39.708,,,,,,,,
97.231,12.25,,37.02,,,,,,,,
97.384,12.25,,37.138,,,,,,,,
97.536,12.25,,42.511,,,,,,,,
97.688,12.25,,46.755,,,,,,,,
97.841,12.25,,48.964,,,,,,,,
97.993,12.25,,45.377,,,,,,,,
98.146,12.25,,45.855,,,,,,,,
98.298,12.25,,49.139,,,,,,,,
98.45,12.25,,50.532,,,,,,,,
98.603,12.25,,49.875,,,,,,,,
98.755,12.25,,45.221,,,,,,,,
98.908,12.25,,41.789,,,,,,,,
99.06,12.25,,39.696,,,,,,,,
99.212,12.25,,39.875,,,,,,,,
99.365,12.25,,39.425,,,,,,,,
99.517,12.25,,37.218,,,,,,,,
99.67,12.25,,35.486,,,,,,,,
99.822,12.25,,37.196,,,,,,,,
