DEPT,BS,CALI,DSOZ,RT,DT,TENS:1,PEFZ,RSOZ,TNPH:1,RLA2,RLA4,GR:1,GR:2,RLA3,RLA5,TENS:2,NPHI,SP,RLA1,GR:3,RXO,RHOZ,RLA0,RXOZ,GR:4,TNPH:2
71.933,,,,,,,,,,,,,,,,,,,,,,,,,,
72.085,,,,,,,,,,,,,,,,,,,,,,,,,,
72.238,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
72.39,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
72.542,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
72.695,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
72.847,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.152,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.304,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.457,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.609,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.762,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
73.914,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.066,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.219,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.371,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.524,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.676,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
74.828,12.25,,,,,,,,,,,,,,,,,,,,,,,,30.451,
74.981,12.25,,,,,,,,,,,,,,,,,,,26.739,,,,,26.868,
75.133,12.25,,,,,,,,,,,,,,,,,,,23.237,,,,,25.184,
75.286,12.25,,,,,,,,,,,,,,,,,,,25.598,,,,,24.718,
75.438,12.25,,,,,,,,,,,33.642,33.548,,,,,,,25.482,,,,,25.825,
75.59,12.25,,,,,,,,,,,32.752,32.632,,,,,,,26.281,,,,,26.763,
75.743,12.25,,,,,,,,,,,32.449,32.117,,,,,,,28.33,,,,,27.752,
75.895,12.25,,,,,,,,,,,35.076,33.205,,,,,,,28.544,,,,,25.873,
76.048,12.25,,,,,,,,,,,34.45,40.933,,,,,,,21.018,,,,,24.771,
76.2,12.25,,,,,,,,,,,34.76,29.941,,,,,,,24.885,,,,,23.775,
76.352,12.25,,,,,,,,,,,32.443,33.662,,,,,,,25.422,,,,,24.644,
76.505,12.25,,,,,,,,,,,32.746,33.662,,,,,,,23.489,,,,,25.871,
76.657,12.25,,,,,,,,,,,32.221,30.915,,,,,,,28.385,,,,,25.981,
76.81,12.25,,,,,,,,,,,32.641,32.11,,,,,,,27.339,,,,,26.005,
76.962,12.25,,,,,,,,,,,33.877,34.922,,,,,,,24.19,,,,,25.277,
77.114,12.25,,,,,,,,,,,34.46,34.588,,,,,,,26.057,,,,,26.567,
77.267,12.25,,,,,,,,,,,34.129,33.548,,,,,,,30.028,,,,,28.988,
77.419,12.25,,,,,,,,0.755,,,33.923,33.224,,,,0.69,,,30.741,,,,,28.838,
77.572,12.25,,,,,,,,0.755,,,34.176,33.347,,,,0.718,,,25.957,,,,,27.045,0.808
77.724,12.25,,,,,,,,0.872,,,34.889,33.205,,,,0.698,,,24.2,,,,,26.986,0.876
77.876,12.25,,,,,,,,0.877,,,35.92,36.925,,,,0.71,,,31.189,,,,,28.775,0.878
78.029,12.25,,,,,,,,0.916,,,34.12,38.644,,,,0.683,,,31.324,,,,,30.331,0.904
78.181,12.25,,,,,,,,0.767,,,36.868,29.197,,,,0.702,,,28.535,,,,,32.005,0.772
78.334,12.25,,,,,,,,0.824,,,35.151,42.936,,,,0.757,,,36.123,,,,,33.079,0.823
78.486,12.25,,,,,,,,0.975,,,38.471,30.056,,,,0.748,,,34.609,,,,,34.799,0.975
78.638,12.25,,,,,,,,0.846,,,37.155,40.36,,,,0.701,,,34.209,,,,,34.441,0.848
78.791,12.25,,,,,,,,0.766,,,38.528,40.36,,,,0.69,,,34.331,,,,,34.442,0.771
78.943,12.25,,,,,,,,0.789,,,40.589,32.631,,,,0.689,,,34.611,,,,,33.295,0.783
79.096,12.25,,,,,,,,0.756,,,40.189,48.089,,,,0.728,,,30.769,,,,,30.071,0.64
79.248,12.25,,,,,,,,0.829,,,41.62,39.502,,,,0.648,,,24.481,,,,,28.399,0.668
79.4,12.25,,,,,,,,0.65,,,41.964,40.36,,,,0.657,,,29.377,,,,,28.35,0.57
79.553,12.25,,,,,,,,0.709,,,41.964,48.089,,,,0.571,,,30.621,,,,,33.306,0.711
79.705,12.25,,,,,,,,0.539,,,41.391,36.067,,,,0.641,,,38.661,,,,,38.198,0.603
79.858,12.25,,,,,,,,0.656,,,38.643,38.643,,,,0.682,,,44.6,,,,,39.791,0.782
80.01,12.25,,,,,,,,0.695,,,36.925,36.926,,,,0.861,,,35.4,,,,,38.417,0.842
80.162,12.25,,,,,,,,1.334,,,40.074,31.773,,,,0.756,,,35.225,,,,,35.852,1.372
80.315,12.25,,,,,,,,0.783,,,41.792,48.09,,,,0.718,,,36.535,,,,,35.254,0.705
80.467,12.25,,,,,,,,0.724,,,46.257,42.078,,,,0.588,,,33.606,,,,,36.448,0.666
80.62,12.25,,,,,,,,0.591,,,43.394,49.806,,,,0.593,,,39.706,,,,,36.805,0.582
80.772,12.25,,,,,,,,0.586,,,44.425,39.501,,,,0.572,,,37.576,,,,,38.801,0.569
80.924,12.25,,,,,,,,0.537,,,44.425,48.089,,,,0.59,,,39.121,,,,,37.87,0.529
81.077,12.25,,,,,,,,0.545,,,43.28,47.231,,,,0.663,,,36.436,,,,,38.41,0.533
81.229,12.25,3.611,0.472,,,,9.663,,0.628,,,38.987,33.491,,,,0.774,,,38.936,,2.374,,,39.007,0.609
81.382,12.25,3.619,0.472,,,,9.663,0.309,0.972,,,34.521,33.49,,,,0.789,,,42.107,,2.374,,0.036,40.999,0.914
81.534,12.25,3.619,0.472,,,,9.663,0.311,1.053,,,35.551,34.35,,,,0.798,,,42.411,,2.374,,0.036,37.896,0.963
81.686,12.25,3.604,0.472,,,,9.663,0.308,1.199,,,36.067,40.36,,,,0.694,,,30.73,,2.374,,0.036,34.43,1.155
81.839,12.25,3.619,0.472,,,,9.663,0.31,0.831,,,37.326,33.491,,,,0.636,,,30.896,,2.374,,0.036,32.898,0.773
81.991,12.25,3.611,0.472,,,,9.663,0.309,0.642,,,40.418,37.785,,,,0.564,,,37.632,,2.374,,0.036,34.967,0.606
82.144,12.25,3.596,0.472,,,,9.663,0.315,0.497,,,39.731,49.807,,,,0.565,,,36.099,,2.374,,0.036,38.192,0.484
82.296,12.25,3.596,0.472,,,,9.663,0.315,0.504,,,46.028,32.632,,,,0.625,,,40.154,,2.374,,0.036,39.33,0.489
82.448,12.25,3.613,0.472,,,,9.663,0.314,0.589,,,43.967,56.677,,,,0.678,,,41.072,,2.374,,0.036,40.57,0.592
82.601,12.25,3.61,0.472,,,,9.66,0.312,0.791,,,49.806,44.653,,,,0.675,,,39.82,,2.369,,0.036,39.194,0.796
82.753,12.25,3.613,0.47,,,,9.665,0.31,0.776,,,44.31,49.807,,,,0.682,,,36.71,,2.358,,0.036,36.266,0.869
82.906,12.25,3.619,0.451,,,,9.664,0.308,0.852,,,48.547,41.219,,,,0.722,,,32.419,,2.341,,0.036,34.987,0.9
83.058,12.25,3.612,0.431,,,,9.692,0.309,1.022,,,48.891,54.959,,,,0.745,,,36.544,,2.328,,0.036,36.734,1.126
83.21,12.25,3.619,0.414,,,,9.727,0.308,1.191,,,50.608,52.383,,,,0.649,,,41.775,,2.315,,0.036,38.826,1.272
