DEPT,ROP,GR,T-TEMP
0.0,,,
0.1524,,,
0.3048,,,
0.4572,,,
0.6096,,,
0.762,,,
0.9144,,,
1.0668,,,
1.2192,,,
1.3716,,,
1.524,,,
1.6764,,,
1.8288,,,
1.9812,,,
2.1336,,,
2.286,,,
2.4384,,,
2.5908,,,
2.7432,,,
2.8956,,,
3.048,,,
3.2004,,,
3.3528,,,
3.5052,,,
3.6576,,,
3.81,,,
3.9624,,,
4.1148,,,
4.2672,,,
4.4196,,,
4.572,,,
4.7244,,,
4.8768,,,
5.0292,,,
5.1816,,,
5.334,,,
5.4864,,,
5.6388,,,
5.7912,,,
5.9436,,,
6.096,,,
6.2484,,,
6.4008,,,
6.5532,,,
6.7056,,,
6.858,,,
7.0104,,,
7.1628,,,
7.3152,,,
7.4676,,,
7.62,,,
7.7724,,,
7.9248,,,
8.0772,,,
8.2296,,,
8.382,,,
8.5344,,,
8.6868,,,
8.8392,,,
8.9916,,,
9.144,,,
9.2964,,,
9.4488,,,
9.6012,,,
9.7536,,,
9.906,,,
10.0584,,,
10.2108,,,
10.3632,,,
10.5156,,,
10.668,,,
10.8204,,,
10.9728,,,
11.1252,,,
11.2776,,,
11.43,,,
11.5824,,,
11.7348,,,
11.8872,,,
12.0396,,,
12.192,,,
12.3444,,,
12.4968,,,
12.6492,,,
12.8016,,,
12.954,,,
13.1064,,,
13.2588,,,
13.4112,,,
13.5636,,,
13.716,,,
13.8684,,,
14.0208,,,
14.1732,,,
14.3256,,,
14.478,,,
14.6304,,,
14.7828,,,
14.9352,,,
15.0876,,,
15.24,,,
15.3924,,,
15.5448,,,
15.6972,,,
15.8496,,,
16.002,,,
16.1544,,,
16.3068,,,
16.4592,,,
16.6116,,,
16.764,,,
16.9164,,,
17.0688,,,
17.2212,,,
17.3736,,,21.5471
17.526,,,21.5598
17.6784,,,21.5725
17.8308,,,21.5872
17.9832,,,21.6261
18.1356,,,21.6651
18.288,,,21.704
18.4404,,,21.7429
18.5928,,,21.775
18.7452,,,21.8049
18.8976,,,21.8344
19.05,,,21.8836
19.2024,,,21.9223
19.3548,,,21.9699
19.5072,,,22.0067
19.6596,,,22.0217
19.812,,,22.07
19.9644,,,22.0955
20.1168,,,22.117
20.2692,,,22.1399
20.4216,,,22.1578
20.574,,,22.176
20.7264,,,22.187
20.8788,,,22.1895
21.0312,,,22.192
21.1836,,,22.1945
21.336,,,22.197
21.4884,,,22.1995
21.6408,,,22.202
21.7932,,,22.2017
21.9456,,48.5834,22.1996
22.098,,48.5834,22.1974
22.2504,,48.3045,22.1953
22.4028,,47.9896,22.1952
22.5552,,47.6747,22.1973
22.7076,,47.5306,22.1993
22.86,,49.2116,22.2014
23.0124,,50.8926,22.2023
23.1648,,52.5735,22.2067
23.3172,,54.2545,22.2112
23.4696,,53.608,22.2157
23.622,,52.8905,22.2175
23.7744,,54.1154,22.2175
23.9268,,53.3267,22.2175
24.0792,,53.2973,22.2175
24.2316,,53.0418,22.2246
24.384,,51.8097,22.235
24.5364,,52.1223,22.2404
24.6888,,50.1716,22.2404
24.8412,,49.9793,22.2404
24.9936,,50.8739,22.2424
25.146,,49.6946,22.2455
25.2984,,51.1669,22.2439
25.4508,,51.7972,22.2421
25.6032,,51.8371,22.2404
25.7556,,51.528,22.2404
25.908,,52.2845,22.2404
26.0604,,53.0399,22.2404
26.2128,,53.5909,22.2383
26.3652,,53.5164,22.2266
26.5176,,52.3662,22.2149
26.67,,51.0848,22.2033
26.8224,,51.5989,22.1916
26.9748,,51.1714,22.1909
27.1272,,51.4202,22.1968
27.2796,,52.7596,22.208
27.432,,51.3777,22.212
27.5844,,51.8996,22.2222
27.7368,,52.0646,22.2248
27.8892,,53.0729,22.2293
28.0416,,54.9633,22.2364
28.194,,51.732,22.2448
28.3464,,50.0755,22.2541
28.4988,,49.0403,22.2633
28.6512,,47.7295,22.2609
28.8036,,51.1972,22.2558
28.956,,52.212,22.2507
29.1084,,54.2093,22.248
29.2608,,53.6638,22.2457
29.4132,,52.2603,22.2429
29.5656,,51.0564,22.2404
29.718,,49.5198,22.2511
29.8704,,49.2063,22.267
30.0228,,50.039,22.2786
30.1752,,51.6627,22.2738
30.3276,,52.5992,22.2683
30.48,,52.567,22.2633
30.6324,,53.2922,22.2672
30.7848,,53.4222,22.273
30.9372,,54.2703,22.2786
31.0896,,55.0452,22.2834
31.242,,55.8589,22.2919
31.3944,,56.2631,22.3004
31.5468,,55.8838,22.298
31.6992,,54.8961,22.2924
31.8516,,53.9084,22.2869
32.004,,52.9207,22.2949
32.1564,,51.5475,22.3025
32.3088,,50.3071,22.3091
32.4612,,52.9386,22.3091
32.6136,,52.4354,22.3091
32.766,,52.4389,22.2955
32.9184,,53.6232,22.2923
33.0708,,52.122,22.2839
33.2232,,54.6276,22.2729
33.3756,,54.0967,22.2709
33.528,,54.6657,22.2709
33.6804,,52.9276,22.2683
33.8328,,51.4139,22.2657
33.9852,,51.4636,22.2633
34.1376,,51.1699,22.2559
34.29,,51.2169,22.2439
34.4424,,51.1168,22.2328
34.5948,,52.5245,22.2285
34.7472,,53.7686,22.2221
34.8996,,54.3751,22.2175
35.052,,53.9769,22.2113
35.2044,,53.9302,22.2041
