DEPT,TNPH_SAN:1,DPHI_SAN:1,CS:1,RLA4,TENS:1,TNPH_DOL:1,NPHI_DOL,GDEV_EDTC,DPHZ,RSOZ,RHOZ,RLA5,TNPH_LIM:1,VCL,NPOR_DOL:1,NPOR:1,SMIN,PEFZ,TNPH:1,RLA1,DT,RXOZ,AZIM,NPHI_SAN,NPOR_SAN:1,TNPH:2,RLA0,RHGX,RXO,GR:1,CVEL:1,SVEL,CALI,SPHI,RO,CVEL:2,TNPH_SAN:2,TNPH_DOL:2,NPOR:2,SMNO,TNPH_LIM:2,GR:2,DPHI_SAN:2,RLA2,UZ,DPHI_DOL:1,GR:3,DCAL,DPHI_DOL:2,MRES,INCL,NPOR_LIM:1,GR:4,ITT,CS:2,HTEN,NPOR_LIM:2,NPHI,NPOR_SAN:2,DPHI_LIM:1,RT,BS,NPOR_DOL:2,NPHI_LIM,DSOZ,DPHI_LIM:2,TENS:2,RLA3
1599.8952,,0.15411,,5.15422,,,,,0.18312,0.11088,2.39687,5.26273,,,,,,3.26804,,4.80803,97.22178,1.76619,,,,,0.09617,,3.5171,,,3135.1,8.92462,0.265,,,,,,,,,0.15341,4.90718,7.8928,0.24493,,,0.24556,0.10086,,,,0.06192,,,,,,0.18379,5.44734,,,,0.20818,0.18312,,5.0638
1600.0476,0.3646,0.13837,535.8136,5.0587,3810.62399,0.27792,0.23184,41.04353,0.18202,0.10802,2.39875,5.16157,0.31759,0.6847,0.26781,0.30696,0.57064,3.28781,0.31759,4.84614,97.97814,1.755,346.6767,0.33528,0.38526,0.31788,0.09591,2.88998,3.95235,109.0113,-534.9909,3110.898,8.97087,0.26778,7.81507,-535.8136,0.36487,0.27767,0.3385,0.67386,0.31788,106.1177,0.15227,4.83687,7.94629,0.24392,97.94791,0.47087,0.23152,0.09634,40.35747,0.30696,116.8692,0.06187,534.9909,1347.12285,0.3385,0.29266,0.35406,0.1686,5.1781,8.5,0.29714,0.29266,0.21151,0.18202,3766.99981,4.96878
1600.2,0.36454,0.14469,537.2549,4.94534,3814.33334,0.27787,0.25253,41.05083,0.17839,0.10424,2.40495,5.05122,0.31753,0.7222,0.27786,0.31779,0.51917,3.29667,0.31753,4.61857,97.48921,1.80577,346.6767,0.35197,0.35415,0.31782,0.09678,2.89445,3.34248,113.8866,-539.4961,3126.5,8.99399,0.26599,7.90825,-537.2549,0.36482,0.27762,0.30707,0.63429,0.31782,118.4191,0.14851,4.72929,7.98681,0.24057,116.9817,0.49399,0.23715,0.09876,40.34964,0.31779,112.7391,0.06183,539.4961,1341.96821,0.30707,0.30662,0.3648,0.1747,5.23849,8.5,0.26789,0.30662,0.21743,0.17839,3771.66685,4.85684
1600.3524,0.37697,0.1392,539.4684,5.0381,3819.00037,0.29008,0.26491,41.0382,0.17162,0.10793,2.41652,5.14895,0.33108,0.75725,0.30189,0.34486,0.54599,3.2831,0.33108,4.64008,97.25089,1.79216,346.6766,0.36196,0.42503,0.33232,0.09737,2.91691,3.2996,118.4425,-540.7047,3134.161,9.16356,0.26511,7.75105,-539.4684,0.3781,0.28904,0.38011,0.65224,0.33232,114.5457,0.1415,4.80087,7.98944,0.23431,128.2785,0.66356,0.23226,0.10278,40.34204,0.34486,118.0672,0.06178,540.7047,1344.98987,0.38011,0.31497,0.39055,0.1694,5.40799,8.5,0.33486,0.31497,0.22276,0.17162,3830.66571,4.95254
1600.5048,0.38097,0.14259,540.4089,5.09331,3728.26748,0.29378,0.2662,41.02245,0.17026,0.10716,2.41886,5.21474,0.33546,0.74008,0.29538,0.33831,0.54805,3.24924,0.33546,4.72405,97.84921,1.74037,346.6766,0.363,0.40373,0.33672,0.10093,2.92295,3.39416,116.2098,-540.5244,3114.997,8.98628,0.26731,7.68648,-540.4089,0.38212,0.29273,0.35872,0.64788,0.33672,119.1105,0.14008,4.86125,7.91415,0.23305,109.201,0.48628,0.23529,0.10345,40.33442,0.33831,121.3334,0.06173,540.5244,1315.83889,0.35872,0.31584,0.38378,0.17268,5.44306,8.5,0.31432,0.31584,0.21598,0.17026,3721.33437,5.01851
1600.6572,0.37513,0.14845,537.7057,5.01537,3768.43859,0.28838,0.27397,41.00605,0.17377,0.10626,2.41285,5.13658,0.32907,0.71323,0.28201,0.32333,0.51767,3.21742,0.32907,4.68797,97.62604,1.67384,346.6765,0.36926,0.34943,0.3303,0.09988,2.91228,3.47662,112.7195,-535.3255,3122.118,9.1019,0.26649,7.74222,-537.7057,0.37626,0.28734,0.30319,0.62194,0.3303,131.3123,0.14373,4.80467,7.81857,0.2363,112.7901,0.6019,0.24051,0.10358,40.32649,0.32333,127.2073,0.06168,535.3255,1296.15305,0.30319,0.32108,0.36946,0.17833,5.31029,8.5,0.26326,0.32108,0.20106,0.17377,3768.49929,4.95464
1600.8096,0.3834,0.15024,535.9178,4.96185,3764.6663,0.29501,0.284,41.00858,0.1748,0.1009,2.4111,5.07469,0.33813,0.71748,0.30114,0.34475,0.57901,3.19897,0.33813,4.69778,98.75761,1.94968,346.6765,0.37735,0.40159,0.33818,0.0988,2.92023,3.61922,113.2725,-535.0578,3086.344,9.0017,0.2706,7.5126,-535.9178,0.38345,0.29497,0.35665,0.68077,0.33818,129.7628,0.14479,4.77925,7.7685,0.23724,115.4365,0.5017,0.2421,0.10493,40.31858,0.34475,128.7542,0.06163,535.0578,1311.63946,0.35665,0.32785,0.38991,0.18005,5.17932,8.5,0.31225,0.32785,0.19302,0.1748,3802.49939,4.89828
1600.962,0.38632,0.13778,537.2687,5.25667,3716.12555,0.29685,0.28649,40.9996,0.1695,0.10551,2.42016,5.37484,0.34134,0.73127,0.30137,0.34531,0.64644,3.20632,0.34134,4.97221,97.07286,2.2395,346.6764,0.37936,0.40669,0.34037,0.09921,2.92964,3.86556,115.0647,-539.2713,3139.91,9.31772,0.26445,7.57697,-537.2687,0.38543,0.29767,0.36202,0.80388,0.34037,127.4268,0.1393,5.05065,7.81348,0.23235,113.7897,0.81771,0.23099,0.10458,40.31077,0.34531,129.3972,0.06158,539.2713,1292.48709,0.36202,0.32953,0.39022,0.16803,5.47655,8.5,0.31707,0.32953,0.20045,0.1695,3715.99966,5.18575
1601.1144,0.39283,0.1414,537.1095,5.3709,3754.19919,0.30291,0.27607,40.97422,0.16656,0.11593,2.42519,5.48187,0.34854,0.7188,0.29005,0.33385,0.561,3.22441,0.34854,5.1208,97.16256,2.24412,346.6764,0.37096,0.35671,0.34759,0.09878,2.93996,4.0535,113.4435,-535.2579,3137.01,9.1019,0.26478,7.50295,-537.1095,0.39198,0.3037,0.31178,0.7041,0.34759,127.7628,0.13625,5.15715,7.87272,0.22963,114.2094,0.6019,0.23422,0.10617,40.30289,0.33385,127.9869,0.06153,535.2579,1287.93201,0.31178,0.3225,0.3784,0.17153,5.5464,8.5,0.26973,0.3225,0.21498,0.16656,3758.49979,5.29099
1601.2668,0.39533,0.13364,534.4722,5.15589,3846.40009,0.30579,0.24637,40.97513,0.16856,0.12039,2.42176,5.25658,0.3513,0.7256,0.30445,0.34961,0.48841,3.2502,0.3513,4.96207,97.55383,1.89208,346.6763,0.347,0.39058,0.35103,0.09818,2.94027,4.07587,114.3283,-534.5088,3124.429,9.15585,0.26622,7.39715,-534.4722,0.39508,0.30602,0.34644,0.59833,0.35103,129.5641,0.13833,4.97186,7.92529,0.23148,114.066,0.65585,0.2273,0.10478,40.29528,0.34961,126.3407,0.06148,534.5088,1320.12712,0.34644,0.30246,0.39367,0.16403,5.26907,8.5,0.30152,0.30246,0.23174,0.16856,3877.99923,5.07548
