DEPT,GR,ROP
40.0812,46.2282,124.6175
40.2336,44.9093,123.6116
40.386,46.1872,88.0872
40.5384,44.7322,59.5046
40.6908,44.289,40.7245
40.8432,45.2626,21.1866
40.9956,46.2361,21.0312
41.148,47.2096,21.2232
41.3004,46.5448,21.4335
41.4528,44.6836,21.1563
41.6052,43.1005,20.7039
41.7576,41.3855,20.5232
41.91,39.2969,20.4114
42.0624,37.9543,20.5114
42.2148,36.2802,20.5307
42.3672,36.0079,20.5
42.5196,37.5154,20.4303
42.672,39.0021,20.5522
42.8244,40.5185,20.5831
42.9768,40.501,20.5923
43.1292,40.4541,20.6929
43.2816,40.7864,20.6563
43.434,40.8342,20.7477
43.5864,41.0786,20.8222
43.7388,41.9805,20.709
43.8912,41.9656,20.7203
44.0436,41.6819,20.6014
44.196,42.6148,20.5831
44.3484,43.1346,20.6472
44.5008,44.5086,20.6269
44.6532,43.7965,20.6959
44.8056,43.5928,20.7366
44.958,43.6507,20.7569
45.1104,44.1476,20.6837
45.2628,45.7827,20.5374
45.4152,46.9048,20.439
45.5676,46.9168,20.4551
45.72,45.5208,20.5307
45.8724,44.0604,20.5842
46.0248,41.0257,20.2136
46.1772,40.7926,17.6276
46.3296,40.915,15.1983
46.482,40.5571,14.9779
46.6344,41.2781,17.3126
46.7868,41.9129,22.7555
46.9392,42.1827,29.5482
47.0916,42.6066,34.3357
47.244,42.8138,35.9119
47.3964,42.3476,37.6022
47.5488,42.103,38.669
47.7012,41.5544,39.2614
47.8536,42.2898,40.8097
48.006,41.9307,41.0522
48.1584,42.0554,41.5234
48.3108,42.0336,40.6571
48.4632,40.1857,37.3685
48.6156,40.1969,34.0802
48.768,39.1239,28.0961
48.9204,39.96,21.9215
49.0728,41.5555,17.968
49.2252,40.4258,13.5812
49.3776,40.2519,12.445
49.53,41.4938,13.1308
49.6824,41.1045,15.2657
49.8348,40.4614,16.2946
49.9872,41.1503,16.889
50.1396,40.6707,18.6629
50.292,41.1343,18.4883
50.4444,42.3081,20.6741
50.5968,41.9015,19.751
50.7492,41.4215,21.9456
50.9016,40.6808,24.6599
51.054,37.9627,22.706
51.2064,38.242,25.6946
51.3588,39.0003,27.8689
51.5112,39.1022,28.2886
51.6636,42.1721,27.3325
51.816,44.4034,22.7156
51.9684,46.2071,21.5606
52.1208,46.6166,21.5221
52.2732,46.5741,23.1295
52.4256,46.6765,29.8864
52.578,47.7025,27.7246
52.7304,47.2413,32.7812
52.8828,47.4825,30.7604
53.0352,46.3883,24.2342
53.1876,45.3349,22.0419
53.34,44.2373,14.5252
53.4924,44.0921,10.5613
53.6448,43.116,10.5664
53.7972,41.2298,11.8102
53.9496,40.1166,12.3396
54.102,40.3473,13.2059
54.2544,39.5436,13.0422
54.4068,40.2077,13.0251
54.5592,40.3767,12.3546
54.7116,39.5749,11.491
54.864,38.3929,11.9421
55.0164,39.3844,11.504
55.1688,39.9368,11.8679
55.3212,39.3475,12.638
55.4736,39.15,12.8914
55.626,38.2565,14.2454
55.7784,37.707,15.7734
55.9308,38.8551,18.8453
56.0832,38.7867,21.2242
56.2356,40.0752,23.7041
56.388,40.0879,32.9849
56.5404,40.056,46.1467
56.6928,40.393,59.3085
56.8452,40.7669,60.0761
56.9976,41.1794,54.8255
57.15,41.8271,52.1848
57.3024,41.8724,42.1538
57.4548,41.8531,36.9143
57.6072,41.571,34.4777
57.7596,41.0083,32.0954
57.912,40.3476,29.1602
58.0644,39.2508,30.3398
58.2168,38.2916,30.5497
58.3692,38.7884,30.689
58.5216,38.9652,29.3131
58.674,39.6796,27.5452
58.8264,40.3935,26.0267
58.9788,40.4481,25.5647
59.1312,39.4828,26.5032
59.2836,40.0029,26.4117
59.436,40.2736,27.5417
59.5884,40.5467,27.8848
59.7408,40.0864,27.9981
59.8932,39.369,29.0605
60.0456,38.6516,29.5133
60.198,38.506,29.2347
60.3504,39.0828,27.4668
60.5028,38.9149,23.8528
60.6552,40.0153,20.2736
60.8076,41.6948,17.2778
60.96,41.8998,16.9438
61.1124,44.7593,18.288
61.2648,46.8887,20.1259
61.4172,48.9422,20.0879
61.5696,51.1098,19.8377
61.722,51.6428,17.8645
