DEPT,GR,ROP
40.0812,45.8728,124.6175
40.2336,43.7333,123.6116
40.386,44.3707,88.0872
40.5384,43.5182,59.5046
40.6908,41.4553,40.7245
40.8432,43.6811,21.1866
40.9956,45.907,21.0312
41.148,47.0,21.2232
41.3004,47.0,21.4335
41.4528,44.4733,21.1563
41.6052,41.6551,20.7039
41.7576,40.709,20.5232
41.91,38.5714,20.4114
42.0624,37.058,20.5114
42.2148,35.9626,20.5307
42.3672,35.3471,20.5
42.5196,35.849,20.4303
42.672,37.9548,20.5522
42.8244,39.6429,20.5831
42.9768,39.5254,20.5923
43.1292,39.875,20.6929
43.2816,41.484,20.6563
43.434,41.1111,20.7477
43.5864,41.5259,20.8222
43.7388,42.3596,20.709
43.8912,41.1724,20.7203
44.0436,40.8933,20.6014
44.196,42.4286,20.5831
44.3484,42.7554,20.6472
44.5008,43.3596,20.6269
44.6532,42.3343,20.6959
44.8056,41.7299,20.7366
44.958,42.0878,20.7569
45.1104,42.3295,20.6837
45.2628,43.5244,20.5374
45.4152,45.0909,20.439
45.5676,45.3413,20.4551
45.72,44.0762,20.5307
45.8724,43.4724,20.5842
46.0248,40.5229,20.2136
46.1772,40.3242,17.6276
46.3296,40.5,15.1983
46.482,40.6091,14.9779
46.6344,41.1648,17.3126
46.7868,41.3741,22.7555
46.9392,41.4882,29.5482
47.0916,42.1865,34.3357
47.244,41.6008,35.9119
47.3964,41.3079,37.6022
47.5488,41.6068,38.669
47.7012,40.4776,39.2614
47.8536,41.0848,40.8097
48.006,41.2794,41.0522
48.1584,41.3074,41.5234
48.3108,42.0523,40.6571
48.4632,39.5764,37.3685
48.6156,40.4494,34.0802
48.768,40.1605,28.0961
48.9204,39.5714,21.9215
49.0728,41.1429,17.968
49.2252,39.816,13.5812
49.3776,39.0,12.445
49.53,40.8093,13.1308
49.6824,40.283,15.2657
49.8348,39.889,16.2946
49.9872,39.597,16.889
50.1396,39.1281,18.6629
50.292,39.2966,18.4883
50.4444,40.3427,20.6741
50.5968,41.239,19.751
50.7492,39.9426,21.9456
50.9016,39.9212,24.6599
51.054,37.824,22.706
51.2064,37.4433,25.6946
51.3588,38.9499,27.8689
51.5112,38.5336,28.2886
51.6636,40.8184,27.3325
51.816,42.9509,22.7156
51.9684,44.9109,21.5606
52.1208,45.5714,21.5221
52.2732,45.7966,23.1295
52.4256,46.2212,29.8864
52.578,46.7998,27.7246
52.7304,46.4286,32.7812
52.8828,46.712,30.7604
53.0352,46.2842,24.2342
53.1876,44.5853,22.0419
53.34,44.5296,14.5252
53.4924,44.5385,10.5613
53.6448,43.3415,10.5664
53.7972,40.9605,11.8102
53.9496,39.8189,12.3396
54.102,38.5747,13.2059
54.2544,37.7983,13.0422
54.4068,38.7813,13.0251
54.5592,39.0049,12.3546
54.7116,38.6976,11.491
54.864,38.0932,11.9421
55.0164,38.985,11.504
55.1688,39.2291,11.8679
55.3212,38.7143,12.638
55.4736,38.12,12.8914
55.626,36.4045,14.2454
55.7784,36.5655,15.7734
55.9308,37.8153,18.8453
56.0832,37.8145,21.2242
56.2356,39.5997,23.7041
