TVD,GR,ROP
40.0812,45.8716,124.6271
40.2336,43.7333,123.5939
40.386,44.3713,88.0651
40.5384,43.5168,59.4882
40.6908,41.4563,40.7124
40.8432,43.6822,21.1859
40.9956,45.9081,21.0314
41.148,47.0,21.2232
41.3004,47.0,21.4338
41.4528,44.4719,21.1562
41.6052,41.6537,20.7038
41.7576,40.7087,20.5232
41.91,38.5714,20.4114
42.0624,37.0569,20.5115
42.2148,35.9623,20.5306
42.3672,35.3467,20.4998
42.5196,35.8503,20.4305
42.672,37.9563,20.5522
42.8244,39.6436,20.5831
42.9768,39.5252,20.5924
43.1292,39.875,20.693
43.2816,41.4836,20.6563
43.434,41.1111,20.7477
43.5864,41.5268,20.8222
43.7388,42.3592,20.7089
43.8912,41.1714,20.7202
44.0436,40.8932,20.6015
44.196,42.4286,20.5833
44.3484,42.7566,20.647
44.5008,43.3591,20.6267
44.6532,42.3336,20.696
44.8056,41.7297,20.7366
44.958,42.0884,20.7569
45.1104,42.3303,20.6833
45.2628,43.5262,20.5374
45.4152,45.0909,20.4392
45.5676,45.3399,20.455
45.72,44.0757,20.5308
45.8724,43.4729,20.5841
46.0248,40.5221,20.2123
46.1772,40.3234,17.6258
46.3296,40.5007,15.1965
46.482,40.6084,14.9793
46.6344,41.1652,17.3169
46.7868,41.3743,22.7603
46.9392,41.4883,29.5524
47.0916,42.1868,34.3363
47.244,41.6007,35.9133
47.3964,41.3094,37.6026
47.5488,41.6053,38.6689
47.7012,40.477,39.2636
47.8536,41.085,40.8101
48.006,41.2792,41.0526
48.1584,41.3077,41.5236
48.3108,42.0515,40.647
48.4632,39.577,37.3687
48.6156,40.4501,34.0808
48.768,40.1606,28.0883
48.9204,39.5714,21.9139
49.0728,41.1429,17.9611
49.2252,39.8145,13.5812
49.3776,39.0,12.4447
49.53,40.8098,13.1313
49.6824,40.2836,15.2672
49.8348,39.8878,16.2953
49.9872,39.5975,16.8901
50.1396,39.1275,18.6602
50.292,39.2975,18.4845
50.4444,40.3437,20.6745
50.5968,41.2373,19.7508
50.7492,39.9436,21.9454
50.9016,39.9201,24.6581
51.054,37.8218,22.7087
51.2064,37.4432,25.6962
51.3588,38.9503,27.8675
51.5112,38.5353,28.2849
51.6636,40.8211,27.3299
51.816,42.9528,22.7126
51.9684,44.913,21.5606
52.1208,45.5714,21.5224
52.2732,45.796,23.1362
52.4256,46.2221,29.8826
52.578,46.799,27.7289
52.7304,46.4286,32.7816
52.8828,46.7142,30.7505
53.0352,46.2825,24.2307
53.1876,44.5836,22.039
53.34,44.5314,14.5201
53.4924,44.5381,10.5612
53.6448,43.339,10.5673
53.7972,40.9581,11.8103
53.9496,39.8156,12.3413
54.102,38.5737,13.2033
54.2544,37.7994,13.0431
54.4068,38.7823,13.0238
54.5592,39.0034,12.3549
54.7116,38.6958,11.4918
54.864,38.0937,11.942
55.0164,38.986,11.5033
55.1688,39.2301,11.8686
55.3212,38.7143,12.6379
55.4736,38.1164,12.8922
55.626,36.4043,14.2439
55.7784,36.5659,15.7762
55.9308,37.8152,18.8497
56.0832,37.8148,21.2255
56.2356,39.6003,23.7052
56.388,39.7711,33.0
56.5404,39.5284,46.1618
56.6928,39.7803,59.3237
56.8452,39.7267,60.069
56.9976,40.4617,54.8191
57.15,40.7825,52.1751
57.3024,40.9234,42.139
57.4548,40.7872,36.9121
57.6072,40.4436,34.4765
57.7596,40.79,32.0914
57.912,39.9728,29.1599
58.0644,39.0682,30.3404
58.2168,38.1062,30.5494
58.3692,38.3554,30.6874
58.5216,38.9608,29.3103
58.674,40.1401,27.5419
58.8264,41.1769,26.0253
58.9788,40.1012,25.5638
59.1312,38.6491,26.5052
59.2836,38.355,26.414
59.436,38.7084,27.5423
59.5884,38.3525,27.8838
59.7408,39.8171,28.0001
59.8932,39.0478,29.0614
60.0456,38.2786,29.5128
60.198,37.6355,29.2342
60.3504,37.9,27.4644
60.5028,37.7943,23.8498
60.6552,39.0168,20.2702
60.8076,40.4862,17.2772
60.96,41.291,16.9448
61.1124,44.7844,18.2905
61.2648,46.7709,20.1274
61.4172,47.75,20.0872
61.5696,50.1141,19.8349
61.722,50.2587,17.8649
61.8744,51.0,16.399
62.0268,51.4283,16.2031
62.1792,50.7587,16.2567
62.3316,51.579,17.5491
62.484,51.9063,18.346
62.6364,51.4641,18.9338
62.7888,52.2631,19.6774
62.9412,52.5009,19.944
63.0936,51.6514,19.5937
63.246,52.0,19.3672
63.3984,52.0684,19.4117
63.5508,51.3998,19.4204
63.7032,52.0534,19.0118
63.8556,53.1904,22.7817
64.008,53.1765,24.7802
64.1604,51.9859,26.9907
64.3128,50.9545,29.4754
64.4652,50.9389,29.4907
64.6176,50.7446,29.7822
64.77,50.039,29.3075
64.9224,50.272,29.7102
65.0748,50.9154,29.0939
65.2272,50.8732,26.3572
65.3796,52.2575,22.5707
65.532,51.4012,21.9792
65.6844,50.1283,22.0261
65.8368,49.6097,24.3976
65.9892,48.9375,28.4241
66.1416,50.6555,30.6637
66.294,52.696,30.8242
66.4464,52.8509,30.6564
66.5988,51.6509,30.4545
66.7512,50.8165,30.0595
66.9036,50.6637,29.9728
67.056,50.7926,30.1025
67.2084,50.5905,30.0838
67.3608,50.4796,30.2238
67.5132,49.7665,30.5045
67.6656,49.8636,30.3389
67.818,49.5884,30.406
67.9704,48.9079,30.1861
68.1228,47.308,30.3285
68.2752,45.5,30.1478
68.4276,44.216,30.4313
68.58,45.3596,30.7436
68.7324,45.4829,30.7133
68.8848,45.4142,30.5215
69.0372,45.0348,30.4535
69.1896,41.3013,30.2485
69.342,42.2961,30.0623
69.4944,44.1101,30.3143
69.6468,43.7993,30.092
69.7992,43.9855,29.9552
69.9516,42.0143,29.9551
70.104,40.4752,29.7915
70.2564,40.0252,29.8624
70.4088,40.8148,29.9912
70.5612,40.9485,29.9565
70.7136,42.3713,29.7994
70.866,42.7222,29.626
71.0184,42.6122,28.5123
71.1708,43.0387,26.5613
71.3232,42.9407,30.4486
71.4756,44.4682,30.5738
71.628,47.6307,30.9164
71.7804,52.4857,31.2524
71.9328,56.909,24.0316
72.0852,62.6496,20.4329
72.2376,66.0,15.1273
72.39,65.2558,12.6711
72.5424,66.957,13.9602
72.6948,67.25,14.4522
72.8472,67.6743,17.2919
72.9996,69.5614,20.1101
73.152,69.848,21.5708
73.3044,70.0525,21.4039
73.4568,69.4603,21.1258
73.6092,68.9096,21.4287
73.7616,67.4286,22.0462
73.914,67.4871,21.4452
74.0664,68.6851,20.5616
74.2188,70.0564,19.192
74.3712,70.8571,17.6424
74.5236,72.1886,17.6196
74.676,70.5,17.6536
74.8284,70.6797,19.1236
74.9808,71.0299,20.3938
75.1332,69.1451,21.2141
75.2856,69.4672,21.1548
75.438,69.9275,19.7077
75.5904,69.7415,18.2606
75.7428,70.2625,18.6443
75.8952,70.4276,19.2694
76.0476,69.8561,21.1474
76.2,69.6536,21.9624
76.3524,69.5167,22.4382
76.5048,69.316,23.1955
76.6572,69.6863,22.9319
76.8096,70.7861,22.4753
76.962,71.6922,22.2556
77.1144,69.4825,22.1675
77.2668,69.3167,23.8405
77.4192,69.0,23.7941
77.5716,68.6326,23.5859
77.724,68.0123,25.5683
77.8764,69.1691,24.2618
78.0288,68.1781,23.4174
78.1812,68.3704,22.5192
78.3336,68.5845,20.7019
78.486,68.3769,17.6795
78.6384,70.0324,17.5916
78.7908,72.8203,17.3233
78.9432,75.2456,16.8541
79.0956,73.647,16.4998
79.248,73.0392,16.2056
79.4004,70.25,16.2861
79.5528,69.4529,16.0874
79.7052,68.705,15.708
79.8576,68.5848,15.6792
80.01,68.0445,16.0394
80.1624,67.7378,18.5273
80.3148,67.8158,18.2411
80.4672,69.172,18.2067
80.6196,68.3355,17.5891
80.772,69.8,14.6404
80.9244,69.5537,12.1361
81.0768,66.5219,11.7823
81.2292,65.2928,13.6269
81.3816,65.396,15.7119
81.534,65.174,17.6026
81.6864,67.3333,20.7368
81.8388,69.0477,21.1132
81.9912,71.2405,21.0609
82.1436,72.3734,21.1631
82.296,73.384,20.1409
82.4484,71.3012,19.1712
82.6008,69.7439,19.5196
82.7532,67.8635,20.7965
82.9056,67.8824,21.9717
83.058,68.7969,21.8414
83.2104,70.2826,20.8619
83.3628,70.8826,20.6114
83.5152,71.6274,17.7991
83.6676,69.8,18.5818
83.82,66.5642,20.206
83.9724,65.1111,26.647
84.1248,65.9494,29.7412
84.2772,66.6951,32.4439
84.4296,68.2306,38.1916
84.582,67.2394,37.6259
84.7344,65.4545,38.6029
84.8868,64.5924,40.1948
85.0392,62.6648,46.4813
85.1916,61.5412,49.9023
85.344,61.799,50.175
85.4964,62.086,49.8138
85.6488,63.3921,40.4398
85.8012,64.7103,30.6765
85.9536,66.1084,21.8042
86.106,68.0022,14.1744
86.2584,70.3149,13.4313
86.4108,72.5,12.5724
86.5632,72.6682,12.7391
86.7156,71.8867,12.1666
86.868,71.0,12.1988
87.0204,70.7907,12.6743
87.1728,72.3876,12.2724
87.3252,72.3471,13.4993
87.4776,70.6667,14.7699
87.63,69.812,14.8159
87.7824,67.94,15.5537
87.9348,67.7229,14.6019
88.0872,69.4985,13.9865
88.2396,68.2927,14.3918
88.392,67.7523,13.9771
88.5444,67.3266,14.3876
88.6968,67.2367,15.3843
88.8492,67.2295,22.2737
89.0016,67.4742,28.5206
89.154,65.3513,31.1812
89.3064,64.7273,33.3401
89.4588,64.0601,38.2041
89.6112,64.0177,36.0797
89.7636,64.3363,35.7518
89.916,62.7784,38.4705
90.0684,61.9114,31.9412
90.2208,62.1102,25.2509
90.3732,63.4026,23.4797
90.5256,65.771,18.5981
90.678,66.4938,15.1307
90.8304,64.8102,16.0775
90.9828,63.8965,15.4012
91.1352,64.0,14.1387
91.2876,65.1654,14.598
91.44,67.165,16.4411
91.5924,68.3333,17.459
91.7448,67.7202,19.1973
91.8972,68.9239,20.8573
92.0496,71.75,20.0134
92.202,71.4286,20.1779
92.3544,71.2086,23.3173
92.5068,70.2787,27.0416
92.6592,69.5556,30.0101
92.8116,67.4832,29.7695
92.964,67.527,25.605
93.1164,66.7076,25.1197
93.2688,68.0,22.7801
93.4212,70.4733,23.0031
93.5736,70.925,23.2652
93.726,68.9746,23.1986
93.8784,66.1018,29.8666
94.0308,63.1925,34.1724
94.1832,61.2794,38.8266
94.3356,59.7853,43.3865
94.488,58.3655,38.7382
94.6404,59.4372,32.7474
94.7928,61.0729,31.9629
94.9452,64.222,30.7201
95.0976,66.9456,25.3837
95.25,66.7578,24.5792
95.4024,66.7263,25.4121
95.5548,68.0127,23.3701
95.7072,68.0754,23.0791
95.8596,67.4439,24.5902
96.012,68.8336,22.6655
96.1644,68.0534,20.3693
96.3168,68.1106,21.7689
96.4692,69.1447,21.1915
96.6216,69.7788,18.5377
96.774,68.3882,18.7833
96.9264,69.0628,19.3559
97.0788,68.1116,16.5024
97.2312,65.9759,17.496
97.3836,65.4377,19.5865
97.536,64.9316,17.4621
97.6884,64.5839,19.2911
97.8408,64.9989,21.073
97.9932,65.1333,19.8176
98.1456,64.2145,21.5453
98.298,64.6092,18.2378
98.4504,65.1651,14.5408
98.6028,64.8571,15.019
98.7552,66.1534,15.4707
98.9076,66.372,18.6932
99.06,66.1877,23.4956
99.2124,65.8924,22.7447
99.3648,65.7385,21.9883
99.5172,66.2729,21.5612
99.6696,66.8219,21.443
99.822,67.1292,21.5584
99.9744,65.6424,20.3427
100.1268,65.456,19.2487
100.2792,65.8747,18.7184
100.4316,67.6356,17.4085
100.584,69.3977,18.1854
100.7364,71.8124,17.5625
100.8888,71.3614,17.9061
101.0412,69.5716,18.6437
101.1936,66.9048,19.8886
101.346,65.3995,21.9101
101.4984,61.9288,23.1918
101.6508,60.1716,24.0181
101.8032,61.6011,24.0282
101.9556,60.75,24.1319
102.108,60.9442,24.307
102.2604,61.6249,24.5623
102.4128,60.2857,24.7805
102.5652,59.239,24.7676
102.7176,59.6899,23.7233
102.87,61.6667,22.1472
103.0224,64.0966,21.5583
103.1748,66.2607,21.0527
103.3272,68.1407,27.5967
103.4796,66.9998,29.6507
103.632,64.8906,30.4862
103.7844,64.3631,30.6103
103.9368,62.1386,25.17
104.0892,63.5278,24.5995
104.2416,64.2499,22.7944
104.394,62.6003,22.3109
104.5464,62.4,21.4069
104.6988,61.6995,21.5807
104.8512,61.7002,21.3734
105.0036,63.167,20.927
105.156,64.3335,23.2384
105.3084,64.2767,22.5488
105.4608,67.0473,24.8184
105.6132,70.0311,25.2608
105.7656,69.9582,26.3743
105.918,69.3578,26.1798
106.0704,67.0023,25.4426
106.2228,64.6547,24.1629
106.3752,62.249,21.7536
106.5276,62.9479,21.2873
106.68,65.8755,24.2881
106.8324,64.6558,27.6891
106.9848,63.2278,29.8797
107.1372,63.6109,31.5261
107.2896,63.651,30.5274
107.442,64.7623,29.2235
107.5944,66.0723,28.4377
107.7468,66.428,28.0209
107.8992,66.9998,26.5222
108.0516,68.1122,24.2715
108.204,69.25,23.2465
108.3564,68.75,22.0583
108.5088,70.0577,21.3505
108.6612,69.4401,21.9205
108.8136,68.0697,25.4572
108.966,67.3244,29.4302
109.1184,68.1333,28.565
109.2708,68.0483,28.2464
109.4232,66.8654,24.5953
109.5756,66.3122,20.699
109.728,65.5893,22.2428
