DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
2654.808,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,4670.0,
2654.6556,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,4680.0,
2654.5032,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,4869.75,
2654.3508,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,4896.0005,
2654.1984,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,4970.6001,
2654.046,,,82.071,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5177.0,
2653.8936,,,81.9845,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5092.1665,
2653.7412,,,81.9519,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5356.0,
2653.5888,,,81.9315,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5405.7144,
2653.4364,,,81.9249,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5456.2856,
2653.284,,,81.9092,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5678.5718,
2653.1316,,,81.8982,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5618.0,
2652.9792,,,81.8802,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5666.7144,
2652.8268,,,81.8809,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5928.7144,
2652.6744,,,81.8694,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,5889.0,
2652.522,,,81.8612,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,6096.75,
2652.3696,,,81.8637,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,6150.5,
2652.2172,,,81.8629,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,6049.4287,
2652.0648,,,81.8644,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,6152.8574,
2651.9124,,,81.8592,159.3965,3.6574,,,,6.1216,6.8099,7.0104,7.1707,7.7359,0.4488,0.4488,8.6089,0.2364,0.2364,6026.25,
