DEPT,ROP,GR
50.1396,0.0,16.7869
50.292,0.0,16.8378
50.4444,0.0,16.8887
50.5968,0.0,16.9396
50.7492,0.0,16.8798
50.9016,0.0,17.0354
51.054,0.0,17.319
51.2064,0.0,18.0536
51.3588,0.0,18.3337
51.5112,0.0,18.7092
51.6636,0.0,19.7192
51.816,0.0,18.4908
51.9684,0.0,17.137
52.1208,0.0,17.0219
52.2732,0.0,17.0839
52.4256,0.0,18.0678
52.578,0.0,19.187
52.7304,0.0,18.4064
52.8828,0.0,15.6865
53.0352,0.0,14.7775
53.1876,0.0,14.8198
53.34,0.0,14.6378
53.4924,0.0,14.3885
53.6448,0.0,14.3176
53.7972,0.0,14.7844
53.9496,0.0053,13.8167
54.102,0.0141,14.198
54.2544,0.0229,14.056
54.4068,0.0318,12.1121
54.5592,0.0406,11.7828
54.7116,0.0494,11.5335
54.864,0.0582,11.4531
55.0164,0.067,12.0958
55.1688,0.0759,12.748
55.3212,0.0847,14.0011
55.4736,0.0935,14.9758
55.626,0.1023,15.5436
55.7784,0.1111,15.8449
55.9308,0.12,16.8194
56.0832,0.1288,16.8937
56.2356,0.1376,17.5351
56.388,0.1464,17.3101
56.5404,0.1552,17.0239
56.6928,0.1641,16.5717
56.8452,0.1729,15.5944
56.9976,0.1817,15.612
57.15,0.1905,15.9639
57.3024,0.1994,15.6074
57.4548,0.2082,16.8363
57.6072,0.217,17.7643
57.7596,0.2258,17.5125
57.912,0.2346,17.9405
58.0644,0.2435,17.3177
58.2168,0.2523,16.3362
58.3692,0.2611,14.9406
58.5216,0.2699,16.0761
58.674,0.2787,16.8434
58.8264,0.2876,17.8283
58.9788,0.2964,18.8433
59.1312,0.3052,19.9238
59.2836,0.314,20.1423
59.436,0.3228,20.7706
59.5884,0.3317,22.2706
59.7408,0.3405,23.7705
59.8932,0.3493,25.2705
60.0456,0.3581,26.7705
60.198,0.3669,27.6393
60.3504,0.3758,27.4906
60.5028,0.3846,26.4881
60.6552,0.3934,26.2563
60.8076,0.4022,26.6255
60.96,0.411,26.9669
61.1124,0.4199,27.1706
61.2648,0.4287,28.136
61.4172,0.4375,27.7962
61.5696,0.4463,26.924
61.722,0.4552,27.4083
61.8744,0.464,26.6606
62.0268,0.4728,23.901
62.1792,0.4816,23.9459
62.3316,0.4904,21.7427
62.484,0.4993,19.2437
62.6364,0.5081,18.8137
62.7888,0.5169,19.0157
62.9412,0.5257,19.0601
63.0936,0.5345,19.5155
63.246,0.5434,21.9176
63.3984,0.5522,21.3938
63.5508,0.561,22.8465
63.7032,0.5698,21.7506
63.8556,0.5786,19.7355
64.008,0.5946,19.0143
64.1604,0.5495,17.84
64.3128,0.5974,16.4258
64.4652,0.7252,16.4864
64.6176,0.7304,17.0824
64.77,0.7085,17.6027
64.9224,0.7311,20.9292
65.0748,0.7338,23.5007
65.2272,0.7024,23.9147
65.3796,0.6655,24.5516
65.532,0.6675,24.8628
65.6844,0.6899,23.8395
65.8368,0.6762,23.0031
65.9892,0.6687,21.3165
66.1416,0.689,20.3362
66.294,0.6632,19.8002
66.4464,0.5644,18.4382
66.5988,0.4707,17.0877
66.7512,0.4404,15.6523
66.9036,0.4207,13.7967
67.056,0.4375,13.0855
67.2084,0.54,14.3415
67.3608,0.6167,16.4594
67.5132,0.6622,18.327
67.6656,0.744,19.8876
67.818,0.8141,20.3136
67.9704,0.8295,20.782
68.1228,0.8223,20.9632
68.2752,0.7954,20.5421
68.4276,0.7405,20.748
68.58,0.715,20.3867
68.7324,0.7449,19.931
68.8848,0.7412,20.3895
69.0372,0.7004,22.2816
69.1896,0.6751,22.7021
69.342,0.6545,23.25
69.4944,0.5987,21.8584
69.6468,0.5132,18.2817
69.7992,0.4579,15.6328
69.9516,0.4406,13.418
70.104,0.4295,12.0628
70.2564,0.4415,11.114
70.4088,0.5033,10.4726
70.5612,0.6164,11.9352
70.7136,0.6971,13.8417
70.866,0.7396,17.9305
71.0184,0.7634,19.1519
71.1708,0.7779,18.7925
71.3232,0.775,19.3816
71.4756,0.7395,19.4106
71.628,0.6572,18.2649
71.7804,0.4812,18.6926
71.9328,0.3252,18.999
72.0852,0.3032,19.033
72.2376,0.2865,19.5936
72.39,0.2153,20.3886
72.5424,0.1888,21.1117
72.6948,0.2469,22.1035
72.8472,0.389,21.3069
72.9996,0.5311,21.0673
73.152,0.6733,20.3693
73.3044,0.8154,18.6171
73.4568,0.8876,18.6377
73.6092,0.8547,17.2908
73.7616,0.8108,17.0299
73.914,0.807,17.5402
74.0664,0.8076,17.8494
74.2188,0.8008,18.3747
74.3712,0.8287,19.0566
74.5236,0.8673,19.2513
74.676,0.8667,18.1115
74.8284,0.8768,18.8575
74.9808,0.8992,19.2388
75.1332,0.8826,18.4302
75.2856,0.8547,18.6374
75.438,0.8528,19.9668
75.5904,0.8644,18.3702
75.7428,0.8607,18.5703
75.8952,0.8771,19.628
76.0476,0.903,19.9078
76.2,0.9101,21.348
76.3524,0.9393,21.6074
76.5048,0.9506,22.3229
76.6572,0.9209,20.9762
76.8096,0.9036,20.4056
76.962,0.9079,20.8826
77.1144,0.9227,21.6207
77.2668,0.9133,20.7527
77.4192,0.892,21.039
77.5716,0.8792,20.7492
77.724,0.8846,19.9536
77.8764,0.9001,20.1359
78.0288,0.9002,20.0816
78.1812,0.8635,20.8155
78.3336,0.8413,19.8979
78.486,0.8529,19.4815
78.6384,0.8736,18.7514
78.7908,0.885,17.5332
78.9432,0.9121,16.9881
79.0956,0.9545,16.2997
79.248,0.9452,16.3873
79.4004,0.8996,16.5718
79.5528,0.8953,16.3156
79.7052,0.9022,15.9407
79.8576,0.869,15.7649
80.01,0.8538,14.9308
80.1624,0.8776,15.1751
80.3148,0.9059,15.1614
80.4672,0.9115,14.9985
80.6196,0.9018,15.0863
80.772,0.8881,15.4469
80.9244,0.8736,18.5062
81.0768,0.8606,18.7978
81.2292,0.8624,18.2617
81.3816,0.863,16.578
81.534,0.8623,14.7746
81.6864,0.8936,15.1221
81.8388,0.9046,15.545
81.9912,0.8886,15.6614
82.1436,0.8943,15.4461
82.296,0.9049,14.7025
82.4484,0.8945,15.0615
82.6008,0.8801,15.1855
82.7532,0.8773,16.0186
82.9056,0.8659,15.8854
83.058,0.8637,16.7444
83.2104,0.8788,18.163
83.3628,0.885,17.7669
83.5152,0.8832,18.3229
83.6676,0.8851,18.0967
83.82,0.8781,17.2713
83.9724,0.876,16.9458
84.1248,0.894,17.2497
84.2772,0.871,16.5375
84.4296,0.8339,16.4461
84.582,0.8465,16.5137
84.7344,0.8614,15.2469
84.8868,0.859,14.7149
85.0392,0.8757,14.557
85.1916,0.9089,15.0154
85.344,0.8843,16.3681
85.4964,0.6976,17.7208
85.6488,0.6279,17.9462
85.8012,0.6728,17.9685
85.9536,0.4828,19.5059
86.106,0.2323,19.1057
86.2584,0.201,19.2936
86.4108,0.1669,19.2093
86.5632,0.1013,19.1482
86.7156,0.0636,19.6634
86.868,0.0588,18.9197
87.0204,0.0631,20.324
87.1728,0.0792,21.0713
87.3252,0.0948,19.9366
87.4776,0.1223,19.2885
87.63,0.1503,18.7223
87.7824,0.1494,18.4966
87.9348,0.1268,18.3853
88.0872,0.1706,19.1552
88.2396,0.3371,19.5025
88.392,0.4919,19.6778
88.5444,0.5247,19.9957
88.6968,0.522,19.3933
88.8492,0.5298,19.1089
89.0016,0.5275,18.7994
89.154,0.5163,19.0064
89.3064,0.5129,18.8009
89.4588,0.5323,19.347
89.6112,0.5641,20.5517
89.7636,0.5878,20.7263
89.916,0.6009,20.6066
90.0684,0.6071,20.7618
90.2208,0.6029,20.3872
90.3732,0.5992,21.6029
90.5256,0.6086,21.4212
90.678,0.6129,21.0463
90.8304,0.6043,18.999
90.9828,0.5975,16.8573
91.1352,0.5897,15.6959
91.2876,0.5906,16.7085
91.44,0.6215,17.4918
91.5924,0.5491,18.5808
91.7448,0.4099,19.6885
91.8972,0.3634,19.6314
92.0496,0.3591,19.9899
92.202,0.3183,19.4553
92.3544,0.2564,18.5354
92.5068,0.2128,19.4634
92.6592,0.202,19.9205
92.8116,0.2696,20.5143
92.964,0.3886,22.1791
93.1164,0.4458,21.6223
93.2688,0.4593,21.1028
93.4212,0.4661,20.2381
93.5736,0.4367,18.6065
93.726,0.4848,17.829
93.8784,0.5778,17.7375
94.0308,0.5764,17.4158
94.1832,0.5773,18.8999
94.3356,0.6444,18.4143
94.488,0.6706,17.9502
94.6404,0.6376,18.5355
94.7928,0.6332,19.0822
94.9452,0.6633,19.4301
95.0976,0.6936,20.3649
95.25,0.7342,20.6952
