DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
29.108,,,,,,,,,,
29.261,,,,,,,,,,
29.413,17.5,,,,,,,,,
29.566,17.5,,,,,,,,,
29.718,17.5,,,,,,,,,
29.87,17.5,,,,,,,,,
30.023,17.5,,,,,,,,,
30.175,17.5,,,,,,,,,
30.328,17.5,,,,,,,,,
30.48,17.5,,,,,,,,,
30.632,17.5,,,,,,,,,
30.785,17.5,,,,,,,,,
30.937,17.5,,,,,,,,,
31.09,17.5,,,,,,,,,
31.242,17.5,,,,,,,,,
31.394,17.5,,,,,,,,,
31.547,17.5,,,,,,,,,
31.699,17.5,,,,,,,,,
31.852,17.5,,,,,,,,,
32.004,17.5,,25.085,,,,,,,
32.156,17.5,,28.922,,,,,,,
32.309,17.5,,25.151,,,,,,,
32.461,17.5,,22.003,,,,,,,
32.614,17.5,,33.788,,,,,,,
32.766,17.5,,,,,,,,,
32.918,17.5,,27.684,,,,,,,
33.071,17.5,,29.668,,,,,,,
33.223,17.5,,30.211,,,,,,,
33.376,17.5,,31.206,,,,,,,
33.528,17.5,,28.86,,,,,,,
33.68,17.5,,28.532,,,,,,,
33.833,17.5,,28.894,,,,,,,
33.985,17.5,,29.708,,,,,,,
34.138,17.5,,31.053,,,,,,,
34.29,17.5,,29.515,,,,,,,
34.442,17.5,,30.239,,,,,,,
34.595,17.5,,29.312,,,,,,,
34.747,17.5,,30.398,,,,,,,
34.9,17.5,,30.488,,,,,,,
35.052,17.5,,30.646,,,,,,,
35.204,17.5,,31.189,,,,,,,
35.357,17.5,,31.099,,,,,,,
35.509,17.5,,31.664,,,,,,,
35.662,17.5,,29.222,,,,,,,
35.814,17.5,,28.492,,,,,,,
35.966,17.5,,29.337,,,,,,,
36.119,17.5,,31.417,,,,,,,
36.271,17.5,,30.841,,,,,,,
36.424,17.5,,28.549,,,,,,,
36.576,17.5,,27.373,,,,,,,
36.728,17.5,,29.041,,,,,,,
36.881,17.5,,27.231,,,,,,,
37.033,17.5,,27.503,,,,,,,
37.186,17.5,,28.238,,,,,,,
37.338,17.5,,31.223,,,,,,,
37.49,17.5,,31.042,,,,,,,
37.643,17.5,,29.764,,,,,,,
37.795,17.5,,29.041,,,,,,,
37.948,17.5,,29.148,,,,,,,
38.1,17.5,,28.967,,,,,,,
38.252,17.5,,26.977,,,,,,,
38.405,17.5,,27.484,,,,,,,
38.557,17.5,,26.174,,,,,,,
38.71,17.5,,25.993,,,,,,,
38.862,17.5,,23.737,,,,,,,
39.014,17.5,,24.622,,,,,,,
39.167,17.5,,25.86,,,,,,,
39.319,17.5,,28.848,,,,,,,
39.472,17.5,,32.094,,,,,,,
39.624,17.5,,34.095,,,,,,,
39.776,17.5,,32.761,,,,,,,
39.929,17.5,,29.675,,,,,,,
40.081,17.5,,26.871,,,,,,,
40.234,17.5,,26.583,,,,,,,
40.386,17.5,,24.085,,,,,,,
40.538,17.5,,26.434,,,,,,,
40.691,17.5,,28.27,,,,,,,
40.843,17.5,,31.302,,,,,,,
40.996,17.5,,30.141,,,,,,,
41.148,17.5,,29.883,,,,,,,
41.3,17.5,,31.407,,,,,,,
41.453,17.5,,31.094,,,,,,,
41.605,17.5,,30.836,,,,,,,
41.758,17.5,,30.266,,,,,,,
41.91,17.5,,32.168,,,,,,,
