DEPT,TENS:1,TENS:2,DT_BHC,RLA5,RLA3,RSOZ,TNPH:1,CALI,BS,RLA4,RHOZ,PEFZ,RXO,GR:1,DTSM,RT,RLA1,NPHI,TNPH:2,GR:2,GR:3,DTCO,RLA2,RLA0,GR:4,RXOZ
79.248,,,,,,,,,,,,,,,,,,,,,,,,,,
79.4,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
79.553,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
79.705,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
79.858,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.01,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.162,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.315,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.467,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.62,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.772,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
80.924,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.077,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.229,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.382,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.534,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.686,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.839,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
81.991,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
82.144,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
82.296,,,,,,,,,12.25,,,,,25.569,,,,,,,,,,,,
82.448,,,,,,,,,12.25,,,,,30.063,,,,,,,,,,,,
82.601,,,,,,,,,12.25,,,,,23.688,,,,,,,27.528,,,,,
82.753,,,,,,,,,12.25,,,,,28.311,,,,,,,25.022,,,,,
82.906,,,,,,,,,12.25,,,,,22.788,,,,,,,25.374,,,,32.125,
83.058,,,,,,,,,12.25,,,,,24.96,,,,,,35.002,25.014,,,,37.374,
83.21,,,,,,,,,12.25,,,,,27.549,,,,,,37.58,26.684,,,,32.443,
83.363,,,,,,,,,12.25,,,,,27.92,,,,,,37.168,26.483,,,,42.749,
83.515,,,,,,,,,12.25,,,,,24.538,,,,,,38.922,23.715,,,,36.529,
83.668,,,,,,,,,12.25,,,,,19.08,,,,,,32.748,24.404,,,,41.042,
83.82,,,,,,,,,12.25,,,,,29.631,,,,,,34.479,27.784,,,,23.783,
83.972,,,,,,,,,12.25,,,,,34.761,,,,,,35.348,30.605,,,,40.553,
84.125,,,,,,,,,12.25,,,,,27.746,,,,,,36.752,29.774,,,,39.334,
84.277,,,,,,,,,12.25,,,,,27.466,,,,,,35.479,25.942,,,,28.661,
84.43,,,,,,,,,12.25,,,,,23.346,,,,,,34.27,26.325,,,,37.505,
84.582,,,,,,,,,12.25,,,,,28.128,,,,,,34.793,27.464,,,,38.419,
84.734,,,,,,,0.957,,12.25,,,,,30.976,,,,,,36.622,28.68,,,,28.662,
84.887,,,,,,,0.786,,12.25,,,,,26.529,,,,0.687,,35.054,26.974,,,,43.603,
85.039,,,,,,,0.785,,12.25,,,,,23.451,,,,0.715,0.77,39.759,25.467,,,,31.101,
85.192,,,,,,,0.806,,12.25,,,,,26.189,,,,0.735,0.804,35.022,25.794,,,,42.993,
85.344,,,,,,,0.854,,12.25,,,,,27.771,,,,0.728,0.892,38.485,28.362,,,,30.797,
85.496,,,,,,,0.886,,12.25,,,,,31.426,,,,0.684,0.919,37.178,27.97,,,,42.689,
85.649,,,,,,,0.747,,12.25,,,,,24.856,,,,0.686,0.763,40.771,28.836,,,,39.333,
85.801,,,,,,,0.836,,12.25,,,,,30.128,,,,0.658,0.823,42.013,27.103,,,,39.639,
85.954,,,,,,,0.698,,12.25,,,,,26.004,,,,0.663,0.686,41.948,26.755,,,,46.347,
86.106,,,,,,,0.742,,12.25,,,,,24.131,,,,0.629,0.743,40.706,25.421,,,,40.554,
86.258,,,,,,,0.57,,12.25,,,,,26.19,,,,0.691,0.572,37.047,27.175,,,,35.98,
86.411,,,,,,,0.674,,12.25,,,,,31.121,,,,0.749,0.68,36.59,30.907,,,,36.589,
86.563,,,,,,,0.868,,12.25,,,,,35.309,,,,0.764,0.855,39.465,32.791,,,,38.114,
86.716,,,,,,,0.965,,12.25,,,,,32.296,,,,0.723,0.962,43.254,31.653,,,,45.737,
86.868,,,,,,,0.881,,12.25,,,,,27.694,,,,0.619,0.917,42.993,29.087,,,,48.481,
87.02,,,,,,,0.621,,12.25,,,,,27.288,,,,0.55,0.629,41.425,28.872,,,,36.284,
87.173,,,,,,,0.486,,12.25,,,,,31.628,,,,0.492,0.483,38.91,28.372,,,,41.164,
87.325,,,,,,,0.434,,12.25,,,,,26.395,,,,0.597,0.421,38.387,29.038,,,,39.335,
87.478,,,,,,,0.501,,12.25,,,,,29.273,,,,0.602,0.487,38.909,25.762,,,,35.979,
87.63,,,,,,,0.491,,12.25,,,,,21.341,,,,0.588,0.481,37.08,26.018,,,,42.383,
87.782,,,,,,,0.454,,12.25,,,,,27.336,,,,0.573,0.444,36.296,23.596,,,,33.235,
87.935,,,,,,,0.497,,12.25,,,,,22.165,,,,0.699,0.477,33.421,24.443,,,,35.065,
88.087,,,,,,,0.815,,12.25,,,,,24.088,,,,0.735,0.771,33.421,23.602,,,,31.406,
88.24,,,,,,,0.987,,12.25,,,,,24.738,,,,0.741,0.908,34.466,23.594,,,,33.845,
88.392,,,,,,,0.988,,12.25,,,,,22.235,,,,0.71,0.974,34.989,23.315,,,,38.114,
88.544,,,,,,0.29,0.907,3.53,12.25,,2.289,9.666,,23.33,,,,0.778,0.91,36.59,22.403,,,,32.931,0.048
88.697,,,,,,0.291,0.998,3.522,12.25,,2.289,9.666,,21.834,,,,0.695,1.076,36.067,23.093,,,,39.334,0.048
88.849,,,,,,0.289,0.674,3.526,12.25,,2.289,9.666,,24.123,,,,0.708,0.69,39.889,23.425,,,,35.37,0.048
89.002,,,,,,0.289,0.799,3.534,12.25,,2.289,9.666,,23.909,,,,0.669,0.783,42.503,23.757,,,,47.566,0.048
89.154,,,,,,0.287,0.745,3.518,12.25,,2.289,9.666,,22.527,,,,0.704,0.722,45.116,25.36,,,,46.957,0.048
89.306,,,,,,0.287,0.797,3.51,12.25,,2.289,9.666,,28.851,,,,0.649,0.792,41.229,26.286,,,,42.688,0.048
89.459,,,,,,0.285,0.623,3.522,12.25,,2.289,9.666,,27.19,,,,0.669,0.609,41.228,26.277,,,,35.064,0.048
89.611,,,,,,0.285,0.698,3.51,12.25,,2.289,9.666,,23.083,,,,0.639,0.67,38.615,23.626,,,,44.822,0.048
89.764,,,,,,0.29,0.709,3.51,12.25,,2.289,9.666,,21.026,,,,0.629,0.641,36.786,23.493,,,,33.846,0.048
89.916,,,,,,0.29,0.627,3.534,12.25,,2.289,9.666,,26.582,,,,0.619,0.598,34.172,22.223,,,,28.357,0.048
90.068,,,,,,0.288,0.576,3.534,12.25,,2.275,9.656,,18.489,,,,0.64,0.574,35.446,21.553,,,,38.419,0.048
