DEPT,GR,T-TEMP
37.338,,
37.4904,,
37.6428,,
37.7952,,
37.9476,,
38.1,,
38.2524,,
38.4048,,
38.5572,,
38.7096,,
38.862,,
39.0144,,
39.1668,,
39.3192,,
39.4716,,
39.624,,
39.7764,,
39.9288,,
40.0812,,
40.2336,,
40.386,,
40.5384,,
40.6908,,
40.8432,,
40.9956,,
41.148,,
41.3004,,
41.4528,,
41.6052,,
41.7576,,
41.91,,
42.0624,,
42.2148,,
42.3672,,
42.5196,,
42.672,,
42.8244,,
42.9768,,
43.1292,,
43.2816,,
43.434,,
43.5864,,
43.7388,,
43.8912,,
44.0436,,22.0472
44.196,,22.0472
44.3484,,22.0472
44.5008,,22.0472
44.6532,,22.0472
44.8056,,22.0472
44.958,,22.0472
45.1104,,22.0472
45.2628,,22.0472
45.4152,,22.0472
45.5676,,22.0472
45.72,,22.0472
45.8724,,22.0472
46.0248,,22.0472
46.1772,,22.0472
46.3296,,22.0472
46.482,,22.0472
46.6344,,22.0472
46.7868,,22.0472
46.9392,,22.0472
47.0916,,22.0472
47.244,,22.0472
47.3964,,22.0472
47.5488,,22.0472
47.7012,,22.0472
47.8536,,22.0472
48.006,,22.0472
48.1584,48.6256,22.0472
48.3108,46.8038,22.0472
48.4632,45.7535,22.0472
48.6156,46.1667,22.0472
48.768,47.678,22.0472
48.9204,47.8258,22.0472
49.0728,47.1156,22.0472
49.2252,46.8318,22.0472
49.3776,46.2066,22.0472
49.53,45.4129,22.0472
49.6824,45.2088,22.0472
49.8348,45.3838,22.0472
49.9872,48.0419,22.0472
50.1396,50.9379,22.0472
50.292,53.2079,22.0472
50.4444,53.8958,22.0472
50.5968,55.0129,22.0472
50.7492,55.1935,22.0472
50.9016,54.8563,22.0472
51.054,55.391,22.0472
51.2064,54.0538,22.0472
51.3588,54.1762,22.0472
51.5112,53.8346,22.0472
51.6636,53.2369,22.0472
51.816,54.1953,22.0472
51.9684,54.8932,22.0472
52.1208,56.7866,22.0472
52.2732,56.5315,22.0472
52.4256,57.8238,22.0472
52.578,57.4686,22.0472
52.7304,56.0089,22.0472
52.8828,55.5,22.0472
53.0352,54.408,22.0472
53.1876,54.1311,22.0472
53.34,54.7984,22.0472
53.4924,55.5,22.0472
53.6448,57.4721,22.0472
53.7972,58.6262,22.0472
53.9496,58.9416,22.0472
54.102,59.9345,22.0472
54.2544,59.5975,22.0472
54.4068,58.9102,22.0472
54.5592,58.6908,22.0472
54.7116,58.5462,22.0472
54.864,57.789,22.0472
55.0164,57.771,22.0472
55.1688,58.0,22.0472
55.3212,58.1782,22.0472
55.4736,57.2656,22.0472
55.626,57.3717,22.0472
55.7784,57.6166,22.0472
55.9308,56.5425,22.0472
56.0832,57.4709,22.0472
56.2356,57.3333,22.0472
56.388,56.3319,22.0472
56.5404,56.5981,22.0472
56.6928,56.6262,22.0472
56.8452,56.9182,22.0472
56.9976,56.6474,22.0472
57.15,55.3081,22.0472
57.3024,55.6652,22.0472
57.4548,53.8716,22.0472
57.6072,54.2283,22.0472
57.7596,54.5193,22.0472
57.912,53.985,22.0472
58.0644,54.6708,22.0472
58.2168,54.8367,22.0472
58.3692,55.1426,22.0472
58.5216,55.3552,22.0472
58.674,54.5366,22.0472
58.8264,53.5925,22.0472
58.9788,52.9526,22.0472
59.1312,52.3077,22.0472
59.2836,53.3432,22.0472
59.436,53.6435,22.0472
59.5884,54.0452,22.0472
59.7408,53.7567,22.0472
59.8932,53.5978,22.0472
60.0456,54.8733,22.0472
60.198,55.0177,22.0472
60.3504,55.5993,22.0472
60.5028,54.2603,22.0472
60.6552,53.4356,22.0472
60.8076,53.5,22.0472
60.96,54.6147,22.0472
61.1124,54.3608,22.0472
61.2648,54.6314,22.0472
61.4172,55.2998,22.0472
61.5696,54.8642,22.0472
61.722,54.0831,22.1248
61.8744,54.6667,22.4772
62.0268,53.9726,22.8297
62.1792,53.6155,23.1821
62.3316,52.8028,23.4252
62.484,53.5532,23.4252
62.6364,53.8852,23.4252
62.7888,53.9604,23.4252
62.9412,54.509,23.4252
63.0936,57.1649,23.4252
63.246,58.1626,23.4252
63.3984,60.4224,23.4252
63.5508,60.7932,23.4252
63.7032,60.3844,23.4252
63.8556,59.8458,23.4252
64.008,58.7542,23.4252
64.1604,57.2797,23.4252
64.3128,56.324,23.4252
64.4652,55.1035,23.4252
64.6176,53.8905,23.4252
64.77,52.4619,23.4252
64.9224,51.3084,23.4252
65.0748,50.6277,23.4252
65.2272,51.5,23.4252
65.3796,50.9105,23.4252
65.532,50.6049,23.4252
65.6844,50.8181,23.4252
65.8368,48.8785,23.4252
65.9892,51.0214,23.4252
66.1416,52.3186,23.4252
66.294,51.6088,23.4252
66.4464,49.1762,23.4252
66.5988,47.7477,23.4252
66.7512,46.1667,23.4252
66.9036,46.1667,23.4252
67.056,47.3579,23.4252
67.2084,47.4466,23.4252
67.3608,47.0865,23.4252
67.5132,46.5,23.4252
67.6656,45.1549,23.4252
67.818,44.1381,23.4252
67.9704,43.529,23.4252
68.1228,43.0776,23.4252
68.2752,43.3333,23.4252
68.4276,44.754,23.4252
68.58,45.4017,23.4252
68.7324,47.5338,23.4252
68.8848,47.3318,23.4252
69.0372,48.0761,23.4252
69.1896,48.5,23.4252
69.342,48.4406,23.4252
69.4944,48.6098,23.4252
69.6468,48.1734,23.4252
69.7992,46.3948,23.4252
69.9516,46.1615,23.4252
70.104,46.0023,23.4252
70.2564,45.6667,23.4252
70.4088,45.272,23.4252
70.5612,47.4417,23.4252
70.7136,47.7552,23.4252
70.866,48.184,23.4252
71.0184,48.3333,23.4252
71.1708,48.6265,23.4252
71.3232,50.0921,23.4252
71.4756,49.981,23.4252
71.628,49.6908,23.4252
71.7804,48.825,23.4252
71.9328,46.6903,23.4252
72.0852,47.769,23.4252
72.2376,48.0,23.4252
72.39,48.3645,23.4252
72.5424,48.8911,23.4252
72.6948,47.6929,23.4252
72.8472,46.8398,23.4252
72.9996,45.281,23.4252
73.152,43.7148,23.4252
73.3044,44.1473,23.4252
73.4568,44.7494,23.4252
73.6092,45.7608,23.4252
73.7616,46.1009,23.4252
73.914,45.5,23.4252
74.0664,45.4042,23.4252
74.2188,43.7697,23.4252
74.3712,41.9516,23.4252
74.5236,41.0,23.4252
74.676,41.769,23.4252
74.8284,42.8976,23.4252
74.9808,44.281,23.4252
75.1332,44.3244,23.4252
75.2856,43.4512,23.4252
75.438,41.8823,23.4252
75.5904,39.9251,23.4252
75.7428,40.2944,23.4252
75.8952,41.1573,23.4252
76.0476,42.25,23.4252
76.2,43.1667,23.4252
76.3524,43.5741,23.4252
76.5048,42.3658,23.4252
76.6572,42.1024,23.4252
76.8096,40.633,23.4252
76.962,40.2203,23.4252
77.1144,40.9453,23.4252
77.2668,40.7882,23.4252
77.4192,41.9225,23.4252
77.5716,43.6915,23.4252
77.724,43.167,23.4252
77.8764,42.8383,23.4252
78.0288,43.9593,23.4252
78.1812,44.3975,23.4252
78.3336,45.123,23.4252
78.486,45.4626,23.4252
78.6384,44.5065,23.4252
78.7908,43.125,23.4252
78.9432,42.0737,23.4252
79.0956,41.5958,23.4252
79.248,42.8458,23.4252
79.4004,43.4314,23.4252
79.5528,42.367,23.4252
79.7052,42.4484,23.4252
79.8576,42.7725,23.4252
80.01,42.7053,23.4252
80.1624,46.4599,23.4252
80.3148,46.868,23.4252
80.4672,48.0,23.4252
80.6196,48.0,23.4252
80.772,46.3809,23.4252
80.9244,48.36,23.4252
81.0768,49.4611,23.4252
81.2292,49.8972,23.4252
81.3816,49.7194,23.4252
81.534,48.1888,23.4252
81.6864,44.9751,23.4252
81.8388,43.9904,23.4252
81.9912,43.3358,23.4252
82.1436,42.4987,23.4252
82.296,42.0623,23.4252
82.4484,42.6667,23.4252
82.6008,42.837,23.4252
82.7532,44.6554,23.4252
82.9056,46.0304,23.4252
83.058,45.7009,23.4252
83.2104,45.3895,23.4252
83.3628,43.2,23.4252
83.5152,43.2,23.4252
83.6676,43.8048,23.4252
83.82,44.1667,23.4252
83.9724,44.5364,23.4252
84.1248,47.2802,23.4252
84.2772,48.2177,23.4252
84.4296,49.2601,23.4252
84.582,49.5,23.4252
84.7344,47.3434,23.4252
84.8868,45.5726,23.4252
85.0392,43.3424,23.4252
85.1916,42.8443,23.4252
85.344,42.0494,23.4252
85.4964,42.228,23.4252
85.6488,42.417,23.4252
85.8012,42.7771,23.4252
85.9536,43.1308,23.4252
86.106,44.2861,23.4252
86.2584,46.0927,23.4252
86.4108,47.1757,23.4252
86.5632,47.375,23.4252
86.7156,46.6834,23.4252
86.868,46.2222,23.4252
87.0204,46.1308,23.4252
87.1728,45.8571,23.4252
87.3252,46.4131,23.4252
87.4776,45.4964,23.4252
87.63,45.7435,23.4252
87.7824,45.7056,23.4252
87.9348,44.6743,23.4252
88.0872,44.9129,23.4252
88.2396,43.8084,23.4252
88.392,43.3047,23.4252
88.5444,47.0197,23.4252
88.6968,49.6727,23.4252
88.8492,52.1667,23.4252
89.0016,52.8738,23.4252
89.154,53.3531,23.4252
89.3064,53.2523,23.4252
89.4588,54.2341,23.4252
89.6112,54.0924,23.4252
89.7636,53.8483,23.4252
89.916,54.3972,23.4252
90.0684,54.3674,23.4252
90.2208,53.2644,23.4252
90.3732,52.7326,23.4252
90.5256,50.3164,23.4252
90.678,50.6983,23.4252
90.8304,51.956,23.4252
90.9828,52.6531,23.4252
91.1352,52.8818,23.4252
91.2876,52.7892,23.4252
91.44,51.1442,23.4252
91.5924,50.104,23.4252
91.7448,50.0114,23.4252
91.8972,49.5628,23.4252
92.0496,50.6983,23.4252
92.202,51.3508,23.4252
92.3544,51.6234,23.4252
92.5068,50.6545,23.4252
92.6592,49.3776,23.4252
92.8116,49.1,23.4252
92.964,49.8004,23.4252
93.1164,50.406,23.4252
93.2688,50.6171,23.4252
93.4212,50.9657,23.4252
93.5736,49.9286,23.4252
93.726,50.298,23.4252
93.8784,50.7741,23.4252
94.0308,50.3228,23.4252
94.1832,51.7175,23.4252
94.3356,51.4919,23.4252
94.488,51.1369,23.4252
94.6404,52.0774,23.4252
94.7928,51.3651,23.4252
94.9452,50.5875,23.4252
95.0976,50.5514,23.4252
95.25,49.0901,23.4252
95.4024,48.9787,23.4252
95.5548,49.7937,23.4252
95.7072,50.4444,23.4252
95.8596,51.4102,23.4252
96.012,51.7632,23.4252
96.1644,51.3014,23.4252
96.3168,48.5638,23.4252
96.4692,47.7652,23.4252
96.6216,46.8135,23.4252
96.774,47.5928,23.4252
96.9264,48.3119,23.4252
97.0788,49.0088,23.4252
97.2312,50.9642,23.4252
97.3836,51.1339,23.4252
97.536,52.265,23.4252
97.6884,52.4299,23.4252
97.8408,52.4081,23.4252
97.9932,52.5521,23.4252
98.1456,52.1667,23.4252
98.298,51.2043,23.4252
98.4504,51.8238,23.4252
98.6028,51.264,23.4252
98.7552,51.461,23.4252
98.9076,53.7598,23.4252
99.06,57.6022,23.4252
99.2124,57.9681,23.4252
99.3648,58.7386,23.4252
99.5172,58.5898,23.4252
99.6696,57.012,23.7133
99.822,56.0258,24.0648
99.9744,56.31,24.4162
100.1268,56.8366,24.7676
100.2792,57.5549,24.8032
100.4316,59.8629,24.8032
100.584,60.157,24.8032
100.7364,59.1441,24.8032
100.8888,59.575,24.8032
101.0412,59.9612,24.8032
101.1936,59.9327,24.8032
101.346,59.3527,24.8032
101.4984,58.7286,24.8032
101.6508,58.0619,24.8032
101.8032,56.4112,24.8032
101.9556,54.1737,24.8032
102.108,54.1816,24.8032
102.2604,55.3333,24.8032
102.4128,56.287,24.8032
102.5652,58.3413,24.8032
102.7176,60.8127,24.8032
102.87,62.0,24.8032
103.0224,63.5375,24.8032
103.1748,65.173,24.8032
103.3272,66.7023,24.8032
103.4796,66.3333,24.8032
103.632,66.5263,24.8032
103.7844,65.666,24.8032
103.9368,65.0426,24.8032
104.0892,65.3333,24.8032
104.2416,64.8233,24.8032
104.394,64.7859,24.8032
104.5464,65.3759,24.8032
104.6988,65.6667,24.8032
104.8512,66.2347,24.8032
105.0036,66.1217,24.8032
105.156,66.3333,24.8032
105.3084,66.4367,24.8032
105.4608,67.5801,24.8032
105.6132,69.5076,24.8032
105.7656,69.7078,24.8032
105.918,69.5589,24.8032
106.0704,67.9589,24.8032
106.2228,67.4232,24.8032
106.3752,67.9127,24.8032
106.5276,68.8,24.8032
106.68,68.6,24.8032
106.8324,68.8889,24.8032
106.9848,68.4559,24.8032
107.1372,70.0524,24.8032
107.2896,70.2136,24.8032
107.442,70.3333,24.8032
107.5944,71.8518,24.8032
107.7468,72.0016,24.8032
107.8992,71.8238,24.8032
108.0516,74.0,24.8032
108.204,72.1193,24.8032
108.3564,70.8673,24.8032
108.5088,70.7855,24.8032
108.6612,71.0123,24.8032
108.8136,70.4157,24.8032
108.966,71.0183,24.8032
109.1184,70.4619,24.8032
109.2708,69.4481,24.8032
109.4232,69.0526,24.8032
109.5756,69.3303,24.8032
109.728,71.6667,24.8032
109.8804,71.3455,24.8032
110.0328,73.4499,24.8032
110.1852,75.1001,24.8032
110.3376,73.0,24.8032
110.49,71.6475,24.8032
110.6424,70.3647,24.8032
110.7948,66.6807,24.8032
110.9472,66.6667,24.8032
111.0996,66.6667,24.8032
111.252,67.2305,24.8032
111.4044,68.0,24.8032
111.5568,66.3333,24.8032
111.7092,66.2361,24.8032
111.8616,66.6242,24.8032
112.014,69.3326,24.8032
112.1664,69.9465,24.8032
112.3188,69.3191,24.8032
112.4712,69.698,24.8032
112.6236,68.6951,24.8032
112.776,68.2325,24.8032
112.9284,69.2558,24.8032
113.0808,70.1823,24.8032
113.2332,69.3191,24.8032
113.3856,69.6667,24.8032
113.538,69.6168,24.8032
113.6904,68.1208,24.8032
113.8428,68.3662,24.8032
113.9952,70.0,24.8032
114.1476,69.8297,24.8032
114.3,67.5744,24.8032
114.4524,65.2827,24.8032
114.6048,64.0,24.8032
114.7572,64.8651,24.8032
114.9096,68.2581,24.8032
115.062,71.1874,24.8032
115.2144,71.0,24.8032
115.3668,70.5714,24.8032
115.5192,69.0007,24.8032
115.6716,66.8184,24.8032
115.824,67.0,24.8032
115.9764,67.1812,24.8032
116.1288,68.8556,24.8032
116.2812,69.8743,24.8032
116.4336,70.0,24.8032
116.586,69.773,24.8032
116.7384,67.1983,24.8032
116.8908,65.5052,24.8032
117.0432,65.7259,24.8032
117.1956,67.0244,24.8032
117.348,70.154,24.8032
117.5004,71.9155,24.8032
117.6528,70.0872,24.8032
117.8052,69.6555,24.8032
117.9576,68.4241,24.8032
118.11,71.1622,24.8032
118.2624,73.25,24.8032
118.4148,72.3503,24.8032
118.5672,72.2127,24.8032
118.7196,71.1721,24.8032
118.872,70.0345,24.8032
119.0244,70.8,24.8032
119.1768,70.5078,24.8032
119.3292,70.1745,24.8032
119.4816,70.7329,24.8032
119.634,70.1831,24.8032
119.7864,68.8822,24.8032
119.9388,66.9545,24.8032
120.0912,65.2847,24.8032
120.2436,65.4055,24.8032
120.396,65.3333,24.8032
120.5484,67.8512,24.8032
120.7008,70.2586,24.8032
120.8532,70.6168,24.8032
121.0056,70.0,24.8032
121.158,68.6708,24.8032
121.3104,68.0935,24.8032
121.4628,68.2897,24.8032
121.6152,68.0,24.8032
121.7676,67.8024,24.8032
121.92,68.2823,24.8032
122.0724,69.3027,24.8032
122.2248,67.6667,24.8032
122.3772,66.8936,24.8032
122.5296,67.2401,24.8032
122.682,67.3191,24.8032
122.8344,68.6667,24.8032
122.9868,69.5381,24.9478
123.1392,68.8295,25.2923
123.2916,67.8723,25.6368
123.444,67.0,25.9813
123.5964,65.8478,26.1811
123.7488,65.7432,26.1811
123.9012,66.2248,26.1811
124.0536,66.7352,26.1811
124.206,67.9655,26.1811
124.3584,67.6006,26.1811
124.5108,69.5381,26.1811
124.6632,68.5287,26.1811
124.8156,67.419,26.1811
124.968,67.3071,26.1811
125.1204,67.6667,26.1811
125.2728,68.7633,26.1811
125.4252,67.5388,26.1811
125.5776,66.8723,26.1811
125.73,67.5888,26.1811
125.8824,67.255,26.1811
126.0348,68.2771,26.1811
126.1872,66.9484,26.1811
126.3396,67.0454,26.1811
126.492,65.2214,26.1811
126.6444,64.6542,26.1811
126.7968,67.5374,26.1811
126.9492,67.9589,26.1811
127.1016,68.2857,26.1811
127.254,68.4344,26.1811
127.4064,68.3643,26.1811
127.5588,67.6245,26.1811
127.7112,66.0332,26.1811
127.8636,68.2858,26.1811
128.016,67.5591,26.1811
128.1684,67.9047,26.1811
128.3208,68.5352,26.1811
128.4732,67.7693,26.1811
128.6256,67.7151,26.1811
128.778,69.6766,26.1811
128.9304,70.0707,26.1811
129.0828,69.8766,26.1811
129.2352,69.2919,26.1811
129.3876,67.8816,26.1811
129.54,66.1726,26.1811
129.6924,65.5119,26.1811
129.8448,65.5722,26.1811
129.9972,65.7908,26.1811
130.1496,66.8677,26.1811
130.302,67.6642,26.1811
130.4544,67.107,26.1811
130.6068,67.0117,26.1811
130.7592,66.1277,26.1811
130.9116,67.0,26.1811
131.064,66.859,26.1811
131.2164,67.0054,26.1811
131.3688,66.4507,26.1811
131.5212,65.1776,26.1811
131.6736,63.4555,26.1811
131.826,62.9179,26.1811
131.9784,62.4695,26.1811
132.1308,60.2712,26.1811
132.2832,60.6667,26.1811
132.4356,61.1565,26.1811
132.588,61.5479,26.1811
132.7404,62.7904,26.1811
132.8928,63.292,26.1811
133.0452,61.1469,26.1811
133.1976,60.9074,26.1811
133.35,61.1429,26.1811
133.5024,60.996,26.1811
133.6548,62.3189,26.1811
133.8072,61.8238,26.1811
133.9596,61.6827,26.1811
134.112,59.3855,26.1811
134.2644,60.4656,26.1811
134.4168,61.1824,26.1811
134.5692,60.8571,26.1811
134.7216,61.7594,26.1811
134.874,62.3077,26.1811
135.0264,60.0,26.1811
135.1788,62.0771,26.1811
135.3312,63.4611,26.1811
135.4836,64.1205,26.1811
135.636,65.9299,26.1811
135.7884,64.7477,26.1811
135.9408,63.4286,26.1811
136.0932,62.6667,26.1811
136.2456,62.3593,26.1811
136.398,61.3555,26.1811
136.5504,60.403,26.1811
136.7028,60.3333,26.1811
136.8552,60.2754,26.1811
137.0076,60.5958,26.1811
137.16,60.35,26.1811
137.3124,62.0166,26.1811
137.4648,62.0453,26.1811
137.6172,63.7979,26.1811
137.7696,63.4988,26.1811
137.922,62.24,26.1811
138.0744,61.4987,26.1811
138.2268,60.21,26.1811
138.3792,59.2013,26.1811
138.5316,59.2354,26.1811
138.684,61.5547,26.1811
138.8364,62.269,26.1811
138.9888,63.9564,26.1811
139.1412,64.4272,26.1811
139.2936,63.5063,26.1811
139.446,62.9786,26.1811
139.5984,63.1092,26.1811
139.7508,65.7509,26.1811
139.9032,69.0247,26.1811
140.0556,70.1277,26.1811
140.208,72.3353,26.1811
140.3604,73.8708,26.1811
140.5128,74.1661,26.1811
140.6652,76.3174,26.1811
140.8176,75.6069,26.1811
140.97,75.9568,26.1811
141.1224,74.8158,26.1811
141.2748,73.8943,26.1811
141.4272,72.9618,26.1811
141.5796,71.8723,26.1811
141.732,71.1318,26.1811
141.8844,69.8084,26.1811
142.0368,69.2449,26.1811
142.1892,71.5092,26.1811
142.3416,71.624,26.1811
142.494,74.0,26.1811
142.6464,74.0,26.1811
142.7988,75.0436,26.1811
142.9512,76.3158,26.1811
143.1036,74.9625,26.1811
143.256,75.3228,26.1811
143.4084,73.7313,26.1811
143.5608,73.8849,26.1811
143.7132,74.324,26.1811
143.8656,72.9308,26.1811
144.018,72.9294,26.1811
144.1704,73.8084,26.1811
144.3228,72.2154,26.1811
144.4752,72.994,26.1811
144.6276,73.5593,26.1811
144.78,73.2463,26.1811
144.9324,74.4472,26.1811
145.0848,76.0,26.1811
145.2372,76.2707,26.1811
145.3896,76.6707,26.1811
145.542,74.6224,26.1811
145.6944,74.3333,26.1811
145.8468,74.3425,26.1811
145.9992,73.7176,26.1811
146.1516,73.931,26.1811
146.304,74.9508,26.1811
146.4564,73.9435,26.1811
146.6088,73.9812,26.1811
146.7612,73.7356,26.1811
146.9136,72.3793,26.1811
147.066,71.7294,26.1811
147.2184,73.6313,26.1811
147.3708,74.3985,26.1811
147.5232,75.2809,26.1811
147.6756,74.3702,26.1811
147.828,73.241,26.1811
147.9804,72.9923,26.1811
148.1328,72.8923,26.1811
148.2852,72.7425,26.1811
148.4376,71.7388,26.1811
148.59,71.4219,26.1811
148.7424,70.5923,26.1811
148.8948,70.0006,26.1811
149.0472,68.0309,26.1811
149.1996,67.0,26.1811
149.352,67.7383,26.1811
149.5044,67.7021,26.1811
149.6568,68.4868,26.1811
149.8092,69.7735,26.1811
149.9616,71.0362,26.1811
150.114,72.0,26.1811
150.2664,71.0252,26.1811
150.4188,67.5013,26.1811
150.5712,63.7659,26.1811
150.7236,60.6941,26.1811
150.876,60.0,26.1811
151.0284,61.7046,26.1811
151.1808,63.649,26.1811
151.3332,66.7996,26.1811
151.4856,66.5533,26.1811
151.638,68.0,26.1811
151.7904,69.6611,26.2507
151.9428,69.3304,26.5673
152.0952,67.79,26.8838
152.2476,68.8177,27.2004
152.4,68.5389,27.5169
152.5524,68.8369,27.5591
152.7048,69.3184,27.5591
152.8572,69.3439,27.5591
153.0096,69.6667,27.5591
153.162,70.4614,27.5591
