DEPT,GR
27.0,
27.5,
28.0,
28.5,
29.0,
29.5,
30.0,
30.5,
31.0,
31.5,
32.0,
32.5,
33.0,
33.5,
34.0,
34.5,
35.0,
35.5,
36.0,
36.5,
37.0,
37.5,
38.0,
38.5,
39.0,
39.5,
40.0,
40.5,
41.0,
41.5,
42.0,
42.5,
43.0,
43.5,
44.0,
44.5,
45.0,
45.5,
46.0,
46.5,
47.0,
47.5,
48.0,
48.5,
49.0,
49.5,
50.0,
50.5,54.7159
51.0,57.1767
51.5,56.9671
52.0,57.2208
52.5,58.213
53.0,55.8465
53.5,56.856
54.0,61.0525
54.5,60.2563
55.0,59.4293
55.5,58.2719
56.0,58.2398
56.5,57.4768
57.0,58.6108
57.5,56.4753
58.0,56.3301
58.5,55.4217
59.0,54.0415
59.5,53.9921
60.0,55.1999
60.5,54.6282
61.0,55.4332
61.5,56.1329
62.0,54.3688
62.5,55.2471
63.0,55.7059
63.5,59.9393
64.0,59.0262
64.5,54.4359
65.0,51.3066
65.5,51.7709
66.0,51.6888
66.5,48.3879
67.0,49.3694
67.5,45.7859
68.0,43.4613
68.5,46.3641
69.0,48.0978
69.5,48.9585
70.0,46.1352
70.5,48.0063
71.0,49.6443
71.5,50.5097
72.0,46.1971
72.5,51.4088
73.0,44.1812
73.5,45.9688
74.0,45.8688
74.5,43.4125
75.0,45.2292
75.5,41.7423
76.0,42.7635
76.5,42.4074
77.0,40.5234
77.5,45.2349
78.0,44.1141
78.5,44.9285
79.0,42.7551
79.5,42.0467
80.0,43.8528
80.5,48.275
81.0,48.9262
81.5,48.1355
82.0,45.1425
82.5,43.7007
83.0,46.0082
83.5,44.2996
84.0,46.956
84.5,49.6546
85.0,43.7246
85.5,42.9136
86.0,42.8962
86.5,46.2558
87.0,47.0633
87.5,46.1742
88.0,45.6084
88.5,47.8075
89.0,52.4551
89.5,54.3791
90.0,55.0646
90.5,52.7416
91.0,54.1886
91.5,51.0695
92.0,51.6405
92.5,51.5724
93.0,50.6798
93.5,51.3809
94.0,51.5076
94.5,52.3003
95.0,51.4284
95.5,50.0255
96.0,52.5287
96.5,48.862
97.0,50.0925
97.5,52.4347
98.0,53.6849
98.5,52.3079
99.0,57.0396
99.5,60.4431
100.0,57.525
100.5,61.1005
101.0,60.794
101.5,59.6802
102.0,55.0997
