DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DRHO,DTC
0.0,17.5,,,,,,,,,,,
0.1,17.5,,,,,,,,,,,
0.2,17.5,,,,,,,,,,,
0.3,17.5,,,,,,,,,,,
0.4,17.5,,,,,,,,,,,
0.5,17.5,,,,,,,,,,,
0.6,17.5,,,,,,,,,,,
0.7,17.5,,,,,,,,,,,
0.8,17.5,,,,,,,,,,,
0.9,17.5,,,,,,,,,,,
1.0,17.5,,,,,,,,,,,
1.1,17.5,,,,,,,,,,,
1.2,17.5,,,,,,,,,,,
1.3,17.5,,,,,,,,,,,
1.4,17.5,,,,,,,,,,,
1.5,17.5,,,,,,,,,,,
1.6,17.5,,,,,,,,,,,
1.7,17.5,,,,,,,,,,,
1.8,17.5,,,,,,,,,,,
1.9,17.5,,,,,,,,,,,
2.0,17.5,,,,,,,,,,,
2.1,17.5,,,,,,,,,,,
2.2,17.5,,,,,,,,,,,
2.3,17.5,,,,,,,,,,,
2.4,17.5,,,,,,,,,,,
2.5,17.5,,,,,,,,,,,
2.6,17.5,,,,,,,,,,,
2.7,17.5,,,,,,,,,,,
2.8,17.5,,,,,,,,,,,
2.9,17.5,,,,,,,,,,,
3.0,17.5,,,,,,,,,,,
3.1,17.5,,,,,,,,,,,
3.2,17.5,,,,,,,,,,,
3.3,17.5,,,,,,,,,,,
3.4,17.5,,,,,,,,,,,
3.5,17.5,,,,,,,,,,,
3.6,17.5,,,,,,,,,,,
3.7,17.5,,,,,,,,,,,
3.8,17.5,,,,,,,,,,,
3.9,17.5,,,,,,,,,,,
4.0,17.5,,,,,,,,,,,
4.1,17.5,,,,,,,,,,,
4.2,17.5,,,,,,,,,,,
4.3,17.5,,,,,,,,,,,
4.4,17.5,,,,,,,,,,,
4.5,17.5,,,,,,,,,,,
4.6,17.5,,,,,,,,,,,
4.7,17.5,,20.661,,,,,,,,,
4.8,17.5,,20.434,,,,,,,,,
4.9,17.5,,20.072,,,,,,,,,
5.0,17.5,,19.636,,,,,,,,,
5.1,17.5,,19.725,,,,,,,,,
5.2,17.5,,20.133,,,,,,,,,
5.3,17.5,,21.176,,,,,,,,,
5.4,17.5,,22.004,,,,,,,,,
5.5,17.5,,22.854,,,,,,,,,
5.6,17.5,,22.936,,,,,,,,,
5.7,17.5,,23.22,,,,,,,,,
5.8,17.5,,23.846,,,,,,,,,
5.9,17.5,,25.335,,,,,,,,,
6.0,17.5,,27.619,,,,,,,,,
6.1,17.5,,30.586,,,,,,,,,
6.2,17.5,,33.519,,,,,,,,,
6.3,17.5,,36.539,,,,,,,,,
6.4,17.5,,38.377,,,,,,,,,
6.5,17.5,,38.711,,,,,,,,,
6.6,17.5,,37.343,,,,,,,,,
6.7,17.5,,35.076,,,,,,,,,
6.8,17.5,,31.778,,,,,,,,,
6.9,17.5,,29.282,,,,,,,,,
7.0,17.5,,27.908,,,,,,,,,
7.1,17.5,,28.102,,,,,,,,,
7.2,17.5,,28.305,,,,,,,,,
7.3,17.5,,28.895,,,,,,,,,
7.4,17.5,,29.13,,,,,,,,,
7.5,17.5,,29.393,,,,,,,,,
7.6,17.5,,28.791,,,,,,,,,
7.7,17.5,,28.874,,,,,,,,,
7.8,17.5,,28.286,,,,,,,,,
7.9,17.5,,27.482,,,,,,,,,
8.0,17.5,,25.747,,,,,,,,,
8.1,17.5,,24.731,,,,,,,,,
8.2,17.5,,24.082,,,,,,,,,
8.3,17.5,,23.948,,,,,,,,,
8.4,17.5,,24.234,,,,,,,,,
8.5,17.5,,24.781,,,,,,,,,
8.6,17.5,,25.444,,,,,,,,,
8.7,17.5,,25.244,,,,,,,,,
8.8,17.5,,25.324,,,,,,,,,
8.9,17.5,,25.533,,,,,,,,,
9.0,17.5,,26.244,,,,,,,,,
9.1,17.5,,26.401,,,,,,,,,
9.2,17.5,,26.501,,,,,,,,,
9.3,17.5,,26.174,,,,,,,,,
9.4,17.5,,25.803,,,,,,,,,
9.5,17.5,,25.401,,,,,,,,,
9.6,17.5,,25.198,,,,,,,,,
9.7,17.5,,24.835,,,,,,,,,
9.8,17.5,,24.733,,,,,,,,,
9.9,17.5,,24.847,,,,,,,,,
10.0,17.5,,25.266,,,,,,,,,
10.1,17.5,,25.697,,,,,,,,,
10.2,17.5,,26.139,,,,,,,,,
10.3,17.5,,26.069,,,,,,,,,
10.4,17.5,,25.262,,,,,,,,,
10.5,17.5,,23.788,,,,,,,,,
10.6,17.5,,22.995,,,,,,,,,
10.7,17.5,,23.294,,,,,,,,,
10.8,17.5,,25.245,,,,,,,,,
10.9,17.5,,27.581,,,,,,,,,
11.0,17.5,,29.829,,,,,,,,,
11.1,17.5,,31.818,,,,,,,,,
11.2,17.5,,33.023,,,,,,,,,
11.3,17.5,,33.112,,,,,,,,,
11.4,17.5,,32.65,,,,,,,,,
11.5,17.5,,32.442,,,,,,,,,
11.6,17.5,,31.913,,,,,,,,,
11.7,17.5,,30.434,,,,,,,,,
11.8,17.5,,28.342,,,,,,,,,
11.9,17.5,,26.546,,,,,,,,,
12.0,17.5,,24.86,,,,,,,,,
12.1,17.5,,23.245,,,,,,,,,
12.2,17.5,,22.136,,,,,,,,,
12.3,17.5,,21.64,,,,,,,,,
12.4,17.5,,21.515,,,,,,,,,
12.5,17.5,,21.378,,,,,,,,,
12.6,17.5,,21.658,,,,,,,,,
12.7,17.5,,22.168,,,,,,,,,
12.8,17.5,,22.779,,,,,,,,,
12.9,17.5,,22.606,,,,,,,,,
13.0,17.5,,22.289,,,,,,,,,
13.1,17.5,,21.706,,,,,,,,,
13.2,17.5,,22.035,,,,,,,,,
13.3,17.5,,22.03,,,,,,,,,
13.4,17.5,,22.451,,,,,,,,,
13.5,17.5,,23.143,,,,,,,,,
13.6,17.5,,24.109,,,,,,,,,
13.7,17.5,,24.216,,,,,,,,,
13.8,17.5,,24.022,,,,,,,,,
13.9,17.5,,23.843,,,,,,,,,
14.0,17.5,,23.843,,,,,,,,,
14.1,17.5,,23.141,,,,,,,,,
14.2,17.5,,22.866,,,,,,,,,
14.3,17.5,,23.386,,,,,,,,,
14.4,17.5,,24.22,,,,,,,,,
14.5,17.5,,24.407,,,,,,,,,
14.6,17.5,,23.983,,,,,,,,,
14.7,17.5,,23.347,,,,,,,,,
14.8,17.5,,22.644,,,,,,,,,
14.9,17.5,,21.987,,,,,,,,,
15.0,17.5,,21.598,,,,,,,,,
15.1,17.5,,22.017,,,,,,,,,
15.2,17.5,,22.526,,,,,,,,,
15.3,17.5,,22.946,,,,,,,,,
15.4,17.5,,23.076,,,,,,,,,
15.5,17.5,,23.176,,,,,,,,,
15.6,17.5,,23.213,,,,,,,,,
15.7,17.5,,23.194,,,,,,,,,
15.8,17.5,,23.727,,,,,,,,,
15.9,17.5,,24.786,,,,,,,,,
16.0,17.5,,26.489,,,,,,,,,
16.1,17.5,,27.638,,,,,,,,,
16.2,17.5,,28.102,,,,,,,,,
16.3,17.5,,27.778,,,,,,,,,
16.4,17.5,,27.122,,,,,,,,,
16.5,17.5,,25.851,,,,,,,,,
16.6,17.5,,25.221,,,,,,,,,
16.7,17.5,,25.378,,,,,,,,,
16.8,17.5,,25.753,,,,,,,,,
16.9,17.5,,25.834,,,,,,,,,
17.0,17.5,,26.626,,,,,,,,,
17.1,17.5,,27.089,,,,,,,,,
17.2,17.5,,27.255,,,,,,,,,
17.3,17.5,,26.319,,,,,,,,,
17.4,17.5,,26.19,,,,,,,,,
17.5,17.5,,25.893,,,,,,,,,
17.6,17.5,,26.192,,,,,,,,,
17.7,17.5,,26.788,,,,,,,,,
17.8,17.5,,27.921,,,,,,,,,
17.9,17.5,,28.879,,,,,,,,,
18.0,17.5,,29.112,,,,,,,,,
18.1,17.5,,29.077,,,,,,,,,
