DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2150.0,48.391487,3310.546875,118.93885,0.365772,8.671864,0.074024,2.43523,3.339433,95.707565,4.193727,3.982447,93.695534,3.160134,0.134811,0.047129,0.349278,0.420495,0.333108,0.160684,0.160684,0.130163,0.232497,8.5
2150.1,48.428711,3261.71875,117.843948,0.359338,8.687596,0.055393,2.431665,3.371719,95.772095,4.193047,3.969691,93.883926,3.163557,0.135185,0.047504,0.3432,0.414926,0.327188,0.162769,0.162769,0.132324,0.234404,8.5
2150.2,48.248215,3281.25,115.754814,0.352979,8.695954,0.042462,2.429075,3.39133,95.80838,4.190743,3.973871,94.023705,3.164116,0.135196,0.047514,0.33715,0.409399,0.32134,0.164284,0.164284,0.133894,0.235789,8.5
2150.3,48.546589,3286.132813,114.452408,0.348181,8.68829,0.036482,2.426538,3.404644,95.801414,4.188886,3.987655,94.078407,3.153774,0.134746,0.047064,0.332521,0.405221,0.316929,0.165767,0.165767,0.135432,0.237145,8.5
2150.4,48.458786,3295.898438,115.432182,0.345718,8.666975,0.037295,2.427204,3.407537,95.726265,4.189305,4.001647,94.044975,3.139953,0.133985,0.046303,0.330037,0.403064,0.314666,0.165378,0.165378,0.135028,0.236789,8.5
2150.5,48.289345,3291.015625,117.144661,0.344667,8.639201,0.041145,2.429563,3.385693,95.548843,4.191827,4.016799,94.017624,3.116789,0.133166,0.045484,0.328854,0.40214,0.3137,0.163998,0.163998,0.133598,0.235528,8.5
2150.6,48.382484,3291.015625,118.850746,0.341546,8.613998,0.045084,2.433007,3.358513,95.317268,4.194171,4.022884,93.929504,3.105358,0.132482,0.044801,0.325687,0.399349,0.310834,0.161984,0.161984,0.131511,0.233686,8.5
2150.7,48.571445,3281.25,120.792809,0.336174,8.594874,0.046398,2.428907,3.346074,95.126472,4.194274,4.012517,93.880882,3.055574,0.131996,0.044314,0.320422,0.394518,0.305904,0.164382,0.164382,0.133996,0.235879,8.5
2150.8,48.255608,3286.132813,122.364372,0.329449,8.582363,0.052259,2.427144,3.320183,95.051048,4.191865,3.994804,93.902153,2.834128,0.131605,0.043923,0.313925,0.388483,0.29973,0.165413,0.165413,0.135064,0.236821,8.5
2150.9,48.322937,3281.25,123.017609,0.323859,8.569421,0.062081,2.421618,3.285608,95.078354,4.18636,3.969647,93.987236,2.438649,0.131734,0.044052,0.308567,0.383478,0.294599,0.168644,0.168644,0.138413,0.239776,8.5
2151.0,48.271969,3281.25,123.952385,0.320673,8.590792,0.074927,2.416883,3.261409,95.199493,4.179859,3.937251,94.072319,2.012793,0.132277,0.044595,0.305524,0.380648,0.291674,0.171414,0.171414,0.141283,0.242309,8.5
2151.1,48.3162,3276.367188,126.280144,0.320971,8.604734,0.085079,2.408319,3.272137,95.36924,4.180608,3.909013,94.20298,1.750399,0.132166,0.044484,0.30582,0.380937,0.291947,0.176422,0.176422,0.146473,0.246888,8.5
