DEPT,CGXT:1,SMTU:1,GRGC:1,NPRL:1,CLDC:1,DCOR:1,DEN:1,PDPE:1,DT35:1,SPDL:1,MRRS:1,BIT:1,HP01:1,HP02:1,HDP3:1,HDP4:1,HDP5:1,HDP6:1,HDPT:1,HVOL,AVOL,CGXT:2,SMTU:2,GRGC:2,NPRL:2,CLDC:2,DCOR:2,DEN:2,PDPE:2,DT35:2,SPDL:2,MRRS:2,BIT:2,HP01:2,HP02:2,HDP3:2,HDP4:2,HDP5:2,HDP6:2,HDPT:2
0.0,,,,,,,,,,156.499,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,156.234,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,153.55,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,147.536,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,147.971,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,148.161,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,148.649,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,151.189,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,156.615,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,155.129,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,153.363,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,151.209,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,147.493,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,142.416,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,133.877,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,123.444,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,113.578,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,,,,,,,,,,105.457,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,99.016,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,,,,,,,,,,96.45,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,96.477,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,,,,,,,,,,96.793,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,97.498,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,,,,,,,,,,98.534,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,99.802,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,101.169,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,102.537,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,,,,,,,,,,103.76,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,104.748,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,,,24.62,,,,,,,105.465,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,25.796,,,,,,,105.981,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,,,26.278,,,,,,,106.373,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,,,26.182,,,,,,,106.688,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,,,25.228,,,,,,,106.965,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,,,24.088,,,,,,,107.254,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,22.523,,,,,,,107.534,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,,,21.91,,,,,,,107.79,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,,,21.838,,,,,,,108.029,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,23.95,,22.171,,,,,,,108.323,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,24.012,,22.54,,,,,,,108.625,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,24.164,,22.819,,,,,,,108.997,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,24.207,,23.058,,,,,,,109.374,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,24.02,,22.496,,,,,,,109.772,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,24.131,,22.616,,,,,,,110.162,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,24.199,,23.256,,,,,,,110.61,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,24.24,,24.782,,,,,,,111.097,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,24.391,,26.187,,,,,,,111.657,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,24.216,,27.975,,,,,,,112.34,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8,24.389,,29.662,,,,,,,113.208,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,24.226,,30.719,,,,,,,114.233,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,24.192,,31.717,,,,,,,115.457,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,24.293,,32.865,,,,,,,116.824,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,24.166,,33.958,,,,,,,118.322,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,24.101,,34.126,,,,,,,119.803,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,24.374,,33.658,,,,,,,121.222,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,24.127,,33.331,,,,,,,122.601,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,24.196,,32.711,,,,,,,123.923,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,24.131,,32.911,,,,,,,125.135,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,24.19,,33.888,,,,,,,126.341,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,24.232,,35.842,,,,,,,127.519,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,24.457,,37.573,,,,,,,128.575,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,24.319,,39.016,,,,,,,129.564,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,24.491,,39.749,,,,,,,130.525,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,24.212,,40.821,,,,,,,131.423,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,24.39,,42.291,,,,,,,132.284,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,24.326,,43.049,,,,,,,133.067,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,24.245,,43.355,,,,,,,133.82,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,24.432,,41.855,,,,,,,134.494,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,24.299,,40.317,,,,,,,135.063,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,24.37,,37.599,,,,,,,135.57,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,24.271,,35.626,,,,,,,136.073,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,24.237,,33.905,,,,,,,136.527,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,24.351,,33.617,,,,,,,136.947,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,24.25,,32.617,,,,,,,137.34,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,24.341,,32.208,,,,,,,137.71,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,24.272,,31.411,,,,,,,138.025,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,24.301,,31.024,,,,,,,138.333,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,24.286,,31.079,0.644,,,,,,138.625,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8,24.52,,31.282,0.635,,,,,,138.906,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,24.407,,31.504,0.627,,,,,,139.204,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
