DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
0.0,,,,,,,,,,156.499115,,,,,,,,,14.0
0.1,,,,,,,,,,156.233826,,,,,,,,,14.0
0.2,,,,,,,,,,153.550034,,,,,,,,,14.0
0.3,,,,,,,,,,147.536118,,,,,,,,,14.0
0.4,,,,,,,,,,147.970947,,,,,,,,,14.0
0.5,,,,,,,,,,148.160583,,,,,,,,,14.0
0.6,,,,,,,,,,148.6492,,,,,,,,,14.0
0.7,,,,,,,,,,151.188965,,,,,,,,,14.0
0.8,,,,,,,,,,156.614868,,,,,,,,,14.0
0.9,,,,,,,,,,155.128952,,,,,,,,,14.0
1.0,,,,,,,,,,153.363159,,,,,,,,,14.0
1.1,,,,,,,,,,151.209015,,,,,,,,,14.0
1.2,,,,,,,,,,147.493271,,,,,,,,,14.0
1.3,,,,,,,,,,142.415573,,,,,,,,,14.0
1.4,,,,,,,,,,133.877396,,,,,,,,,14.0
1.5,,,,,,,,,,123.44397,,,,,,,,,14.0
1.6,,,,,,,,,,113.578476,,,,,,,,,14.0
1.7,,,,,,,,,,105.456909,,,,,,,,,14.0
1.8,,,,,,,,,,99.01635,,,,,,,,,14.0
1.9,,,,,,,,,,96.450157,,,,,,,,,14.0
2.0,,,,,,,,,,96.476593,,,,,,,,,14.0
2.1,,,,,,,,,,96.792923,,,,,,,,,14.0
2.2,,,,,,,,,,97.497597,,,,,,,,,14.0
2.3,,,,,,,,,,98.534103,,,,,,,,,14.0
2.4,,,,,,,,,,99.802162,,,,,,,,,14.0
2.5,,,,,,,,,,101.168671,,,,,,,,,14.0
2.6,,,,,,,,,,102.537003,,,,,,,,,14.0
2.7,,,,,,,,,,103.760391,,,,,,,,,14.0
2.8,,,,,,,,,,104.747673,,,,,,,,,14.0
2.9,,,24.619535,,,,,,,105.465111,,,,,,,,,14.0
3.0,,,25.79615,,,,,,,105.981079,,,,,,,,,14.0
3.1,,,26.27767,,,,,,,106.373077,,,,,,,,,14.0
3.2,,,26.181702,,,,,,,106.687584,,,,,,,,,14.0
3.3,,,25.228209,,,,,,,106.964714,,,,,,,,,14.0
3.4,,,24.087591,,,,,,,107.2537,,,,,,,,,14.0
3.5,,,22.522779,,,,,,,107.534477,,,,,,,,,14.0
3.6,,,21.910437,,,,,,,107.789726,,,,,,,,,14.0
3.7,,,21.837549,,,,,,,108.028564,,,,,,,,,14.0
3.8,23.949646,,22.171312,,,,,,,108.323029,,,,,,,,,14.0
3.9,24.012205,,22.540215,,,,,,,108.624763,,,,,,,,,14.0
4.0,24.164478,,22.819231,,,,,,,108.996704,,,,,,,,,14.0
4.1,24.20689,,23.057861,,,,,,,109.374115,,,,,,,,,14.0
4.2,24.020462,,22.495903,,,,,,,109.772491,,,,,,,,,14.0
4.3,24.131216,,22.616137,,,,,,,110.161743,,,,,,,,,14.0
4.4,24.198605,,23.256165,,,,,,,110.61026,,,,,,,,,14.0
4.5,24.239555,,24.781843,,,,,,,111.097061,,,,,,,,,14.0
4.6,24.391321,,26.186922,,,,,,,111.656792,,,,,,,,,14.0
4.7,24.216486,,27.975187,,,,,,,112.3396,,,,,,,,,14.0
4.8,24.388847,,29.662462,,,,,,,113.208359,,,,,,,,,14.0
4.9,24.226292,,30.718636,,,,,,,114.233017,,,,,,,,,14.0
5.0,24.192375,,31.716646,,,,,,,115.457321,,,,,,,,,14.0
5.1,24.292519,,32.865078,,,,,,,116.823822,,,,,,,,,14.0
5.2,24.165789,,33.958431,,,,,,,118.321609,,,,,,,,,14.0
5.3,24.100756,,34.125645,,,,,,,119.802979,,,,,,,,,14.0
5.4,24.374481,,33.657654,,,,,,,121.222366,,,,,,,,,14.0
5.5,24.126863,,33.33107,,,,,,,122.600723,,,,,,,,,14.0
5.6,24.195772,,32.711147,,,,,,,123.922562,,,,,,,,,14.0
5.7,24.131275,,32.91069,,,,,,,125.13501,,,,,,,,,14.0
5.8,24.189812,,33.887783,,,,,,,126.34108,,,,,,,,,14.0
5.9,24.231747,,35.842186,,,,,,,127.51889,,,,,,,,,14.0
6.0,24.457397,,37.572647,,,,,,,128.574524,,,,,,,,,14.0
6.1,24.318985,,39.015736,,,,,,,129.563644,,,,,,,,,14.0
6.2,24.491137,,39.749386,,,,,,,130.525391,,,,,,,,,14.0
6.3,24.212343,,40.821342,,,,,,,131.42334,,,,,,,,,14.0
6.4,24.389503,,42.290722,,,,,,,132.28389,,,,,,,,,14.0
6.5,24.32584,,43.048538,,,,,,,133.066971,,,,,,,,,14.0
6.6,24.245457,,43.355396,,,,,,,133.819962,,,,,,,,,14.0
6.7,24.431646,,41.855488,,,,,,,134.493652,,,,,,,,,14.0
6.8,24.298866,,40.316776,,,,,,,135.0634,,,,,,,,,14.0
6.9,24.370041,,37.59922,,,,,,,135.570251,,,,,,,,,14.0
7.0,24.271149,,35.625546,,,,,,,136.073486,,,,,,,,,14.0
7.1,24.236813,,33.90522,,,,,,,136.52655,,,,,,,,,14.0
7.2,24.351084,,33.617035,,,,,,,136.946808,,,,,,,,,14.0
7.3,24.24954,,32.617489,,,,,,,137.339722,,,,,,,,,14.0
7.4,24.340504,,32.208061,,,,,,,137.709824,,,,,,,,,14.0
7.5,24.271505,,31.410999,,,,,,,138.025238,,,,,,,,,14.0
7.6,24.300863,,31.024132,,,,,,,138.333374,,,,,,,,,14.0
7.7,24.285992,,31.079218,0.644045,,,,,,138.625076,,,,,,,,,14.0
7.8,24.51951,,31.281977,0.634571,,,,,,138.905853,,,,,,,,,14.0
7.9,24.407087,,31.503822,0.627204,,,,,,139.203964,,,,,,,,,14.0
8.0,24.430395,,31.338566,0.614404,,,,,,139.484741,,,,,,,,,14.0
8.1,24.441721,,31.616638,0.605295,,,,,,139.712646,,,,,,,,,14.0
8.2,24.408876,,32.577068,0.593621,,,,,,139.922302,,,,,,,,,14.0
8.3,24.35335,,33.199295,0.582933,,,,,,140.106461,,,,,,,,,14.0
8.4,24.420559,,33.471306,0.578274,,,,,,140.233185,,,,,,,,,14.0
8.5,24.510063,,33.571064,0.615184,,,,,,140.329803,,,,,,,,,14.0
8.6,24.547497,,33.616299,0.665111,,,,,,140.438293,,,,,,,,,14.0
8.7,24.468962,,32.86483,0.723268,,,,,,140.513947,,,,,,,,,14.0
8.8,24.477337,,32.085949,0.741684,,,,,,140.61879,,,,,,,,,14.0
8.9,24.521866,,31.737377,0.741346,,,,,,140.677139,,,,,,,,,14.0
9.0,24.431498,,31.866159,0.695332,,,,,,140.763733,,,,,,,,,14.0
9.1,24.468395,,31.825489,0.654557,,,,,,140.822083,,,,,,,,,14.0
9.2,24.486458,,32.999798,0.616309,,,,,,140.885895,,,,,,,,,14.0
9.3,24.5655,,35.491482,0.622103,,,,,,140.912323,,,,,,,,,14.0
9.4,24.546812,,37.574097,0.651969,,,,,,140.945129,,,,,,,,,14.0
9.5,24.502522,,38.423771,0.726401,,,,,,140.943314,,,,,,,,,14.0
9.6,24.511971,,38.159718,0.805942,,,,,,140.931473,,,,,,,,,14.0
9.7,24.532238,,36.538548,0.875348,,,,,,140.911407,,,,,,,,,14.0
9.8,24.450304,,33.57618,0.916152,12.405599,,,,,140.875854,,,,,,,,,14.0
9.9,24.595304,,30.242489,0.942081,12.405599,,,,,140.85672,,,,,,,,,14.0
10.0,24.552744,,28.497898,0.947066,12.405599,,,,,140.879517,,,,,,,,,14.0
10.1,24.565439,,27.978987,0.933042,12.405599,,,,,140.889542,,,,,,,,,14.0
10.2,24.620609,,27.80905,0.899943,12.405604,,,,,140.89592,,,,,,,,,14.0
10.3,24.528662,,27.38772,0.855326,12.405654,,,,,140.898651,,,,,,,,,14.0
10.4,24.603054,,27.427572,0.796654,12.405477,,,,,140.897736,,,,,,,,,14.0
10.5,24.610386,,27.893673,0.744969,12.404338,-0.918947,1.489688,14.872729,,140.884979,,,,,,,,,14.0
10.6,24.578793,,28.984791,0.715035,12.402486,-0.923049,1.483472,14.664797,,140.904114,,,,,,,,,14.0
10.7,24.526037,,29.431593,0.738955,12.400195,-0.927201,1.473694,14.425681,,140.933289,,,,,,,,,14.0
10.8,24.58997,,29.86034,0.788679,12.397705,-0.928451,1.461538,14.175748,,140.996201,,,,,,,,,14.0
10.9,24.576139,,29.820421,0.866671,12.395125,-0.927365,1.445808,14.038545,,141.046326,,,,,,,,,14.0
11.0,24.647671,,29.355915,0.905881,12.393105,-0.926519,1.429247,14.048923,,141.094635,,,,,,,,,14.0
11.1,24.743732,,27.976246,0.936635,12.392194,-0.929078,1.41603,14.226994,,141.163925,,,,,,,,,14.0
11.2,24.586214,,27.980871,0.909502,12.392049,-0.935973,1.412945,14.449121,,141.208603,,,,,,,,,14.0
11.3,24.560076,,28.727711,0.892153,12.392014,-0.947541,1.420639,14.693706,,141.24324,,,,,,,,,14.0
11.4,24.544308,,30.40238,0.843392,12.392044,-0.961034,1.437242,14.894714,,141.348999,,,,,,,,,14.0
11.5,24.653931,,32.638332,0.834279,12.392083,-0.971204,1.459671,14.963047,,141.421005,,,,,,,,,14.0
11.6,24.667818,,35.159096,0.813085,12.392083,-0.972561,1.489183,14.870504,,141.474792,,,,,,,,,14.0
11.7,24.75783,,37.164684,0.838325,12.392028,-0.968282,1.512815,14.745342,,141.574158,,,,,,,,,14.0
11.8,24.766741,,37.875782,0.852543,12.391889,-0.958755,1.534606,14.628769,,141.675339,,,,,,,,,14.0
11.9,24.633812,,38.678146,0.874704,12.391784,-0.949361,1.549711,14.39818,,141.728226,,,,,,,,,14.0
12.0,24.685822,,38.499401,0.847447,12.391881,-0.941893,1.564297,14.273727,,141.771072,,,,,,,,,14.0
12.1,24.745281,,38.97522,0.80362,12.392459,-0.940631,1.571331,14.370312,,141.841248,,,,,,,,,14.0
12.2,24.591042,,38.440479,0.728536,12.393234,-0.942746,1.579878,14.565271,,141.866791,,,,,,,,,14.0
12.3,24.762747,,38.562374,0.673753,12.393847,-0.948292,1.581587,14.690459,,141.845825,,,,,,,,,14.0
12.4,24.719381,,37.647362,0.644158,12.394069,-0.950999,1.578806,14.736455,,141.873169,,,,,,,,,14.0
12.5,24.629787,,37.27916,0.677119,12.393997,-0.951439,1.556591,14.810831,,141.933334,,,,,,,,,14.0
12.6,24.778126,,35.949947,0.746224,12.393616,-0.94626,1.526156,14.747518,,141.946106,,,,,,,,,14.0
12.7,24.625378,,34.622635,0.842157,12.392825,-0.940366,1.486851,14.641094,,142.021759,,,,,,,,,14.0
12.8,24.763493,,34.268238,0.94312,12.391846,-0.936348,1.448249,14.538036,,142.065521,,,,,,,,,14.0
12.9,24.74391,,34.169434,1.024508,12.390915,-0.93735,1.416285,14.483264,,142.087402,,,,,,,,,14.0
13.0,24.712168,,33.765766,1.069464,12.39017,-0.94159,1.403326,14.391662,,142.111099,,,,,,,,,14.0
13.1,24.732943,,32.201622,1.060543,12.389626,-0.946688,1.407549,14.398077,,142.163971,,,,,,,,,14.0
13.2,24.791479,,31.674459,1.028283,12.389313,-0.946998,1.428755,14.44361,,142.189499,,,,,,,,,14.0
13.3,24.697237,,30.999332,0.976728,12.388928,-0.9419,1.459884,14.518872,,142.271545,1.415763,,,,,,,,14.0
13.4,24.761734,,31.094267,0.946367,12.388085,-0.93299,1.495879,14.564968,,142.388229,12.974692,,,,,,,,14.0
13.5,24.712793,,31.106089,0.926895,12.387108,-0.924603,1.527371,14.658979,,142.540466,62.666538,,,,,,,,14.0
13.6,24.715567,,33.139229,0.933033,12.386364,-0.918952,1.553092,14.654696,,142.731903,109.466774,,,,,,,,14.0
13.7,24.65712,,35.964661,0.932665,12.386056,-0.918237,1.568555,14.655246,,142.927002,49.458851,,,,,,,,14.0
13.8,24.792253,,39.96249,0.909678,12.385673,-0.919736,1.580122,14.575315,,143.146698,10.096936,,,,,,,,14.0
13.9,24.755028,,43.768559,0.850216,12.384624,-0.922265,1.587909,14.626822,,143.354538,2.562906,,,,,,,,14.0
14.0,24.728382,,46.453968,0.77324,12.383156,-0.921807,1.601233,14.672603,,143.538681,1.13392,,,,,,,,14.0
14.1,24.792461,,47.095112,0.714165,12.381461,-0.921064,1.609832,14.730379,,143.72374,1.292617,,,,,,,,14.0
14.2,24.868345,,45.140022,0.688103,12.380421,-0.918876,1.617208,14.783275,,143.92157,1.303074,,,,,,,,14.0
14.3,24.757292,,41.43063,0.692025,12.379863,-0.919735,1.615132,14.790827,,144.143997,1.434444,,,,,,,,14.0
14.4,24.784742,,37.955128,0.707484,12.379845,-0.924013,1.608275,14.793149,,144.36734,0.642163,,,,,,,,14.0
14.5,24.778692,,36.173897,0.730525,12.379708,-0.934429,1.588339,14.629203,,144.608917,0.348739,,,,,,,,14.0
14.6,24.776577,,35.989544,0.751438,12.379628,-0.947232,1.562878,14.425166,,144.849579,0.095341,,,,,,,,14.0
14.7,24.796009,,36.214184,0.790097,12.37947,-0.961394,1.531643,14.219007,,145.086609,0.057113,,,,,,,,14.0
14.8,24.770348,,35.978271,0.85255,12.378972,-0.971727,1.507905,14.090272,,145.301758,0.061375,,,,,,,,14.0
14.9,24.751303,,34.81625,0.949824,12.377389,-0.979895,1.503829,14.128115,,145.479523,0.27647,,,,,,,,14.0
15.0,24.842056,,33.18219,1.049378,12.375088,-0.996256,1.519894,14.202712,,145.668213,2.237073,,,,,,,,14.0
15.1,24.825277,,30.768415,1.134604,12.372837,-1.036093,1.536988,14.284794,,145.852371,9.218713,1133247872.0,16662109.0,1000000.0,29705.546875,52.959652,0.778664,0.002805,14.0
15.2,24.868763,,29.311186,1.16704,12.374158,-1.073599,1.543813,14.243024,,146.046539,35.555325,1131170304.0,16678446.0,1002860.6875,29860.488281,53.461143,0.788253,0.00285,14.0
15.3,24.871683,,27.798498,1.151425,12.385925,-1.061029,1.659946,14.267409,,146.23616,67.728836,1110429056.0,16567950.0,1004124.125,30195.046875,55.030399,0.821071,0.003016,14.0
15.4,24.817141,,27.056906,1.082253,12.404855,-1.025207,1.752443,14.167188,,146.442169,130.633713,1085566976.0,16448595.0,1007187.375,30678.712891,57.219681,0.866997,0.003251,14.0
15.5,24.844681,,26.719618,0.988127,12.415016,-0.988194,1.794625,14.091339,,146.633606,64.647789,953118464.0,15487820.0,993617.5,32081.552734,66.453903,1.079851,0.004444,14.0
15.6,24.906673,,28.311998,0.883515,12.415653,-0.93359,1.809477,14.132618,,146.784943,63.144741,1008032832.0,15886501.0,998613.25,31431.033203,62.18549,0.980037,0.003872,14.0
15.7,24.885632,,31.188396,0.801728,12.411636,-0.898793,1.774354,14.265064,,146.918045,30.294565,1033725888.0,15937131.0,987218.5625,30508.248047,58.401554,0.900387,0.003455,14.0
15.8,24.834904,,35.242081,0.770817,12.41634,-0.886171,1.714389,14.358682,,147.084869,28.287409,1081687424.0,16445429.0,1009270.3125,30829.064453,57.793034,0.878656,0.003309,14.0
15.9,24.89204,,38.855667,0.789297,12.419526,-0.907155,1.622629,14.320309,,147.21431,6.894758,1103191168.0,16541550.0,1005834.4375,30371.369141,55.763821,0.836138,0.003092,14.0
16.0,24.87204,,41.465298,0.829536,12.419776,-0.915076,1.57338,14.362556,,147.339203,3.250356,1106695424.0,16379489.0,987374.3125,29492.302734,53.102749,0.78594,0.002856,14.0
