DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
0.0,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,,,,
1.7,,,,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,,,,
1.9,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.1,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,
2.3,,,,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,,,,,,,
2.7,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,,,,
2.9,,,24.62,,,,,,,,,,,,,,,,
3.0,,,25.796,,,,,,,,,,,,,,,,
3.1,,,26.278,,,,,,,,,,,,,,,,
3.2,,,26.182,,,,,,,,,,,,,,,,
3.3,,,25.228,,,,,,,,,,,,,,,,
3.4,,,24.088,,,,,,,,,,,,,,,,
3.5,,,22.523,,,,,,,,,,,,,,,,
3.6,,,21.91,,,,,,,,,,,,,,,,
3.7,,,21.838,,,,,,,,,,,,,,,,
3.8,23.95,,22.171,,,,,,,,,,,,,,,,
3.9,24.012,,22.54,,,,,,,,,,,,,,,,
4.0,24.164,,22.819,,,,,,,,,,,,,,,,
4.1,24.207,,23.058,,,,,,,,,,,,,,,,
4.2,24.02,,22.496,,,,,,,,,,,,,,,,
4.3,24.131,,22.616,,,,,,,,,,,,,,,,
4.4,24.199,,23.256,,,,,,,,,,,,,,,,
4.5,24.24,,24.782,,,,,,,,,,,,,,,,
4.6,24.391,,26.187,,,,,,,,,,,,,,,,
4.7,24.216,,27.975,,,,,,,,,,,,,,,,
4.8,24.389,,29.662,,,,,,,,,,,,,,,,
4.9,24.226,,30.719,,,,,,,,,,,,,,,,
5.0,24.192,,31.717,,,,,,,,,,,,,,,,
5.1,24.293,,32.865,,,,,,,,,,,,,,,,
5.2,24.166,,33.958,,,,,,,,,,,,,,,,
5.3,24.101,,34.126,,,,,,,,,,,,,,,,
5.4,24.374,,33.658,,,,,,,,,,,,,,,,
5.5,24.127,,33.331,,,,,,,,,,,,,,,,
5.6,24.196,,32.711,,,,,,,,,,,,,,,,
5.7,24.131,,32.911,,,,,,,,,,,,,,,,
5.8,24.19,,33.888,,,,,,,,,,,,,,,,
5.9,24.232,,35.842,,,,,,,,,,,,,,,,
6.0,24.457,,37.573,,,,,,,,,,,,,,,,
6.1,24.319,,39.016,,,,,,,,,,,,,,,,
6.2,24.491,,39.749,,,,,,,,,,,,,,,,
6.3,24.212,,40.821,,,,,,,,,,,,,,,,
6.4,24.39,,42.291,,,,,,,,,,,,,,,,
6.5,24.326,,43.049,,,,,,,,,,,,,,,,
6.6,24.245,,43.355,,,,,,,,,,,,,,,,
6.7,24.432,,41.855,,,,,,,,,,,,,,,,
6.8,24.299,,40.317,,,,,,,,,,,,,,,,
6.9,24.37,,37.599,,,,,,,,,,,,,,,,
7.0,24.271,,35.626,,,,,,,,,,,,,,,,
7.1,24.237,,33.905,,,,,,,,,,,,,,,,
7.2,24.351,,33.617,,,,,,,,,,,,,,,,
7.3,24.25,,32.617,,,,,,,,,,,,,,,,
7.4,24.341,,32.208,,,,,,,,,,,,,,,,
7.5,24.272,,31.411,,,,,,,,,,,,,,,,
7.6,24.301,,31.024,,,,,,,,,,,,,,,,
7.7,24.286,,31.079,,,,,,,,,,,,,,,,
7.8,24.52,,31.282,,,,,,,,,,,,,,,,
