DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
585.0,26.262131,1340.332031,106.606831,0.372124,14.293346,0.038539,2.235414,2.902494,128.879158,183.161095,6.957974,22.661128,23.311502,23.755466,24.322381,25.377292,26.105974,29.698278,12.25
585.1,26.260119,1311.035156,107.091671,0.373116,14.276866,0.035825,2.230605,2.878215,128.948242,183.17112,6.489761,21.37872,21.896764,22.249163,22.697738,23.528353,24.09911,26.920463,12.25
585.2,26.245157,1335.449219,107.65139,0.371837,14.261271,0.033461,2.225715,2.857782,128.969704,183.138756,6.051994,21.421019,21.833917,22.113651,22.468431,23.121623,23.567737,25.780147,12.25
585.3,26.234979,1379.394531,108.211918,0.371323,14.250172,0.032588,2.223868,2.843781,128.931229,183.097275,5.736725,22.709781,23.07026,23.313772,23.621803,24.186616,24.570688,26.485055,12.25
585.4,26.229331,1347.65625,108.761829,0.372999,14.244645,0.03348,2.225948,2.838914,128.834518,183.21579,5.618769,22.836782,23.124182,23.317844,23.562267,24.008884,24.311454,25.823705,12.25
585.5,26.220613,1333.007813,109.389168,0.376363,14.24332,0.035159,2.230094,2.841151,128.705734,183.36438,5.647205,21.946573,22.16454,22.311056,22.495568,22.831553,23.058335,24.193133,12.25
585.6,26.207261,1337.890625,109.358341,0.378739,14.24188,0.036884,2.234936,2.852524,128.589256,183.413147,5.726829,21.811776,21.997903,22.122876,22.280104,22.565961,22.758588,23.726387,12.25
585.7,26.236872,1337.890625,108.246864,0.377504,14.232796,0.038579,2.239764,2.873915,128.523376,183.463287,5.797571,22.464245,22.601954,22.694258,22.810203,23.020491,23.161828,23.874107,12.25
585.8,26.262712,1335.449219,107.280731,0.371601,14.209432,0.040088,2.243196,2.899731,128.536537,183.488815,5.817771,23.067327,23.097116,23.117135,23.142339,23.188207,23.219147,23.375906,12.25
585.9,26.257274,1335.449219,105.660275,0.361262,14.167725,0.04084,2.243607,2.918732,128.620193,183.405861,5.72992,23.690512,23.595707,23.532767,23.454392,23.314141,23.221227,22.751797,12.25
586.0,26.24787,1335.449219,103.758259,0.349328,14.096413,0.040864,2.241997,2.926913,128.73822,183.293274,5.57863,24.003071,23.822728,23.703283,23.554854,23.290114,23.115343,22.231098,12.25
586.1,26.250255,1335.449219,102.115707,0.340077,13.997449,0.040117,2.239013,2.925435,128.834259,183.127357,5.443813,23.667848,23.433306,23.278248,23.085879,22.743645,22.518334,21.379089,12.25
586.2,26.253175,1342.773438,101.44973,0.339198,13.900437,0.03946,2.23709,2.919161,128.871162,182.929993,5.397988,22.808843,22.57929,22.427548,22.239312,21.904482,21.684084,20.572993,12.25
586.3,26.268583,1354.980469,100.384338,0.347516,13.839105,0.039612,2.238026,2.911768,128.84008,182.84066,5.50409,22.4717,22.360617,22.287098,22.195797,22.033115,21.925834,21.386454,12.25
586.4,26.298508,1354.980469,98.935326,0.362969,13.820157,0.04059,2.241387,2.906821,128.753334,182.810127,5.71502,22.048076,22.176604,22.263257,22.372672,22.572736,22.708368,23.387895,12.25
586.5,26.282906,1372.070313,98.305504,0.380446,13.819887,0.041965,2.245291,2.907241,128.636154,182.851151,5.895738,21.288845,21.689108,21.960558,22.305154,22.940547,23.375214,25.533354,12.25
586.6,26.265946,1376.953125,98.838287,0.397529,13.819381,0.043501,2.248678,2.910957,128.50843,183.057625,5.980774,21.054116,21.703062,22.147172,22.715581,23.777101,24.513209,28.128287,12.25
586.7,26.272116,1354.980469,100.097179,0.41282,13.812988,0.044904,2.251133,2.923242,128.382629,183.294647,6.051879,20.510036,21.343263,21.917645,22.657609,24.053666,25.032285,29.790062,12.25
586.8,26.253652,1352.539063,102.168018,0.424951,13.795036,0.045317,2.251172,2.93641,128.262566,183.45874,6.186,20.394098,21.336116,21.988205,22.831444,24.431687,25.56042,31.008471,12.25
586.9,26.242519,1362.304687,104.613964,0.430552,13.758323,0.044576,2.248671,2.946753,128.182198,183.522095,6.370295,21.019759,21.998578,22.676331,23.552978,25.217275,26.391675,32.04887,12.25
587.0,26.28216,1391.601563,106.148678,0.426783,13.698549,0.043603,2.245618,2.948169,128.191521,183.475151,6.555638,20.929169,21.829515,22.451235,23.253428,24.770541,25.836734,30.988077,12.25
587.1,26.274202,1372.070312,106.273987,0.413886,13.611687,0.043338,2.243948,2.941219,128.316292,183.297394,6.683914,20.292952,21.046403,21.56431,22.229799,23.480296,24.353124,28.610436,12.25
587.2,26.239599,1342.773438,105.1642,0.394267,13.496327,0.04342,2.242386,2.924147,128.539764,183.045326,6.625422,20.511988,21.085068,21.476349,21.976091,22.906323,23.54914,26.725006,12.25
587.3,26.229048,1333.007813,102.734196,0.373554,13.370203,0.043598,2.24021,2.905647,128.805016,182.870743,6.275035,21.016157,21.328224,21.539499,21.807296,22.299904,22.636041,24.314768,12.25
587.4,26.223057,1320.800781,99.882481,0.357856,13.269898,0.043812,2.237641,2.898684,129.039276,182.799644,5.794075,21.111796,21.080883,21.061199,21.037634,20.998109,20.973818,20.852815,12.25
587.5,26.243786,1320.800781,98.285126,0.351925,13.21939,0.044054,2.23564,2.900605,129.176125,182.824265,5.416763,21.392147,21.067499,20.854096,20.590701,20.12582,19.822362,18.310003,12.25
587.6,26.235426,1284.179688,98.390491,0.354158,13.208347,0.044074,2.2347,2.904384,129.196724,182.99382,5.270853,21.154293,20.850136,20.650192,20.403397,19.967778,19.683393,18.275398,12.25
587.7,26.210927,1384.277344,99.272499,0.360146,13.210117,0.04389,2.235084,2.903473,129.136322,183.225365,5.311015,21.465261,21.693899,21.851712,22.055166,22.439162,22.708221,23.993552,12.25
587.8,26.207216,1437.988281,100.740055,0.365931,13.21136,0.043582,2.235979,2.901128,129.05291,183.343414,5.459029,21.502968,22.733647,23.603421,24.74989,26.993186,28.628887,36.125943,12.25
587.9,26.219674,1362.304688,102.879246,0.369888,13.208797,0.043274,2.236389,2.892789,128.987862,183.386261,5.681542,20.349217,22.708591,24.440375,26.802821,31.681207,35.445807,51.16617,12.25
588.0,26.226932,1374.511719,103.911827,0.37147,13.194622,0.043405,2.236464,2.884699,128.95681,183.490189,5.901027,19.143017,22.255649,24.610525,27.911941,35.025633,40.761795,62.624189,12.25
588.1,26.236097,1386.71875,102.980957,0.370313,13.157138,0.044336,2.236328,2.889107,128.965942,183.56311,6.033765,18.266791,21.554244,24.068392,27.627438,35.412035,41.785517,65.067045,12.25
588.2,26.243816,1396.484375,101.180229,0.367171,13.086582,0.046116,2.235736,2.906737,128.982948,183.596382,6.078189,18.125163,21.06861,23.294291,26.412912,33.126522,38.534369,58.904161,12.25
588.3,26.238317,1391.601563,99.63063,0.362719,12.990637,0.048274,2.234278,2.922951,128.975212,183.571777,6.015633,18.602376,20.866984,22.533687,24.812678,29.535189,33.19208,48.08762,12.25
588.4,26.249897,1362.304688,98.328495,0.358704,12.908307,0.050535,2.233147,2.926731,128.944923,183.506599,5.697329,19.714876,21.274723,22.386301,23.862239,26.782392,28.935849,38.417048,12.25
588.5,26.250642,1362.304688,97.378479,0.356523,12.884409,0.051764,2.230899,2.919922,128.937469,183.430023,5.092624,20.554002,21.561457,22.261962,23.171533,24.908998,26.143271,31.901117,12.25
588.6,26.235769,1379.394531,97.503147,0.357899,12.913384,0.051689,2.22663,2.911213,129.005638,183.351166,4.362292,21.184471,21.867647,22.335582,22.934939,24.055579,24.833652,28.591578,12.25
588.7,26.247378,1374.511719,98.80891,0.363497,12.940175,0.051678,2.222508,2.907964,129.180847,183.330658,3.710448,21.415368,21.925394,22.272292,22.713815,23.531229,24.092815,26.863678,12.25
588.8,26.252088,1352.539063,100.454556,0.372212,12.918929,0.052897,2.221172,2.908154,129.47879,183.397659,3.275655,20.704198,21.03882,21.265102,21.551607,22.077733,22.436074,24.221818,12.25
588.9,26.227931,1303.710938,102.034325,0.382134,12.863015,0.054072,2.220749,2.905524,129.848206,183.552628,3.112167,19.877329,20.035089,20.141132,20.274672,20.517836,20.681965,21.50346,12.25
589.0,26.25404,1342.773438,103.353947,0.391176,12.805364,0.053497,2.218552,2.900002,130.19175,183.706238,3.189006,19.364093,19.399991,19.424006,19.454121,19.508592,19.545097,19.728079,12.25
589.1,26.268584,1364.746094,103.339478,0.398731,12.747634,0.051034,2.214868,2.892475,130.412476,183.832497,3.396509,20.408152,20.415242,20.419973,20.425895,20.436567,20.443694,20.479454,12.25
589.2,26.254144,1384.277344,102.294659,0.403894,12.6813,0.047556,2.210901,2.89033,130.486961,183.917274,3.633186,22.654019,22.741909,22.800796,22.874735,23.00876,23.098783,23.54994,12.25
589.3,26.251923,1408.691406,101.019398,0.407452,12.600859,0.044722,2.207782,2.898099,130.439888,184.044907,3.831109,23.064116,23.310113,23.475785,23.684777,24.066363,24.324669,25.616696,12.25
589.4,26.244337,1398.925781,99.288631,0.409746,12.51341,0.044561,2.206982,2.916679,130.315056,184.168434,3.949269,21.674825,22.073052,22.342752,22.684697,23.313957,23.743509,25.877102,12.25
589.5,26.240106,1389.160156,97.046261,0.412483,12.43576,0.048022,2.209872,2.941381,130.170578,184.170708,4.01194,20.649485,21.196378,21.569212,22.044741,22.927992,23.536932,26.53282,12.25
589.6,26.224011,1376.953125,94.979946,0.416377,12.380706,0.053322,2.214566,2.96079,130.045128,184.122849,4.07413,20.238297,20.952,21.441948,22.07078,23.25026,24.071946,28.061229,12.25
589.7,26.212297,1350.097656,93.430637,0.421741,12.355575,0.057053,2.216687,2.967826,129.960411,184.072708,4.17951,19.809764,20.720731,21.351627,22.16783,23.717918,24.81219,30.036266,12.25
589.8,26.227975,1311.035156,92.471535,0.427689,12.354034,0.057239,2.214717,2.963704,129.909294,183.966049,4.320013,19.478338,20.629191,21.434451,22.485952,24.512111,25.964666,32.835177,12.25
589.9,26.254233,1357.421875,92.25415,0.431569,12.372098,0.05387,2.209883,2.961626,129.907776,183.853012,4.47754,18.931164,20.177832,21.054225,22.203438,24.432391,26.041329,33.675716,12.25
590.0,26.246976,1347.65625,93.076248,0.430906,12.416092,0.049209,2.206328,2.961576,129.96463,183.857567,4.601425,18.922925,19.969759,20.700706,21.653399,23.483948,24.792411,31.101999,12.25
590.1,26.235263,1328.125,94.434982,0.422933,12.480614,0.045947,2.207484,2.956767,130.062653,183.94326,4.637532,20.59182,21.160296,21.551105,22.053393,22.997745,23.657427,26.906122,12.25
590.2,26.256066,1328.125,95.757641,0.408479,12.541732,0.045063,2.213223,2.950364,130.163437,184.075447,4.559038,22.349003,22.246003,22.180882,22.103428,21.974926,21.89695,21.502023,12.25
590.3,26.268435,1313.476563,96.812317,0.391112,12.57289,0.045741,2.220641,2.951648,130.238159,184.286942,4.35613,23.484923,22.721056,22.227465,21.627497,20.593321,19.935124,16.656377,12.25
590.4,26.270178,1313.476563,97.538925,0.376826,12.544762,0.046945,2.22701,2.956171,130.284737,184.468811,4.053852,24.268511,23.130232,22.401322,21.522535,20.027031,19.088453,14.447659,12.25
590.5,26.277793,1320.800781,97.362289,0.368284,12.456629,0.048306,2.231522,2.957518,130.300827,184.580025,3.76458,23.964392,22.912519,22.237555,21.422286,20.030817,19.154731,14.803411,12.25
590.6,26.295676,1320.800781,96.823483,0.36556,12.347039,0.048945,2.232659,2.963684,130.296097,184.636543,3.613224,22.354742,21.742576,21.345283,20.860481,20.019781,19.481256,16.767872,12.25
590.7,26.29508,1311.035156,96.471359,0.367607,12.267646,0.048653,2.231094,2.978374,130.260262,184.612389,3.656306,20.588776,20.427245,20.321059,20.189993,19.958665,19.807667,19.036574,12.25
590.8,26.286482,1308.59375,96.242119,0.374096,12.261541,0.047614,2.228391,2.984598,130.167694,184.560883,3.871593,20.373748,20.461369,20.520131,20.593979,20.728019,20.81818,21.273364,12.25
590.9,26.314722,1306.152344,96.578663,0.384732,12.338503,0.046637,2.227526,2.97435,129.985886,184.539001,4.204269,20.861496,21.060297,21.193919,21.362181,21.668542,21.875303,22.915089,12.25
591.0,26.310251,1303.710938,97.520424,0.396917,12.484798,0.045707,2.22871,2.95732,129.718056,184.528519,4.519434,21.761395,22.025501,22.20336,22.427711,22.837299,23.114523,24.501198,12.25
591.1,26.310818,1308.59375,99.252411,0.407841,12.663449,0.045116,2.231862,2.938516,129.416229,184.571365,4.680827,22.672382,23.005307,23.230007,23.514014,24.034132,24.387342,26.149814,12.25
591.2,26.341308,1328.125,100.702827,0.415138,12.815418,0.045142,2.235965,2.918706,129.166237,184.739555,4.667909,22.562348,22.958703,23.226815,23.566383,24.190219,24.615296,26.737939,12.25
591.3,26.351918,1342.773438,101.611599,0.417172,12.895809,0.045267,2.2381,2.899528,129.049019,184.857613,4.555467,21.79699,22.190494,22.456774,22.794129,23.414209,23.836954,25.94976,12.25
591.4,26.348133,1347.65625,101.816853,0.413021,12.90062,0.045337,2.237383,2.88895,129.092445,184.869011,4.391961,21.879225,22.205559,22.425881,22.704438,23.214808,23.561571,25.300185,12.25
591.5,26.314484,1328.125,101.389629,0.403106,12.850573,0.045242,2.234272,2.880017,129.260681,184.857162,4.164936,23.375387,23.555971,23.677422,23.830442,24.109301,24.297681,25.246444,12.25
591.6,26.317241,1347.65625,100.746597,0.390112,12.764991,0.045124,2.230819,2.875398,129.472008,184.860802,3.906542,24.777829,24.706255,24.659141,24.600924,24.498004,24.430719,24.089996,12.25
591.7,26.335123,1362.304687,100.788448,0.376443,12.666043,0.044672,2.228096,2.873876,129.64563,184.84803,3.657026,24.381742,24.046683,23.826241,23.553942,23.072747,22.75822,21.174613,12.25
591.8,26.341933,1335.449219,102.297832,0.363922,12.602251,0.043683,2.226549,2.87465,129.731102,184.834816,3.46414,22.923808,22.482624,22.193229,21.836718,21.209368,20.80118,18.746646,12.25
591.9,26.353021,1333.007813,104.39315,0.354041,12.61795,0.043134,2.227993,2.879431,129.722618,184.919144,3.362756,22.48002,22.11102,21.868499,21.569202,21.041075,20.696421,18.95673,12.25
592.0,26.358504,1328.125,106.939449,0.348049,12.717458,0.043594,2.231999,2.890096,129.631958,185.0495,3.384234,22.917957,22.724921,22.597457,22.43949,22.158921,21.97453,21.042394,12.25
592.1,26.355509,1325.683594,109.210434,0.346476,12.864086,0.044341,2.235403,2.905465,129.493088,185.12516,3.479057,23.475915,23.487894,23.496087,23.506561,23.526067,23.539538,23.605958,12.25
592.2,26.347387,1320.800781,109.95787,0.349202,13.00494,0.044948,2.236724,2.925323,129.369194,185.126534,3.515546,23.279554,23.4712,23.600034,23.762292,24.057796,24.257288,25.262943,12.25
592.3,26.356835,1311.035156,108.299919,0.356007,13.08786,0.045931,2.23603,2.950005,129.338531,185.086884,3.411639,23.274001,23.575003,23.777837,24.033844,24.501645,24.818577,26.410365,12.25
592.4,26.373124,1318.359375,105.409645,0.366111,13.076536,0.048208,2.23293,2.975002,129.45137,184.982506,3.194612,22.916521,23.231391,23.443705,23.711828,24.202202,24.534739,26.198268,12.25
592.5,26.376567,1318.359375,103.208782,0.379717,12.983309,0.052767,2.228254,2.994203,129.718483,184.920052,2.940992,22.020598,22.319324,22.520724,22.775034,23.240051,23.555327,25.127911,12.25
592.6,26.36919,1362.304688,101.625896,0.396371,12.848799,0.059766,2.224731,3.00532,130.110374,184.914124,2.712003,21.210606,21.524836,21.736933,22.005029,22.496057,22.829548,24.490226,12.25
592.7,26.367,1394.042969,100.691788,0.412389,12.713805,0.066981,2.222358,3.006622,130.513374,184.903641,2.551547,19.962698,20.320997,20.563456,20.870631,21.435246,21.820179,23.735585,12.25
592.8,26.374763,1342.773438,100.447464,0.421826,12.633846,0.071537,2.220065,2.996401,130.773346,184.961983,2.474191,19.302672,19.707829,19.98267,20.331642,20.975294,21.41573,23.602983,12.25
592.9,26.398175,1337.890625,101.372524,0.421051,12.663601,0.071272,2.21657,2.978695,130.778625,185.012123,2.479482,20.585888,21.060387,21.382783,21.792732,22.55056,23.070372,25.647721,12.25
593.0,26.441034,1372.070313,101.983829,0.41089,12.793159,0.066528,2.21283,2.962461,130.547493,184.977486,2.597374,23.22689,23.772794,24.143839,24.6158,25.488702,26.087766,29.056153,12.25
593.1,26.438768,1376.953125,101.192593,0.394279,12.960037,0.059119,2.208599,2.941488,130.185966,184.873108,2.887613,24.305658,24.855646,25.22921,25.70408,26.581512,27.183066,30.171485,12.25
593.2,26.418098,1359.863281,99.670322,0.375354,13.105953,0.05219,2.204953,2.908395,129.824341,184.774193,3.387847,23.451862,23.90074,24.204852,24.590553,25.300689,25.785703,28.201214,12.25
593.3,26.436071,1357.421875,98.691803,0.35894,13.206214,0.048731,2.20499,2.877793,129.574982,184.695793,4.072803,22.868732,23.187272,23.402164,23.673665,24.170558,24.50777,26.19081,12.25
593.4,26.435311,1340.332031,98.458118,0.348089,13.249882,0.048587,2.208361,2.856896,129.478828,184.59552,4.790308,23.684661,23.898158,24.041638,24.222291,24.55115,24.773055,25.883794,12.25
593.5,26.423583,1330.566406,98.592453,0.342661,13.226457,0.049399,2.212266,2.851561,129.504951,184.477463,5.279434,24.589027,24.737646,24.83723,24.962276,25.188963,25.341241,26.104671,12.25
593.6,26.428456,1325.683594,99.469559,0.341336,13.156804,0.049569,2.215475,2.864403,129.576958,184.433701,5.36531,24.521222,24.648334,24.733442,24.840243,25.033651,25.163428,25.814129,12.25
593.7,26.421109,1323.242188,101.054802,0.343546,13.075099,0.04902,2.218446,2.897617,129.647949,184.468803,5.140869,23.097112,23.261627,23.372026,23.510843,23.763023,23.932808,24.783398,12.25
593.8,26.402228,1335.449219,101.895859,0.348644,13.023934,0.048104,2.221245,2.937733,129.688515,184.524406,4.849025,21.743006,22.000761,22.174356,22.393346,22.793194,23.063862,24.418379,12.25
593.9,26.40038,1335.449219,101.100525,0.354684,13.045776,0.047438,2.224449,2.960846,129.69751,184.681198,4.724144,21.729674,22.082869,22.321568,22.623633,23.177863,23.554996,25.440377,12.25
594.0,26.42482,1340.332031,100.040043,0.360095,13.150602,0.04737,2.228586,2.960531,129.676537,184.89817,4.898915,22.169461,22.575607,22.850496,23.19882,23.839237,24.275972,26.454385,12.25
