DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
551.9,,,,,,,,,,,,,,,,,,,,,12.25
552.0,,,,,,,,,,,,,,,,,,,,,12.25
552.1,,,,,,,,,,,,,,,,,,,,,12.25
552.2,,,,,,,,,,,,,,,,,,,,,12.25
552.3,,,,,,,,,,,,,,,,,,,,,12.25
552.4,,,,,,,,,,,,,,,,,,,,,12.25
552.5,,,,,,,,,,,,,,,,,,,,,12.25
552.6,,,,,,,,,,,,,,,,,,,,,12.25
552.7,,,,,,,,,,,,,,,,,,,,,12.25
552.8,,,,,,,,,,,,,,,,,,,,,12.25
552.9,,,,,,,,,,,,,,,,,,,,,12.25
553.0,,,,,,,,,,,,,,,,,,,,,12.25
553.1,,,,,,,,,,,,,,,,,,,,,12.25
553.2,,,,,,,,,,,,,,,,,,,,,12.25
553.3,,,,,,,,,,,,,,,,,,,,,12.25
553.4,,,,,,,,,,,,,,,,,,,,,12.25
553.5,,,,,,,,,,,,,,,,,,,,,12.25
553.6,,,,,,,,,,,,,,,,,,,,,12.25
553.7,,,,,,,,,,,,,,,,,,,,,12.25
553.8,,,,,,,,,,,,,,,,,,,,,12.25
553.9,,,,,,,,,,,,,,,,,,,,,12.25
554.0,,,,,,,,,,,,,,,,,,,,,12.25
554.1,,,,,,,,,,,,,,,,,,,,,12.25
554.2,,,,,,,,,,,,,,,,,,,,,12.25
554.3,,,,,,,,,,,,,,,,,,,,,12.25
554.4,,,,,,,,,,,,,,,,,,,,,12.25
554.5,,,,,,,,,,,,,,,,,,,,,12.25
554.6,,,,,,,,,,,,,,,,,,,,,12.25
554.7,,,,,,,,,,,,,,,,,,,,,12.25
554.8,,,,,,,,,,,,,,,,,,,,,12.25
554.9,,,,,,,,,,,,,,,,,,,,,12.25
555.0,,,,,,,,,,,,,,,,,,,,,12.25
