DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
2030.0,0.138471,0.050789,50.19199,3033.691406,123.006483,0.310356,8.796573,0.08694,2.470783,3.501383,91.009328,-10.244492,4.02812,4.986841,4.914472,4.866811,4.807884,4.703609,4.635353,4.289334,8.5
2030.1,0.138481,0.050799,50.193575,3044.433594,124.922723,0.311609,8.796953,0.089809,2.473561,3.520241,91.017096,-10.194623,4.036035,5.026165,4.958607,4.914077,4.858977,4.761356,4.697372,4.373016,8.5
2030.2,0.138487,0.050806,50.169942,3062.988281,124.819276,0.312849,8.797198,0.090993,2.472827,3.493914,91.056176,-10.159349,4.042651,4.99681,4.939552,4.901749,4.854904,4.771719,4.717063,4.439954,8.5
2030.3,0.138495,0.050813,50.161547,3063.476563,124.280468,0.312678,8.797382,0.088656,2.466677,3.443217,91.11055,-10.091235,4.059083,4.962941,4.917706,4.887781,4.850636,4.784494,4.74091,4.520042,8.5
2030.4,0.138506,0.050824,50.166775,3056.640625,122.357227,0.311475,8.797671,0.083314,2.457976,3.393928,91.167599,-10.03346,4.076508,4.888773,4.856864,4.835713,4.809407,4.762432,4.731381,4.574114,8.5
2030.5,0.13852,0.050839,50.168792,3056.640625,121.471761,0.310797,8.798085,0.076927,2.450455,3.385206,91.238454,-10.042278,4.090755,4.877176,4.856751,4.843183,4.826277,4.795998,4.775919,4.674152,8.5
2030.6,0.138536,0.050854,50.203826,3063.964844,120.310067,0.313852,8.798584,0.071393,2.446239,3.398646,91.35522,-10.063867,4.095696,4.86289,4.846127,4.834984,4.821091,4.796184,4.779651,4.69588,8.5
2030.7,0.138549,0.050867,50.235331,3081.054688,121.230067,0.321267,8.799063,0.067204,2.443659,3.418872,91.537117,-10.097621,4.076986,4.88984,4.868406,4.854171,4.83644,4.804696,4.783655,4.677073,8.5
2030.8,0.138554,0.050872,50.231528,3081.054688,122.834621,0.331897,8.799413,0.065603,2.443063,3.4536,91.780333,-10.136847,4.021988,4.915055,4.883042,4.861819,4.835422,4.788274,4.757103,4.599278,8.5
2030.9,0.138528,0.050847,50.227453,3082.519531,124.49873,0.340409,8.7994,0.06769,2.445094,3.49177,92.051926,-10.192798,3.935117,4.860674,4.819447,4.792159,4.75827,4.697878,4.658048,4.456313,8.5
