TVD,ROP,GR,T-TEMP
40.0812,,45.6793,22.0472
40.2336,,44.8092,22.0472
40.386,,46.0036,22.0472
40.5384,25.741,46.4161,22.0472
40.6908,25.1192,45.8314,22.0472
40.8432,24.4974,44.2658,22.0472
40.9956,23.8756,42.8933,22.0472
41.148,23.0547,42.934,22.0472
41.3004,22.2286,41.7821,22.0472
41.4528,21.4026,46.1535,22.0472
41.6052,22.5974,47.1913,22.0472
41.7576,24.6824,47.122,22.0472
41.91,26.7673,48.6363,22.0472
42.0624,29.7346,45.18,22.0472
42.2148,33.9532,40.0989,22.0472
42.3672,38.1718,39.9564,22.0472
42.5196,41.7774,39.2522,22.0472
42.672,41.3811,39.0,22.0472
42.8244,40.9848,38.9675,22.0472
42.9768,40.5886,40.6857,22.0472
43.1292,33.0804,42.3177,22.0472
43.2816,24.3383,43.6169,22.0472
43.434,15.5962,43.9469,22.0472
43.5864,14.7573,40.9489,22.0472
43.7388,19.8446,39.7288,22.0472
43.8912,24.932,40.1556,22.0472
44.0436,27.6545,39.0493,22.0472
44.196,24.6094,33.9709,22.0472
44.3484,21.5643,46.902,22.0472
44.5008,18.5468,47.8977,22.0472
44.6532,18.2298,46.2987,22.0472
44.8056,17.9128,51.7313,22.0472
44.958,17.5958,46.5391,22.0472
45.1104,18.8952,40.5911,22.0472
45.2628,20.7942,41.5408,22.0472
45.4152,22.6932,45.2784,22.0472
45.5676,23.7851,44.1788,22.0472
45.72,23.8857,45.0,22.0472
45.8724,23.9863,46.0782,22.0472
46.0248,23.9547,41.0196,22.0472
46.1772,23.2689,42.7762,22.0472
46.3296,22.5831,43.2278,22.0472
46.482,21.8972,42.5,22.0472
46.6344,21.2871,42.5,22.0472
46.7868,20.6867,41.9135,22.0472
46.9392,20.0862,41.0,22.0472
47.0916,19.9684,41.0,22.0472
47.244,20.1634,41.2269,22.0472
47.3964,20.3585,41.668,22.0472
47.5488,20.4413,40.1653,22.0472
47.7012,20.2919,38.9855,22.0472
47.8536,20.1426,38.8453,22.0472
48.006,20.0035,38.9602,22.0472
48.1584,20.0797,37.5462,22.0472
48.3108,20.1559,39.1918,22.0472
48.4632,20.2321,40.009,22.0472
48.6156,20.2104,39.8224,22.0472
48.768,20.1586,40.6927,22.0472
48.9204,20.1067,40.5946,22.0472
49.0728,20.1228,39.5703,22.0472
49.2252,20.2112,39.1259,22.0472
49.3776,20.2996,39.1188,22.0472
49.53,20.357,38.6781,22.0472
49.6824,20.293,39.4487,22.0472
49.8348,20.229,40.399,22.0472
49.9872,20.165,40.4922,22.0472
50.1396,20.2191,39.788,22.0472
50.292,20.2831,40.1534,22.0472
50.4444,20.3471,39.4423,22.0472
50.5968,20.4111,40.2805,22.0472
50.7492,20.4751,41.6123,22.0472
50.9016,20.5391,44.1299,22.0472
51.054,20.5084,45.2523,22.0472
51.2064,20.3103,47.5019,22.0472
51.3588,20.1122,49.6629,22.0472
