DEPT,ROP,GR,T-TEMP
40.0812,,46.2634,21.7979
40.2336,,45.7941,21.7979
40.386,,45.8845,21.7979
40.5384,25.7433,46.2678,21.8238
40.6908,25.1215,45.5051,21.8138
40.8432,24.4997,43.9096,21.7985
40.9956,23.878,43.2165,21.7832
41.148,23.0578,43.0749,21.7918
41.3004,22.2318,41.7062,21.7778
41.4528,21.4058,42.2719,21.7637
41.6052,22.5891,42.7684,21.7976
41.7576,24.674,41.8033,21.788
41.91,26.7588,40.999,21.7785
42.0624,29.7172,40.9021,21.7689
42.2148,33.9357,40.7847,21.8048
42.3672,38.1541,40.6016,21.7937
42.5196,41.779,40.1696,21.7826
42.672,41.3828,40.3227,21.7714
42.8244,40.9866,41.3099,21.7674
42.9768,40.5903,41.6276,21.7674
43.1292,33.1191,43.1986,21.7674
43.2816,24.3774,44.5019,21.8251
43.434,15.6358,45.2114,21.802
43.5864,14.734,45.915,21.7789
43.7388,19.8211,45.6628,21.7558
43.8912,24.9083,44.983,21.8027
44.0436,27.6689,43.8489,21.788
44.196,24.6239,43.1771,21.7897
44.3484,21.579,44.0591,21.7709
44.5008,18.5483,44.74,21.7521
44.6532,18.2313,44.311,21.7417
44.8056,17.9144,44.0482,21.7313
44.958,17.5974,43.1293,21.7634
45.1104,18.8856,41.8718,21.7514
45.2628,20.7845,42.518,21.7354
45.4152,22.6834,42.1992,21.7668
45.5676,23.7846,41.6643,21.7488
45.72,23.8852,42.4897,21.7309
45.8724,23.9858,42.3307,21.7129
46.0248,23.9584,42.3306,21.7761
46.1772,23.2726,43.8287,21.7635
46.3296,22.5868,42.8018,21.7509
46.482,21.901,42.5683,21.7384
46.6344,21.2905,42.7028,21.7766
46.7868,20.69,41.2363,21.7685
46.9392,20.0896,41.6037,21.7605
47.0916,19.9672,42.0418,21.7524
47.244,20.1623,42.1926,21.7521
47.3964,20.3574,42.4576,21.7521
47.5488,20.4422,42.6825,21.7521
47.7012,20.2928,42.4196,21.7521
47.8536,20.1435,42.0239,21.7521
48.006,20.003,42.163,21.7521
48.1584,20.0792,40.5845,21.7587
48.3108,20.1554,39.6129,21.7839
48.4632,20.2316,40.0734,21.7662
48.6156,20.2107,39.8689,21.7485
48.768,20.1589,40.4048,21.7947
48.9204,20.1071,41.4196,21.7813
49.0728,20.1222,40.0316,21.7678
49.2252,20.2106,40.0148,21.7544
49.3776,20.299,40.0466,21.8028
49.53,20.3574,39.5119,21.7886
49.6824,20.2934,39.7797,21.7743
49.8348,20.2294,40.724,21.7816
49.9872,20.1654,40.1467,21.7771
50.1396,20.2186,40.3125,21.7726
50.292,20.2826,40.7234,21.7681
50.4444,20.3466,40.4598,21.7796
50.5968,20.4107,41.5287,21.7749
50.7492,20.4747,42.9463,21.7702
50.9016,20.5387,45.2264,21.8121
51.054,20.5098,46.4339,21.8076
51.2064,20.3117,47.8815,21.803
51.3588,20.1136,50.4292,21.7985
51.5112,19.9446,50.5645,21.8139
51.6636,20.1427,52.0444,21.7956
51.816,20.3408,52.7493,21.7773
51.9684,20.5389,51.8274,21.7969
52.1208,20.3529,51.9247,21.7924
52.2732,20.0664,52.9046,21.788
52.4256,19.7799,52.9362,21.7835
52.578,19.0425,52.3196,21.7919
52.7304,17.8751,52.381,21.7823
52.8828,16.7078,51.5902,21.7728
53.0352,15.5136,51.031,21.8115
53.1876,14.2304,51.5022,21.8026
53.34,12.9472,51.9954,21.7938
53.4924,11.664,52.5951,21.7849
53.6448,11.991,51.7291,21.8035
53.7972,12.4024,51.4045,21.8416
53.9496,12.8139,52.2378,21.8336
54.102,14.5371,51.4815,21.8256
54.2544,16.9085,51.8447,21.8177
54.4068,19.2798,52.1363,21.809
54.5592,20.6163,50.448,21.7923
54.7116,20.3237,49.9065,21.7756
54.864,20.0311,49.0865,21.7589
55.0164,19.7634,49.558,21.8095
55.1688,19.7025,49.0051,21.8009
55.3212,19.6415,49.1887,21.7924
55.4736,19.5806,50.2311,21.7838
55.626,18.9299,50.1101,21.8028
55.7784,18.1557,51.0324,21.7895
55.9308,17.3815,51.3175,21.7762
56.0832,17.3844,51.1772,21.8279
56.2356,18.0337,50.4404,21.8193
56.388,18.6829,50.5289,21.8107
56.5404,19.2028,50.3791,21.8021
56.6928,19.3644,51.0193,21.8262
56.8452,19.5259,51.0423,21.8124
56.9976,19.6875,50.4706,21.7985
57.15,19.189,51.4458,21.7846
57.3024,18.68,50.7471,21.8217
57.4548,18.171,51.121,21.8131
57.6072,18.378,51.9567,21.8045
57.7596,18.8871,50.248,21.8282
57.912,19.3961,49.8287,21.8238
58.0644,20.03,50.3453,21.8193
58.2168,20.8347,50.7318,21.8148
58.3692,21.6394,51.3876,21.8392
58.5216,22.3304,52.3307,21.8303
58.674,22.3335,51.9949,21.8215
58.8264,22.3365,51.6953,21.8296
58.9788,22.3396,50.5767,21.863
59.1312,21.8546,50.3759,21.8495
59.2836,21.2907,49.8196,21.836
59.436,20.7268,50.2047,21.8568
59.5884,20.124,50.8052,21.8479
59.7408,19.4931,51.2375,21.8391
59.8932,18.8622,52.3048,21.8302
60.0456,18.6599,50.7939,21.8437
60.198,19.4615,51.1388,21.8437
60.3504,20.2631,50.1391,21.8437
60.5028,21.033,49.5905,21.8547
60.6552,20.1095,51.3204,21.8589
60.8076,19.1859,50.4047,21.8589
60.96,18.2624,49.3006,21.8589
61.1124,19.5756,48.9342,21.8274
61.2648,21.6848,48.9622,21.8231
61.4172,23.794,48.363,21.8188
61.5696,23.5564,49.8187,21.8146
61.722,20.5266,50.708,21.8192
61.8744,17.4969,51.8305,21.828
62.0268,15.5328,52.658,21.8369
62.1792,18.5625,52.5315,21.8439
62.3316,21.5922,51.9861,21.8485
62.484,24.6219,50.6004,21.8532
62.6364,21.8765,50.1057,21.8579
62.7888,18.4536,50.1519,21.8765
