DEPT,ROP,GR,T-TEMP
40.0812,,45.6862,22.0472
40.2336,,44.8037,22.0472
40.386,,46.0019,22.0472
40.5384,25.7433,46.4118,22.0472
40.6908,25.1215,45.837,22.0472
40.8432,24.4997,44.2736,22.0472
40.9956,23.878,42.8934,22.0472
41.148,23.0578,42.9405,22.0472
41.3004,22.2318,41.7845,22.0472
41.4528,21.4058,46.1482,22.0472
41.6052,22.5891,47.194,22.0472
41.7576,24.674,47.1218,22.0472
41.91,26.7588,48.6345,22.0472
42.0624,29.7172,45.2067,22.0472
42.2148,33.9357,40.1007,22.0472
42.3672,38.1541,39.9543,22.0472
42.5196,41.779,39.2537,22.0472
42.672,41.3828,39.0,22.0472
42.8244,40.9866,38.963,22.0472
42.9768,40.5903,40.6818,22.0472
43.1292,33.1191,42.3028,22.0472
43.2816,24.3774,43.6104,22.0472
43.434,15.6358,43.9623,22.0472
43.5864,14.734,40.9529,22.0472
43.7388,19.8211,39.741,22.0472
43.8912,24.9083,40.1618,22.0472
44.0436,27.6689,39.0539,22.0472
44.196,24.6239,34.0165,22.0472
44.3484,21.579,46.9035,22.0472
44.5008,18.5483,47.9101,22.0472
44.6532,18.2313,46.2957,22.0472
44.8056,17.9144,51.6585,22.0472
44.958,17.5974,46.6424,22.0472
45.1104,18.8856,40.5987,22.0472
45.2628,20.7845,41.499,22.0472
45.4152,22.6834,45.289,22.0472
45.5676,23.7846,44.1821,22.0472
45.72,23.8852,45.0,22.0472
45.8724,23.9858,46.0945,22.0472
46.0248,23.9584,41.0102,22.0472
46.1772,23.2726,42.7668,22.0472
46.3296,22.5868,43.2416,22.0472
46.482,21.901,42.5,22.0472
46.6344,21.2905,42.5,22.0472
46.7868,20.69,41.9192,22.0472
46.9392,20.0896,41.0,22.0472
47.0916,19.9672,41.0,22.0472
47.244,20.1623,41.2243,22.0472
47.3964,20.3574,41.6654,22.0472
47.5488,20.4422,40.1789,22.0472
47.7012,20.2928,38.9863,22.0472
47.8536,20.1435,38.8461,22.0472
48.006,20.003,38.9678,22.0472
48.1584,20.0792,37.5521,22.0472
48.3108,20.1554,39.1699,22.0472
48.4632,20.2316,40.0068,22.0472
48.6156,20.2107,39.8258,22.0472
48.768,20.1589,40.6939,22.0472
48.9204,20.1071,40.5948,22.0472
49.0728,20.1222,39.5826,22.0472
49.2252,20.2106,39.119,22.0472
49.3776,20.299,39.1268,22.0472
49.53,20.3574,38.681,22.0472
49.6824,20.2934,39.4438,22.0472
49.8348,20.2294,40.4011,22.0472
49.9872,20.1654,40.4838,22.0472
50.1396,20.2186,39.7986,22.0472
50.292,20.2826,40.1545,22.0472
50.4444,20.3466,39.4457,22.0472
50.5968,20.4107,40.2701,22.0472
50.7492,20.4747,41.5837,22.0472
50.9016,20.5387,44.1314,22.0472
51.054,20.5098,45.2402,22.0472
