DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,BIT,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT
0.0,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,,,,
1.7,,,,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,,,,
1.9,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.1,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,
2.3,,,,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,,,,,,,
2.7,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,,,,
2.9,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.1,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,
3.3,,,,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,
4.3,,,21.921,,,,,,,,,,,,,,,,
4.4,,,22.897,,,,,,,,,,,,,,,,
4.5,,,24.014,,,,,,,,,,,,,,,,
4.6,,,24.855,,,,,,,,,,,,,,,,
4.7,,,26.989,,,,,,,,,,,,,,,,
4.8,,,29.603,,,,,,,,,,,,,,,,
4.9,,,33.972,,,,,,,,,,,,,,,,
5.0,,,38.011,,,,,,,,,,,,,,,,
5.1,,,41.493,,,,,,,,,,,,,,,,
5.2,26.485,,41.89,,,,,,,,,,,,,,,,
5.3,26.411,,40.606,,,,,,,,,,,,,,,,
5.4,26.441,,37.035,,,,,,,,,,,,,,,,
5.5,26.499,,33.716,,,,,,,,,,,,,,,,
5.6,26.39,,31.216,,,,,,,,,,,,,,,,
5.7,26.482,,30.328,,,,,,,,,,,,,,,,
5.8,26.475,,29.269,,,,,,,,,,,,,,,,
5.9,26.406,,27.784,,,,,,,,,,,,,,,,
6.0,26.514,,26.389,,,,,,,,,,,,,,,,
6.1,26.437,,24.673,,,,,,,,,,,,,,,,
6.2,26.43,,22.977,,,,,,,,,,,,,,,,
6.3,26.473,,22.434,,,,,,,,,,,,,,,,
6.4,26.41,,23.262,,,,,,,,,,,,,,,,
6.5,26.465,,24.005,,,,,,,,,,,,,,,,
6.6,26.459,,23.872,,,,,,,,,,,,,,,,
6.7,26.389,,23.561,,,,,,,,,,,,,,,,
6.8,26.402,,22.967,,,,,,,,,,,,,,,,
6.9,26.484,,23.618,,,,,,,,,,,,,,,,
7.0,26.429,,24.082,,,,,,,,,,,,,,,,
7.1,26.427,,25.502,,,,,,,,,,,,,,,,
7.2,26.371,,25.311,,,,,,,,,,,,,,,,
7.3,26.418,,25.613,,,,,,,,,,,,,,,,
7.4,26.403,,24.105,,,,,,,,,,,,,,,,
7.5,26.457,,23.975,,,,,,,,,,,,,,,,
7.6,26.457,,23.077,,,,,,,,,,,,,,,,
7.7,26.446,,23.922,,,,,,,,,,,,,,,,
7.8,26.496,,24.118,,,,,,,,,,,,,,,,
7.9,26.44,,24.912,,,,,,,,,,,,,,,,
8.0,26.47,,24.147,,,,,,,,,,,,,,,,
8.1,26.404,,23.413,,,,,,,,,,,,,,,,
