DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
0.0,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,,,,
1.7,,,,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,,,,
1.9,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.1,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,
2.3,,,,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,,,,,,,
2.7,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,,,,
2.9,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.1,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,
3.3,,,,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,
4.3,,,21.924236,,,,,,,,,,,,,,,,
4.4,,,22.900045,,,,,,,,,,,,,,,,
4.5,,,24.016306,,,,,,,,,,,,,,,,
4.6,,,24.862142,,,,,,,,,,,,,,,,
4.7,,,26.998134,,,,,,,,,,,,,,,,
4.8,,,29.617714,,,,,,,,,,,,,,,,
4.9,,,33.986125,,,,,,,,,,,,,,,,
5.0,,,38.023094,,,,,,,,,,,,,,,,
5.1,,,41.494062,,,,,,,,,,,,,,,,
5.2,26.484262,,41.88566,,,,,,,,,,,,,,,,
5.3,26.411474,,40.592755,,,,,,,,,,,,,,,,
5.4,26.440735,,37.022139,,,,,,,,,,,,,,,,
5.5,26.498085,,33.70657,,,,,,,,,,,,,,,,
5.6,26.389976,,31.212684,,,,,,,,,,,,,,,,
5.7,26.482121,,30.324002,,,,,,,,,,,,,,,,
5.8,26.474829,,29.262512,,,,,,,,,,,,,,,,
5.9,26.406453,,27.777849,,,,,,,,,,,,,,,,
6.0,26.513653,,26.38158,,,,,,,,,,,,,,,,
6.1,26.43744,,24.665844,,,,,,,,,,,,,,,,
6.2,26.430507,,22.974195,,,,,,,,,,,,,,,,
6.3,26.472596,,22.438066,,,,,,,,,,,,,,,,
6.4,26.410037,,23.265806,,,,,,,,,,,,,,,,
6.5,26.465106,,24.004694,,,,,,,,,,,,,,,,
6.6,26.459139,,23.870449,,,,,,,,,,,,,,,,
6.7,26.389396,,23.557842,,,,,,,,,,,,,,,,
6.8,26.401928,,22.970257,,,,,,,,,,,,,,,,
6.9,26.483935,,23.62003,,,,,,,,,,,,,,,,
7.0,26.429265,,24.088602,,,,,,,,,,,,,,,,
7.1,26.426817,,25.50067,,,,,,,,,,,,,,,,
7.2,26.371279,,25.312779,,,,,,,,,,,,,,,,
7.3,26.41787,,25.605193,,,,,,,,,,,,,,,,
7.4,26.402946,,24.104225,,,,,,,,,,,,,,,,
7.5,26.456848,,23.97024,,,,,,,,,,,,,,,,
7.6,26.457198,,23.081738,,,,,,,,,,,,,,,,
7.7,26.445799,,23.922583,,,,,,,,,,,,,,,,
7.8,26.495997,,24.122887,,,,,,,,,,,,,,,,
7.9,26.440651,,24.907961,,,,,,,,,,,,,,,,
