DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1700.0,49.441294,2836.376382,108.008916,0.288988,8.253433,0.04177,2.462804,3.080779,84.629901,-133.776279,3.467365,5.674324,5.644356,5.624467,5.599706,5.555416,5.526088,5.37768,0.121987,0.034305,8.5
1700.1,49.438039,2833.107322,108.912701,0.29151,8.259714,0.047683,2.466313,3.064291,84.229011,-133.758012,3.553095,6.056004,6.010509,5.98037,5.942911,5.876079,5.831945,5.608444,0.12233,0.034648,8.5
1700.2,49.465557,2844.488836,109.75761,0.29254,8.276635,0.052345,2.470072,3.03778,83.796514,-133.735047,3.612096,6.327864,6.268006,6.228416,6.17928,6.091813,6.034192,5.742308,0.123091,0.035409,8.5
1700.3,49.460235,2866.749686,111.704453,0.291716,8.311069,0.054946,2.474171,3.021439,83.287016,-133.677854,3.714058,6.213468,6.146374,6.102048,6.047089,5.949409,5.885168,5.559605,0.124168,0.036487,8.5
1700.4,49.465843,2871.09375,111.524439,0.289057,8.349054,0.055094,2.477323,3.015378,82.749259,-133.649103,3.848057,6.043737,5.973959,5.927889,5.8708,5.769423,5.702812,5.365141,0.125223,0.037542,8.5
1700.5,49.4374,2873.25159,112.29097,0.284201,8.381701,0.053143,2.479133,3.014885,82.204107,-133.615237,3.984055,6.035002,5.963889,5.916947,5.858788,5.755539,5.68772,5.344013,0.126632,0.03895,8.5
1700.6,49.457595,2898.722238,110.240424,0.277754,8.442805,0.049368,2.479066,3.024865,81.720572,-133.621692,4.073588,6.264799,6.194491,6.148058,6.090508,5.988271,5.92107,5.580498,0.129155,0.041473,8.5
1700.7,49.449913,2963.327016,107.213379,0.270874,8.548348,0.044327,2.477226,3.05351,81.324542,-133.587159,4.183504,6.477778,6.413063,6.370281,6.317205,6.222785,6.160626,5.845697,0.13225,0.044568,8.5
1700.8,49.454215,2960.06543,103.158911,0.263336,8.645281,0.039795,2.477231,3.081963,81.104875,-133.594583,4.261162,6.555477,6.501981,6.466562,6.422559,6.344111,6.292348,6.029995,0.134335,0.046654,8.5
1700.9,49.472472,2969.290884,100.93645,0.256243,8.683518,0.035198,2.476394,3.119143,81.070815,-133.614886,4.279315,6.560596,6.51767,6.489209,6.45381,6.39058,6.348772,6.137052,0.134634,0.046953,8.5
1701.0,49.486062,2980.668927,99.320272,0.249497,8.664552,0.031976,2.476743,3.166565,81.18544,-133.651082,4.224469,6.49012,6.457698,6.436174,6.40937,6.361404,6.329627,6.16868,0.134059,0.046377,8.5
1701.1,49.518695,3038.192566,99.196729,0.244639,8.646408,0.030851,2.478842,3.218932,81.421563,-133.684916,4.205225,6.37905,6.352552,6.334948,6.313012,6.27372,6.247662,6.115905,0.13365,0.045968,8.5
1701.2,49.501831,3046.875,100.537232,0.239752,8.638117,0.032129,2.483672,3.263986,81.747782,-133.722813,4.194602,6.373559,6.354939,6.342557,6.327114,6.299414,6.281016,6.188037,0.133539,0.045857,8.5
1701.3,49.464511,3044.163463,102.506937,0.237279,8.639262,0.035126,2.490761,3.293157,82.138067,-133.766451,4.198766,6.559535,6.550676,6.544778,6.537417,6.524192,6.515395,6.470989,0.133777,0.046096,8.5
1701.4,49.447138,3022.460938,104.428295,0.236344,8.653531,0.037456,2.495496,3.299633,82.543036,-133.769489,4.193609,6.450293,6.456116,6.460003,6.464867,6.473635,6.47949,6.509035,0.134393,0.046712,8.5
1701.5,49.435917,3022.460938,106.213451,0.240444,8.679013,0.038889,2.498936,3.27719,82.916293,-133.772539,4.193832,6.209493,6.22755,6.239618,6.254736,6.282044,6.300318,6.392463,0.135181,0.0475,8.5
1701.6,49.439588,3025.177813,106.581384,0.248333,8.704284,0.037888,2.497454,3.239924,83.209792,-133.776255,4.120918,6.362028,6.389079,6.407178,6.429873,6.470928,6.498444,6.63712,0.135805,0.048123,8.5
1701.7,49.48096,3049.049924,105.95548,0.259781,8.719051,0.036778,2.49591,3.209922,83.33715,-133.783362,3.978869,6.271271,6.300681,6.320364,6.345055,6.389742,6.419707,6.570713,0.1361,0.048418,8.5
1701.8,49.454869,3069.126685,104.488625,0.269764,8.723184,0.03463,2.489474,3.200382,83.333025,-133.774235,3.724795,6.143476,6.168577,6.185369,6.206423,6.244502,6.270019,6.398544,0.136161,0.04848,8.5
1701.9,49.499575,3091.909198,103.570431,0.276715,8.723011,0.034688,2.485192,3.205519,83.249566,-133.765434,3.37316,6.090961,6.110124,6.122933,6.138983,6.167978,6.187385,6.28512,0.13605,0.048369,8.5
1702.0,49.481616,3100.041139,102.75488,0.279901,8.716052,0.036399,2.482341,3.206505,83.19977,-133.756967,2.996748,5.936976,5.951966,5.96198,5.974521,5.997162,6.012304,6.088529,0.135604,0.047922,8.5
1702.1,49.44916,3094.612816,103.032682,0.279991,8.694358,0.03796,2.478582,3.204268,83.223468,-133.73398,2.717292,5.755571,5.772173,5.783268,5.797166,5.822268,5.839063,5.923706,0.134857,0.047176,8.5
1702.2,49.461471,3083.755457,104.776491,0.277056,8.66808,0.036994,2.469989,3.178122,83.364086,-133.745136,2.596516,5.870653,5.888755,5.900854,5.916012,5.943395,5.961722,6.054082,0.134343,0.046661,8.5
1702.3,49.466137,3065.314517,107.316303,0.272867,8.661219,0.034089,2.459381,3.164809,83.577044,-133.748855,2.637565,5.918219,5.936133,5.948107,5.96311,5.990211,6.008348,6.099896,0.13448,0.046798,8.5
1702.4,49.498799,3056.094402,108.682382,0.2693,8.676904,0.031319,2.4526,3.149243,83.747317,-133.757313,2.844894,5.87258,5.881358,5.887218,5.894554,5.907785,5.916626,5.961246,0.134719,0.047037,8.5
1702.5,49.478561,3047.931763,108.938263,0.266454,8.676606,0.027874,2.447022,3.159642,83.807454,-133.761375,3.162693,5.725312,5.720859,5.717894,5.714194,5.707547,5.703126,5.680784,0.134022,0.046341,8.5
1702.6,49.487553,3015.390387,108.310729,0.264167,8.631954,0.026484,2.447844,3.167623,83.753861,-133.765722,3.480444,5.790026,5.76929,5.755509,5.738331,5.707545,5.687117,5.583861,0.132354,0.044673,8.5
1702.7,49.471452,2995.310423,106.984026,0.262985,8.568536,0.027118,2.452387,3.187438,83.678622,-133.711284,3.643524,5.902733,5.867984,5.844933,5.816248,5.764972,5.731041,5.559416,0.130808,0.043126,8.5
1702.8,49.507585,2965.965765,106.038718,0.265263,8.531229,0.031117,2.463077,3.179782,83.628504,-133.682511,3.655606,5.962351,5.917834,5.888341,5.851681,5.786267,5.743064,5.524636,0.130331,0.042649,8.5
1702.9,49.483548,2899.793416,105.976623,0.270889,8.537364,0.033809,2.467727,3.167453,83.656594,-133.642246,3.561945,5.783568,5.740818,5.712494,5.677287,5.61446,5.572964,5.363059,0.130733,0.043051,8.5
1703.0,49.485265,2856.445313,105.95443,0.278868,8.557522,0.03578,2.468141,3.148419,83.7609,-133.594533,3.441657,5.583242,5.549196,5.526615,5.49852,5.448312,5.415098,5.24709,0.13127,0.043588,8.5
1703.1,49.509508,2855.896598,106.703411,0.28568,8.572442,0.035482,2.460639,3.135468,83.90089,-133.52853,3.359535,5.37749,5.355654,5.341146,5.323067,5.290681,5.2692,5.16042,0.131587,0.043906,8.5
1703.2,49.476698,2849.91529,107.638208,0.290746,8.57822,0.034751,2.451565,3.116815,84.009626,-133.444969,3.397594,5.427489,5.411347,5.400613,5.387224,5.363209,5.347259,5.266522,0.131781,0.044099,8.5
1703.3,49.420658,2836.364637,109.230509,0.291594,8.585056,0.032596,2.440067,3.100001,84.013777,-133.349557,3.517424,5.725841,5.709393,5.698455,5.684811,5.660336,5.644077,5.561809,0.131993,0.044311,8.5
