,DEPT,Pred_DTC
0,105.4,137.7154
1,105.5,136.0087
2,105.6,134.8913
3,105.7,137.73359999999997
4,105.8,137.64229999999998
5,105.9,137.503
6,106.0,137.503
7,106.1,137.4395
8,106.2,137.4395
9,106.3,137.503
10,106.4,137.503
11,106.5,137.4716
12,106.6,137.4716
13,106.7,137.4716
14,106.8,137.503
15,106.9,137.503
16,107.0,137.4395
17,107.1,137.64229999999998
18,107.2,137.64229999999998
19,107.3,137.4395
20,107.4,137.4395
21,107.5,137.503
22,107.6,137.503
23,107.7,137.503
24,107.8,137.4716
25,107.9,137.4716
26,108.0,137.503
27,108.1,137.503
28,108.2,137.4395
29,108.3,137.64229999999998
30,108.4,137.64229999999998
31,108.5,137.64229999999998
32,108.6,137.64229999999998
33,108.7,137.64229999999998
34,108.8,137.4395
35,108.9,137.503
36,109.0,137.503
37,109.1,137.503
38,109.2,137.503
39,109.3,137.4395
40,109.4,137.4395
41,109.5,137.64229999999998
42,109.6,137.64229999999998
43,109.7,137.64229999999998
44,109.8,137.64229999999998
45,109.9,137.4395
46,110.0,137.503
47,110.1,137.503
48,110.2,137.4946
49,110.3,137.4632
50,110.4,137.4632
51,110.5,137.4716
52,110.6,137.4716
53,110.7,137.4716
54,110.8,137.4716
55,110.9,137.4716
56,111.0,137.503
57,111.1,137.503
58,111.2,137.503
59,111.3,137.503
60,111.4,137.503
61,111.5,137.503
62,111.6,137.503
63,111.7,137.503
64,111.8,137.503
65,111.9,137.64229999999998
66,112.0,137.4395
67,112.1,137.503
68,112.2,137.503
69,112.3,137.503
70,112.4,137.503
71,112.5,137.503
72,112.6,137.503
73,112.7,137.503
74,112.8,137.4946
75,112.9,137.4946
76,113.0,137.4946
77,113.1,137.4946
78,113.2,137.4946
79,113.3,137.4946
80,113.4,137.4946
81,113.5,137.4632
82,113.6,137.4632
83,113.7,137.4632
84,113.8,137.4632
85,113.9,137.4716
86,114.0,137.503
87,114.1,137.503
88,114.2,137.503
89,114.3,137.503
90,114.4,137.503
91,114.5,137.503
92,114.6,137.503
93,114.7,137.503
94,114.8,137.503
95,114.9,137.503
96,115.0,137.503
97,115.1,137.4946
