wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-A10,280.111,12.25,11.32,2.197,137.954,100.646,0.406,2.774,29.38,27.932,12.437,280.1114545
Cheal-A10,280.264,12.25,11.055,2.191,137.87,105.712,0.455,2.863,28.12,26.167,12.143,280.2638303
Cheal-A10,280.416,8.5,11.04,2.178,137.786,104.07,0.478,2.73,28.159,26.034,11.795,280.4162061
Cheal-A10,280.568,8.5,11.278,2.172,138.268,106.408,0.444,2.801,30.392,27.168,11.102,280.5685818
Cheal-A10,280.721,8.5,11.32,2.203,138.396,109.047,0.455,2.826,29.463,26.128,11.895,280.7209576
Cheal-A10,280.873,8.5,11.481,2.222,138.45,109.013,0.478,3.03,28.99,25.301,11.488,280.8733333
Cheal-A10,281.026,8.5,11.55,2.184,138.78,108.589,0.48,2.835,28.041,23.634,10.218,281.026
Cheal-A10,281.178,8.5,11.239,2.159,137.321,103.891,0.48,2.856,28.438,23.303,10.458,281.178
Cheal-A10,281.33,8.5,11.048,2.196,136.874,107.474,0.441,2.902,30.163,24.528,12.944,281.33
Cheal-A10,281.483,8.5,10.733,2.237,136.367,104.739,0.457,2.917,31.84,25.75,13.27,281.483
Cheal-A10,281.635,8.5,10.595,2.228,135.116,105.744,0.433,2.829,27.927,22.614,10.036,281.635
Cheal-A10,281.788,8.5,10.491,2.246,135.344,102.225,0.416,2.986,29.927,24.174,9.878,281.788
Cheal-A10,281.94,8.5,8.8,2.23,134.685,106.917,0.412,2.963,32.694,26.47,11.638,281.94
Cheal-A10,282.092,8.5,8.731,2.232,134.274,112.523,0.397,2.94,31.124,25.188,11.925,282.092
Cheal-A10,282.245,8.5,8.785,2.225,134.462,113.784,0.383,2.862,31.754,25.542,10.815,282.245
Cheal-A10,282.397,8.5,8.839,2.224,134.708,113.784,0.38,2.829,32.436,25.957,11.401,282.397
Cheal-A10,282.55,8.5,8.662,2.204,135.416,112.376,0.384,3.025,29.701,23.719,11.02,282.551
Cheal-A10,282.702,8.5,8.578,2.181,136.266,116.951,0.416,2.834,29.748,23.778,10.942,282.7061
Cheal-A10,282.854,8.5,8.586,2.161,136.901,117.42,0.382,2.748,29.913,23.859,10.96,282.8611
Cheal-A10,283.007,8.5,8.447,2.205,136.762,110.499,0.4,2.874,31.497,25.218,11.28,283.0169
Cheal-A10,283.159,8.5,8.352,2.215,136.713,107.801,0.403,2.89,33,26.545,11.754,283.1658
Cheal-A10,283.312,8.5,8.432,2.222,136.451,107.215,0.407,2.925,27.869,22.765,10.691,283.3158
Cheal-A10,283.464,8.5,8.743,2.231,136.54,115.342,0.43,2.69,26.869,22.01,10.354,283.4647
Cheal-A10,283.616,8.5,8.674,2.217,137.453,115.811,0.392,2.864,31.399,25.596,11.57,283.6183
Cheal-A10,283.769,8.5,8.639,2.208,137.878,113.583,0.39,2.967,28.965,23.643,11.199,283.7744
Cheal-A10,283.921,8.5,8.536,2.191,139.858,108.271,0.368,2.908,28.173,22.993,11.136,283.9294
Cheal-A10,284.074,8.5,8.329,2.218,139.982,110.633,0.379,2.951,28.35,23.205,11.254,284.084
Cheal-A10,284.226,8.5,8.225,2.205,137.442,111.806,0.39,2.82,29.384,24.12,11.452,284.236
Cheal-A10,284.378,8.5,8.225,2.212,136.868,117.085,0.377,2.952,29.19,24.13,11.248,284.388
Cheal-A10,284.531,8.5,8.639,2.207,136.417,117.186,0.383,2.871,30.378,24.943,11.044,284.5404
Cheal-A10,284.683,8.5,8.685,2.202,136.216,120,0.36,2.842,30.554,25.131,11.346,284.6893
Cheal-A10,284.836,8.5,8.609,2.215,138.184,112.611,0.37,2.696,29.549,24.392,11.804,284.8393
Cheal-A10,284.988,8.5,8.524,2.219,136.462,109.619,0.387,2.804,27.958,23.078,11.579,284.9883
Cheal-A10,285.14,8.5,8.513,2.218,136.833,109.854,0.379,2.754,27.705,22.785,11.382,285.14
Cheal-A10,285.293,8.5,8.57,2.199,137.354,107.743,0.42,2.928,29.879,24.466,11.849,285.293
Cheal-A10,285.445,8.5,8.632,2.201,137.838,106.394,0.415,2.891,30.514,24.917,12.247,285.445
Cheal-A10,285.598,8.5,8.685,2.192,137.544,103.226,0.43,2.822,26.826,22.046,11.883,285.598
Cheal-A10,285.75,8.5,8.708,2.219,137.939,106.042,0.4,2.826,26.436,21.784,12.405,285.75
Cheal-A10,285.902,8.5,8.754,2.213,137.948,105.883,0.422,2.83,28.702,23.591,13.142,285.902
Cheal-A10,286.055,8.5,8.731,2.203,137.677,108.112,0.414,2.82,29.017,23.85,13.029,286.0561
Cheal-A10,286.207,8.5,8.743,2.202,137.495,109.05,0.377,2.914,31.203,25.564,13.742,286.2112
Cheal-A10,286.36,8.5,8.639,2.202,137.044,114.605,0.367,2.86,32.359,26.558,13.78,286.3672
Cheal-A10,286.512,8.5,8.34,2.204,136.163,114.37,0.366,2.837,29.347,24.038,12.612,286.522
Cheal-A10,286.664,8.5,8.444,2.214,135.705,116.13,0.38,2.923,26.604,21.781,11.553,286.674
Cheal-A10,286.817,8.5,8.639,2.219,135.855,111.203,0.389,2.942,26.823,21.821,11.376,286.827
Cheal-A10,286.969,8.5,8.616,2.201,134.911,107.684,0.394,3.094,28.193,22.901,11.781,286.979
Cheal-A10,287.122,8.5,8.593,2.204,134.437,103.109,0.363,2.902,30.986,25.095,12.427,287.132
Cheal-A10,287.274,8.5,8.547,2.206,134.303,99.825,0.362,3.005,27.456,22.3,11.908,287.284
Cheal-A10,287.426,8.5,8.455,2.188,134.381,102.288,0.367,2.906,25.726,20.954,11.429,287.436
Cheal-A10,287.579,8.5,8.467,2.202,135.315,104.349,0.384,2.895,32.465,26.399,12.644,287.5874
Cheal-A10,287.731,8.5,8.501,2.202,135.348,103.88,0.385,2.911,30.434,24.932,12.496,287.7364
Cheal-A10,287.884,8.5,8.54,2.205,135.355,101.534,0.372,2.88,27.949,23.072,12.074,287.8863
Cheal-A10,288.036,8.5,8.509,2.202,135.608,106.746,0.379,2.926,27.514,22.741,11.823,288.036
Cheal-A10,288.188,8.5,8.386,2.214,136.243,111.32,0.369,2.925,25.118,20.903,11.274,288.188
Cheal-A10,288.341,8.5,8.516,2.213,135.982,111.354,0.413,2.871,27.033,22.611,11.673,288.341
Cheal-A10,288.493,8.5,8.593,2.202,135.983,111.94,0.409,2.886,28.109,23.459,11.782,288.493
Cheal-A10,288.646,8.5,8.532,2.236,136.816,111.354,0.461,2.902,24.474,20.634,11.083,288.6489
Cheal-A10,288.798,8.5,8.516,2.225,136.723,116.481,0.463,3.047,23.273,19.534,10.673,288.804
Cheal-A10,288.95,8.5,8.513,2.216,136.455,120.235,0.521,2.974,23.732,19.955,10.669,288.959
Cheal-A10,289.103,8.5,8.49,2.177,136.182,121.878,0.458,2.836,25.183,21.054,10.849,289.1089
Cheal-A10,289.255,8.5,8.34,2.182,135.762,119.297,0.461,2.889,24.671,20.659,10.518,289.2548
Cheal-A10,289.408,8.5,8.179,2.204,135.301,113.784,0.437,2.874,25.428,21.214,10.453,289.4017
Cheal-A10,289.56,8.5,8.34,2.222,135.205,113.314,0.442,2.846,29.058,24.083,11.2,289.55
Cheal-A10,289.712,8.5,8.47,2.205,135.178,116.247,0.413,2.915,31.525,26.057,11.376,289.702
Cheal-A10,289.865,8.5,8.536,2.184,134.66,114.848,0.413,2.784,30.922,25.528,11.477,289.855
Cheal-A10,290.017,8.5,8.432,2.199,134.026,115.434,0.4,2.857,29.082,24.039,11.261,290.007
Cheal-A10,290.17,8.5,8.179,2.202,133.714,115.434,0.377,2.785,26.872,22.302,11.011,290.16
Cheal-A10,290.322,8.5,8.24,2.202,134.137,114.722,0.394,2.805,26.265,21.873,11.062,290.312
Cheal-A10,290.474,8.5,8.54,2.211,134.969,111.672,0.395,2.808,27.264,22.733,11.122,290.464
Cheal-A10,290.627,8.5,8.524,2.206,135.201,109.586,0.41,2.911,28.749,24.019,11.589,290.617
Cheal-A10,290.779,8.5,8.662,2.195,135.397,110.642,0.412,2.885,30.688,25.744,12.492,290.769
Cheal-A10,290.932,8.5,8.651,2.212,135.198,113.574,0.406,2.778,30.879,25.854,12.764,290.922
Cheal-A10,291.084,8.5,8.662,2.217,134.916,109.796,0.433,2.793,27.237,22.924,11.997,291.074
Cheal-A10,291.236,8.5,8.616,2.198,134.813,108.857,0.456,2.822,28.21,23.56,12.098,291.226
Cheal-A10,291.389,8.5,8.125,2.203,135.115,106.746,0.477,2.832,27.979,23.38,12.379,291.379
Cheal-A10,291.541,8.5,7.937,2.221,135.435,111.438,0.446,2.841,25.318,21.23,11.529,291.531
Cheal-A10,291.694,8.5,8.26,2.207,135.644,113.038,0.407,2.832,25.913,21.754,11.493,291.684
Cheal-A10,291.846,8.5,8.662,2.211,135.234,112.803,0.391,2.803,27.138,22.801,12.046,291.836
Cheal-A10,291.998,8.5,8.605,2.201,134.622,111.161,0.386,2.687,30.235,25.337,12.875,291.988
Cheal-A10,292.151,8.5,8.386,2.181,134.168,108.036,0.418,2.819,28.682,24.19,12.942,292.141
Cheal-A10,292.303,8.5,8.44,2.194,134.03,106.863,0.412,2.937,28.321,23.844,12.278,292.293
Cheal-A10,292.456,8.5,8.34,2.242,134.196,106.159,0.407,2.925,25.692,21.782,11.386,292.446
Cheal-A10,292.608,8.5,8.168,2.227,133.456,104.131,0.377,2.855,27.422,23.184,11.534,292.598
Cheal-A10,292.76,8.5,8.444,2.198,133.602,110.935,0.379,2.833,28.626,24.017,11.962,292.75
Cheal-A10,292.913,8.5,8.486,2.232,133.689,110.701,0.382,2.773,31.071,25.943,12.544,292.903
Cheal-A10,293.065,8.5,8.455,2.208,133.813,112.845,0.397,2.838,26.63,22.408,11.423,293.055
Cheal-A10,293.218,8.5,8.478,2.181,133.812,107.801,0.395,2.875,24.693,20.854,11.18,293.208
Cheal-A10,293.37,8.5,8.225,2.207,133.467,112.493,0.398,2.809,25.201,21.232,11.291,293.36
Cheal-A10,293.522,8.5,8.194,2.212,128.572,115.074,0.39,2.748,24.298,20.503,10.99,293.512
Cheal-A10,293.675,8.5,8.21,2.23,127.067,114.956,0.398,2.763,27.686,23.312,11.741,293.665
Cheal-A10,293.827,8.5,8.194,2.227,126.025,109.678,0.393,2.93,30.342,25.408,12.269,293.817
Cheal-A10,293.98,8.5,8.168,2.239,127.74,107.801,0.418,2.898,24.85,20.993,10.996,293.97
Cheal-A10,294.132,8.5,7.949,2.214,133.089,107.215,0.418,2.792,22.974,19.52,10.393,294.122
Cheal-A10,294.284,8.5,7.926,2.21,134.866,111.085,0.43,2.865,25.108,21.29,11.032,294.274
Cheal-A10,294.437,8.5,8.087,2.221,135.256,114.37,0.39,2.939,28.083,23.674,11.879,294.427
Cheal-A10,294.589,8.5,8.639,2.22,133.95,111.108,0.382,2.805,27.181,22.903,11.647,294.579
Cheal-A10,294.742,8.5,8.674,2.229,134.356,110.404,0.402,2.851,23.793,20.193,11.009,294.732
Cheal-A10,294.894,8.5,8.685,2.232,134.206,112.046,0.411,2.862,24.836,21.042,11.747,294.884
Cheal-A10,295.046,8.5,8.72,2.229,134.633,120.001,0.423,2.925,25.999,22.083,12.575,295.036
Cheal-A10,295.199,8.5,8.777,2.21,135.013,118.476,0.402,2.842,24.812,21.192,12.177,295.189
Cheal-A10,295.351,8.5,8.839,2.218,135.007,116.482,0.434,2.813,25.265,21.579,12.441,295.341
