wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-C3,654.101,8.5,11.06,2.287,136.251,135.699,0.344,4.047,28.466,15.365,3.718,599.0286
Cheal-C3,654.253,8.5,11.074,2.282,132.922,136.366,0.365,3.761,28.503,15.344,3.785,599.1168
Cheal-C3,654.406,8.5,11.012,2.281,130.532,136.313,0.36,3.432,27.026,15.252,3.877,599.2055
Cheal-C3,654.558,8.5,10.738,2.287,127.531,143.079,0.352,3.209,26.638,15.379,3.854,599.2936
Cheal-C3,654.71,8.5,10.696,2.291,127.136,145.089,0.363,3.113,26.349,15.726,3.587,599.3818
Cheal-C3,654.863,8.5,10.735,2.295,127.412,144.373,0.382,3.092,26.524,15.792,3.497,599.4705
Cheal-C3,655.015,8.5,10.735,2.293,127.026,143.89,0.396,3.086,27.036,16.222,3.999,599.559
Cheal-C3,655.168,8.5,11.327,2.29,126.644,147.428,0.379,3.07,26.88,15.917,4.119,599.6508
Cheal-C3,655.32,8.5,15.438,2.286,125.822,171.027,0.335,3.048,26.129,15.39,4.216,599.742
Cheal-C3,655.472,8.5,11.131,2.277,125.419,144.095,0.358,3.049,26.19,14.937,4.231,599.8332
Cheal-C3,655.625,8.5,10.835,2.272,125.426,137.75,0.361,3.057,27.205,15.436,4.733,599.9225
Cheal-C3,655.777,8.5,10.325,2.274,126.902,133.026,0.362,3.058,28.365,16.128,4.192,600.0107
Cheal-C3,655.93,8.5,10.338,2.282,127.369,138.005,0.378,3.029,29.393,16.596,4.032,600.0994
Cheal-C3,656.082,8.5,10.497,2.286,128.681,141.096,0.383,3.006,27.774,16.534,4.355,600.1876
Cheal-C3,656.234,8.5,10.505,2.286,128.305,146.555,0.388,2.998,27.642,16.702,4.493,600.2757
Cheal-C3,656.387,8.5,10.49,2.285,127.683,148.001,0.361,3.011,27.851,16.963,4.782,600.3644
Cheal-C3,656.539,8.5,10.491,2.284,126.679,148.465,0.338,3.034,27.747,16.996,4.719,600.4526
Cheal-C3,656.692,8.5,10.548,2.281,125.97,146.074,0.328,3.067,28.279,17.453,4.816,600.5413
Cheal-C3,656.844,8.5,10.543,2.276,125.577,140.267,0.349,3.078,28.417,17.725,4.885,600.6295
Cheal-C3,656.996,8.5,10.553,2.278,125.217,142.715,0.347,3.049,28.775,18.114,5.038,600.7177
Cheal-C3,657.149,8.5,10.601,2.283,125.373,138.479,0.362,3,28.444,18.076,5.055,600.8064
Cheal-C3,657.301,8.5,10.594,2.286,125.856,139.524,0.352,2.979,28.443,17.839,5.015,600.8946
Cheal-C3,657.454,8.5,10.582,2.288,126.011,140.336,0.362,2.97,27.918,17.807,5.076,600.9833
Cheal-C3,657.606,8.5,10.531,2.289,126.074,142.205,0.37,2.98,26.472,17.004,4.965,601.0715
Cheal-C3,657.758,8.5,10.518,2.294,125.608,144.641,0.372,2.996,24.985,16.353,4.984,601.1597
Cheal-C3,657.911,8.5,10.481,2.294,125.661,141.472,0.366,3.03,24.006,15.671,4.785,601.2484
Cheal-C3,658.063,8.5,10.529,2.29,124.224,140.392,0.357,3.032,24.176,15.953,4.788,601.3365
Cheal-C3,658.216,8.5,10.577,2.288,124.178,138.511,0.335,3.028,25.145,16.467,4.889,601.4253
Cheal-C3,658.368,8.5,10.574,2.283,123.95,142.605,0.332,3.013,25.491,16.772,4.885,601.5134
Cheal-C3,658.52,8.5,10.596,2.283,124.502,144.933,0.333,3.024,25.405,16.683,4.866,601.6016
Cheal-C3,658.673,8.5,10.658,2.283,124.682,142.88,0.361,3.031,25.02,16.51,4.821,601.6904
Cheal-C3,658.825,8.5,10.735,2.287,124.699,143.196,0.367,3.053,25.243,16.609,4.832,601.7785
Cheal-C3,658.978,8.5,10.754,2.287,124.825,142.793,0.344,3.062,25.875,16.881,4.993,601.8672
Cheal-C3,659.13,8.5,10.701,2.28,125.506,146.674,0.33,3.058,23.32,15.492,4.929,601.9554
Cheal-C3,659.282,8.5,10.754,2.274,124.9,138.337,0.324,3.054,23.257,15.432,5.037,602.0436
Cheal-C3,659.435,8.5,10.744,2.277,125.69,136.57,0.334,3.047,24.671,16.178,5.167,602.1323
Cheal-C3,659.587,8.5,10.763,2.286,125.802,134.646,0.334,3.036,27.273,17.615,5.445,602.2205
Cheal-C3,659.74,8.5,10.997,2.291,125.791,140.304,0.349,3.033,28.073,18.127,5.763,602.3092
Cheal-C3,659.892,8.5,11.748,2.289,125.507,146.505,0.362,3.045,28.534,18.515,5.976,602.3974
Cheal-C3,660.044,8.5,11.805,2.289,125.111,146.536,0.36,3.084,28.761,18.687,6.227,602.4855
Cheal-C3,660.197,8.5,11.844,2.287,125.379,150.656,0.327,3.109,28.222,18.626,6.923,602.5743
Cheal-C3,660.349,8.5,11.671,2.282,126.006,153.063,0.317,3.133,26.366,17.644,7.063,602.6624
Cheal-C3,660.502,8.5,11.595,2.275,125.616,154.835,0.318,3.135,24.145,16.333,6.652,602.7512
Cheal-C3,660.654,8.5,11.378,2.282,125.831,153.29,0.344,3.145,22.307,15.316,6.155,602.8424
Cheal-C3,660.806,8.5,11.327,2.289,124.497,151.029,0.342,3.128,23.106,15.651,5.683,602.9336
Cheal-C3,660.959,8.5,11.308,2.294,124.263,148.862,0.335,3.086,23.601,15.932,5.452,603.0254
Cheal-C3,661.111,8.5,11.302,2.287,124.282,146.339,0.301,3.032,22.439,15.348,5.43,603.1144
Cheal-C3,661.264,8.5,11.327,2.282,124.535,145.115,0.308,3.002,22.513,15.527,5.628,603.2031
Cheal-C3,661.416,8.5,11.417,2.275,125.033,149.639,0.32,3.009,23.593,16.072,5.556,603.2913
Cheal-C3,661.568,8.5,11.442,2.279,124.943,149.127,0.338,3.038,24.303,16.591,5.672,603.3795
Cheal-C3,661.721,8.5,11.531,2.282,125.302,151.75,0.344,3.067,24.816,16.67,5.724,603.4682
Cheal-C3,661.873,8.5,11.601,2.278,125.691,150.125,0.359,3.069,25.74,17.114,5.982,603.5563
Cheal-C3,662.026,8.5,11.691,2.271,126.109,150.255,0.368,3.069,26.121,17.333,6.286,603.6451
Cheal-C3,662.178,8.5,11.748,2.273,126.288,147.659,0.366,3.049,27.557,18.161,6.725,603.7332
