wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-G2,105.4,12.25,12.705,2.176,117.822,85.898,0.437,3.178,59.886,48.252,29.148,105.4
Cheal-G2,105.5,12.25,12.622,2.235,121.407,85.806,0.435,3.179,68.172,56.026,35.444,105.5
Cheal-G2,105.6,12.25,12.67,2.239,127.344,85.739,0.427,3.113,74.9,62.521,41.017,105.6
Cheal-G2,105.7,12.25,12.718,2.207,133.477,88.162,0.418,3.018,75.169,63.511,42.864,105.7
Cheal-G2,105.8,12.25,12.672,2.166,138.607,91.182,0.411,2.945,71.053,60.58,41.758,105.8
Cheal-G2,105.9,12.25,12.588,2.138,141.985,95.24,0.416,2.9,68.924,59.067,41.206,105.9
Cheal-G2,106,12.25,12.522,2.123,143.987,95.898,0.42,2.898,68.084,58.432,40.901,106
Cheal-G2,106.1,12.25,12.496,2.113,145.24,95.813,0.428,2.917,69.175,59.308,41.415,106.1
Cheal-G2,106.2,12.25,12.499,2.102,146.16,91.961,0.428,2.929,71.788,61.514,42.899,106.2
Cheal-G2,106.3,12.25,12.498,2.088,147.001,88.694,0.427,2.9,76.004,65.036,45.21,106.3
Cheal-G2,106.4,12.25,12.498,2.071,147.702,85.317,0.419,2.848,70.644,60.348,41.786,106.4
Cheal-G2,106.5,12.25,12.49,2.059,148.131,85.525,0.415,2.784,60.012,51.157,35.247,106.5
Cheal-G2,106.6,12.25,12.461,2.057,148.212,85.547,0.411,2.747,64.337,54.754,37.582,106.6
Cheal-G2,106.7,12.25,12.379,2.071,148.016,86.936,0.412,2.735,71.547,60.744,41.459,106.7
Cheal-G2,106.8,12.25,12.253,2.091,147.812,87.599,0.412,2.794,72.933,61.795,41.978,106.8
Cheal-G2,106.9,12.25,12.152,2.116,147.726,88.493,0.412,2.867,72.817,61.645,41.793,106.9
Cheal-G2,107,12.25,12.124,2.14,147.797,88.506,0.409,2.931,72.925,61.795,41.989,107
