DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
427.0,191.8,0.9,426.98
565.0,179.5,0.6,564.97
709.0,153.3,0.6,708.96
823.0,6.2,0.1,822.96
842.0,316.6,2.6,841.95
863.0,300.1,5.7,862.9
883.0,287.4,7.7,882.76
902.0,279.4,9.2,901.55
921.0,281.8,10.8,920.27
940.0,282.2,12.7,938.87
958.0,277.9,14.1,956.38
975.0,274.4,14.9,972.84
994.0,275.5,17.0,991.1
1013.0,275.1,19.0,1009.17
1032.0,273.0,20.8,1027.04
1050.0,270.8,21.9,1043.8
1069.0,272.2,23.4,1061.34
1088.0,274.6,24.7,1078.6899
1107.0,276.0,26.5,1095.8199
1126.0,275.0,28.5,1112.67
1145.0,274.3,30.5,1129.21
1163.0,273.9,31.9,1144.61
1182.0,273.9,33.2,1160.62
1201.0,273.6,34.6,1176.39
1220.0,273.2,36.5,1191.85
1239.0,271.1,37.3,1207.04
1258.0,270.8,38.4,1222.05
1277.0,271.1,38.1,1236.97
1296.0,271.1,38.3,1251.9
1315.0,272.2,37.9,1266.85
1334.0,272.2,37.5,1281.88
1353.0,272.2,38.7,1296.83
1372.0,272.9,39.3,1311.6
1391.0,272.5,38.8,1326.36
1410.0,271.8,38.7,1341.17
1429.0,272.2,39.1,1355.96
1448.0,272.2,38.8,1370.74
1466.0,270.8,39.3,1384.72
1484.0,269.7,39.5,1398.62
1510.0,267.9,38.4,1418.84
1540.0,271.5,38.3,1442.37
1568.0,272.2,36.6,1464.6
1596.0,271.5,35.4,1487.26
1606.0,272.2,34.6,1495.45
1623.0,273.2,33.8,1509.51
1642.0,273.2,33.6,1525.3101
1661.0,273.6,33.1,1541.1899
1680.0,273.6,32.5,1557.16
1699.0,273.2,32.1,1573.22
1718.0,273.6,31.5,1589.36
1737.0,273.9,31.5,1605.5601
1747.1,273.9,31.7,1614.17
1766.0,273.2,32.9,1630.14
1794.7,272.1,34.6,1654.0
1813.6,272.2,35.4,1669.49
1823.2,272.5,35.8,1677.29
1842.0,272.9,36.8,1692.4399
1852.0,273.6,37.3,1700.42
1871.0,273.9,38.7,1715.4
1890.0,274.3,39.9,1730.1
1908.0,273.9,41.1,1743.79
1927.0,273.6,41.9,1758.02
1946.6,273.9,41.5,1772.65
1956.1,274.6,41.5,1779.76
1975.0,274.3,41.2,1793.95
2003.6,275.0,41.3,1815.46
2032.0,275.7,41.9,1836.6899
2051.0,275.6,41.7,1850.86
2069.0,274.6,41.5,1864.3199
2081.0,273.6,41.5,1873.3
2100.0,273.2,41.3,1887.5601
2119.0,273.2,41.3,1901.83
2138.0,273.6,41.4,1916.09
2167.0,272.9,40.9,1937.9301
2195.0,272.9,40.6,1959.14
2223.0,273.9,40.7,1980.39
2251.0,274.3,40.3,2001.6801
2280.0,273.2,40.1,2023.83
2308.0,273.2,39.7,2045.3101
2337.0,274.3,39.7,2067.6201
2365.0,273.6,39.8,2089.1499
2393.0,272.5,39.9,2110.6499
2422.0,273.6,40.0,2132.8799
2451.0,273.9,40.2,2155.0601
2479.0,274.3,40.3,2176.4299
2508.0,272.9,40.0,2198.6001
2536.0,273.9,40.1,2220.03
2564.0,274.3,39.9,2241.48
2594.0,273.6,39.9,2264.5
2622.0,274.3,40.5,2285.8799
2644.6,270.8,40.25,2303.1001
2673.1,271.3,40.5,2324.8101
2701.7,271.8,41.0,2346.48
2730.2,272.8,41.0,2367.99
2758.7,272.8,42.0,2389.3301
2787.2,272.8,42.75,2410.3899
2815.7,273.8,43.0,2431.27
2826.3,273.8,43.25,2439.01
2846.0,273.8,43.8,2455.47
