DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
52.5,116.2,0.65,52.5
71.2,40.4,0.46,71.2
89.4,297.1,0.24,89.4
127.0,126.2,0.65,127.0
154.2,125.4,0.83,154.2
174.3,164.0,0.89,174.29
192.4,165.3,0.89,192.39
211.4,175.4,0.81,211.39
230.7,162.5,0.62,230.69
250.2,156.7,0.59,250.19
269.2,142.1,0.59,269.19
288.5,131.7,0.62,288.48
307.8,118.9,0.95,307.78
326.9,130.3,1.14,326.88
346.2,146.5,1.3,346.17
365.4,155.3,1.34,365.37
384.5,179.7,1.3,384.46
410.6,159.65,0.93,410.56
420.2,185.6,0.94,420.16
439.7,214.4,1.16,439.66
458.7,228.3,1.5,458.65
478.0,235.5,2.1,477.94
496.7,264.6,2.47,496.63
516.3,271.7,2.88,516.21
535.6,273.59,4.26,535.47
554.8,276.45,5.68,554.59
573.9,273.74,7.3,573.57
593.0,268.68,9.11,592.48
612.22,267.12,11.4,611.39
631.0,266.52,13.47,629.73
650.4,267.22,15.51,648.51
669.6,267.69,17.56,666.91
688.7,267.3,19.16,685.04
707.7,266.8,20.75,702.9
726.9,266.39,22.6,720.74
746.2,266.27,24.35,738.44
765.3,266.55,26.22,755.71
784.6,266.26,28.31,772.87
803.9,264.89,30.69,789.66
823.2,263.81,32.46,806.11
842.3,263.44,32.99,822.17
861.4,263.59,32.88,838.2
880.5,263.42,32.6,854.27
899.9,262.92,33.36,870.54
919.2,263.07,33.53,886.65
938.5,262.94,33.51,902.74
957.7,263.16,33.15,918.78
976.7,262.8,33.18,934.68
995.8,262.46,33.07,950.68
1015.0,263.19,33.94,966.69
1034.3,263.25,33.84,982.71
1053.5,263.37,33.81,998.66
1072.8,263.62,33.82,1014.7
1091.9,263.36,34.04,1030.54
1111.0,263.82,33.37,1046.4301
1129.7,264.12,32.98,1062.09
1148.3,263.63,32.74,1077.71
1167.5,263.0,32.56,1093.88
1186.6,262.81,32.53,1109.98
1205.9,262.64,32.44,1126.26
1225.1,263.14,32.48,1142.46
1244.3,264.17,32.67,1158.64
1263.3,264.11,32.66,1174.63
1282.6,263.75,32.56,1190.89
1301.9,263.88,32.46,1207.17
1321.0,263.98,32.99,1223.23
1340.2,264.18,33.79,1239.26
1359.2,261.63,32.73,1255.15
1378.3,258.89,32.93,1271.2
1397.5,256.9,33.97,1287.22
1416.6,256.34,34.4,1303.02
1435.7,254.36,34.01,1318.8199
1454.8,251.86,34.72,1334.59
1473.9,249.4,35.71,1350.1899
1493.0,247.11,35.86,1365.6899
1512.1,242.35,35.75,1381.1801
1530.7,238.39,35.27,1396.3199
1549.8,234.98,35.35,1411.91
1568.9,230.77,35.77,1427.45
1588.2,227.96,36.16,1443.0699
1606.8,226.43,36.17,1458.09
1625.9,226.31,35.77,1473.55
1645.0,226.11,35.47,1489.0699
1664.1,225.87,35.37,1504.64
1683.2,225.77,35.46,1520.2
1702.5,225.46,35.09,1535.96
1721.5,225.35,34.84,1551.53
1740.6,224.53,34.52,1567.24
1759.6,224.67,34.34,1582.91
1778.8,223.89,35.48,1598.65
1798.1,223.64,35.44,1614.38
1817.1,223.19,35.16,1629.88
1836.2,222.64,35.09,1645.5
1855.3,222.27,34.99,1661.14
1874.6,222.12,34.63,1676.99
1893.9,222.31,34.21,1692.91
1913.0,221.63,34.02,1708.72
1922.1,221.8,33.78,1716.28
1936.0,221.8,33.78,1727.83
