DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
283.67,76.5,0.53
293.66,21.15,0.33
302.68,26.16,1.23
312.97,17.44,2.47
321.71,16.0,3.27
331.06,17.26,4.46
340.88,15.1,5.31
350.8,15.22,6.45
360.14,15.11,7.32
370.11,16.46,8.3
378.9,16.95,9.12
389.53,18.42,9.87
398.04,18.58,10.56
407.45,20.33,11.12
417.65,18.4,12.35
427.19,18.15,13.42
436.64,17.77,14.41
445.97,18.48,15.44
455.43,17.65,15.86
464.86,18.14,16.39
474.25,17.75,17.2
484.11,16.45,17.88
493.87,18.32,18.54
503.34,18.63,19.29
512.97,19.47,20.18
522.33,18.68,21.04
532.04,18.78,21.84
541.75,17.87,22.89
551.2,17.18,23.63
560.41,18.06,24.33
570.0,18.41,25.29
579.97,18.75,26.12
589.28,18.15,26.0
608.28,18.09,26.58
627.4,17.79,27.12
646.47,18.17,27.15
665.86,17.99,27.56
685.05,18.58,27.36
704.69,18.95,26.64
724.17,17.76,26.71
741.77,17.62,26.81
761.0,17.87,26.79
780.29,17.67,26.77
798.91,17.41,26.83
818.45,17.15,26.73
835.84,17.6,26.99
856.68,17.16,27.47
875.52,17.3,26.6
894.46,17.51,26.25
913.84,17.05,26.71
933.24,17.79,27.02
951.16,17.76,26.86
970.47,17.67,26.97
989.71,18.07,27.1
1009.16,18.22,27.23
1028.38,17.84,26.99
1047.12,18.05,27.02
1066.46,17.87,26.62
1085.55,17.71,26.59
1104.55,18.43,26.37
1123.65,17.87,26.33
1142.72,16.83,26.4
1162.0,16.66,26.35
1180.94,17.1,26.54
1200.13,18.42,26.52
1219.15,17.68,26.91
1235.67,18.51,26.86
1257.63,18.32,26.51
1276.99,17.07,27.03
1295.07,17.73,27.54
1314.08,17.85,27.35
1332.23,17.18,27.34
1352.65,18.39,27.13
1371.97,18.14,27.58
1390.93,17.1,27.64
1410.17,17.32,27.58
1429.43,17.17,27.65
1448.94,16.8,27.59
1467.98,15.93,27.76
1486.28,15.79,27.68
1505.44,15.48,27.57
1524.89,15.99,27.17
1543.67,17.84,26.72
1562.37,17.49,26.5
1572.61,17.89,27.29
1581.37,18.36,27.27
1600.69,17.9,27.56
1619.83,17.81,27.41
1639.08,17.84,27.28
1657.95,17.69,27.01
1677.2,17.85,26.83
1696.13,17.12,26.55
1715.19,17.66,26.62
1728.12,18.05,26.64
1734.43,18.24,26.65
1753.71,18.22,26.47
1772.92,17.78,26.52
1792.21,17.68,26.19
1810.67,18.1,26.07
1829.95,17.57,25.88
1852.5,17.57,25.88
