DEPTH,AZIMUTH,DEVIATION,TVD
60.3,148.4,0.07,60.3
154.4,132.1,0.2,154.4
192.6,86.8,0.31,192.6
230.0,92.8,0.31,230.0
288.6,232.3,0.1,288.6
327.2,10.1,0.13,327.2
365.5,74.7,0.21,365.5
384.7,121.0,0.32,384.7
403.8,124.7,0.36,403.8
438.3,152.5,0.31,438.3
457.59,177.1,3.04,457.58
495.48,179.2,7.46,495.3
514.56,185.9,7.97,514.21
533.67,192.5,8.27,533.13
552.32,192.9,9.59,551.55
571.56,190.5,10.95,570.48
590.64,189.5,12.06,589.18
609.92,189.2,14.24,607.95
628.9,187.2,16.76,626.24
648.27,186.3,18.85,644.68
667.51,186.9,20.35,662.81
686.61,187.6,20.97,680.68
705.89,188.4,21.59,698.64
725.19,188.1,21.54,716.59
744.25,188.1,21.55,734.32
765.71,188.8,21.5,754.28
784.82,188.8,21.71,772.05
803.88,190.5,23.18,789.67
823.03,190.3,23.17,807.27
842.28,189.9,23.15,824.97
861.38,190.4,22.99,842.54
880.66,189.9,23.06,860.29
899.9,189.6,23.18,877.98
919.21,189.6,23.07,895.74
938.29,189.2,23.3,913.28
957.05,188.8,23.53,930.5
975.69,190.3,23.77,947.57
994.38,190.1,23.81,964.67
1012.38,190.0,23.74,981.14
1031.45,189.7,23.59,998.61
1050.75,188.9,23.73,1016.29
1070.04,189.0,23.73,1033.95
1089.24,192.4,22.61,1051.6
1107.98,192.2,22.88,1068.88
1127.06,192.5,23.13,1086.4399
1146.17,192.2,21.96,1104.09
1164.82,192.6,22.03,1121.39
1184.06,192.0,22.06,1139.22
1203.14,191.1,22.36,1156.88
1222.42,188.2,21.09,1174.79
1241.7,188.3,20.62,1192.8101
1260.77,188.1,20.59,1210.66
1280.01,187.7,20.57,1228.67
1299.11,189.8,20.21,1246.58
1318.39,189.8,19.97,1264.6801
1337.69,189.5,19.92,1282.83
1356.75,189.6,19.59,1300.76
1375.84,189.8,19.56,1318.75
1394.94,189.9,20.55,1336.6899
1414.01,189.8,20.3,1354.5601
1433.02,189.5,20.13,1372.4
1452.11,189.3,19.78,1390.35
1471.16,190.6,20.66,1408.22
1490.25,190.4,20.73,1426.08
1509.33,190.5,20.32,1443.95
1528.44,189.9,22.1,1461.76
1547.76,189.2,22.14,1479.66
1567.22,189.1,21.96,1497.7
1586.54,188.8,21.62,1515.64
1605.82,189.0,21.31,1533.58
1624.96,188.5,21.02,1551.4301
1644.06,188.4,20.87,1569.27
1663.38,188.1,20.68,1587.33
1682.55,188.4,20.32,1605.29
1701.61,188.1,20.16,1623.17
1720.74,188.6,19.85,1641.15
1739.87,188.3,19.57,1659.16
1759.17,188.0,19.54,1677.34
1778.47,187.8,19.51,1695.53
1797.7,187.8,19.15,1713.6801
1816.99,187.9,18.7,1731.9301
1845.21,188.4,17.9,1758.72
1863.75,188.4,17.9,1776.36
