DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
277.37,14.89,0.17
293.1,14.89,0.14
304.24,354.42,0.59
314.13,18.1,1.42
323.58,22.39,2.19
333.76,19.61,2.82
343.12,19.08,3.55
352.36,12.71,4.44
361.86,9.14,5.62
371.74,9.67,7.1
381.38,11.23,8.55
391.9,14.39,9.92
401.09,16.15,11.15
411.33,16.74,12.29
421.0,15.36,14.43
430.67,15.31,15.94
440.33,14.35,17.59
449.97,14.7,18.92
459.65,13.67,20.48
469.32,12.99,21.83
479.0,12.53,22.88
487.91,12.15,22.99
497.34,11.56,23.05
507.44,11.18,23.12
517.27,10.78,23.24
526.68,11.86,22.75
536.5,12.8,22.69
546.49,13.49,22.54
556.18,13.73,22.56
566.23,12.11,22.38
575.85,12.58,22.27
586.0,11.98,22.39
594.89,12.38,22.49
605.37,13.67,22.16
614.89,13.33,22.05
625.04,13.28,22.0
634.58,13.62,21.95
642.96,12.99,22.01
652.47,12.87,22.1
662.51,13.07,21.88
671.76,13.05,22.01
681.66,12.49,22.1
691.24,12.83,21.9
701.39,13.17,21.92
710.45,12.75,22.02
721.47,12.03,22.76
730.0,12.74,22.87
740.86,12.9,22.94
749.57,12.44,23.06
759.82,12.22,22.9
768.44,12.35,22.82
779.14,12.12,22.8
787.69,11.7,22.58
798.47,12.24,22.43
807.21,11.75,22.58
817.87,11.71,22.51
826.52,10.94,22.69
837.19,10.94,22.65
845.62,11.49,22.35
856.56,11.57,22.23
865.32,11.49,22.0
875.93,12.18,21.88
884.52,12.06,21.92
895.29,11.96,22.16
903.91,12.63,22.29
914.13,12.48,22.26
923.64,13.11,22.18
933.82,12.62,22.15
943.02,12.63,22.28
953.21,12.64,22.3
962.74,12.55,22.19
973.18,12.25,21.89
981.37,12.62,21.74
990.97,12.86,21.74
1000.58,13.09,21.75
1010.76,12.68,21.9
1019.91,13.0,21.76
1030.66,13.06,21.83
1039.52,12.54,21.89
1049.1,13.33,21.87
1058.8,12.97,21.94
1069.22,12.54,22.04
1078.75,12.32,22.18
1088.81,12.64,22.3
1098.26,12.82,22.23
1108.15,12.76,21.9
1116.76,12.92,22.09
1127.46,13.29,21.92
1136.4,13.34,21.95
1146.82,13.11,21.81
1155.61,13.51,21.94
1166.15,13.31,21.82
1174.78,13.32,21.93
1185.52,12.82,21.9
1194.28,12.59,22.07
1205.02,12.79,22.02
1213.82,12.81,21.92
1224.17,11.72,21.87
1232.92,11.29,21.91
1243.54,11.47,21.92
1252.35,11.4,21.91
1262.99,11.68,21.99
1271.32,11.3,21.94
1282.25,11.56,21.94
1291.35,11.08,21.24
1301.46,11.83,20.49
1310.44,11.89,20.14
1320.64,11.41,20.07
1330.02,11.11,19.95
1339.78,11.89,19.62
1349.11,11.76,19.3
1358.84,11.69,18.93
1367.3,12.7,18.57
1378.56,14.13,18.17
1387.51,14.36,17.68
1398.21,14.5,16.76
1406.98,15.2,16.05
1417.57,14.13,15.15
1426.57,13.31,14.31
1436.51,12.47,13.28
1446.14,11.71,12.44
1456.32,12.41,11.43
1465.05,12.83,10.85
1475.68,14.97,10.1
1484.76,13.8,9.55
1495.03,13.09,8.64
1503.73,13.05,8.4
1514.4,13.89,7.79
1523.21,13.27,7.32
1533.75,13.53,6.19
1542.83,13.64,5.71
1546.26,13.67,5.66
1553.09,13.73,5.55
1561.77,12.98,5.46
1572.39,13.88,5.52
1580.57,14.87,5.42
1591.77,14.66,5.32
1600.7,12.13,5.13
1611.15,10.67,4.99
1620.05,7.78,4.95
1639.37,9.83,4.92
1735.24,7.03,4.74
1832.82,3.08,4.57
1929.12,1.56,3.81
2084.11,353.67,3.39
2103.77,355.24,3.19
2141.99,352.91,3.02
2161.49,352.69,3.18
2181.0,353.76,3.2
2276.48,349.57,2.47
2296.72,346.59,2.81
2391.27,346.59,2.81
