DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
100.0,191.1,0.07,100.0
200.0,147.5,0.12,200.0
200.0,168.7,0.19,200.0
380.0,160.0,0.28,380.0
403.18,135.5,0.42,403.18
440.97,189.4,0.58,440.97
498.29,196.7,1.65,498.28
517.46,176.7,5.01,517.41
537.14,172.1,7.49,536.97
556.31,167.1,9.12,555.94
575.05,166.7,11.42,574.38
594.13,166.0,13.84,593.0
613.22,160.1,16.25,611.43
632.25,151.2,17.62,629.64
651.51,147.3,19.96,647.87
670.7,146.7,21.11,665.84
689.76,145.8,21.33,683.61
709.16,147.8,21.38,701.68
728.43,147.4,21.38,719.62
747.68,149.0,21.41,737.55
766.8,148.0,21.28,755.36
785.89,147.6,21.12,773.15
804.97,150.8,21.3,790.94
822.76,151.8,21.29,807.52
841.46,157.5,21.17,824.95
863.29,161.1,21.23,845.3
882.49,156.4,21.29,863.2
901.66,159.8,21.55,881.05
920.4,155.6,21.57,898.47
939.8,156.3,21.72,916.21
958.57,154.1,21.92,933.93
977.6,153.9,22.23,951.57
996.86,157.1,21.33,969.45
1016.05,163.5,20.29,987.39
1035.11,162.0,20.34,1005.27
1054.51,160.9,20.65,1023.44
1073.78,163.7,21.02,1041.45
1112.15,162.3,21.83,1077.17
1145.52,162.2,21.9,1108.14
1169.41,161.3,22.19,1130.28
1188.11,159.6,22.4,1147.58
1207.37,160.7,22.62,1165.38
1226.37,158.1,21.47,1182.99
1245.43,161.2,21.41,1200.73
1264.6,159.3,21.43,1218.5699
1283.67,157.6,21.29,1236.34
1302.31,160.9,21.46,1253.6899
1321.4,161.0,21.4,1271.46
1340.54,156.4,21.26,1289.29
1359.76,158.6,21.21,1307.21
1378.96,159.4,21.24,1325.11
1388.19,156.9,21.05,1333.72
1417.3,157.0,20.86,1360.9
1436.39,159.1,20.68,1378.75
1455.5,159.6,20.46,1396.64
1474.72,159.0,20.31,1414.66
1493.76,155.2,20.07,1432.53
1512.85,158.1,19.96,1450.47
1532.14,155.4,19.69,1468.61
1551.42,156.3,19.36,1486.78
1589.6,157.3,18.8,1522.87
1608.8,157.5,18.55,1541.0601
1628.1,152.9,18.04,1559.38
1647.3,151.8,17.67,1577.66
1666.61,154.3,17.36,1596.0699
1685.84,152.2,16.96,1614.45
1705.01,152.2,16.56,1632.8
1724.23,155.2,16.49,1651.23
1743.52,151.2,16.28,1669.74
1762.59,152.6,16.22,1688.04
1781.67,152.4,16.03,1706.37
1800.92,148.4,15.63,1724.89
1821.22,149.5,15.21,1744.46
1839.33,152.7,14.67,1761.96
1848.11,151.0,14.31,1770.46
1866.0,150.6,13.85,1787.8101
