DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
78.791,12.25,,,,,,,,,,
78.943,12.25,,,,,,,,,,
79.096,12.25,,,,,,,,,,
79.248,12.25,,,,,,,,,,
79.4,12.25,,,,,,,,,,
79.553,12.25,,,,,,,,,,
79.705,12.25,,,,,,,,,,
79.858,12.25,,,,,,,,,,
80.01,12.25,,,,,,,,,,
80.162,12.25,,,,,,,,,,
80.315,12.25,,,,,,,,,,
80.467,12.25,,,,,,,,,,
80.62,12.25,,,,,,,,,,
80.772,12.25,,,,,,,,,,
80.924,12.25,,,,,,,,,,
81.077,12.25,,,,,,,,,,
81.229,12.25,,,,,,,,,,
81.382,12.25,,,,,,,,,,
81.534,12.25,,,,,,,,,,
81.686,12.25,,,,,,,,,,
81.839,12.25,,,,,,,,,,
81.991,12.25,,,,,,,,,,
82.144,12.25,,,,,,,,,,
82.296,12.25,,,,,,,,,,
82.448,12.25,,,,,,,,,,
82.601,12.25,,,,,,,,,,
82.753,12.25,,,,,,,,,,
82.906,12.25,,,,,,,,,,
83.058,12.25,,,,,,,,,,
83.21,12.25,,,,,,,,,,
83.363,12.25,,,,,,,,,,
83.515,12.25,,,,,,,,,,
83.668,12.25,,,,,,,,,,
83.82,12.25,,,,,,,,,,
83.972,12.25,,,,,,,,,,
84.125,12.25,,,,,,,,,,
84.277,12.25,,,,,,,,,,
84.43,12.25,,,,,,,,,,
84.582,12.25,,,,,,,,,,
84.734,12.25,,,,,,,,,,
84.887,12.25,,,,,,,,,,
85.039,12.25,,,,,,,,,,
85.192,12.25,,,,,,,,,,
85.344,12.25,,,,,,,,,,
85.496,12.25,,,,,,,,,,
85.649,12.25,,,,,,,,,,
85.801,12.25,,,,,,,,,,
85.954,12.25,,,,,,,,,,
86.106,12.25,,,,,,,,,,
86.258,12.25,,,,,,,,,,
86.411,12.25,,,,,,,,,,
86.563,12.25,,,,,,,,,,
86.716,12.25,,,,,,,,,,
86.868,12.25,,,,,,,,,,
87.02,12.25,,,,,,,,,,
87.173,12.25,,,,,,,,,,
87.325,12.25,,,,,,,,,,
87.478,12.25,,,,,,,,,,
87.63,12.25,,,,,,,,,,
87.782,12.25,,,,,,,,,,
87.935,12.25,,,,,,,,,,
88.087,12.25,,,,,,,,,,
88.24,12.25,,,,,,,,,,
88.392,12.25,,,,,,,,,,
88.544,12.25,,,,,,,,,,
88.697,12.25,,,,,,,,,,
88.849,12.25,,,,,,,,,,
89.002,12.25,,,,,,,,,,
89.154,12.25,,,,,,,,,,
89.306,12.25,,,,,,,,,,
89.459,12.25,,,,,,,,,,
89.611,12.25,,,,,,,,,,
89.764,12.25,,,,,,,,,,
89.916,12.25,,,,,,,,,,
90.068,12.25,,,,,,,,,,
90.221,12.25,,,,,,,,,,
90.373,12.25,,,,,,,,,,
90.526,12.25,,,,,,,,,,
90.678,12.25,,,,,,,,,,
90.83,12.25,,,,,,,,,,
90.983,12.25,,,,,,,,,,
91.135,12.25,,,,,,,,,,
91.288,12.25,,,,,,,,,,
91.44,12.25,,,,,,,,,,
91.592,12.25,,,,,,,,,,
91.745,12.25,,,,,,,,,,
91.897,12.25,,,,,,,,,,
92.05,12.25,,,,,,,,,,
92.202,12.25,,,,,,,,,,
92.354,12.25,,,,,,,,,,
92.507,12.25,,,,,,,,,,
92.659,12.25,,,,,,,,,,
92.812,12.25,,,,,,,,,,
92.964,12.25,,,,,,,,,,
93.116,12.25,,,,,,,,,,
93.269,12.25,,,,,,,,,,
93.421,12.25,,,,,,,,,,
93.574,12.25,,,,,,,,,,
93.726,12.25,,,,,,,,,,
93.878,12.25,,,,,,,,,,
94.031,12.25,,,,,,,,,,
94.183,12.25,,,,,,,,,,
94.336,12.25,,,,,,,,,,
94.488,12.25,,,,,,,,,,
94.64,12.25,,,,,,,,,,
94.793,12.25,,,,,,,,,,
94.945,12.25,,,,,,,,,,
95.098,12.25,,,,,,,,,,
95.25,12.25,,,,,,,,,,
95.402,12.25,,,,,,,,,,
95.555,12.25,,,,,,,,,,
95.707,12.25,,,,,,,,,,
95.86,12.25,,,,,,,,,,
96.012,12.25,,,,,,,,,,
96.164,12.25,,,,,,,,,,
96.317,12.25,,,,,,,,,,
96.469,12.25,,,,,,,,,,
96.622,12.25,,,,,,,,,,
96.774,12.25,,,,,,,,,,
96.926,12.25,,,,,,,,,,
97.079,12.25,,,,,,,,,,
97.231,12.25,,,,,,,,,,
97.384,12.25,,,,,,,,,,
97.536,12.25,,,,,,,,,,
97.688,12.25,,,,,,,,,,
97.841,12.25,,,,,,,,,,
97.993,12.25,,,,,,,,,,
98.146,12.25,,,,,,,,,,
98.298,12.25,,,,,,,,,,
98.45,12.25,,,,,,,,,,
98.603,12.25,,,,,,,,,,
98.755,12.25,,,,,,,,,,
98.908,12.25,,,,,,,,,,
99.06,12.25,,,,,,,,,,
99.212,12.25,,,,,,,,,,
99.365,12.25,,,,,,,,,,
99.517,12.25,,,,,,,,,,
99.67,12.25,,,,,,,,,,
99.822,12.25,,,,,,,,,,
99.974,12.25,,,,,,,,,,
100.127,12.25,,,,,,,,,,
100.279,12.25,,,,,,,,,,
100.432,12.25,,,,,,,,,,
100.584,12.25,,,,,,,,,,
100.736,12.25,,,,,,,,,,
100.889,12.25,,,,,,,,,,
101.041,12.25,,,,,,,,,,
101.194,12.25,,,,,,,,,,
101.346,12.25,,,,,,,,,,
101.498,12.25,,,,,,,,,,
101.651,12.25,,,,,,,,,,
101.803,12.25,,,,,,,,,,
101.956,12.25,,,,,,,,,,
102.108,12.25,,,,,,,,,,
102.26,12.25,,,,,,,,,,
102.413,12.25,,,,,,,,,,
102.565,12.25,,,,,,,,,,
102.718,12.25,,,,,,,,,,
102.87,12.25,,,,,,,,,,
103.022,12.25,,,,,,,,,,
103.175,12.25,,,,,,,,,,
103.327,12.25,,,,,,,,,,
103.48,12.25,,,,,,,,,,
103.632,12.25,,,,,,,,,,
103.784,12.25,,,,,,,,,,
103.937,12.25,,,,,,,,,,
104.089,12.25,,,,,,,,,,
104.242,12.25,,,,,,,,,,
104.394,12.25,,,,,,,,,,
104.546,12.25,,,,,,,,,,
104.699,12.25,,,,,,,,,,
104.851,12.25,,,,,,,,,,
105.004,12.25,,,,,,,,,,
105.156,12.25,,,,,,,,,,
105.308,12.25,,,,,,,,,,
105.461,12.25,,,,,,,,,,
105.613,12.25,,,,,,,,,,
105.766,12.25,,,,,,,,,,
105.918,12.25,,,,,,,,,,
106.07,12.25,,,,,,,,,,
106.223,12.25,,,,,,,,,,
106.375,12.25,,,,,,,,,,
106.528,12.25,,,,,,,,,,
106.68,12.25,,,,,,,,,,
106.832,12.25,,,,,,,,,,
106.985,12.25,,,,,,,,,,
107.137,12.25,,,,,,,,,,
107.29,12.25,,,,,,,,,,
107.442,12.25,,,,,,,,,,
107.594,12.25,,,,,,,,,,
107.747,12.25,,,,,,,,,,
107.899,12.25,,,,,,,,,,
108.052,12.25,,,,,,,,,,
108.204,12.25,,,,,,,,,,
108.356,12.25,,,,,,,,,,
108.509,12.25,,,,,,,,,,
108.661,12.25,,,,,,,,,,
108.814,12.25,,,,,,,,,,
108.966,12.25,,,,,,,,,,
109.118,12.25,,,,,,,,,,
109.271,12.25,,,,,,,,,,
109.423,12.25,,,,,,,,,,
109.576,12.25,,,,,,,,,,
109.728,12.25,,,,,,,,,,
109.88,12.25,,,,,,,,,,
110.033,12.25,,,,,,,,,,
110.185,12.25,,,,,,,,,,
110.338,12.25,,,,,,,,,,
110.49,12.25,,,,,,,,,,
110.642,12.25,,,,,,,,,,
110.795,12.25,,,,,,,,,,
110.947,12.25,,,,,,,,,,
111.1,12.25,,,,,,,,,,
111.252,12.25,,,,,,,,,,
111.404,12.25,,,,,,,,,,
111.557,12.25,,,,,,,,,,
111.709,12.25,,,,,,,,,,
111.862,12.25,,,,,,,,,,
112.014,12.25,,,,,,,,,,
112.166,12.25,,,,,,,,,,
112.319,12.25,,,,,,,,,,
112.471,12.25,,,,,,,,,,
112.624,12.25,,,,,,,,,,
112.776,12.25,,,,,,,,,,
112.928,12.25,,,,,,,,,,
113.081,12.25,,,,,,,,,,
113.233,12.25,,,,,,,,,,
113.386,12.25,,,,,,,,,,
113.538,12.25,,,,,,,,,,
113.69,12.25,,,,,,,,,,
113.843,12.25,,,,,,,,,,
113.995,12.25,,,,,,,,,,
114.148,12.25,,,,,,,,,,
114.3,12.25,,,,,,,,,,
114.452,12.25,,,,,,,,,,
114.605,12.25,,,,,,,,,,
114.757,12.25,,,,,,,,,,
114.91,12.25,,,,,,,,,,
115.062,12.25,,,,,,,,,,
115.214,12.25,,,,,,,,,,
115.367,12.25,,,,,,,,,,
115.519,12.25,,,,,,,,,,
115.672,12.25,,,,,,,,,,
115.824,12.25,,,,,,,,,,
115.976,12.25,,,,,,,,,,
116.129,12.25,,,,,,,,,,
116.281,12.25,,,,,,,,,,
116.434,12.25,,,,,,,,,,
116.586,12.25,,,,,,,,,,
116.738,12.25,,,,,,,,,,
116.891,12.25,,,,,,,,,,
117.043,12.25,,,,,,,,,,
117.196,12.25,,,,,,,,,,
117.348,12.25,,,,,,,,,,
117.5,12.25,,,,,,,,,,
117.653,12.25,,,,,,,,,,
117.805,12.25,,,,,,,,,,
117.958,12.25,,,,,,,,,,
118.11,12.25,,,,,,,,,,
118.262,12.25,,,,,,,,,,
118.415,12.25,,,,,,,,,,
118.567,12.25,,,,,,,,,,
118.72,12.25,,,,,,,,,,
118.872,12.25,,,,,,,,,,
119.024,12.25,,,,,,,,,,
119.177,12.25,,,,,,,,,,
119.329,12.25,,,,,,,,,,
119.482,12.25,,,,,,,,,,
119.634,12.25,,,,,,,,,,
119.786,12.25,,,,,,,,,,
119.939,12.25,,,,,,,,,,
120.091,12.25,,,,,,,,,,
120.244,12.25,,,,,,,,,,
120.396,12.25,,,,,,,,,,
120.548,12.25,,,,,,,,,,
120.701,12.25,,,,,,,,,,
120.853,12.25,,,,,,,,,,
121.006,12.25,,,,,,,,,,
121.158,12.25,,,,,,,,,,
121.31,12.25,,,,,,,,,,
121.463,12.25,,,,,,,,,,
121.615,12.25,,,,,,,,,,
121.768,12.25,,,,,,,,,,
121.92,12.25,,,,,,,,,,
122.072,12.25,,,,,,,,,,
122.225,12.25,,,,,,,,,,
122.377,12.25,,,,,,,,,,
122.53,12.25,,,,,,,,,,
122.682,12.25,,,,,,,,,,
122.834,12.25,,,,,,,,,,
122.987,12.25,,,,,,,,,,
123.139,12.25,,,,,,,,,,
123.292,12.25,,,,,,,,,,
123.444,12.25,,,,,,,,,,
123.596,12.25,,,,,,,,,,
123.749,12.25,,,,,,,,,,
123.901,12.25,,,,,,,,,,
124.054,12.25,,,,,,,,,,
124.206,12.25,,,,,,,,,,
124.358,12.25,,,,,,,,,,
124.511,12.25,,,,,,,,,,
124.663,12.25,,,,,,,,,,
124.816,12.25,,,,,,,,,,
124.968,12.25,,,,,,,,,,
125.12,12.25,,,,,,,,,,
125.273,12.25,,,,,,,,,,
125.425,12.25,,,,,,,,,,
125.578,12.25,,,,,,,,,,
125.73,12.25,,,,,,,,,,
125.882,12.25,,,,,,,,,,
126.035,12.25,,,,,,,,,,
126.187,12.25,,,,,,,,,,
126.34,12.25,,,,,,,,,,
126.492,12.25,,,,,,,,,,
126.644,12.25,,,,,,,,,,
126.797,12.25,,,,,,,,,,
126.949,12.25,,,,,,,,,,
127.102,12.25,,,,,,,,,,
127.254,12.25,,,,,,,,,,
127.406,12.25,,,,,,,,,,
127.559,12.25,,,,,,,,,,
127.711,12.25,,,,,,,,,,
127.864,12.25,,,,,,,,,,
128.016,12.25,,,,,,,,,,
128.168,12.25,,,,,,,,,,
128.321,12.25,,,,,,,,,,
128.473,12.25,,,,,,,,,,
128.626,12.25,,,,,,,,,,
128.778,12.25,,,,,,,,,,
128.93,12.25,,,,,,,,,,
129.083,12.25,,,,,,,,,,
129.235,12.25,,,,,,,,,,
129.388,12.25,,,,,,,,,,
129.54,12.25,,,,,,,,,,
129.692,12.25,,,,,,,,,,
129.845,12.25,,,,,,,,,,
129.997,12.25,,,,,,,,,,
130.15,12.25,,,,,,,,,,
130.302,12.25,,,,,,,,,,
130.454,12.25,,,,,,,,,,
130.607,12.25,,,,,,,,,,
130.759,12.25,,,,,,,,,,
130.912,12.25,,,,,,,,,,
131.064,12.25,,,,,,,,,,
131.216,12.25,,,,,,,,,,
131.369,12.25,,,,,,,,,,
131.521,12.25,,,,,,,,,,
131.674,12.25,,,,,,,,,,
131.826,12.25,,,,,,,,,,
131.978,12.25,,,,,,,,,,
132.131,12.25,,,,,,,,,,
132.283,12.25,,,,,,,,,,
132.436,12.25,,,,,,,,,,
132.588,12.25,,,,,,,,,,
132.74,12.25,,,,,,,,,,
132.893,12.25,,,,,,,,,,
133.045,12.25,,,,,,,,,,
133.198,12.25,,,,,,,,,,
133.35,12.25,,,,,,,,,,
133.502,12.25,,,,,,,,,,
133.655,12.25,,,,,,,,,,
133.807,12.25,,,,,,,,,,
133.96,12.25,,,,,,,,,,
134.112,12.25,,,,,,,,,,
134.264,12.25,,,,,,,,,,
134.417,12.25,,,,,,,,,,
134.569,12.25,,,,,,,,,,
134.722,12.25,,,,,,,,,,
134.874,12.25,,,,,,,,,,
135.026,12.25,,,,,,,,,,
135.179,12.25,,,,,,,,,,
