DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
11.887,,,,,,,,,,,,
12.04,,,,,,,,,,,,
12.192,12.25,,,,,,,,,,,
12.344,12.25,,,,,,,,,,,
12.497,12.25,,,,,,,,,,,
12.649,12.25,,,,,,,,,,,
12.802,12.25,,,,,,,,,,,
12.954,12.25,,,,,,,,,,,
13.106,12.25,,,,,,,,,,,
13.259,12.25,,,,,,,,,,,
13.411,12.25,,,,,,,,,,,
13.564,12.25,,,,,,,,,,,
13.716,12.25,,,,,,,,,,,
13.868,12.25,,,,,,,,,,,
14.021,12.25,,,,,,,,,,,
14.173,12.25,,,,,,,,,,,
14.326,12.25,,,,,,,,,,,
14.478,12.25,,,,,,,,,,,
14.63,12.25,,,,,,,,,,,
14.783,12.25,,,,,,,,,,,
14.935,12.25,,,,,,,,,,,
15.088,12.25,,,,,,,,,,,
15.24,12.25,,,,,,,,,,,
15.392,12.25,,,,,,,,,,,
15.545,12.25,,,,,,,,,,,
15.697,12.25,,,,,,,,,,,
15.85,12.25,,,,,,,,,,,
16.002,12.25,,,,,,,,,,,
16.154,12.25,,,,,,,,,,,
16.307,12.25,,,,,,,,,,,
16.459,12.25,,,,,,,,,,,
16.612,12.25,,,,,,,,,,,
16.764,12.25,,,,,,,,,,,
16.916,12.25,,,,,,,,,,,
17.069,12.25,,,,,,,,,,,
17.221,12.25,,,,,,,,,,,
17.374,12.25,,,,,,,,,,,
17.526,12.25,,,,,,,,,,,
17.678,12.25,,,,,,,,,,,
17.831,12.25,,,,,,,,,,,
17.983,12.25,,,,,,,,,,,
18.136,12.25,,,,,,,,,,,
18.288,12.25,,,,,,,,,,,
18.44,12.25,,,,,,,,,,,
18.593,12.25,,,,,,,,,,,
18.745,12.25,,,,,,,,,,,
18.898,12.25,,,,,,,,,,,
19.05,12.25,,,,,,,,,,,
19.202,12.25,,,,,,,,,,,
19.355,12.25,,,,,,,,,,,
19.507,12.25,,,,,,,,,,,
19.66,12.25,,,,,,,,,,,
19.812,12.25,,,,,,,,,,,
19.964,12.25,,,,,,,,,,,
20.117,12.25,,,,,,,,,,,
20.269,12.25,,,,,,,,,,,
20.422,12.25,,,,,,,,,,,
20.574,12.25,,,,,,,,,,,
20.726,12.25,,,,,,,,,,,
20.879,12.25,,,,,,,,,,,
21.031,12.25,,,,,,,,,,,
21.184,12.25,,,,,,,,,,,
21.336,12.25,,,,,,,,,,,
21.488,12.25,,,,,,,,,,,
21.641,12.25,,,,,,,,,,,
21.793,12.25,,,,,,,,,,,
21.946,12.25,,,,,,,,,,,
22.098,12.25,,,,,,,,,,,
22.25,12.25,,,,,,,,,,,
22.403,12.25,,,,,,,,,,,
22.555,12.25,,,,,,,,,,,
22.708,12.25,,,,,,,,,,,
22.86,12.25,,,,,,,,,,,
23.012,12.25,,,,,,,,,,,
23.165,12.25,,,,,,,,,,,
23.317,12.25,,,,,,,,,,,
23.47,12.25,,,,,,,,,,,
23.622,12.25,,,,,,,,,,,
23.774,12.25,,,,,,,,,,,
23.927,12.25,,,,,,,,,,,
24.079,12.25,,,,,,,,,,,
24.232,12.25,,,,,,,,,,,
24.384,12.25,,,,,,,,,,,
24.536,12.25,,,,,,,,,,,
24.689,12.25,,,,,,,,,,,
24.841,12.25,,,,,,,,,,,
24.994,12.25,,,,,,,,,,,
25.146,12.25,,,,,,,,,,,
25.298,12.25,,,,,,,,,,,
25.451,12.25,,,,,,,,,,,
25.603,12.25,,,,,,,,,,,
25.756,12.25,,,,,,,,,,,
25.908,12.25,,,,,,,,,,,
26.06,12.25,,,,,,,,,,,
26.213,12.25,,,,,,,,,,,
26.365,12.25,,,,,,,,,,,
26.518,12.25,,,,,,,,,,,
26.67,12.25,,,,,,,,,,,
26.822,12.25,,,,,,,,,,,
26.975,12.25,,,,,,,,,,,
27.127,12.25,,,,,,,,,,,
27.28,12.25,,,,,,,,,,,
27.432,12.25,,,,,,,,,,,
27.584,12.25,,,,,,,,,,,
27.737,12.25,,,,,,,,,,,
27.889,12.25,,,,,,,,,,,
