DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESS,RESS_CORR,SP,TEMP,TENS
390.144,,,,,,,,,,,,,,,,30.6823,
390.2964,,,,,,,,,,,,,,,,30.6757,
390.4488,,,,,,,,,,,,,,,,30.6691,
390.6012,,,,,,,,,,,,,,,,30.6602,
390.7536,,,,,,,,,,,,,,,,30.6501,
390.906,,,,,,,,,,,,,,,,30.64,
391.0584,,,,,,,,,,,,,,,,30.6393,
391.2108,,,,,,,,,,,,,,,,30.6536,
391.3632,,,,,,,,,,,,,,,,30.6679,
391.5156,,,,,,,,,,,,,,,,30.6809,
391.668,,,,,,,,,,,,,,,,30.6833,
391.8204,,,,,,,,,,,,,,,,30.6857,
391.9728,,,,,,,,,,,,,,,,30.6881,
392.1252,,,,,,,,,,,,,,,,30.68,
392.2776,,,,,,,,,,,,,,,,30.6697,
392.43,,,,,,,,,,,,,,,,30.6595,
392.5824,,,,,,,,,,,,,,,,30.667,
392.7348,,,,,,,,,,,,,,,,30.6897,
392.8872,,,,,,,,,,,,,,,,30.7124,
393.0396,,,,,,,,,,,,,,,,30.7268,
393.192,,,,,,,,,,,,,,,,30.7177,
393.3444,,,,,,,,,,,,,,,,30.7086,
393.4968,,,,,,,,,,,,,,,,30.6995,
393.6492,,,,,,,,,,,,,,,,30.7012,
393.8016,,,,,,,,,,,,,,,,30.7031,
393.954,,,,,,,,,,,,,,,,30.7051,
394.1064,,,,,,,,,,,,,,,,30.7023,
394.2588,,,,,,,,,,,,,,,,30.6974,
394.4112,,,,,,,,,,,,,,,,30.6926,
394.5636,,,,,,,,,,,,,,,,30.6935,
394.716,,,,,,,,,,,,,,,,30.7026,
394.8684,,,,,,,,,,,,,,,,30.7117,
395.0208,,,,,,,,,,,,,,,,30.7183,
395.1732,,,,,,,,,,,,,,,,30.7088,
395.3256,,,,,,,,,,,,,,,,30.6993,
395.478,,,,,,,,,,,,,,,,30.6898,
395.6304,,,,,,,,,,,,,,,,30.6885,
395.7828,,,,,,,,,,,,,,,,30.6885,
395.9352,,,,,,,,,,,,,,,,30.6885,
396.0876,,,,,,,,,,,,,,,,30.6975,
396.24,,,,,,,,,,,,,,,,30.7132,
396.3924,,,,,,,,,,,,,,,,30.7289,
396.5448,12.25,,,,,,,,,,,,,,,30.7423,608.2224
396.6972,12.25,,,,,,,,,,,,,,,30.7505,607.5425
396.8496,12.25,,,,,,,,,,,,,,,30.7586,606.8627
397.002,12.25,,,,,,,,,,,,,,,30.7665,606.1906
397.1544,12.25,,,,,,,,,,,,,,,30.7562,606.1039
397.3068,12.25,,,,,,,,,,,,,,,30.7459,606.0172
397.4592,12.25,,,,,,,,,,,,,,,30.7356,605.9304
397.6116,12.25,,,,,,,,,,,,,,,30.7499,606.5507
397.764,12.25,,,,,,,,,,,,,,,30.7732,607.4294
397.9164,12.25,,,,,,,,,,,,,,,30.7966,608.3081
398.0688,12.25,,,,,,,,,,,,,,,30.8012,607.8829
398.2212,12.25,,,,,,,,,,,,,,,30.7831,605.8733
398.3736,12.25,,,,,,,,,,,,,,,30.7651,603.8636
398.526,12.25,,,,,,,,,,,,,,,30.7509,602.603
398.6784,12.25,,,,,,,,,,,,,,,30.7559,604.9838
398.8308,12.25,,,,,,,,,,,,,,,30.7608,607.3646
398.9832,12.25,,,,,,,,,,,,,,,30.7658,609.7454
399.1356,12.25,,,,,,,,,,,,,,,30.7783,609.4575
399.288,12.25,,,,,,,,,,,,,,,30.7918,608.839
399.4404,12.25,,,,,,,,,,,,,,,30.8053,608.2205
399.5928,12.25,,,,,,,,,,,,,,,30.8085,609.2355
399.7452,12.25,,,,,,,,,,,,,,,30.805,611.2997
399.8976,12.25,,,,,,,,,,,,,,,30.8016,613.3639
400.05,12.25,,,,,,,,,,,,,,,30.8004,613.9841
400.2024,12.25,,,,,,,,,,,,,,,30.8039,611.6468
400.3548,12.25,,,,,,,,,,,,,,,30.8073,609.3096
400.5072,12.25,,,,,,,,,,,,,,,30.8103,607.1228
400.6596,12.25,,,,,,,,,,,,,,,30.8039,607.9702
400.812,12.25,,,,,,,,,,,,,,,30.7975,608.8176
400.9644,12.25,,,,,,,,,,,,,,,30.7912,609.665
401.1168,12.25,,,,,,,,,,,,,,,30.7907,610.0818
401.2692,12.25,,,,,,,,,,,,,,,30.7921,610.3674
401.4216,12.25,,,,,,,,,,,,,,,30.7934,610.653
401.574,12.25,,,,,,,,,,,,,,,30.7965,610.3275
401.7264,12.25,,,,,,,,,,,,,,,30.8016,609.3547
401.8788,12.25,,,,,,,,,,,,,,,30.8066,608.3818
402.0312,12.25,,,,,,,,,,,,,,,30.8111,608.0433
402.1836,12.25,,,,,,,,,,,,,,,30.8141,610.1692
402.336,12.25,,,,,,,,,,,,,,,30.817,612.295
402.4884,12.25,,,,,,,,,,,,,,,30.8199,614.4208
402.6408,12.25,,,,,,,,,,,,,,,30.8174,611.8502
402.7932,12.25,,,,,,,,,,,,,,,30.8145,608.8928
402.9456,12.25,,,,,,,,,,,,,,,30.8116,605.9352
403.098,12.25,,,,,,,,,,,,,,,30.8106,606.4836
403.2504,12.25,,,,,,,,,,,,,,,30.8106,608.9779
403.4028,12.25,,,,,,,,,,,,,,,30.8106,611.4723
403.5552,12.25,,,,,,,,,,,,,,,30.8106,614.321
403.7076,12.25,,,,,,,,,,,,,,,30.8106,617.7938
403.86,12.25,,,,,,,,,,,,,,,30.8106,621.2666
404.0124,12.25,,,,,,,,,,,,,,,30.8106,624.1359
404.1648,12.25,,,,,,,,,,,,,,,30.8106,620.1915
404.3172,12.25,,,,,,,,,,,,,,,30.8106,616.2473
404.4696,12.25,,,,,,,,,,,,,,,30.8106,612.3029
404.622,12.25,,,,,,,,,,,,,,,30.8161,609.3105
404.7744,12.25,,,,,,,,,,,,,,,30.8229,606.5553
404.9268,12.25,,,,,,,,,,,,,,,30.8298,603.8001
405.0792,12.25,,,,,,,,,,,,,,,30.8364,601.4577
405.2316,12.25,,,,,,,,,,,,,,,30.8428,599.4969
405.384,12.25,,,,,,,,,,,,,,,30.8491,597.5361
405.5364,12.25,,,,,,,,,,,,,,,30.8519,596.1898
405.6888,12.25,,,,,,,,,,,,,,,30.8432,596.8022
405.8412,12.25,,,,,,,,,,,,,,,30.8345,597.4146
405.9936,12.25,,,,,,,,,,,,,,,30.8258,598.0269
406.146,12.25,,,,,,,,,,,,,,,30.8424,595.506
406.2984,12.25,,,,,,,,,,,,,,,30.8601,592.8477
406.4508,12.25,,,,,,,,,,,,,,,30.8778,590.1894
406.6032,12.25,,,,,,,,,,,,,,,30.8849,588.4672
406.7556,12.25,,,,,,,,,,,,,,,30.887,587.1913
406.908,12.25,,,,,,,,,,,,,,,30.8892,585.9153
407.0604,12.25,,,,,,,,,,,,,,,30.8885,585.1214
407.2128,12.25,,,,,,,,,,,,,,,30.8835,585.0614
407.3652,12.25,,,,,,,,,,,,,,,30.8785,585.0015
407.5176,12.158,,,,,95.0685,,,,,,,,,,30.874,585.1425
407.67,11.3613,,,,,93.9733,,,,,,,,,,30.8733,586.8228
407.8224,10.5645,,,,,92.8781,,,,,,,,,,30.8725,588.503
407.9748,9.7678,,,,,91.7829,,,,,,,,,,30.8718,590.1833
408.1272,9.3471,,,,,91.7056,,,,,,,,,,30.8825,590.3461
408.2796,9.0008,,,,,91.8298,,,,,,,,,,30.8955,590.2083
408.432,8.6545,,,,,91.9541,,,,,,,,,,30.9086,590.0704
408.5844,8.5,9.042,,,111.4262,89.1326,91.757,,,,40.8739,40.4755,28.5056,29.5,167.281,30.9074,589.304
408.7368,8.5,9.0421,,,104.8037,83.9377,86.51,,,,59.9033,58.2495,37.3726,37.5326,167.5513,30.8948,588.031
408.8892,8.5,9.0421,,,98.1812,78.7429,81.2629,,,,78.9327,76.0236,46.2396,45.5652,167.8215,30.8821,586.7581
409.0416,8.5,9.0468,,,95.1278,75.2628,77.7977,,,,90.7308,87.2356,51.7719,50.8161,168.1508,30.8751,587.1352
409.194,8.5,9.0638,,,101.5802,76.3503,79.0783,,,,83.2684,80.9699,48.4223,48.6578,168.6375,30.8829,591.9072
409.3464,8.5,9.0808,,,108.0327,77.4377,80.3589,,,,75.8061,74.7041,45.0726,46.4996,169.1242,30.8908,596.6793
409.4988,8.5,9.0978,,,114.4852,78.5251,81.6395,,,,68.3437,68.4384,41.723,44.3413,169.6108,30.8986,601.4514
409.6512,8.5,9.1237,,,117.7391,86.5975,89.898,,,,62.5844,62.4252,38.8374,40.9046,169.829,30.9045,596.2639
409.8036,8.5,9.1497,,,120.9676,94.7253,98.2119,,,,56.8386,56.414,35.9554,37.4578,170.045,30.9103,590.9973
409.956,8.5,9.1757,,,124.1962,102.8531,106.5258,,,,51.0928,50.4028,33.0735,34.011,170.261,30.9161,585.7307
410.1084,8.5,9.143,,,125.2933,103.5503,107.1025,,,,50.6786,49.8218,32.5777,33.2562,170.5579,30.921,584.3942
410.2608,8.5,9.0865,,,125.5251,101.2314,104.5385,,,,52.4286,51.445,33.0505,33.5941,170.8875,30.9255,584.6529
410.4132,8.5,9.0301,,,125.757,98.9124,101.9746,,,,54.1785,53.0681,33.5234,33.932,171.2172,30.93,584.9116
410.5656,8.5,8.9956,,,125.9595,96.9865,99.8624,,,,55.301,54.1173,33.6014,33.9486,171.5895,30.9311,585.1672
410.718,8.5,8.9901,,,126.123,95.5807,98.348,,,,55.5931,54.4071,33.1572,33.5399,172.0182,30.9276,585.4186
410.8704,8.5,8.9846,,,126.2864,94.1748,96.8336,,,,55.8851,54.6969,32.7129,33.1312,172.4468,30.924,585.6701
411.0228,8.5,8.9777,,,126.5027,93.0852,95.6359,,,,56.3372,55.135,32.4148,32.8561,172.8654,30.9216,585.8081
411.1752,8.5,8.9632,,,127.019,93.7925,96.2382,,,,57.6984,56.4159,32.9474,33.3404,173.2263,30.9251,585.3008
411.3276,8.5,8.9486,,,127.5353,94.4999,96.8404,,,,59.0596,57.6969,33.4799,33.8248,173.5873,30.9286,584.7936
411.48,8.5,8.934,,,128.0516,95.2072,97.4427,,,,60.4208,58.9778,34.0125,34.3091,173.9483,30.9322,584.2863
411.6324,8.5,8.9285,,,128.8501,92.0753,94.3921,,,,60.3129,58.8717,34.2856,34.5621,174.0353,30.9398,584.2941
411.7848,8.5,8.9243,,,129.6913,88.3634,90.7898,,,,59.983,58.556,34.5196,34.7802,174.0809,30.9481,584.3796
411.9372,8.5,8.9201,,,130.5325,84.6516,87.1874,,,,59.6531,58.2403,34.7535,34.9983,174.1265,30.9564,584.4652
412.0896,8.5,8.92,,,130.7938,83.2002,85.6771,,,,59.2265,57.8702,34.8376,35.1443,174.146,30.9556,584.8449
412.242,8.5,8.9229,,,130.6487,83.3333,85.633,,,,58.7322,57.4619,34.8165,35.2399,174.1474,30.9485,585.4308
412.3944,8.5,8.9257,,,130.5036,83.4663,85.5889,,,,58.2378,57.0537,34.7955,35.3355,174.1487,30.9414,586.0167
412.5468,8.5,8.9354,,,129.9928,83.109,85.1803,,,,59.4487,58.1935,35.4573,36.0248,174.0809,30.9373,586.3284
412.6992,8.5,8.9605,,,128.657,81.6452,83.9494,,,,64.5072,62.8266,37.6598,38.0539,173.857,30.9399,586.0217
412.8516,8.5,8.9856,,,127.3211,80.1815,82.7185,,,,69.5656,67.4596,39.8624,40.083,173.6331,30.9424,585.715
413.004,8.5,9.0103,,,126.0546,78.8527,81.6173,,,,74.4162,71.9036,41.9909,42.0476,173.417,30.9453,585.4456
413.1564,8.5,9.0215,,,127.3598,82.5319,85.3295,,,,71.5525,69.3333,41.3733,41.62,173.4897,30.9573,586.5613
413.3088,8.5,9.0326,,,128.665,86.2111,89.0417,,,,68.6889,66.763,40.7557,41.1924,173.5624,30.9693,587.6772
413.4612,8.5,9.0437,,,129.9702,89.8903,92.7539,,,,65.8253,64.1926,40.138,40.7648,173.6351,30.9813,588.793
413.6136,8.5,9.0488,,,130.6735,92.2922,95.1191,,,,64.8898,63.3699,39.9818,40.6551,173.6382,30.9942,588.1725
413.766,8.5,9.0519,,,131.1712,94.2578,97.0243,,,,64.6128,63.144,39.9832,40.654,173.6175,31.0073,586.9591
413.9184,8.5,9.055,,,131.669,96.2233,98.9295,,,,64.3358,62.9182,39.9846,40.6528,173.5967,31.0204,585.7457
414.0708,8.5,9.0591,,,131.9163,95.6847,98.39,,,,65.0663,63.5764,40.4858,41.0961,173.6892,31.0233,585.6245
414.2232,8.5,9.0644,,,131.875,92.2598,95.033,,,,66.9581,65.2537,41.5628,42.0516,173.9122,31.0143,586.7621
414.3756,8.5,9.0697,,,131.8336,88.8349,91.676,,,,68.8498,66.931,42.6398,43.007,174.1352,31.0054,587.8997
414.528,8.5,9.074,,,131.837,86.0664,88.9641,,,,69.7158,67.6748,43.3122,43.6049,174.2996,31.0002,588.712
414.6804,8.5,9.074,,,132.039,86.2138,89.118,,,,66.0252,64.2713,42.1864,42.6142,174.2035,31.0122,588.0784
414.8328,8.5,9.074,,,132.241,86.3613,89.272,,,,62.3346,60.8678,41.0607,41.6234,174.1074,31.0241,587.4448
414.9852,8.5,9.074,,,132.443,86.5087,89.4259,,,,58.6439,57.4644,39.9349,40.6327,174.0113,31.0361,586.8112
415.1376,8.5,9.0738,,,132.4544,87.8019,90.6906,,,,58.3236,57.1609,39.6704,40.4005,174.0369,31.0345,586.7507
415.29,8.5,9.0736,,,132.4454,89.2183,92.0747,,,,58.3657,57.1908,39.4986,40.2499,174.0755,31.0315,586.752
